,https://roic.ai/company/OOMA,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
31,Cash and Cash Equivalents,- -,6364000,9133000,27413000,3990000,4483000,15370000,11680000,17298000,19667000
32,Short-Term Investments,- -,- -,- -,27991000,49211000,47307000,27253000,14384000,11013000,11613000
33,Cash and Short-Term Investments,- -,6364000,9133000,55404000,53201000,51790000,42623000,26064000,28311000,31280000
34,Net Receivables,- -,1698000,4394000,5609000,4714000,2858000,3723000,6044000,6833000,7310000
35,Inventory,- -,4875000,8081000,5011000,5830000,6079000,10117000,8369000,12233000,13841000
36,Other Current Assets,- -,2626000,3193000,3331000,3511000,4397000,5450000,7539000,8617000,13598000
37,Total Current Assets,- -,15563000,24801000,69355000,67256000,65124000,61913000,48016000,55994000,66029000
38,PP&E,- -,1367000,2893000,4291000,4176000,4732000,4563000,13327000,11116000,20877000
39,Goodwill,- -,- -,1117000,1117000,1117000,1947000,3898000,4264000,4264000,4264000
40,Intangible Assets,- -,90000,1278000,885000,537000,1292000,2635000,6818000,5513000,4208000
41,Intangible Assets,- -,90000,2395000,2002000,1654000,3239000,6533000,11082000,9777000,8472000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,696000,1188000,888000,252000,336000,5379000,8186000,12210000,13875000
45,Total Non-Current Assets,- -,2153000,6476000,7181000,6082000,8307000,16475000,32595000,33103000,43224000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,17716000,31277000,76536000,73338000,73431000,78388000,80611000,89097000,109253000
48,Accounts Payable,- -,5244000,3967000,4786000,5857000,5453000,10231000,8499000,7499000,7507000
49,Short-Term Debt,- -,- -,- -,632000,- -,- -,- -,- -,3831000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,10293000,14348000,15036000,15521000,15556000,15443000,15797000,16426000,16600000
52,Other Current Liabilities,- -,6985000,12349000,13010000,11579000,14777000,19048000,22576000,18900000,22823000
53,Total Current Liabilities,- -,22522000,30664000,33464000,32957000,35786000,44722000,46872000,46656000,46930000
54,Long-Term Debt,- -,975000,9766000,- -,- -,- -,- -,- -,2815000,22388000
55,Deferred Revenue,- -,63000,35000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,34015000,35957000,182000,561000,577000,619000,5324000,75000,-11121000
58,Total Non-Current Liabilities,- -,35053000,45758000,182000,561000,577000,619000,5324000,2890000,11267000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,130000,1298000,632000,- -,- -,4552000,8413000,6646000,- -
61,Total Liabilities,- -,57575000,76422000,33646000,33518000,36363000,45341000,52196000,49546000,58197000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000,2000,2000,4000,4000,4000,4000
64,Retained Earnings,- -,-44346000,-50756000,-64808000,-77810000,-90931000,-105795000,-124596000,-127037000,-128788000
65,Other Comprehensive Income/Loss,- -,-3337000,-4233000,-5635000,-5286000,-7239000,-7622000,-9179000,7000,-20000
66,Other Total Stockholders Equity,- -,7824000,9844000,113331000,122914000,135236000,146460000,162186000,166577000,179860000
67,Total Stockholders Equity,- -,-39859000,-45145000,42890000,39820000,37068000,33047000,28415000,39551000,51056000
68,Total Liabilities And Stockholders Equity,- -,17716000,31277000,76536000,73338000,73431000,78388000,80611000,89097000,109253000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,17716000,31277000,76536000,73338000,73431000,78388000,80611000,89097000,109253000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1327688/000156459016016120/0001564590-16-016120-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459017006395/0001564590-17-006395-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459018007302/0001564590-18-007302-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459019010638/0001564590-19-010638-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459020016484/0001564590-20-016484-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459021018013/0001564590-21-018013-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-3663000,-2000000,-6410000,-14052000,-12949000,-13121000,-14572000,-18801000,-2441000,-1751000
74,Depreciation and Amortization,844000,938000,1202000,1803000,2197000,2271000,3009000,3575000,4181000,4421000
75,Deferred Income Tax,- -,- -,-502000,- -,- -,- -,-384000,-144000,- -,- -
76,Stock Based Compensation,173000,72000,426000,4653000,9772000,10921000,10370000,12761000,12275000,12682000
77,Change in Working Capital,2363000,-7557000,1096000,41754000,-1592000,-4961000,-12147000,-16047000,8194000,9761000
78,Accounts Receivable,1195000,-597000,-2095000,-1215000,895000,1856000,-1050000,135000,-637000,-2082000
79,Inventory,-1622000,-991000,-3206000,3070000,-819000,-249000,-4034000,407000,-3378000,-1571000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-3911000,-3599000
81,Other Working Capital,598000,-6959000,-5863000,35891000,34299000,29338000,17191000,1144000,9338000,19099000
82,Other Non-Cash Items,-40000,10769000,121000,-34628000,2957000,8063000,9798000,11092000,-17842000,-18458000
83,Cash Provided by Operating Activities,-323000,2222000,-4067000,-470000,385000,3173000,-3926000,-7564000,4367000,6655000
84,CAPEX,-696000,-898000,-1186000,-2884000,-1558000,-2478000,-1921000,-3273000,-3160000,3117000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1000000,-2000000,-7000000,- -,- -
86,Purchases of Investments,- -,- -,- -,-28078000,-59007000,-49331000,-38485000,-31234000,-20077000,-17488000
87,Sales/Maturities of Investments,- -,- -,- -,- -,37596000,51017000,58961000,44446000,23466000,16805000
88,Other Investing Activites,- -,-135000,-672000,- -,- -,-363000,-1702000,-73000,-3160000,-4204000
89,Cash Used for Investing Activites,-696000,-898000,-1858000,-30962000,-22969000,-2155000,14853000,2866000,229000,-4887000
90,Debt Repayment,-3107000,-1365000,-1508000,-11620000,-628000,- -,- -,- -,- -,- -
91,Common Stock Issued,94000,- -,316000,57021000,- -,1918000,2886000,2951000,2905000,2706000
92,Common Stock Repurchased,- -,- -,- -,- -,-1588000,-2443000,-2926000,-1523000,-1641000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3972000,101000,9886000,4311000,1377000,- -,- -,-420000,-242000,-2105000
95,Cash Used/Provided by Financing Activities,959000,-1264000,8694000,49712000,-839000,-525000,-40000,1008000,1022000,601000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-60000,60000,2769000,18280000,-23423000,493000,10887000,-3690000,5618000,2369000
98,Cash at the End of Period,6304000,6364000,9133000,27413000,3990000,4483000,15370000,11680000,17298000,19667000
99,Cash at the Beginning of Period,6364000,6304000,6364000,9133000,27413000,3990000,4483000,15370000,11680000,17298000
100,Free Cash Flow,-1019000,1324000,-5253000,-3354000,-1173000,695000,-5847000,-10837000,1207000,9772000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1327688/000156459016016120/0001564590-16-016120-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459017006395/0001564590-17-006395-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459018007302/0001564590-18-007302-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459019010638/0001564590-19-010638-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459020016484/0001564590-20-016484-index.html,https://www.sec.gov/Archives/edgar/data/1327688/000156459021018013/0001564590-21-018013-index.htm,- -
102,false,,,,,,,,,,
