,https://roic.ai/company/LIVE,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1334787,4551644,3863502,- -,- -,- -,- -,- -,- -,- -,12524582,9000010,3220362,4869000,- -,- -
44,Other Non-Current Assets,- -,- -,34537,139603,897283,6641260,10691429,3649686,1231539,2361482,2094690,1120615,379528,402445,410277,70202,65161,36090,19765,77520,1033590,90000,- -,682000
45,Total Non-Current Assets,- -,- -,4916412,4446572,6168511,10885354,14743639,8838632,8467813,26391999,25360530,4073235,2715862,1795980,2458474,2989765,4140994,14834921,28248638,73047439,75857594,66701000,69193000,112948000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,9943415,8628338,10561638,22147739,29097185,25097192,26727227,40042466,39751991,15036725,7212089,2808629,4256721,3993250,17971051,40664356,53467400,128594595,141523694,122453000,165121000,211738000
48,Accounts Payable,- -,- -,103015,314904,195396,428423,1210364,655526,773653,1138265,1078712,549681,354440,600908,1017363,524053,2282887,5536796,5402654,8224057,15530955,14735000,9117000,11147000
49,Short-Term Debt,- -,- -,3947566,888236,352362,115868,115868,- -,- -,- -,61149,69612,60327,1036992,- -,- -,920360,1443036,1789290,50245075,14350304,7897000,20459000,25257000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,376000,- -,1175895,1120970,1367000,2257000,2861000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87574,14553,2310,2829,548004,243082,- -,182052,862479,240000,- -,241000
52,Other Current Liabilities,- -,- -,588555,1298552,756261,4102557,542481,912123,3577201,1196330,1991369,1092811,792614,410042,407794,296635,581606,3793867,6396772,7788832,6517124,12153000,27786000,28315000
53,Total Current Liabilities,- -,- -,4639136,2501692,1304019,4646848,1868713,1567649,4350854,2334595,3131230,1712104,1294955,2062495,1427467,823517,4332857,11016781,13588716,66440016,37260862,35025000,57362000,64960000
54,Long-Term Debt,- -,- -,- -,410669,115866,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,638969,21064015,15682872,28570271,64235026,52645000,11986000,68902000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,105868,17439,5921,27864,1116314,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2796000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170838,117073,38283,- -,- -,- -,251000,316000,- -,- -,579217,654000,- -,- -
58,Total Non-Current Liabilities,- -,- -,105868,428108,121787,27864,1116314,- -,- -,- -,170838,117073,38283,- -,- -,- -,889969,21380015,15682872,28570271,64814243,53299000,11986000,71698000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108211000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170838,186685,98610,36992,- -,- -,- -,- -,- -,- -,- -,- -,35277000,36545000
61,Total Liabilities,- -,- -,4745004,2929800,1425806,4674712,2985027,1567649,4350854,2334595,3302068,1829177,1333238,2062495,1427467,823517,5222826,32396796,29271588,95010287,102075105,88324000,153587000,136658000
62,Preferred Stock,- -,- -,- -,- -,- -,11206,10909,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,10866,342,342,- -,- -,- -
63,Common Stock,- -,- -,40561,43814,43532,48561,50071,48838,50022,6694,6514,6133,6096,698,2620,3779,14531,16908,2819,2088,2088,2000,2000,2000
64,Retained Earnings,- -,- -,-542941,1269340,4965309,12887222,20418608,17844714,15327599,17079121,15548431,-7044787,-14503423,-20007589,-21584715,-27333647,-31996953,-46665003,-28837063,-28575716,-22654165,-27355000,- -,14768000
65,Other Comprehensive Income/Loss,- -,- -,- -,-416889,-423250,-3840843,-5742814,-3247535,-2854122,-1766211,-547366,-647534,-865281,-690783,-405670,-435029,-201591,-618453,-3464936,-7365496,-11511390,-13633000,- -,- -
66,Other Total Stockholders Equity,- -,- -,5700791,4802273,4550241,8366881,11375384,8872660,9842008,22377401,21431478,20882870,21230593,21432942,24806153,30923764,45239767,53569398,56484126,69523090,73611714,75115000,43938000,- -
67,Total Stockholders Equity,- -,- -,5198411,5698538,9135832,17473027,26112158,23529543,22376373,37707871,36449923,13207548,5878851,746134,2829254,3169733,13066620,6313716,24195812,33584308,39448589,34129000,43940000,75528000
68,Total Liabilities And Stockholders Equity,- -,- -,9943415,8628338,10561638,22147739,29097185,25097192,26727227,40042466,39751991,15036725,7212089,2808629,4256721,3993250,18289446,38710512,53467400,128594595,141523694,122453000,197527000,212186000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-318395,1953844,- -,- -,- -,- -,-32406000,-448000
70,Total Liabilities & Equity,- -,- -,9943415,8628338,10561638,22147739,29097185,25097192,26727227,40042466,39751991,15036725,7212089,2808629,4256721,3993250,17971051,40664356,53467400,128594595,141523694,122453000,165121000,211738000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010344/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010346/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010348/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010350/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010352/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105011089/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036106018920/form10k.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036107024900/0001140361-07-024900-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114036108028808/0001140361-08-028808-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114420409066018/0001144204-09-066018-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114420411001138/v206658_10k.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114420411072154/0001144204-11-072154-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000101968713000156/live_10k-093012.htm,https://www.sec.gov/Archives/edgar/data/1045742/000101968714000104/live_10k-093013.htm,https://www.sec.gov/Archives/edgar/data/1045742/000101968714004834/0001019687-14-004834-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000101968716004810/live_10k-093015.htm,https://www.sec.gov/Archives/edgar/data/1045742/000168316816001034/0001683168-16-001034-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000168316818000179/live_10k-093017.htm,https://www.sec.gov/Archives/edgar/data/1045742/000168316818003807/0001683168-18-003807-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000156459020003917/live-10k_20190930.htm,https://www.sec.gov/Archives/edgar/data/1045742/000156459021001106/0001564590-21-001106-index.htm,https://www.sec.gov/Archives/edgar/data/1045742/000095017021005367/0000950170-21-005367-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1941202,-4363687,2847977,1812281,3696463,7923891,8960983,-618158,-1050920,1753918,-1528772,-22591300,-7456718,-5502248,-1575208,-5747014,-4661381,-14666129,17829857,6501780,5922719,-4012000,10659000,31197000
74,Depreciation and Amortization,64302,179504,616660,603426,581290,814957,2091012,2719626,3033917,3056120,3979668,2297626,873572,563826,259975,264112,490256,1047752,3125311,5025548,6048380,5673000,7323000,6576000
75,Deferred Income Tax,- -,-20478,-645207,268556,490101,-1465915,2136708,-1308478,-1484554,1564352,285166,4812623,- -,- -,- -,- -,- -,- -,-12524582,3524572,4180088,-1648000,4069000,3818000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82036,38448,38231,16942,173073,167985,767215,256146,203690,497157,270000,86000,489000
77,Change in Working Capital,44763,- -,387867,1292207,1409034,3526429,5869296,2206078,-782351,-2592688,-55641,-2008845,-6050114,-4251118,1420626,-190812,9317232,5315454,-3182608,-22522906,39298098,-7678238,17839000,-4736000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3116762,317109,-84550,292902,888754,-296520,-152040,-144536,-2856612,-1161438,1985000,-951000,-1583000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2984031,1913796,1578981,-3811361,-4945936,7160000,12308000,-8486000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-529031,-195241,- -,- -,-493310,1444820,-885921,-134142,-2344209,4974948,-444000,-9387000,2771000
81,Other Working Capital,- -,- -,387867,1680074,3089108,6615537,12484833,14690911,13908560,11315872,11260231,9251386,3201272,-1049846,370780,179968,9497200,14812654,11630046,-10892860,28405238,20727000,38566000,33830000
82,Other Non-Cash Items,61740,3512880,-2246994,-96312,-5018873,-6037124,-14239796,3991093,2703991,-2016206,-1347118,14444677,8654339,4830281,-93351,3695632,-10508746,6516390,557654,15141648,-44122472,26448238,-11185000,-8156000
83,Cash Provided by Operating Activities,-1770397,-691781,960303,3880158,1158015,4762238,4818203,6990161,2420083,1765496,1333303,-2963183,-3940473,-4321028,28984,-1805009,-5194654,-1019318,6061778,7874332,11823970,19053000,28791000,29188000
84,CAPEX,-478409,-3230662,-211803,-28520,-77632,-736955,-385378,-44728,-827135,-1143716,-1816672,-835699,-289933,-1551,-530677,-141478,-99073,-216757,-1376685,-6510947,-9393675,-2601000,-3886000,-11421000
85,Acquisitions Net,- -,-3124150,- -,- -,- -,- -,- -,- -,- -,-4114139,- -,- -,- -,- -,- -,- -,-1259483,-5503056,- -,-47381108,- -,- -,-4890000,-6000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-261281,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3082053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-284663,3248300,- -,-137152,-166445,-2061545,-1807122,-391077,- -,- -,- -,6694891,-231305,101293,-482413,-91483,-17865,88680,653857,63935,-683642,2479000,-4000,-587000
89,Cash Used for Investing Activites,-478409,-106512,-211803,-165672,-244077,-2798500,-2192500,-435805,-1088416,-2175802,-1816672,6494070,-286226,99742,-530677,-141478,-1357156,-5566313,-722828,-53732144,-9393675,100000,-8776000,-17421000
90,Debt Repayment,- -,-394623,-1657781,- -,- -,- -,- -,- -,- -,- -,- -,-70123,-88075,-61618,-1036992,- -,-582348,-1886859,-21605075,-3218124,-32437420,-19016000,-16683000,-18308000
91,Common Stock Issued,2373435,629681,84329,- -,- -,- -,1575,224,- -,- -,- -,- -,- -,300000,2350000,152160,13681054,538441,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-69822,- -,- -,-50800,- -,-45000,- -,-565609,-235418,-307540,-525844,-532521,-25882,- -,- -,- -,-17267,- -,-300027,-699557,-554427,-888000,-1663000,-421000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1429597,-1446702,- -,-2396,-1918,- -,- -,- -,- -,- -,- -,- -,-1917,-959,- -,- -,- -,- -
94,Other Financing Activites,300522,788306,789241,-3199452,-830677,-306998,- -,500,- -,- -,-23615,- -,- -,1000000,250000,1250000,823595,2547185,14611146,52978096,28580635,690000,4634000,2642000
95,Cash Used/Provided by Financing Activities,2604135,1023364,-784211,-3250252,-830677,-351998,-1428022,-2011587,-235418,-309936,-551377,-602644,-113957,1238382,1563008,1402160,13905034,1198767,-7295873,49059456,-4411212,-19214000,-13712000,-16087000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,355329,225071,-35711,464234,83261,1611740,1197681,4542769,1096249,-720242,-1034746,2928243,-4340656,-2982904,1061315,-544327,7353224,-5386864,-1956923,3201644,-1980917,-61000,6303000,-4320000
98,Cash at the End of Period,1194139,255323,219613,683847,767108,2378848,3576529,8119298,7210560,5674533,4639787,7568030,3227374,244470,1305785,761458,8114682,2727818,770895,3972539,1991622,2681000,8984000,4664000
99,Cash at the Beginning of Period,838810,30252,255324,219613,683847,767108,2378848,3576529,6114311,6394775,5674533,4639787,7568030,3227374,244470,1305785,761458,8114682,2727818,770895,3972539,2742000,2681000,8984000
100,Free Cash Flow,-2248806,-3922443,748500,3851638,1080383,4025283,4432825,6945433,1592948,621780,-483369,-3798882,-4230406,-4322579,-501693,-1946487,-5293727,-1236075,4685093,1363385,2430295,16452000,24905000,17767000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010344/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010346/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010348/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010350/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105010352/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036105011089/body.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036106018920/form10k.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114036107024900/0001140361-07-024900-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114036108028808/0001140361-08-028808-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114420409066018/0001144204-09-066018-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000114420411001138/v206658_10k.htm,https://www.sec.gov/Archives/edgar/data/1045742/000114420411072154/0001144204-11-072154-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000101968713000156/live_10k-093012.htm,https://www.sec.gov/Archives/edgar/data/1045742/000101968714000104/live_10k-093013.htm,https://www.sec.gov/Archives/edgar/data/1045742/000101968714004834/0001019687-14-004834-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000101968716004810/live_10k-093015.htm,https://www.sec.gov/Archives/edgar/data/1045742/000168316816001034/0001683168-16-001034-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000168316818000179/live_10k-093017.htm,https://www.sec.gov/Archives/edgar/data/1045742/000168316818003807/0001683168-18-003807-index.html,https://www.sec.gov/Archives/edgar/data/1045742/000156459020003917/live-10k_20190930.htm,https://www.sec.gov/Archives/edgar/data/1045742/000156459021001106/0001564590-21-001106-index.htm,https://www.sec.gov/Archives/edgar/data/1045742/000095017021005367/0000950170-21-005367-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
