,https://roic.ai/company/BGSF,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.0069,-0.0224,0.0053,0.0055,0.0401,0.0440,0.0532,0.0746,0.0596,0.0070,0.0548
22,Income Tax expense (Gain),-65214,31858,-7462960,1373562,3368000,4287674,8659200,3859739,4304978,513092,2639587
23,Net Income,-281784,-1749857,8300000,-428860,5347410,6882410,5848434,17549540,13246990,1441468,14109478
24,Net Income ratio,-0.0056,-0.0228,0.0547,-0.0025,0.0246,0.0271,0.0215,0.0612,0.0450,0.0052,0.0590
25,EPS,-0.05,-0.31,1.48,-0.08,0.72,0.79,0.67,1.83,1.28,0.14,1.36
26,EPS Diluted,-0.05,-0.31,1.48,-0.08,0.72,0.79,0.65,1.79,1.28,0.14,1.35
27,Weighted Average Shares Outstanding,5598847,5598847,5598847,5648605,7387955,8668485,8759376,9577498,10309236,10311606,10367054
28,Weighted Average Shares Outstanding Diluted,5598847,5598847,5598847,5648605,7387955,8668485,9038000,9808080,10351000,10338029,10416610
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1474903/000114420414019498/0001144204-14-019498-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490315000016/0001474903-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490316000092/0001474903-16-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490317000007/0001474903-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490318000011/0001474903-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490319000010/0001474903-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490320000011/0001474903-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490321000035/0001474903-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490322000020/0001474903-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112104
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112104
34,Net Receivables,- -,12626792,23300000,22030340,32324280,33328900,36898797,37606720,39493450,41493800,48132896
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,763701,1900000,872140,995320,1105370,1091205,1006950,1243746,2154966,11925249
37,Total Current Assets,- -,13390493,25200000,22902480,33319600,34434270,37990002,38613670,40737196,43648766,60170249
38,PP&E,- -,286911,500000,667600,1489060,1910860,2039935,2556990,7931366,9732636,8245112
39,Goodwill,- -,4859663,5900000,6404370,9184660,9184660,17970049,17983550,25194639,32076880,29141883
40,Intangible Assets,- -,18232091,18200000,13724070,29761040,23514380,37323286,33034170,33807973,33781168,33584910
41,Intangible Assets,- -,23091754,24100000,20128440,38945700,32699040,55293335,51017720,59002612,65858048,62726793
42,Investments,- -,- -,1000000,2000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,6402513,- -,4071847,5827673,4548285
44,Other Non-Current Assets,- -,373410,7800000,7577440,10645200,12169960,2907104,8080420,3843023,5211145,12603527
45,Total Non-Current Assets,- -,23752075,33400000,30373480,51079960,46779860,66642887,61655130,74848848,86629502,88123717
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,37142568,58600000,53275960,84399560,81214130,104632889,100268800,115586044,130278268,148293966
48,Accounts Payable,- -,2246360,1900000,1114590,1572200,951670,1909612,146260,479422,219693,401175
49,Short-Term Debt,- -,2378333,2378333,2250000,- -,- -,2923699,4242580,1652843,4656898,5458753
50,Tax Payable,- -,766668,3095893,1312975,444165,193264,- -,55841,- -,1861116,381806
51,Deferred Revenue,- -,- -,7255164000,7359590000,8411792000,9512455000,- -,44920,- -,- -,- -
52,Other Current Liabilities,- -,7292967,-7242542333,-7348356060,-8390060500,-9498157270,16836793,13625330,11574631,13387653,22523772
53,Total Current Liabilities,- -,11917660,16900000,14598530,23303700,15249400,21670104,18059090,13706896,18264244,28383700
54,Long-Term Debt,- -,20139876,30000000,19392540,30648930,23618190,41199322,15846160,31247780,36912805,38572861
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,72060,- -,7694419,8411792,9512455,- -,4870997,- -,- -,- -
57,Other Non-Current Liabilities,- -,3329691,3600000,-4772819,-3893292,-7654365,2628784,-4209457,2174378,9643467,4745221
58,Total Non-Current Liabilities,- -,23541627,33600000,22314140,35167430,25476280,43828106,16507700,33422158,46556272,43318082
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,5406794,6935437,4581523
61,Total Liabilities,- -,35459287,50500000,36912670,58471130,40725680,65498210,34566790,47129054,64820516,71701782
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,65980,73880,86690,87594,78250,75775,73834,66360
64,Retained Earnings,- -,- -,7000000,5562870,5407600,4259080,1371756,7999390,8763428,5049748,14592087
65,Other Comprehensive Income/Loss,- -,-341241,-500000,-564330,-859270,-1301300,-1377319,-2118470,-2837130,-122874,58331
66,Other Total Stockholders Equity,- -,2024522,1502674,11298772,21306214,37443984,39052648,59742843,62454917,60457044,61875406
67,Total Stockholders Equity,- -,- -,8102674,16363292,25928424,40488454,39134679,65702013,68456990,65457752,76592184
68,Total Liabilities And Stockholders Equity,- -,37142568,58602674,53275962,84399554,81214134,104632889,100268803,115586044,130278268,148293966
69,Minority Interest,- -,- -,-2674,-2,6,-4,- -,-3,- -,- -,- -
70,Total Liabilities & Equity,- -,37142568,58600000,53275960,84399560,81214130,104632889,100268800,115586044,130278268,148293966
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1474903/000114420414019498/0001144204-14-019498-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490315000016/0001474903-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490316000092/0001474903-16-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490317000007/0001474903-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490318000011/0001474903-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490319000010/0001474903-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490320000011/0001474903-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490321000035/0001474903-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490322000020/0001474903-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-281784,-1749857,8300000,-428860,5347410,6882410,5848434,17549540,13246990,1441468,10457875
74,Depreciation and Amortization,2750391,4469141,4894454,4641548,5543740,6733341,6291958,5044487,4820256,4959705,3698329
75,Deferred Income Tax,38890,-23383,-7681074,-129448,-717373,-1100663,3109942,1531516,799150,-2413019,1279388
76,Stock Based Compensation,- -,- -,- -,1193208,352881,313988,447301,1069482,952738,849448,1058096
77,Change in Working Capital,1476088,1555558,6827167,3950,1711950,9168970,-2864972,4234682,-2861801,9633872,-10921018
78,Accounts Receivable,-291941,308349,-8028222,266289,-4191615,-1393935,1434308,-939454,-1758340,4308900,-15177999
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-678599,-1560681,-313146,-818620,185334,-620523,-555971,-1763355,675790,-279326,156054
81,Other Working Capital,-82725,1472833,8300000,8303950,10015900,19184870,16319898,20554580,-278844,1856176,-1586181
82,Other Non-Cash Items,-2111925,-1232648,-10058548,400773,-446694,-12464206,5231060,-11003232,996511,7785476,1090784
83,Cash Provided by Operating Activities,1871660,3018811,2281999,5681171,11791914,9533840,18063723,18426475,17953844,22256950,6663454
84,CAPEX,-41361,-121450,-221627,-327934,-563169,-938943,-1145757,-923994,-2229509,-2144946,-3203909
85,Acquisitions Net,-7345500,-10994347,-10616950,- -,-18781091,- -,-24500000,- -,-7500000,-22002109,-3791210
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-41361,-113350,-221627,-322934,-561910,-931356,-1143407,-923994,-2229069,-2144946,-3233256
89,Cash Used for Investing Activites,-7386861,-11107697,-10838577,-322934,-19343001,-931356,-25643407,-923994,-9729069,-24147055,-7024466
90,Debt Repayment,-1076194,-1365000,-2896662,-11782165,-17187500,-15281657,-3627146,-24484278,-10121000,-15442615,-2062500
91,Common Stock Issued,4549520,4084943,200,8492742,7047382,15254406,86249,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-4368,-1321750,-6746,-6492406,-8030922,-8735759,-10921909,-12282342,-5155148,-4567139
94,Other Financing Activites,2041875,5373311,12774790,-2062068,24183611,-544311,19856340,17903706,14178567,22487868,7102755
95,Cash Used/Provided by Financing Activities,5515201,8088886,8556578,-5358237,7551087,-8602484,7579684,-17502481,-8224775,1890105,473116
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5515201,8088886,8556578,-5358237,7551087,-8602484,7579684,-17502481,-8224775,1890105,473116
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112104
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
100,Free Cash Flow,1830299,2897361,2060372,5353237,11228745,8594897,16917966,17502481,15724335,20112004,3459545
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1474903/000114420414019498/0001144204-14-019498-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490315000016/0001474903-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490316000092/0001474903-16-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490317000007/0001474903-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490318000011/0001474903-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490319000010/0001474903-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490320000011/0001474903-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490321000035/0001474903-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1474903/000147490322000020/0001474903-22-000020-index.htm
102,false,,,,,,,,,,,
