,https://roic.ai/company/OGS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1587732/000158773214000005/0001587732-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773215000013/onegas10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773216000088/0001587732-16-000088-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773217000011/0001587732-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773218000014/0001587732-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773219000013/0001587732-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773220000017/0001587732-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773221000030/0001587732-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773222000019/0001587732-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,106422000,86758000,96509000,99195000,109790000,119030000,140095000,162995000,172234000,186749000,196412000,206434000
74,Depreciation and Amortization,130968000,132212000,130150000,144758000,125722000,133023000,143829000,151889000,160086000,180395000,194881000,207233000
75,Deferred Income Tax,35601000,87184000,59491000,62205000,49935000,63789000,86788000,92393000,53242000,13307000,18485000,43449000
76,Stock Based Compensation,- -,- -,- -,- -,7613000,9187000,11219000,8876000,8195000,9314000,9803000,10498000
77,Change in Working Capital,-13868000,-91828000,-47606000,-45285000,441961000,-96444000,-53634000,-209326000,-71268000,-210931000,109325000,-1963373000
78,Accounts Receivable,74375000,-18216000,10016000,-102142000,23044000,105886000,-80028000,-15147000,-5159000,26415000,-58423000,-57902000
79,Inventory,-35490000,2025000,30154000,-63139000,-19172000,37333000,15962000,-10310000,18198000,-8363000,13279000,-87826000
80,Accounts Payable,-60769000,-11300000,-3950000,37241000,-6881000,-59635000,27596000,1945000,36885000,-59293000,28376000,107207000
81,Other Working Capital,17826000,-74002000,-121608000,-166893000,275068000,178624000,124990000,-84336000,-155604000,-366535000,-257210000,-1928087000
82,Other Non-Cash Items,-25683000,-21536000,-41957000,-106665000,-488358000,165622000,-46730000,46973000,145205000,131511000,-164406000,-39898000
83,Cash Provided by Operating Activities,233440000,192790000,196587000,154208000,246663000,394207000,281567000,253800000,467694000,310345000,364500000,-1535657000
84,CAPEX,-217927000,-240996000,-272014000,-292080000,-297103000,-294320000,-309071000,-356361000,-394450000,-417322000,-471345000,-495246000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-217504000,-240801000,-270552000,-290753000,-297103000,-294320000,-308579000,-355743000,-394450000,-422932000,-470372000,-501083000
89,Cash Used for Investing Activites,-217504000,-240801000,-270552000,-290753000,-297103000,-294320000,-308579000,-355743000,-394450000,-422932000,-470372000,-501083000
90,Debt Repayment,-284000,-305000,-330000,-206000,- -,-29500000,- -,- -,-300000000,- -,-98275000,-400000000
91,Common Stock Issued,- -,- -,- -,- -,2001000,7051000,4017000,4457000,4803000,5116000,19383000,26662000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-24122000,-24066000,-17512000,- -,- -,- -,- -
93,Dividends Paid,-54773000,-180158000,-100067000,-14969000,-43696000,-62826000,-73209000,-87951000,-96594000,-105424000,-114372000,-123912000
94,Other Financing Activites,37416000,230949000,173927000,150851000,100907000,- -,132500000,202699000,325457000,209425000,289276000,2534849000
95,Cash Used/Provided by Financing Activities,-17641000,50486000,73530000,135676000,59212000,-109397000,39242000,101693000,-66334000,109117000,96012000,2037599000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1705000,2475000,-435000,-869000,8772000,-9510000,12230000,-250000,6910000,-3470000,-9860000,859000
98,Cash at the End of Period,2000000,4475000,4040000,3171000,11943000,2433000,14663000,14413000,21323000,17853000,7993000,8852000
99,Cash at the Beginning of Period,3705000,2000000,4475000,4040000,3171000,11943000,2433000,14663000,14413000,21323000,17853000,7993000
100,Free Cash Flow,15513000,-48206000,-75427000,-137872000,-50440000,99887000,-27504000,-102561000,73244000,-106977000,-106845000,-2030903000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587732/000158773214000005/0001587732-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773215000013/onegas10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773216000088/0001587732-16-000088-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773217000011/0001587732-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773218000014/0001587732-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773219000013/0001587732-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773220000017/0001587732-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1587732/000158773221000030/0001587732-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1587732/000158773222000019/0001587732-22-000019-index.htm
102,false,,,,,,,,,,,,
