,https://roic.ai/company/CHTR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,1030000,- -,- -,-520000000,-110000000,-103000000,115000000,187000000,209000000,-103000000,-8000000,295000000,299000000,257000000,120000000,236000000,-60000000,-2925000000,-9087000000,180000000,439000000,626000000,1068000000
23,Net Income,-2000,-66229000,-828650000,-1177677000,-2514000000,-238000000,-4341000000,-967000000,-1370000000,-1616000000,-2451000000,11366000000,-237000000,-369000000,-304000000,-169000000,-183000000,-271000000,3522000000,9895000000,1230000000,1668000000,3222000000,4654000000
24,Net Income ratio,-0.0001,-0.0464,-0.2550,-0.2979,-0.5506,-0.0494,-0.8722,-0.1841,-0.2489,-0.2692,-0.3783,1.6826,-0.0336,-0.0512,-0.0405,-0.0207,-0.0201,-0.0278,0.1214,0.2380,0.0282,0.0364,0.0670,0.0901
25,EPS,-0.00,-0.33,-4.06,-4.83,-9.46,-0.91,-16.00,-3.46,-4.57,-4.86,-7.26,110.35,-2.31,-3.75,-3.37,-1.82,-1.88,-2.69,17.05,38.55,5.29,7.60,15.85,22.89
26,EPS Diluted,-0.00,-0.33,-4.06,-4.83,-9.46,-0.91,-16.00,-3.46,-4.57,-4.86,-7.26,110.35,-2.31,-3.75,-3.37,-1.82,-1.88,-2.69,15.94,34.09,5.22,7.45,15.40,22.89
27,Weighted Average Shares Outstanding,200506350,200506350,204075928,243767243,266232883,266375076,271523915,280445810,300141764,332963157,337686980,103000000,102299796,98511282,90110753,92169292,97991915,101152646,206539100,256720715,232356665,219506735,203316483,203316483
28,Weighted Average Shares Outstanding Diluted,200506350,200506350,204075928,243767243,266232883,266375076,271523915,280445810,300141764,332963157,337686980,103000000,102299796,98511282,90110753,92169292,97991915,101152646,234791439,296703956,235525226,223786380,209273247,203316483
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1091667/000095012400001846/0000950124-00-001846-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000095012301002038/0000950123-01-002038-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091667/000095013704001876/0000950137-04-001876-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000095013705002540/0000950137-05-002540-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166706000093/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166707000015/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166708000004/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166709000038/0001091667-09-000038-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166710000019/0001091667-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166711000029/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166712000026/0001091667-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166713000020/0001091667-13-000020-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166714000080/chtr123113-10k.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166715000049/chtr123114-10k.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166716000396/0001091667-16-000396-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166717000030/0001091667-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000025/0001091667-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166719000029/0001091667-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/0001091667-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166721000022/0001091667-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166722000024/0001091667-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9573000,133706000,130702000,1679000,321000000,127000000,650000000,21000000,60000000,75000000,960000000,709000000,4000000,2000000,7000000,21000000,3000000,5000000,1535000000,621000000,551000000,3483000000,998000000,601000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,9573000,133706000,130702000,1679000,321000000,127000000,650000000,21000000,60000000,75000000,960000000,709000000,4000000,2000000,7000000,21000000,3000000,5000000,1535000000,621000000,551000000,3483000000,998000000,601000000
34,Net Receivables,15108000,93743000,224147000,295138000,267000000,189000000,190000000,214000000,195000000,225000000,222000000,248000000,247000000,272000000,234000000,234000000,285000000,279000000,1432000000,1635000000,1733000000,2227000000,2201000000,2579000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2519000,35142000,77719000,70362000,45000000,34000000,82000000,92000000,84000000,36000000,36000000,114000000,75000000,96000000,92000000,67000000,83000000,61000000,333000000,299000000,446000000,761000000,707000000,386000000
37,Total Current Assets,27200000,262591000,432568000,367179000,633000000,350000000,922000000,327000000,339000000,336000000,1218000000,1071000000,326000000,370000000,333000000,322000000,371000000,345000000,3300000000,2555000000,2730000000,6471000000,3906000000,3566000000
38,PP&E,716242000,3490573000,5267519000,7149483000,7679000000,7014000000,6289000000,5840000000,5217000000,5103000000,4987000000,6833000000,6819000000,6897000000,7206000000,7981000000,8373000000,8345000000,32963000000,33888000000,35126000000,35683000000,34357000000,34310000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,951000000,951000000,954000000,953000000,1177000000,1168000000,1168000000,29509000000,29554000000,29554000000,29554000000,29554000000,29562000000
40,Intangible Assets,3590054000,14985793000,17068702000,17138774000,13727000000,13680000000,9878000000,9826000000,9223000000,8942000000,- -,7607000000,7257000000,6992000000,6945000000,8826000000,7365000000,7116000000,82574000000,79959000000,77360000000,75217000000,72937000000,71406000000
41,Intangible Assets,3590054000,14985793000,17068702000,17138774000,13727000000,13680000000,9878000000,9826000000,9223000000,8942000000,7384000000,8558000000,8208000000,7946000000,7898000000,10003000000,8533000000,8284000000,112083000000,109513000000,106914000000,104771000000,102491000000,100968000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2031000,227550000,274777000,306388000,345000000,320000000,584000000,438000000,321000000,285000000,293000000,196000000,354000000,392000000,162000000,-1011000000,7273000000,22342000000,721000000,667000000,1360000000,1263000000,3452000000,3647000000
45,Total Non-Current Assets,4308327000,18703916000,22610998000,24594645000,21751000000,21014000000,16751000000,16104000000,14761000000,14330000000,12664000000,15587000000,15381000000,15235000000,15266000000,16973000000,24179000000,38971000000,145767000000,144068000000,143400000000,141717000000,140300000000,138925000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4335527000,18966507000,23043566000,24961824000,22384000000,21364000000,17673000000,16431000000,15100000000,14666000000,13882000000,16658000000,15707000000,15605000000,15599000000,17295000000,24550000000,39316000000,149067000000,146623000000,146130000000,148188000000,144206000000,142491000000
48,Accounts Payable,127586000,706775000,1367234000,1374994000,1405000000,1235000000,1217000000,1191000000,1298000000,127000000,99000000,113000000,168000000,174000000,107000000,91000000,140000000,134000000,454000000,740000000,758000000,786000000,763000000,724000000
49,Short-Term Debt,10450000,- -,- -,- -,- -,- -,- -,- -,- -,- -,155000000,70000000,- -,- -,- -,- -,- -,- -,2028000000,2045000000,3290000000,3714000000,1243000000,3266000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538000000,556000000,526000000,537000000,555000000,592000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,90000000,85000000,96000000,352000000,395000000,494000000,460000000,436000000,461000000
52,Other Current Liabilities,4334000,13183000,- -,- -,- -,- -,- -,- -,- -,1205000000,1211000000,785000000,881000000,979000000,1036000000,1286000000,1410000000,1742000000,6738000000,7910000000,7553000000,7425000000,7433000000,8007000000
53,Total Current Liabilities,142370000,719958000,1367234000,1374994000,1405000000,1235000000,1217000000,1191000000,1298000000,1332000000,1465000000,968000000,1049000000,1153000000,1224000000,1467000000,1635000000,1972000000,9572000000,11090000000,12095000000,12385000000,9875000000,12458000000
54,Long-Term Debt,1991756000,8936455000,13060455000,16342873000,18671000000,18647000000,19464000000,19437000000,19119000000,19973000000,21586000000,13252000000,12306000000,12856000000,12808000000,14181000000,21023000000,35723000000,59719000000,68186000000,69537000000,75578000000,81744000000,88564000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,847000000,1122000000,1431000000,1674000000,1590000000,26665000000,17314000000,17389000000,17711000000,18108000000,19096000000
57,Other Non-Current Liabilities,2200571000,6299015000,1403344000,405374000,1242000000,968000000,750000000,535000000,710000000,1054000000,1120000000,521000000,874000000,340000000,296000000,65000000,72000000,77000000,2745000000,2502000000,2837000000,3703000000,4198000000,4217000000
58,Total Non-Current Liabilities,4192327000,15235470000,14463799000,16748247000,19913000000,19615000000,20214000000,19972000000,19829000000,21027000000,22720000000,13773000000,13180000000,14043000000,14226000000,15677000000,22769000000,37390000000,89129000000,88002000000,89763000000,96992000000,104050000000,111877000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1193000000,235000000,269000000
61,Total Liabilities,4334697000,15955428000,15831033000,18123241000,21318000000,20850000000,21431000000,21163000000,21127000000,22359000000,24185000000,14741000000,14229000000,15196000000,15450000000,17144000000,24404000000,39362000000,98701000000,99092000000,101858000000,109377000000,113925000000,124335000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,195000,234000,294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-2000,-66231000,-894881000,-2073527000,-4609000000,-4851000000,-9196000000,-10166000000,-11536000000,-13096000000,-15547000000,2000000,-235000000,-1082000000,-1392000000,-1568000000,-1762000000,-2061000000,733000000,3832000000,2780000000,40000000,-5195000000,-12675000000
65,Other Comprehensive Income/Loss,-2767000,-317079000,-1061216000,-2009195000,-47000000,-24000000,-4000000,5000000,4000000,-123000000,-303000000,-94000000,-57000000,-65000000,-75000000,-41000000,-22000000,-13000000,-7000000,-1000000,-2000000,- -,-31639000000,- -
66,Other Total Stockholders Equity,3599000,3394194000,9168396000,10921011000,8309000000,9315000000,10749000000,5429000000,5505000000,5526000000,5547000000,2009000000,1770000000,1556000000,1616000000,1760000000,1930000000,2028000000,49640000000,43700000000,41494000000,66427000000,- -,- -
67,Total Stockholders Equity,830000,3011079000,7212533000,6838583000,41000000,-175000000,-4406000000,-4920000000,-6219000000,-7892000000,-10506000000,1915000000,1478000000,409000000,149000000,151000000,146000000,-46000000,40139000000,39084000000,36285000000,31445000000,23805000000,14050000000
68,Total Liabilities And Stockholders Equity,4335527000,18966507000,23043566000,24961824000,21359000000,20675000000,17025000000,16243000000,14908000000,14467000000,13679000000,16656000000,15707000000,15605000000,15599000000,17295000000,24550000000,39316000000,138840000000,138176000000,138143000000,140822000000,137730000000,138385000000
69,Minority Interest,- -,- -,- -,- -,1025000000,689000000,648000000,188000000,192000000,199000000,203000000,2000000,- -,- -,- -,- -,- -,- -,10227000000,8447000000,7987000000,7366000000,6476000000,4106000000
70,Total Liabilities & Equity,4335527000,18966507000,23043566000,24961824000,22384000000,21364000000,17673000000,16431000000,15100000000,14666000000,13882000000,16658000000,15707000000,15605000000,15599000000,17295000000,24550000000,39316000000,149067000000,146623000000,146130000000,148188000000,144206000000,142491000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1091667/000095012400001846/0000950124-00-001846-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000095012301002038/0000950123-01-002038-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091667/000095013704001876/0000950137-04-001876-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000095013705002540/0000950137-05-002540-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166706000093/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166707000015/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166708000004/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166709000038/0001091667-09-000038-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166710000019/0001091667-10-000019-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166711000029/body.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166712000026/0001091667-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166713000020/0001091667-13-000020-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166714000080/chtr123113-10k.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166715000049/chtr123114-10k.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166716000396/0001091667-16-000396-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166717000030/0001091667-17-000030-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000025/0001091667-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166719000029/0001091667-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166720000024/0001091667-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/1091667/000109166721000022/0001091667-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166722000024/0001091667-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2000,-66229000,-828650000,-1177677000,-2514000000,-238000000,-4341000000,-967000000,-1370000000,-1616000000,-2451000000,11366000000,-237000000,-369000000,-304000000,-169000000,-183000000,-271000000,3522000000,9895000000,1230000000,1668000000,3222000000,4654000000
74,Depreciation and Amortization,8318000,745315000,2473082000,3010068000,1437000000,1479000000,1495000000,1499000000,1362000000,1328000000,1310000000,1316000000,1524000000,1592000000,1713000000,1854000000,2102000000,2125000000,6907000000,10588000000,10318000000,9926000000,9704000000,9345000000
75,Deferred Income Tax,- -,- -,- -,- -,-520000000,-110000000,-109000000,109000000,202000000,198000000,-107000000,-351000000,287000000,290000000,250000000,112000000,233000000,-65000000,-2958000000,-9116000000,110000000,320000000,465000000,826000000
76,Stock Based Compensation,845000,79979000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,55000000,78000000,492000000,310000000,290000000,315000000,351000000,430000000
77,Change in Working Capital,1736000,-342197000,-477299000,-73149000,235815000,-113000000,590000000,-569000000,-95000000,-37000000,749000000,350000000,-826000000,-60000000,-108000000,-254000000,-119000000,-363000000,-4645000000,-2263000000,-830000000,3451000000,-55000000,160000000
78,Accounts Receivable,-8753000,-32366000,- -,- -,- -,- -,- -,- -,- -,- -,3000000,26000000,- -,-25000000,34000000,10000000,-51000000,5000000,-160000000,-84000000,-98000000,-505000000,26000000,-35000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362000000
81,Other Working Capital,-115170000,-457367000,-934666000,-1007815000,-772000000,-885000000,-295000000,-864000000,-959000000,-996000000,-247000000,103000000,-723000000,-783000000,-891000000,-1145000000,-1264000000,-1627000000,-6272000000,-8535000000,-9365000000,-5914000000,-5969000000,- -
82,Other Non-Cash Items,-3253000,63048000,-35923000,-1240567000,2109185000,-253000000,2837000000,188000000,224000000,454000000,898000000,-12087000000,1163000000,284000000,325000000,567000000,271000000,855000000,4723000000,2540000000,649000000,-3932000000,875000000,824000000
83,Cash Provided by Operating Activities,7644000,479916000,1131210000,518675000,748000000,765000000,472000000,260000000,323000000,327000000,399000000,594000000,1911000000,1737000000,1876000000,2158000000,2359000000,2359000000,8041000000,11954000000,11767000000,11748000000,14562000000,16239000000
84,CAPEX,-13672000,-741508000,-2825126000,-3027059000,-2222000000,-854000000,-967000000,-1088000000,-1145000000,-1244000000,-1241000000,-108000000,-1201000000,-1343000000,-1713000000,-2425000000,-2177000000,-1812000000,-33532000000,-7870000000,-9595000000,-7140000000,-7956000000,-7555000000
85,Acquisitions Net,- -,-7629564000,-1188000000,-1754678000,-139000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-59149000,-12898000,-12000000,-11000000,-17000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,17000000,37000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1706897000,18307000,-14671000,10000000,48000000,741000000,49000000,1043000000,106000000,-8000000,-1196000000,39000000,33000000,-11000000,58000000,-7094000000,-15192000000,22845000000,592000000,-611000000,-136000000,-278000000,-119000000
89,Cash Used for Investing Activites,-13672000,-10077969000,-4053968000,-4809306000,-2363000000,-817000000,-243000000,-1025000000,-65000000,-1138000000,-1210000000,-1304000000,-1170000000,-1367000000,-1737000000,-2443000000,-9304000000,-17032000000,-11290000000,-8098000000,-9736000000,-7331000000,-8157000000,-7754000000
90,Debt Repayment,- -,-5694375000,- -,- -,- -,- -,- -,- -,- -,- -,-1396000000,-17000000,-4352000000,-5072000000,-5901000000,-6520000000,-1980000000,-11326000000,-10521000000,-16507000000,-10769000000,-13309000000,-12094000000,-12146000000
91,Common Stock Issued,- -,3548870000,- -,1223232000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000000,- -,- -,- -,23000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-56000000,- -,- -,- -,1614000000,-144000000,-733000000,-11000000,-15000000,-19000000,-38000000,-1562000000,-11715000000,-4399000000,-6873000000,-11217000000,-15431000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,14200000,11867691000,2919754000,2938376000,1932000000,-142000000,294000000,192000000,-219000000,826000000,3092000000,-1093000000,3033000000,5432000000,5778000000,6834000000,8926000000,26039000000,11862000000,23452000000,13281000000,18549000000,14335000000,18692000000
95,Cash Used/Provided by Financing Activities,14200000,9722186000,2919754000,4161608000,1934000000,-142000000,294000000,136000000,-219000000,826000000,1696000000,504000000,-1463000000,-373000000,-134000000,299000000,6927000000,14675000000,4779000000,-4770000000,-1887000000,-1633000000,-8953000000,-8885000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8172000,124133000,-3004000,-129023000,319000000,-194000000,523000000,-629000000,39000000,15000000,885000000,-206000000,-722000000,-3000000,5000000,14000000,-18000000,2000000,1530000000,-914000000,144000000,2784000000,-2548000000,-400000000
98,Cash at the End of Period,9573000,133706000,130702000,1679000,321000000,127000000,650000000,21000000,60000000,75000000,960000000,754000000,32000000,29000000,7000000,21000000,3000000,5000000,1535000000,621000000,765000000,3549000000,1001000000,601000000
99,Cash at the Beginning of Period,1401000,9573000,133706000,130702000,2000000,321000000,127000000,650000000,21000000,60000000,75000000,960000000,754000000,32000000,2000000,7000000,21000000,3000000,5000000,1535000000,621000000,765000000,3549000000,1001000000
100,Free Cash Flow,-6028000,-261592000,-1693916000,-2508384000,-1474000000,-89000000,-495000000,-828000000,-822000000,-917000000,-842000000,-540000000,710000000,394000000,163000000,-267000000,182000000,547000000,-25491000000,4084000000,2172000000,4608000000,6606000000,8684000000
