,https://roic.ai/company/AQST,2016,2017,2018,2019,2020,2021
62,Preferred Stock,78391000,80871000,- -,- -,- -,- -
63,Common Stock,- -,- -,25000,34000,35000,41000
64,Retained Earnings,-108670000,-120093000,-61376000,-130474000,-186257000,-256796000
65,Other Comprehensive Income/Loss,-28255000,-32005000,-35191000,-38044000,- -,- -
66,Other Total Stockholders Equity,119349000,125603000,106622000,162362000,137725000,174621000
67,Total Stockholders Equity,-17576000,-26495000,10080000,-6122000,-48497000,-82134000
68,Total Liabilities And Stockholders Equity,39389000,43116000,86851000,78479000,62884000,61993000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39389000,43116000,86851000,78479000,62884000,61993000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1398733/000114036119004934/0001140361-19-004934-index.html,https://www.sec.gov/Archives/edgar/data/1398733/000114036120005499/0001140361-20-005499-index.html,https://www.sec.gov/Archives/edgar/data/1398733/000114036121007811/0001140361-21-007811-index.htm,https://www.sec.gov/Archives/edgar/data/1398733/000162828022005393/0001628280-22-005393-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-9602000,-8943000,-61376000,-66246000,-55783000,-70539000
74,Depreciation and Amortization,3891000,3801000,3236000,2905000,3443000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,29940000,7071000,6581000,- -
77,Change in Working Capital,-6293000,287000,28436000,8510000,-26238000,1774000
78,Accounts Receivable,-6508000,4691000,-409000,- -,- -,- -
79,Inventory,-1587000,-1128000,-1427000,2582000,398000,- -
80,Accounts Payable,1650000,2943000,11319000,-7872000,-5185000,- -
81,Other Working Capital,12526000,12813000,41249000,49759000,23521000,25295000
82,Other Non-Cash Items,3829000,10679000,-13227000,-12450000,26538000,35786000
83,Cash Provided by Operating Activities,-8175000,5824000,-12991000,-60210000,-45459000,-32979000
84,CAPEX,-976000,-2068000,-1824000,-663000,-517000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1166000,- -,- -,- -,- -,- -
88,Other Investing Activites,-976000,-2068000,-1824000,-663000,-517000,-913000
89,Cash Used for Investing Activites,190000,-2068000,-1824000,-663000,-517000,-913000
90,Debt Repayment,-38063000,- -,- -,-52944000,-24750000,- -
91,Common Stock Issued,- -,- -,68714000,39317000,6215000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,43752000,4414000,-10679000,63227000,46992000,30109000
95,Cash Used/Provided by Financing Activities,5689000,4414000,58035000,49600000,28457000,30109000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2296000,8170000,43220000,-11273000,-17519000,-3783000
98,Cash at the End of Period,9209000,17379000,60599000,49326000,31807000,- -
99,Cash at the Beginning of Period,11505000,9209000,17379000,60599000,49326000,31807000
100,Free Cash Flow,-9151000,3756000,-14815000,-60873000,-45976000,-32979000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1398733/000114036119004934/0001140361-19-004934-index.html,https://www.sec.gov/Archives/edgar/data/1398733/000114036120005499/0001140361-20-005499-index.html,https://www.sec.gov/Archives/edgar/data/1398733/000114036121007811/0001140361-21-007811-index.htm,https://www.sec.gov/Archives/edgar/data/1398733/000162828022005393/0001628280-22-005393-index.htm
102,false,,,,,,
