,https://roic.ai/company/CLSD,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,22000,1771000,417000,402000,407000,386000,360000,260000,160000
45,Total Non-Current Assets,120000,1976000,573000,496000,1292000,1176000,1557000,1204000,767000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2137000,10299000,21055000,84813000,40493000,44120000,26776000,19322000,42903000
48,Accounts Payable,248000,1257000,1469000,2594000,5384000,6869000,1280000,1997000,941000
49,Short-Term Debt,- -,- -,1733000,- -,3200000,556000,1693000,1364000,387000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,5000000,5000000,- -
52,Other Current Liabilities,435000,1167000,1994000,2814000,4935000,3051000,2930000,1582000,3312000
53,Total Current Liabilities,683000,2424000,5196000,5408000,13519000,10476000,10903000,9943000,4640000
54,Long-Term Debt,268000,- -,4243000,7586000,4809000,9419000,3819000,618000,288000
55,Deferred Revenue,- -,200000,700000,160000,140000,- -,5000000,5000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,11924000,26888000,47575000,- -,610000,605000,-4103000,-5002000,- -
58,Total Non-Current Liabilities,12192000,27088000,52518000,7746000,5559000,10024000,4716000,616000,288000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1257000,989000,- -
61,Total Liabilities,12875000,29512000,57714000,13154000,19078000,20500000,15619000,10559000,4928000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,4000,3000,25000,25000,32000,44000,52000,60000
64,Retained Earnings,-11535000,-21724000,-39363000,-65245000,-124220000,-206887000,-237657000,-255867000,-255491000
65,Other Comprehensive Income/Loss,-22000,-55000,-103000,-13000,-8000,- -,-597000,- -,- -
66,Other Total Stockholders Equity,816000,2562000,2804000,136892000,145618000,230475000,249367000,264578000,293406000
67,Total Stockholders Equity,-10738000,-19213000,-36659000,71659000,21415000,23620000,11157000,8763000,37975000
68,Total Liabilities And Stockholders Equity,2137000,10299000,21055000,84813000,40493000,44120000,26776000,19322000,42903000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2137000,10299000,21055000,84813000,40493000,44120000,26776000,19322000,42903000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1539029/000156459017004643/0001564590-17-004643-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459018006055/0001564590-18-006055-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459019007887/0001564590-19-007887-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459020010810/0001564590-20-010810-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459021013027/0001564590-21-013027-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000095017022003468/0000950170-22-003468-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-7254000,-10189000,-17639000,-25882000,-58975000,-82818000,-30770000,-18210000,376000
74,Depreciation and Amortization,15000,33000,60000,65000,182000,189000,211000,180000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,322000,427000,705000,1314000,3364000,4785000,4612000,3600000,- -
77,Change in Working Capital,72000,4565000,9387000,63623000,-53227000,6786000,-18152000,-6141000,29321000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1334000,5899000,15286000,78909000,25682000,32468000,14316000,8175000,37496000
82,Other Non-Cash Items,6000,-3960000,-6415000,-61829000,57573000,-8142000,17031000,7451000,-29697000
83,Cash Provided by Operating Activities,-6839000,-9124000,-13902000,-22709000,-51083000,-79200000,-27068000,-13120000,- -
84,CAPEX,-63000,-140000,-32000,-3000,-306000,-88000,-25000,-55000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-54485000,-48116000,-80142000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,5708000,68543000,76470000,32950000,- -,- -
88,Other Investing Activites,- -,- -,4000,-360000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-63000,-140000,-28000,-49140000,20121000,-3760000,32925000,-55000,- -
90,Debt Repayment,- -,-125000,- -,-6330000,- -,-8300000,-5000000,-5340000,- -
91,Common Stock Issued,- -,- -,- -,84832000,5123000,79564000,13643000,11958000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7955000,15749000,25944000,7888000,239000,10515000,52000,1249000,- -
95,Cash Used/Provided by Financing Activities,7955000,15624000,25944000,86390000,5362000,81779000,8695000,7867000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1053000,6360000,12014000,14541000,-25600000,-1181000,14552000,-5308000,- -
98,Cash at the End of Period,1909000,8269000,20283000,34824000,9224000,8403000,22955000,17647000,- -
99,Cash at the Beginning of Period,856000,1909000,8269000,20283000,34824000,9584000,8403000,22955000,17647000
100,Free Cash Flow,-6902000,-9264000,-13934000,-22712000,-51389000,-79288000,-27093000,-13175000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1539029/000156459017004643/0001564590-17-004643-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459018006055/0001564590-18-006055-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459019007887/0001564590-19-007887-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459020010810/0001564590-20-010810-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000156459021013027/0001564590-21-013027-index.htm,https://www.sec.gov/Archives/edgar/data/1539029/000095017022003468/0000950170-22-003468-index.htm
102,false,,,,,,,,,
