,https://roic.ai/company/AZRE,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-23401000,-176680000,733868000,-27190000,1839125000,2115916000,3678000000,4977000000
84,CAPEX,-377781000,-8440416000,-9104016000,-15432649000,-19665650000,-26054267000,-18364000000,-18919000000
85,Acquisitions Net,- -,- -,296781000,- -,-397211000,-1474454000,- -,- -
86,Purchases of Investments,-1076837000,-913991000,-5032498000,-12937425000,-10484300000,-12084500000,-32224000000,- -
87,Sales/Maturities of Investments,1089897000,927940000,5071014000,9744735000,12499038000,13581995000,32332000000,- -
88,Other Investing Activites,344831000,-638935000,-397347000,-3330074000,2239742000,-47125000,-43000000,-10000000
89,Cash Used for Investing Activites,-14426000,-9050994000,-9159046000,-21944262000,-15772167000,-26031226000,-18256000000,-18919000000
90,Debt Repayment,-409417000,-452920000,-3490810000,-6373210000,-26396790000,-3785602000,-32827000000,-10563000000
91,Common Stock Issued,44000,68000,248000,8995431000,81015000,13706162000,5330000000,402000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1468678000,10124941000,12956221000,21709286000,43131856000,16966810000,43643000000,25253000000
95,Cash Used/Provided by Financing Activities,1059305000,9672089000,9465659000,24331507000,16816081000,26887370000,16146000000,15092000000
96,Effect of Forex Changes on Cash,2657000,788000,5615000,10229000,2816000,-69350000,-37000000,8000000
97,Net Change In Cash,1024135000,445223000,1046096000,2370284000,2885856000,2902710000,1531000000,641000000
98,Cash at the End of Period,1599067000,2044290000,3090386000,5460670000,8346526000,13985731000,15517000000,16158000000
99,Cash at the Beginning of Period,574932000,1599067000,2044290000,3090386000,5460670000,11083021000,13986000000,15517000000
100,Free Cash Flow,-401182000,-8617096000,-8370148000,-15459839000,-17826525000,-23938351000,-14686000000,-13942000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633438/000119312517206393/0001193125-17-206393-index.html,https://www.sec.gov/Archives/edgar/data/1633438/000119312518194556/0001193125-18-194556-index.html,https://www.sec.gov/Archives/edgar/data/1633438/000156459019022105/0001564590-19-022105-index.html,- -,https://www.sec.gov/Archives/edgar/data/1633438/000156459021005286/0001564590-21-005286-index.htm
102,Forex Rate,- -,0.016,0.0151,0.01535,0.01537,0.0144,0.01327,0.01367
