,https://roic.ai/company/HOOK,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1760542/000155837020002928/0001558370-20-002928-index.htm,https://www.sec.gov/Archives/edgar/data/1760542/000155837021003176/0001558370-21-003176-index.htm,https://www.sec.gov/Archives/edgar/data/1760542/000155837022004211/0001558370-22-004211-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,61362000,48580000,113151000,142743000,65921000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,61362000,48580000,113151000,142743000,65921000
34,Net Receivables,6520000,4919000,9727000,20657000,6895000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,2076000,8812000,5139000,8104000,29319000
37,Total Current Assets,69958000,62311000,128017000,171504000,102135000
38,PP&E,3575000,4337000,14603000,13969000,22025000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,199000,1603000,1125000,2344000,1885000
45,Total Non-Current Assets,3774000,5940000,15728000,16313000,23910000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,73732000,68251000,143745000,187817000,126045000
48,Accounts Payable,1477000,3656000,944000,8009000,8762000
49,Short-Term Debt,- -,- -,3197000,2153000,1682000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,725000,7452000,4316000,4628000,5538000
52,Other Current Liabilities,1833000,3587000,6298000,6353000,11672000
53,Total Current Liabilities,4035000,14695000,14755000,21143000,27654000
54,Long-Term Debt,3738000,4392000,3495000,4537000,3911000
55,Deferred Revenue,- -,1663000,72000,784000,21000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,108615000,3102000,7524000,5230000,4867000
58,Total Non-Current Liabilities,112353000,9157000,11091000,10551000,8799000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,7263000,5972000,- -
61,Total Liabilities,116388000,23852000,25846000,31694000,36453000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,3000,3000,3000
64,Retained Earnings,-43745000,-59982000,-103019000,-147101000,-222766000
65,Other Comprehensive Income/Loss,-1362000,-3720000,-4653000,-6067000,-4780000
66,Other Total Stockholders Equity,2630000,108099000,225568000,309288000,317135000
67,Total Stockholders Equity,-42656000,44399000,117899000,156123000,89592000
68,Total Liabilities And Stockholders Equity,73732000,68251000,143745000,187817000,126045000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,73732000,68251000,143745000,187817000,126045000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1760542/000155837020002928/0001558370-20-002928-index.htm,https://www.sec.gov/Archives/edgar/data/1760542/000155837021003176/0001558370-21-003176-index.htm,https://www.sec.gov/Archives/edgar/data/1760542/000155837022004211/0001558370-22-004211-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-12723000,-16237000,-43037000,-44082000,-75665000
74,Depreciation and Amortization,398000,640000,1443000,4150000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,770000,867000,5565000,8657000,- -
77,Change in Working Capital,-313000,-18307000,65646000,37099000,-75880000
78,Accounts Receivable,- -,-4991000,-3619000,-3576000,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-1172000,3413000,4203000,6298000,- -
81,Other Working Capital,65923000,47616000,113262000,150361000,74481000
82,Other Non-Cash Items,-45000,18039000,-71348000,-45163000,151545000
83,Cash Provided by Operating Activities,-11913000,-14998000,-41731000,-39339000,- -
84,CAPEX,-1297000,-2150000,-1999000,-2371000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1297000,-2150000,-1999000,-2371000,- -
90,Debt Repayment,- -,- -,-2279000,-1419000,- -
91,Common Stock Issued,- -,9000,74756000,42637000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,58892000,6864000,37274000,32202000,- -
95,Cash Used/Provided by Financing Activities,58892000,6873000,109751000,73420000,- -
96,Effect of Forex Changes on Cash,2494000,-2507000,-1026000,-2108000,- -
97,Net Change In Cash,48176000,-12782000,64995000,29602000,- -
98,Cash at the End of Period,61362000,48580000,113575000,143177000,- -
99,Cash at the Beginning of Period,13186000,61362000,48580000,113575000,143177000
100,Free Cash Flow,-13210000,-17148000,-43730000,-41710000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1760542/000155837020002928/0001558370-20-002928-index.htm,https://www.sec.gov/Archives/edgar/data/1760542/000155837021003176/0001558370-21-003176-index.htm,https://www.sec.gov/Archives/edgar/data/1760542/000155837022004211/0001558370-22-004211-index.htm
102,false,,,,,
