,https://roic.ai/company/LQDT,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,6465000,7891000,9136000,12117000,13379000,12605000,12405000,12247000,7377000,6597000,6508000,5660000,6947000
77,Change in Working Capital,- -,- -,-542000,-2867000,49928000,7680000,-10718000,8751000,268000,51624000,-58493000,26095000,-1354000,41290000,-19801000,-31258000,-33654000,-13409000,-848000,23196000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,356000,547000,-1809000,-1596000,-7466000,2211000,12651000,-4408000,-1611000,6582000,-2012000,1182000,-843000
79,Inventory,- -,- -,-64000,-1068000,-2770000,-9986000,4615000,-801000,-3553000,-392000,-132000,-7470000,-49488000,43101000,-4776000,-3507000,8120000,3948000,-64000,-7035000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2848000,2823000,1552000,-7570000,6542000,-545000,-4534000,232000,-1327000,5256000,-7525000,12824000,26097000
81,Other Working Capital,- -,- -,7021000,4154000,54082000,61762000,51044000,59795000,60063000,111687000,53194000,79289000,77935000,119225000,99424000,68166000,34512000,21103000,20255000,1290000
82,Other Non-Cash Items,- -,- -,296000,4825000,-41109000,-14044000,26566000,-14695000,7717000,-35146000,37779000,-44357000,-47208000,91658000,80639000,26239000,45637000,14692000,9044000,1866000
83,Cash Provided by Operating Activities,- -,- -,5593000,6144000,17663000,4474000,28991000,8635000,31933000,39886000,52146000,46743000,11856000,43491000,45838000,-31653000,619000,-6242000,16478000,65417000
84,CAPEX,- -,- -,-420000,-487000,-2139000,-2896000,-1700000,-4635000,-7818000,-13914000,-78589000,-20193000,-7680000,-7449000,-6152000,-7924000,-4209000,-5961000,-4248000,-5452000
85,Acquisitions Net,- -,- -,- -,-3806000,- -,-9856000,-25633000,- -,- -,- -,- -,- -,- -,-2372000,- -,- -,-16673000,- -,- -,- -
86,Purchases of Investments,- -,- -,-42017000,-28697000,-20037000,-36099000,-36180000,-35113000,-61024000,-10292000,- -,- -,- -,- -,- -,- -,-20000000,-70000000,-25000000,- -
87,Sales/Maturities of Investments,- -,- -,39459000,35440000,7834000,26809000,46400000,15737000,58123000,43812000,- -,- -,- -,- -,- -,- -,- -,60000000,55000000,- -
88,Other Investing Activites,- -,- -,10000,-5694000,- -,- -,- -,-954000,-4102000,-9092000,-71796000,-14730000,-141000,-137000,-62000,-119000,3793000,224000,2833000,4415000
89,Cash Used for Investing Activites,- -,- -,-2968000,-3244000,-14342000,-22042000,-17113000,-24011000,-10719000,19606000,-78589000,-20193000,-7680000,-9821000,-6152000,-7924000,-37054000,-15714000,28647000,-1004000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-27000,-138000,- -,- -,-39000000,- -,- -,- -,- -,- -,- -,-34000,-42000
91,Common Stock Issued,- -,- -,- -,186000,44483000,2107000,345000,121000,- -,6597000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1844000,-482000,- -,- -,- -,-3874000,-14470000,-3541000,-29999000,- -,-44873000,- -,- -,- -,- -,- -,-3983000,-31143000
93,Dividends Paid,- -,- -,-20185000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,18553000,2277000,-4000000,736000,82000,1081000,3985000,23639000,32444000,2935000,7951000,68000,-220000,-1106000,404000,546000,-1683000,-3470000
95,Cash Used/Provided by Financing Activities,- -,- -,-3476000,1981000,40483000,2843000,427000,-2699000,-10623000,26695000,2445000,-36065000,-36922000,68000,-220000,-1106000,404000,546000,-5700000,-34655000
96,Effect of Forex Changes on Cash,- -,- -,- -,-13000,177000,320000,-305000,-341000,-751000,-476000,-309000,-158000,235000,-871000,-418000,518000,131000,-541000,114000,541000
97,Net Change In Cash,- -,- -,-851000,4868000,43981000,-14405000,12000000,-18416000,9840000,85711000,-24307000,-9673000,-32511000,32867000,39048000,-40165000,-35900000,-21951000,39539000,30299000
98,Cash at the End of Period,- -,- -,5510000,10378000,54359000,39954000,51954000,33538000,43378000,129089000,104782000,95109000,62598000,95465000,134513000,94348000,58448000,36497000,76036000,106335000
99,Cash at the Beginning of Period,- -,- -,6361000,5510000,10378000,54359000,39954000,51954000,33538000,43378000,129089000,104782000,95109000,62598000,95465000,134513000,94348000,58448000,36497000,76036000
100,Free Cash Flow,- -,- -,5173000,5657000,15524000,1578000,27291000,4000000,24115000,25972000,-26443000,26550000,4176000,36042000,39686000,-39577000,-3590000,-12203000,12230000,59965000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1235468/000110465906083372/a06-25894_110k.htm,https://www.sec.gov/Archives/edgar/data/1235468/000104746907009840/0001047469-07-009840-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746908012900/0001047469-08-012900-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746909010688/0001047469-09-010688-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746910010322/0001047469-10-010322-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746911010022/0001047469-11-010022-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746912010864/0001047469-12-010864-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746913010744/0001047469-13-010744-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746914009487/0001047469-14-009487-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746915008919/0001047469-15-008919-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000104746916016885/0001047469-16-016885-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000162828017012164/0001628280-17-012164-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546818000007/0001235468-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546819000042/0001235468-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/1235468/000123546820000206/0001235468-20-000206-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,
