,https://roic.ai/company/VVOS,2018,2019,2020,2021
45,Total Non-Current Assets,6192371,5567382,4933154,6365000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,8203967,7551537,25327469,33689000
48,Accounts Payable,474083,1083422,2281364,920000
49,Short-Term Debt,161545,3709535,866972,1334000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,889508,2947565,2937992,- -
52,Other Current Liabilities,632021,1353161,1736721,5255000
53,Total Current Liabilities,2157157,9093683,7823049,7509000
54,Long-Term Debt,525000,- -,423095,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,695017,1400913,163966,641000
58,Total Non-Current Liabilities,1220017,1400913,587061,641000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,3377174,10494596,8410110,8150000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,1207,1244,1821,2000
64,Retained Earnings,-12523532,-23277851,-35334728,-55623000
65,Other Comprehensive Income/Loss,-227847,-502501,- -,- -
66,Other Total Stockholders Equity,17576965,20836049,52250266,81160000
67,Total Stockholders Equity,4826793,-2943059,16917359,25539000
68,Total Liabilities And Stockholders Equity,8203967,7551537,25327469,33689000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,8203967,7551537,25327469,33689000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1716166/000149315221006806/0001493152-21-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1716166/000149315222008452/0001493152-22-008452-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-8439156,-10754319,-12056877,-20288000
74,Depreciation and Amortization,610673,751228,717865,733000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,1283156,1987275,2172197,2658000
77,Change in Working Capital,867098,-6963967,19680794,7243734
78,Accounts Receivable,-530289,-276103,-559600,228000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,246533,547620,-274212,139000
81,Other Working Capital,-145561,-7109528,12571266,19815000
82,Other Non-Cash Items,364338,9639303,-16194273,-6081734
83,Cash Provided by Operating Activities,-5313891,-5340480,-5680294,-15735000
84,CAPEX,-1250591,-175599,-120252,110000
85,Acquisitions Net,133337,250000,- -,-225000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,11822,- -,13000
89,Cash Used for Investing Activites,-1117254,86223,-120252,-2608000
90,Debt Repayment,-88236,-29260,-75000,-25000
91,Common Stock Issued,6353732,1248499,22289500,20000
92,Common Stock Repurchased,-1000000,-350000,-2150000,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,-12465,3599648,3472361,24172000
95,Cash Used/Provided by Financing Activities,5253031,4468887,23536861,24167000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-1178114,-785370,17736315,5824332
98,Cash at the End of Period,1254723,469353,18205668,24030000
99,Cash at the Beginning of Period,2432837,1254723,469353,18205668
100,Free Cash Flow,-6564482,-5516079,-5800546,-15625000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1716166/000149315221006806/0001493152-21-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1716166/000149315222008452/0001493152-22-008452-index.htm
102,false,,,,
