,https://roic.ai/company/MEDS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,7,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,288,312,310,320,320,330,70,81,82
64,Retained Earnings,- -,- -,- -,-2519745,-4531788,-5648970,-8409100,-8120110,-8111080,-8395500,-10931554,-16247
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,2650315,5199917,5915677,7260723,7807857,8955418,12535647,19610631,3786338
67,Total Stockholders Equity,- -,- -,- -,130865,668441,267017,-1148057,-311933,844668,4140217,8679158,3770173
68,Total Liabilities And Stockholders Equity,- -,- -,- -,403867,1222118,2027667,337123,617477,2227588,5571497,9792702,5766164
69,Minority Interest,- -,- -,- -,- -,- -,3,-3,3,2,-7,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,403867,1222118,2027670,337120,617480,2227590,5571490,9792702,5766164
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1382574/000107878216002504/0001078782-16-002504-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000107878217000381/0001078782-17-000381-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000107878218000252/0001078782-18-000252-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000149315219003756/0001493152-19-003756-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000149315220005026/0001493152-20-005026-index.htm,https://www.sec.gov/Archives/edgar/data/1382574/000149315221007052/0001493152-21-007052-index.htm,https://www.sec.gov/Archives/edgar/data/1382574/000149315222007879/0001493152-22-007879-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-2091285,-2012043,-1117180,-2760130,288980,9040,-284430,-2536051,- -
74,Depreciation and Amortization,- -,- -,- -,3987,4800,3802,- -,- -,- -,94731,102520,7351
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-47996653,48132263,542376,-397619,-1404490,1219590,523590,2676430,- -
78,Accounts Receivable,- -,- -,- -,6635,-255067,-172603,55779,-20354,-1532,-369923,-23532,-789587
79,Inventory,- -,- -,- -,-43373,-3056,-255164,- -,- -,-3810,23205,-2419013,143891
80,Accounts Payable,- -,- -,- -,54890,128745,65100,16498,-98213,95149,-148659,-33190,- -
81,Other Working Capital,- -,- -,- -,-48010000,122263,664639,267020,-1137470,82120,605710,3282140,3448218
82,Other Non-Cash Items,- -,- -,- -,49239372,-47189596,-631135,1844331,1287180,-955244,-192116,-2457685,-2573577
83,Cash Provided by Operating Activities,- -,- -,- -,-844579,-1064576,-1202137,-1313418,171670,273386,141775,-2214786,-2566226
84,CAPEX,- -,- -,- -,-10989,- -,- -,- -,- -,-15006,-82252,-37505,-22596
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-250273,-250000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-78000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-10989,- -,- -,-78000,- -,-265279,-332252,-37505,-22596
90,Debt Repayment,- -,- -,- -,-50000,-115639,- -,-104735,-432685,-122464,-262552,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,1204250,- -,300000,250000,800000,2455000,5994424,181163
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,986507,597250,1356667,976124,180250,- -,166,-694249,-389341
95,Cash Used/Provided by Financing Activities,- -,- -,- -,936507,1685861,1356667,1171389,-2435,677536,2192614,5300175,-208178
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,80939,621285,154530,-64029,169235,685643,2002137,3047884,-449311
98,Cash at the End of Period,- -,- -,- -,84317,705602,860132,14679,183914,869557,2871694,5919578,3122578
99,Cash at the Beginning of Period,- -,- -,- -,3378,84317,705602,78708,14679,183914,869557,2871694,3571889
100,Free Cash Flow,- -,- -,- -,-855568,-1064576,-1202137,-1313418,171670,258380,59523,-2252291,-2588822
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1382574/000107878216002504/0001078782-16-002504-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000107878217000381/0001078782-17-000381-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000107878218000252/0001078782-18-000252-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000149315219003756/0001493152-19-003756-index.html,https://www.sec.gov/Archives/edgar/data/1382574/000149315220005026/0001493152-20-005026-index.htm,https://www.sec.gov/Archives/edgar/data/1382574/000149315221007052/0001493152-21-007052-index.htm,https://www.sec.gov/Archives/edgar/data/1382574/000149315222007879/0001493152-22-007879-index.htm
102,false,,,,,,,,,,,,
