,https://roic.ai/company/FMCB,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,54238000,54884000,59300000,72458000,88396000,95775000,93208000,91314000,84461000,82354000,78491000,76531000,81521000,90075000,99266000,114612000,133453000,153708000,158652000,- -
13,Interest Expense (Gain),13596000,11073000,9818000,14032000,24621000,32225000,24784000,16331000,9685000,7974000,5140000,2891000,2813000,3325000,4196000,6289000,7950000,13194000,9491000,4332000
14,Depreciation and Amortization,1594000,3279000,2431000,2213000,1726000,2146000,1878000,1894000,1867000,1801000,1704000,1506000,1325000,1685000,1909000,2296000,2649000,3395000,3395000,- -
15,EBITDA,35663000,37170000,38324000,44903000,58789000,69936000,63049000,49553000,44839000,44626000,44178000,42679000,44634000,49326000,51925000,63066000,70329000,91902000,90837000,92653000
16,EBITDA ratio,0.6543,0.6552,0.6012,0.6442,0.7752,0.8852,0.7462,0.5318,0.4876,0.6000,0.6023,0.5796,0.5671,0.5686,0.5462,0.5822,0.5604,0.6540,0.5570,0.5606
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13985000,- -,- -,- -,- -,- -,- -,- -,-79779000,- -
20,Income Before Tax,20473000,22818000,26299000,28658000,32442000,35565000,36387000,31328000,33287000,34851000,37334000,38282000,40496000,44316000,45820000,54481000,59730000,75313000,77951000,88321000
21,Income Before Tax Ratio,0.3756,0.4022,0.4125,0.4112,0.4278,0.4502,0.4307,0.3362,0.3620,0.4686,0.5090,0.5199,0.5145,0.5108,0.4820,0.5029,0.4759,0.5360,0.4780,0.5344
22,Income Tax expense (Gain),7054000,8043000,9625000,10230000,11813000,12870000,13597000,11315000,12169000,12642000,13985000,14221000,15094000,16924000,16097000,26111000,14203000,19277000,19217000,21985000
23,Net Income,13419000,14775000,16450000,18428000,20629000,22695000,22790000,20013000,21118000,22209000,23349000,24061000,25402000,27392000,29723000,28370000,45527000,56036000,58734000,66336000
24,Net Income ratio,0.2462,0.2604,0.2580,0.2644,0.2720,0.2873,0.2697,0.2148,0.2296,0.2986,0.3183,0.3267,0.3227,0.3158,0.3126,0.2619,0.3628,0.3988,0.3602,0.4014
25,EPS,15.69,17.49,19.66,22.24,25.25,28.05,28.69,25.57,27.05,28.49,29.99,30.93,32.64,34.82,37.44,35.03,56.82,71.18,74.03,84.01
26,EPS Diluted,15.69,17.49,19.66,22.24,25.25,28.05,28.69,25.57,27.05,28.49,29.99,30.93,32.64,34.82,37.44,35.03,56.82,71.18,74.03,84.01
27,Weighted Average Shares Outstanding,855491,844688,836775,828597,816990,809091,794239,782754,780619,779424,778648,777882,778358,786582,793970,809834,801229,787227,793337,789646
28,Weighted Average Shares Outstanding Diluted,855491,844688,836775,828597,816990,809091,797145,782754,780619,779424,778648,777882,778358,786582,793970,809834,801229,787227,793337,789646
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085913/000114036112015602/0001140361-12-015602-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036113012251/0001140361-13-012251-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036114012783/0001140361-14-012783-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036115011673/0001140361-15-011673-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036116057597/0001140361-16-057597-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036117012015/0001140361-17-012015-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036118013710/0001140361-18-013710-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036119005011/0001140361-19-005011-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036120005743/0001140361-20-005743-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036121008518/0001140361-21-008518-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036122009805/0001140361-22-009805-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,45389000,35800000,32170000,50669000,47006000,50240000,46774000,32660000,28484000,101660000,129426000,83677000,77125000,59446000,98860000,187149000,145564000,294758000,383837000,52499000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417991000,407088000,367142000,369137000,450168000,483356000,497736000,509832000,816041000,270454000
33,Cash and Short-Term Investments,45389000,35800000,32170000,50669000,47006000,50240000,46774000,32660000,28484000,101660000,547417000,490765000,444267000,428583000,549028000,670505000,643300000,804590000,1199878000,322953000
34,Net Receivables,43067000,49948000,54533000,24662000,32607000,37291000,38986000,59665000,67499000,73575000,73038000,90294000,96367000,88057000,100217000,99032000,126002000,129023000,129839000,18098000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,469337000,-4646000,-24238000,-33104000,-26661000,-44013000,-46332000,-74776000,-71240000,-1263390000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,644572000,615809000,556821000,507530000,489979000,605232000,723205000,694526000,862373000,66327000,341051000
38,PP&E,11342000,11209000,14971000,17522000,20496000,20188000,21653000,24887000,24214000,24058000,22901000,22887000,25821000,26575000,29229000,28679000,32623000,45271000,50147000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11183000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3402000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14585000
42,Investments,233933000,261922000,275440000,267940000,243867000,247637000,363729000,435166000,499793000,542912000,486383000,473144000,430405000,430533000,506372000,536056000,548962000,567615000,876665000,737052000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25542000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,708142000,849593000,1023221000,1396795000,1668258000,1781288000,1787512000,2158132000,2246571000,- -,-737052000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1275112000,1358877000,1519252000,1853021000,2125366000,2316889000,2352247000,2739717000,2859457000,- -,40127000
46,Other Assets,1021907000,1148565000,1226295000,1352989000,1411233000,1519172000,1684437000,1781014000,1841491000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4484126000,4876796000
47,Total Assets,1021907000,1148565000,1226295000,1352989000,1411233000,1519172000,1684437000,1781014000,1841491000,1919684000,1974686000,2076073000,2360551000,2615345000,2922121000,3075452000,3434243000,3721830000,4550453000,5177720000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37317000,48168000,52990000,75668000,50119000,42254000,49886000,64205000,56211000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10310000,-27007000,-37858000,-42680000,-65358000,-39809000,-31944000,-39576000,-53895000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10310000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,- -,- -
54,Long-Term Debt,40965000,122238000,91199000,109807000,57842000,39264000,11013000,30459000,10901000,10840000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,40965000,122238000,91199000,109807000,57842000,39264000,11013000,30459000,10901000,10840000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,10310000,- -
59,Other Liabilities,959307000,1161198000,1200947000,1339148000,1336735000,1415018000,1538905000,1646746000,1679151000,1730868000,1769653000,1866169000,2127373000,2363510000,2642140000,2775792000,3123028000,3352534000,4137098000,4714584000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,918342000,1038960000,1109748000,1229341000,1278893000,1375754000,1527892000,1616287000,1668250000,1730338000,1769653000,1866169000,2127373000,2363510000,2642140000,2775792000,3123028000,3352534000,4126788000,4714584000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,7000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,- -
64,Retained Earnings,36749000,37650000,35332000,29463000,43126000,57990000,72350000,83767000,96030000,109081000,123012000,137350000,152833000,170068000,189313000,206845000,241221000,286036000,333070000,387331000
65,Other Comprehensive Income/Loss,1830000,-559000,-1030000,-1685000,-720000,983000,5660000,4754000,1613000,4667000,6999000,-2468000,2533000,595000,-11000,-817000,-2988000,3305000,13071000,-1719000
66,Other Total Stockholders Equity,64979000,72506000,82237000,95862000,89926000,84437000,78527000,76198000,75590000,75590000,75014000,75014000,77804000,81164000,90671000,93624000,72974000,79947000,77516000,77524000
67,Total Stockholders Equity,103565000,109605000,116547000,123648000,132340000,143418000,156545000,164727000,173241000,189346000,205033000,209904000,233178000,251835000,279981000,299660000,311215000,369296000,423665000,463136000
68,Total Liabilities And Stockholders Equity,1021907000,1148565000,1226295000,1352989000,1411233000,1519172000,1684437000,1781014000,1841491000,1919684000,1974686000,2076073000,2360551000,2615345000,2922121000,3075452000,3434243000,3721830000,4550453000,5177720000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1021907000,1148565000,1226295000,1352989000,1411233000,1519172000,1684437000,1781014000,1841491000,1919684000,1974686000,2076073000,2360551000,2615345000,2922121000,3075452000,3434243000,3721830000,4550453000,5177720000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085913/000114036112015602/0001140361-12-015602-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036113012251/0001140361-13-012251-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036114012783/0001140361-14-012783-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036115011673/0001140361-15-011673-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036116057597/0001140361-16-057597-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036117012015/0001140361-17-012015-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036118013710/0001140361-18-013710-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036119005011/0001140361-19-005011-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036120005743/0001140361-20-005743-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036121008518/0001140361-21-008518-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036122009805/0001140361-22-009805-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,13419000,14775000,16450000,18428000,20629000,22695000,22790000,20013000,21118000,22209000,23349000,24061000,25402000,27392000,29723000,28370000,45527000,56036000,58734000,66336000
74,Depreciation and Amortization,1594000,3279000,2431000,2213000,1726000,2146000,1878000,1894000,1867000,1801000,1704000,1506000,1325000,1685000,1909000,2296000,2649000,3395000,3395000,- -
75,Deferred Income Tax,-836000,-727000,-1771000,-1874000,-1169000,-2316000,-995000,-7412000,-1877000,-1260000,-2548000,-8501000,6436000,-907000,-2299000,12605000,5462000,-3254000,-1962000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-10957000,- -,- -,- -,- -,- -,- -,- -,- -,634262000,-28763000,-58988000,-49291000,-17551000,115253000,117973000,-28679000,167847000,-785736000,274724000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-434000,-3719000,-15070000,5542000,1056000,-275000,-2098000,18949000,-3333000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,3527000,3142000,2455000,4016000,10851000,4822000,1015000,4068000,-5396000,6000,4983000,-4136000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,634262000,605499000,546511000,497220000,479669000,594922000,712895000,684216000,852063000,66327000,341051000
82,Other Non-Cash Items,4650000,-3133000,3369000,-1714000,-367000,1029000,-621000,-1712000,9726000,-626652000,37981000,69121000,41765000,25754000,-109774000,-121300000,32815000,-143166000,783688000,-341060000
83,Cash Provided by Operating Activities,7870000,14194000,20479000,17053000,20819000,23554000,23052000,12783000,30834000,30360000,31723000,27199000,25637000,36373000,34812000,39944000,57774000,80858000,58119000,- -
84,CAPEX,-1495000,-1421000,-5384000,-4162000,-4860000,-1613000,-3328000,-5133000,-1196000,-1660000,-547000,-1614000,-4274000,-2726000,8282000,3186000,-4577000,-15537000,-7709000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31751000,- -,-5987000,- -,- -,- -
86,Purchases of Investments,-114016000,-239649000,-195110000,-100680000,-80257000,-46001000,-244563000,-273627000,-382906000,-298432000,-154034000,-223822000,-150311000,-221743000,-506886000,-341158000,-480977000,-673056000,-698633000,- -
87,Sales/Maturities of Investments,155240000,208968000,180251000,103762000,104005000,43248000,137744000,206871000,315488000,253332000,210793000,217405000,199952000,245188000,431641000,294651000,561374000,655115000,396556000,- -
88,Other Investing Activites,-96952000,-114341000,-65935000,-110802000,-78551000,-96781000,-46170000,-40979000,24450000,6925000,-85474000,-140859000,-324019000,-278073000,-140446000,-31429000,-274922000,-102152000,-426968000,- -
89,Cash Used for Investing Activites,-55728000,-145022000,-80794000,-107720000,-54803000,-99534000,-152989000,-112868000,-44164000,-39835000,-29262000,-148890000,-278652000,-257354000,-185444000,-82190000,-205089000,-135630000,-736754000,- -
90,Debt Repayment,-35000,-37000,-31039000,- -,-51315000,-18578000,-28251000,- -,-19558000,-61000,-530000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000,9312000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2329000,-608000,- -,-576000,- -,- -,- -,- -,- -,-31152000,- -,-2834000,-3910000
93,Dividends Paid,-4544000,-4878000,-5930000,-6656000,-6966000,-7831000,-8430000,-8596000,-8855000,-9158000,-9418000,-9723000,-9919000,-10157000,-10478000,-10982000,-11151000,-11221000,-11700000,- -
94,Other Financing Activites,42505000,117969000,93654000,115822000,88602000,106773000,176002000,84868000,68379000,59694000,35829000,85665000,256382000,213459000,200524000,141517000,148033000,215187000,781845000,- -
95,Cash Used/Provided by Financing Activities,37926000,113054000,56685000,109166000,30321000,80364000,139321000,73943000,39358000,50475000,25305000,75942000,246463000,203302000,190046000,130535000,105730000,203966000,767714000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9932000,-17774000,-3630000,18499000,-3663000,4384000,9384000,-26142000,26028000,41000000,27766000,-45749000,-6552000,-17679000,39414000,88289000,-41585000,149194000,89079000,- -
98,Cash at the End of Period,53574000,35800000,32170000,50669000,47006000,51390000,60774000,34632000,60660000,101660000,129426000,83677000,77125000,59446000,98860000,187149000,145564000,294758000,383837000,- -
99,Cash at the Beginning of Period,63506000,53574000,35800000,32170000,50669000,47006000,51390000,60774000,34632000,60660000,101660000,129426000,83677000,77125000,59446000,98860000,187149000,145564000,294758000,383837000
100,Free Cash Flow,6375000,12773000,15095000,12891000,15959000,21941000,19724000,7650000,29638000,28700000,31176000,25585000,21363000,33647000,33308000,35690000,53197000,65321000,50410000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085913/000114036112015602/0001140361-12-015602-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036113012251/0001140361-13-012251-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036114012783/0001140361-14-012783-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036115011673/0001140361-15-011673-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036116057597/0001140361-16-057597-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036117012015/0001140361-17-012015-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036118013710/0001140361-18-013710-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036119005011/0001140361-19-005011-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036120005743/0001140361-20-005743-index.html,https://www.sec.gov/Archives/edgar/data/1085913/000114036121008518/0001140361-21-008518-index.htm,https://www.sec.gov/Archives/edgar/data/1085913/000114036122009805/0001140361-22-009805-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
