,https://roic.ai/company/MOR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-1.3289,-0.1083,0.1328,0.9858,0.1930,0.2690,0.3242,0.2270,0.2220,0.1795,0.1723,0.2756,-0.0009,0.2269,-1.1274,-0.9640,-0.7397,-1.3658,0.3877,-2.8681
17,Operating Income,-25517968,-3466056,641406,6160350,6175760,7017830,16422842,11402095,9848763,12157797,2419992,9934336,-5902715,12769109,-59900554,-67650735,-60140382,-108097642,17951546,-508343605
18,Operating Income ratio,-1.5228,-0.2264,0.0292,0.7721,0.1165,0.1133,0.2292,0.1407,0.1132,0.1206,0.0466,0.1274,-0.0923,0.1202,-1.2042,-1.0129,-0.7867,-1.5065,0.0548,-2.8302
19,Total Other Income Expenses (Gains),1158758,-681955,-359294,-1048395,-889872,- -,1562890,1631645,3322793,-727517,633000,747000,1594000,7856000,37000,-1140000,-336000,1577165,4540464,-82706703
20,Income Before Tax,-24359210,-4148011,282112,5111955,5285888,- -,17985732,13033740,13171556,11430280,3052992,10681336,-4308715,20625109,-59863554,-68790735,-60476382,-106520477,22492010,-591050308
21,Income Before Tax Ratio,-1.4537,-0.2710,0.0128,0.6407,0.0997,- -,0.2510,0.1609,0.1513,0.1134,0.0588,0.1370,-0.0673,0.1942,-1.2034,-1.0299,-0.7911,-1.4845,0.0686,-3.2907
22,Income Tax expense (Gain),-18084,-21,- -,-435586,-742056,- -,4832379,4069645,3975256,3213883,685812,3310077,-1296067,5724800,518625,1036365,-4304674,-3506419,-75398566,-76590860
23,Net Income,-24377294,-4148032,282112,4676369,6027934,11474610,13153353,8964095,9196300,8216397,1942145,13321930,-3012629,14900768,-60382776,-69826469,-56172121,-103014058,97890576,-514460016
24,Net Income ratio,-1.4547,-0.2710,0.0128,0.5861,0.1137,0.1852,0.1836,0.1106,0.1057,0.0815,0.0374,0.1709,-0.0471,0.1403,-1.2139,-1.0454,-0.7348,-1.4356,0.2987,-2.8643
25,EPS,-0.53,-0.08,0.00,0.07,0.08,0.40,0.15,0.10,0.10,0.09,0.02,0.14,-0.03,0.14,-0.57,-0.60,-0.45,-0.81,0.75,-3.85
26,EPS Diluted,-0.53,-0.08,0.00,0.07,0.08,0.40,0.15,0.10,0.10,0.09,0.02,0.14,-0.03,0.14,-0.57,-0.60,-0.45,-0.81,0.74,-3.85
27,Weighted Average Shares Outstanding,46064040,51989256,61577604,66946380,76548552,88320252,88866708,89859028,90624932,91550892,92019576,98016124,103615980,104079420,105773660,115790264,125355792,126444620,130102576,133636364
28,Weighted Average Shares Outstanding Diluted,46064040,51989256,61577604,69279541,76548552,88320252,89307668,90236656,91146144,92504632,93041440,99052376,104761256,104977168,106172716,115790264,125355792,126444620,132671408,133636364
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340243/000119312519073431/0001193125-19-073431-index.htm,https://www.sec.gov/Archives/edgar/data/1340243/000119312520077290/0001193125-20-077290-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,842082,6652456,12531198,4017000,3765000,48407060,40113727,41255316,44118451,54596099,41674000,72838000,32811000,91559000,75181000,77722000,45460000,44314000,109795000,123248000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79722222,199462441,113527632,97412947,69893787,86538195,313503988,228190144,980521813,870416924
33,Cash and Short-Term Investments,842082,6652456,12531198,4017000,3765000,48407060,40113727,41255316,44118451,54596099,121396222,272300441,146338632,188971947,145074787,164260195,358963988,272504144,1090316813,993664924
34,Net Receivables,- -,- -,- -,4428940,5907120,11787770,- -,- -,- -,- -,19331887,129806395,173204357,108179925,149882206,163432800,20741430,20340773,89835577,85790044
35,Inventory,- -,- -,- -,485710,3511400,3833210,3521451,3990238,4135446,3281240,757386,731009,556171,368782,310366,300753,245161,288212,9962657,20755187
36,Other Current Assets,28691857,19568860,27825953,49542000,62925110,58838180,106480734,110346042,84252561,96815209,42228596,3729943,2296228,2595681,12789130,12686890,8954716,10559677,16701173,32759795
37,Total Current Assets,29533939,26221316,40357151,58473650,76108630,122866220,150115912,155591596,132506458,154692548,183714091,406567788,322395388,300116335,308056489,340680638,388905295,303692806,1206816220,1132969950
38,PP&E,2097796,1907895,2330995,4696863,6894112,2677000,3967405,4997000,6189865,6106318,3192000,2168000,3558000,3474000,4189000,3526000,3531000,4696160,50742000,49592000
39,Goodwill,- -,- -,- -,- -,- -,- -,26672397,26742173,34099485,34107455,7353000,7352000,7352000,7365000,7365000,7365000,3676000,3676000,1619000,335574009
40,Intangible Assets,10251594,17002579,12461222,- -,- -,- -,19733763,17366447,35108594,31920638,27659000,27797000,38627000,72282000,60574000,60482000,43689000,41122000,69376000,838322000
41,Intangible Assets,10251594,17002579,12461222,16573350,41807590,49298600,46406160,44108620,69208079,66028093,35012000,35149000,45979000,79647000,67939000,67847000,47365000,44798000,70995000,1173896009
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,881633,1726633,51756633,15510989,79521181,- -,95981059,98999012,196587542,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1720750,221534,2991391,164949,- -,313372,1737387,381949,- -,- -,- -,- -,132806097,186545176
44,Other Non-Current Assets,509984,627130,646325,372707,3033178,9871020,1082665,1171845,1658040,1418542,1489192,1732257,1051565,949217,3894447,3344573,2981403,44253324,1566161,13251081
45,Total Non-Current Assets,12859374,19537604,15438542,21642920,51734880,61846620,53176980,50498999,80047375,73717902,40574825,41089262,104082585,99963155,155543628,74717573,149858462,192746496,452696800,1423284266
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,42393313,45758920,55795693,80116570,127843510,184712840,203292892,206090595,212553833,228410450,224288916,447657050,426477973,400079490,463600117,415398211,538763757,496439302,1659513020,2556254216
48,Accounts Payable,2273539,258732,3838144,344000,3326000,1289000,11616376,14106352,15614905,19110798,738000,1078000,569000,237000,8457000,4622000,7215000,10655000,47559000,73787000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527421,3478553,3661056
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,2144674,3026597,- -,2690282,777281,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,628167,15266877,14075166,1994120,1232072,1388638,794230,1570801,2543903,223862
52,Other Current Liabilities,13446801,7422870,6268099,10703751,14986330,283330,15786648,10145756,5735896,4639879,14284202,19062282,18058614,25239323,28612874,41690403,37914060,46804634,146877773,206866468
53,Total Current Liabilities,15720340,7681602,10106243,11047751,18312330,- -,27403024,24252108,21350801,23750677,15650369,35407159,32702780,27470443,38301946,47701041,45923290,61557856,200459229,284538386
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,48670,32670,127593,73607,73607,298606,251679,225000,218293,87785,71517,40041581,314723764,322130282
55,Deferred Revenue,3707360,6086205,5100646,- -,- -,- -,11193421,5579610,690756,6047253,5915102,59168599,44677035,2512666,1672872,306385,158024,114927,71829,28731
56,Deferred Tax Liabilities,- -,- -,220611,- -,- -,- -,2542750,2248498,4419245,1295174,452074,- -,- -,7092030,7421835,7811258,3507233,- -,5057465,22065419
57,Other Non-Current Liabilities,2350147,1808560,989707,3737327,6254772,- -,117839,43344,43344,108145,187611,636962,43344,43344,525006,820703,731059,23166,517878716,1682615455
58,Total Non-Current Liabilities,6057507,7894765,6310964,- -,- -,- -,13902680,7904122,5280938,7524179,6628394,60104167,44972058,9873040,9838006,9026131,4467833,40179674,837731774,2026839887
59,Other Liabilities,- -,- -,- -,5061037,9479862,39175382,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42556678,45019402,42583888
61,Total Liabilities,21777847,15576367,16417207,16108788,27792192,39175382,41305704,32156230,26631739,31274856,22278763,95511326,77674838,37343483,48139952,56727172,50391123,101737530,1038191003,2311378273
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,11849118,14703996,16305523,18066886,20135263,- -,22469013,161631268,22880478,23112167,23358228,26220882,26456834,26537682,29159770,29420785,31839572,31957958,32890046,34231943
64,Retained Earnings,-49888039,-54036071,-56026196,4675960,6027880,11474610,-20694899,-11730804,-2534504,5681893,7624038,20945968,17933339,32834107,-27548669,-97375138,-152765728,-255779786,-157889210,-672349226
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-9753000,-11590000,-12806000,-623122,432937,289204,-202158,136101,-105483,-210890,-1295718,2211419,52757591
66,Other Total Stockholders Equity,58654387,69514628,79099159,41264934,73888177,- -,160213074,33786901,177166120,181147534,171650873,304545633,304123758,303566376,413712963,426730875,609509680,619819318,744109762,830235635
67,Total Stockholders Equity,20615466,30182553,39378486,64007780,100051320,145537450,161987188,173934365,185922094,197135594,202010017,352145420,348803135,362736007,415460165,358671039,488372634,394701772,621322017,244875943
68,Total Liabilities And Stockholders Equity,42393313,45758920,55795693,80116568,127843512,184712832,203292892,206090595,212553833,228410450,224288780,447656746,426477973,400079490,463600117,415398211,538763757,496439302,1659513020,2556254216
69,Minority Interest,- -,- -,- -,2,-2,8,- -,- -,- -,- -,136,304,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,42393313,45758920,55795693,80116570,127843510,184712840,203292892,206090595,212553833,228410450,224288916,447657050,426477973,400079490,463600117,415398211,538763757,496439302,1659513020,2556254216
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340243/000119312519073431/0001193125-19-073431-index.htm,https://www.sec.gov/Archives/edgar/data/1340243/000119312520077290/0001193125-20-077290-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-24377294,-4148032,282112,4676369,6027934,11474610,13153353,8964095,9196300,8216397,1942145,13321930,-3012629,14900768,-60382776,-69826469,-56172121,-103014058,97890576,-514460016
74,Depreciation and Amortization,2126491,2489606,2637048,3624560,4951250,5194820,5238185,5348950,6120325,6628779,6310535,4834447,4134479,3454842,3763813,4028948,3750259,6245162,8329559,10090958
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467199,3699337,-1296067,5724801,518625,1036365,-4304674,-3506419,-75398566,-76590860
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1039036,- -,- -,- -,1348167,5145455,3959340,3558960,2357418,4974599,5584969,6654470,8955307,2585426
77,Change in Working Capital,11050874,10870984,10678958,- -,- -,- -,37202743,15521577,23940244,29719054,12399403,94253010,14425850,25913335,14962738,32508785,-4507579,17832990,12830405,-112994315
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1575045,-1500912,-4720210,3635172,-1154597,1362347,-6610625,2667232,-69619751,10532824
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8485396,-30348390
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6524350,218748,7454023,- -,7819386,- -,- -,- -,-90815610
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19680503,91860930,17863327,18132906,17440930,18385824,2386009,6069450,13430268,-2363139
82,Other Non-Cash Items,-4045867,-3399115,-8921663,-4084399,4459196,186640,-27985744,-30813653,-36724791,-17493771,-20677435,-32116562,-32429329,-77066555,-7835526,-11168083,22379632,-4350784,-17337564,209923723
83,Cash Provided by Operating Activities,-15245796,5813443,4676455,4216530,15438380,16856070,28647573,-979031,2532078,27070459,1790014,89137617,-14218356,-23513849,-46615708,-38445855,-33269514,-80138639,35269717,-481445084
84,CAPEX,-921770,-682077,-1726746,- -,- -,- -,-3882569,-3817714,-13810060,-3604982,-2311200,-5563557,-20478663,-8765397,-2913490,-13148847,-2465324,-3665644,-49336530,-26156165
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,816591,36579511,- -,-18169658,- -,- -,- -,- -,2477760,-1206609948
86,Purchases of Investments,-39552408,-12075587,-16638219,-43317780,-33849000,-16311000,-47783024,-11787200,-20783313,-50686269,-41650232,-377431133,-398269178,-84873929,-423423792,-164406580,-451330782,-289772296,-1749556434,-2191837246
87,Sales/Maturities of Investments,29054127,14832008,9055420,19611980,22779000,22745000,18161,16223311,50692950,36046710,31053715,152552528,392557316,196608676,343537921,210230093,276369136,371879814,915581670,2591975683
88,Other Investing Activites,-471122,-35859,-201377,-7692970,-25108000,-11598000,10068516,-1224237,-29582294,-1132548,-1294661,-4508041,-12887118,-5909552,1602121,-11573953,-480007,-451689,-43670539,-20728411
89,Cash Used for Investing Activites,-11891173,2038485,-9289278,-31398770,-36178000,-5164000,-39313295,625732,-1996073,-18092460,-12091126,-193856701,-21498642,86268898,-80786036,32932502,-177262402,78552499,-879622866,-831010132
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,225000,- -,- -,-6707,- -,- -,-2349801,-2786972,-3126348
91,Common Stock Issued,- -,- -,- -,18878980,20132340,33308130,- -,- -,- -,- -,- -,128379156,- -,- -,115371872,- -,193613868,- -,80598468,1291436771
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-15500,-1762566,-1837552,-2823625,-7833944,-5392931,-2181963,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,23951177,-2053744,10492838,-481200,-579420,-737940,2491513,1404028,2291709,3085502,3444061,4845876,3914707,1327325,-2780471,8173820,-14151782,2703040,829374628,34613057
95,Cash Used/Provided by Financing Activities,23951177,-2053744,10492838,18397780,19552920,32570190,2491513,1404028,2276209,1322936,1606509,130626407,-3919237,-4065606,110402731,8173820,179462086,353239,907186124,1322923480
96,Effect of Forex Changes on Cash,2540,12190,-1273,40760,25290,170260,-119128,90860,50921,176713,69344,-4467,700,69,- -,- -,-59463,87115,3397655,2985312
97,Net Change In Cash,-3183252,5810374,5878742,-8515050,-252410,44642520,-8293337,1141589,2863135,10477648,-8625259,25902856,-39635535,58689512,-16999012,2660468,-31129293,-1145786,65480630,13453576
98,Cash at the End of Period,842082,6652456,12531198,53559000,66690110,107245240,40113727,41255316,44118451,54596099,45970840,71873696,32238161,90927673,73928661,76589129,45459836,44314050,109794680,123248256
99,Cash at the Beginning of Period,4025334,842082,6652456,62074050,66942520,62602720,48407064,40113727,41255316,44118451,54596099,45970840,71873696,32238161,90927673,73928661,76589129,45459836,44314050,109794680
100,Free Cash Flow,-16167566,5131366,2949709,4216530,15438380,16856070,24765004,-4796745,-11277982,23465477,-521186,83574060,-34697019,-32279246,-49529198,-51594702,-35734838,-83804283,-14066813,-507601249
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340243/000119312519073431/0001193125-19-073431-index.htm,https://www.sec.gov/Archives/edgar/data/1340243/000119312520077290/0001193125-20-077290-index.htm,- -,- -
102,Forex Rate,1.0501,1.2588,1.3558,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
