,https://roic.ai/company/APO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,96964769,96964769,96964769,96964769,96964769,116364110,129540377,142214350,155349017,173271666,183998080,192581693,201400500,208748524,227530600,227530600
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411494/000119312512107084/0001193125-12-107084-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1411494/000141149415000008/apo-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1411494/000141149416000030/0001411494-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149417000009/0001411494-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149418000010/0001411494-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149419000016/0001411494-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149420000012/0001411494-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149421000012/0001411494-21-000012-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,209347000,763053000,381367000,366226000,469825000,912221000,2628921000,2174707000,2294615000,674115000,854982000,844185000,659418000,1601531000,2448823000,917183000
32,Short-Term Investments,10756303000,2164240000,958645000,1554155000,3263164000,5159431000,14827631000,- -,- -,- -,- -,364649000,392932000,554387000,- -,- -
33,Cash and Short-Term Investments,10965650000,2927293000,1340012000,1920381000,3732989000,6071652000,17456552000,2174707000,2294615000,674115000,854982000,1208834000,1052350000,2155918000,2448823000,917183000
34,Net Receivables,164244000,1381228000,222264000,617532000,2011436000,1045322000,2051568000,2620817000,1217255000,896313000,1517575000,2143930000,1307546000,1973160000,510593000,493826000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,5991000,3362000,5844000,6818000,43317000,72196000,309563000,25479000,39226000,54121000,82980000,-171232000,-259384000,-479419000,64347000,707885000
37,Total Current Assets,11135885000,4311883000,1568120000,2544731000,5787742000,7189170000,19817683000,4821003000,3551096000,1624549000,2455537000,3181532000,2100512000,3649659000,3023763000,2118894000
38,PP&E,36446000,20178000,68063000,67794000,44696000,52683000,53452000,40251000,35906000,31636000,25154000,19184000,19990000,232708000,375130000,450531000
39,Goodwill,- -,40056000,47897000,47897000,48894000,48894000,48894000,49243000,49243000,88852000,88852000,88852000,88852000,93911000,116958000,116958000
40,Intangible Assets,- -,95647000,81728000,69051000,64574000,81846000,137856000,94927000,60039000,28620000,22721000,18842000,18899000,20615000,23586000,- -
41,Intangible Assets,- -,135703000,129625000,116948000,113468000,130740000,186750000,144170000,109282000,117472000,111573000,107694000,107751000,114526000,140544000,116958000
42,Investments,- -,- -,- -,- -,- -,- -,- -,16520245000,18538659000,2065315000,2408571000,3291743000,4291221000,5377415000,19128412000,11353580000
43,Tax Assets,2242000,614475000,669023000,644395000,571325000,576304000,542208000,660199000,606717000,646207000,572263000,337638000,306094000,473165000,539244000,424132000
44,Other Non-Current Assets,5348000,33403000,39701000,11329000,35141000,26976000,36765000,292113000,337177000,74629000,56455000,53279000,-833914000,-1305356000,461991000,16037799000
45,Total Non-Current Assets,44036000,803759000,906412000,840466000,764630000,786703000,819175000,17656978000,19627741000,2935259000,3174016000,3809538000,3891142000,4892458000,20645321000,28383000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11179921000,5115642000,2474532000,3385197000,6552372000,7975873000,20636858000,22477981000,23178837000,4559808000,5629553000,6991070000,5991654000,8542117000,23669084000,30501894000
48,Accounts Payable,19724000,771213000,48891000,548593000,517645000,578764000,38337000,40675000,48336000,92012000,57465000,68873000,70878000,94364000,119982000,145054000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,750000000,534956000,530700000,362074000,370864000,71359000,54466000,40530000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,46090000,153900000,364901000,321424000,251475000,232747000,252157000,279479000,199614000,177875000,174893000,128146000,111097000,84639000,30369000,119688000
52,Other Current Liabilities,193279000,105312000,656115000,66332000,763888000,432374000,1391300000,1587611000,1059283000,945046000,1241028000,1242763000,951159000,1342370000,1573782000,2667054000
53,Total Current Liabilities,259093000,1030425000,1069907000,936349000,1533008000,1243885000,1681794000,2657765000,1842189000,1745633000,1835460000,1810646000,1204493000,1575839000,1764663000,2931796000
54,Long-Term Debt,93738000,1057761000,1026005000,933834000,751525000,3928353000,12572773000,12423962000,14622158000,1295825000,1776918000,1993601000,2144550000,3428360000,14206884000,3639602000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,279479000,199614000,177875000,174893000,128146000,111097000,84639000,- -,- -
56,Deferred Tax Liabilities,- -,- -,6330000,- -,- -,- -,13717000,37272000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,495100000,619127000,46505000,215904000,1186420000,155314000,665191000,390781000,571415000,-48506000,-25246000,160881000,79674000,415152000,2184274000,13736130000
58,Total Non-Current Liabilities,588838000,1676888000,1078840000,1149738000,1937945000,4083667000,13251681000,13131494000,15393187000,1425194000,1926565000,2282628000,2335321000,3928151000,16391158000,17375732000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209479000,332915000,505206000
61,Total Liabilities,847931000,2707313000,2148747000,2086087000,3470953000,5327552000,14933475000,15789259000,17235376000,3170827000,3762025000,4093274000,3539814000,5503990000,18155821000,20307528000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264398000,554213000,554213000,554213000,554213000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,-962107000,-1874365000,-2029541000,-1937818000,-2426197000,-2142020000,-1568487000,-1400661000,-1348384000,-986186000,-379460000,-473276000,- -,- -,1143899000
65,Other Comprehensive Income/Loss,- -,-6033000,-6836000,-4088000,-1529000,-488000,144000,1581174000,932860000,-7620000,-8723000,-1809000,-4159000,-4578000,-2071000,-5374000
66,Other Total Stockholders Equity,10346144000,3380102000,2214330000,3353681000,5021237000,5114202000,- -,- -,7412833000,2745365000,2862714000,3279256000,2929116000,3043127000,5625084000,- -
67,Total Stockholders Equity,484921000,96043000,-497058000,-304036000,150902000,726401000,2666818000,2637269000,1786482000,649505000,835116000,1462926000,1376196000,1852222000,1429315000,3789141000
68,Total Liabilities And Stockholders Equity,1332852000,2803356000,1651689000,1782051000,3621855000,6053953000,17600293000,18426528000,19021858000,3820332000,4597141000,5556200000,4916010000,7356212000,19585136000,24096669000
69,Minority Interest,9847069000,2312286000,822843000,1603146000,2930517000,1921920000,3036565000,4051453000,4156979000,739476000,1032412000,1434870000,1075644000,1185905000,4083948000,6405225000
70,Total Liabilities & Equity,11179921000,5115642000,2474532000,3385197000,6552372000,7975873000,20636858000,22477981000,23178837000,4559808000,5629553000,6991070000,5991654000,8542117000,23669084000,30501894000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411494/000119312512107084/0001193125-12-107084-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1411494/000141149415000008/apo-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1411494/000141149416000030/0001411494-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149417000009/0001411494-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149418000010/0001411494-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149419000016/0001411494-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149420000012/0001411494-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149421000012/0001411494-21-000012-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,372979000,-569651000,-912258000,-155176000,94617000,-468826000,310957000,659391000,168229000,134497000,402850000,629104000,-10376000,843193000,156614000,- -
74,Depreciation and Amortization,3288000,7869000,22099000,24299000,24249000,26260000,53236000,54241000,45069000,44474000,18735000,18379000,15233000,15758000,18828000,- -
75,Deferred Income Tax,360000,-866000,-44047000,19059000,71241000,10580000,55309000,62701000,80356000,26431000,81880000,314127000,79188000,-145432000,36046000,- -
76,Stock Based Compensation,- -,989849000,1125184000,1100106000,1118412000,1149753000,598654000,126605000,126653000,97676000,102983000,91450000,173228000,189648000,213140000,- -
77,Change in Working Capital,-23187000,-7595334000,-2783245000,1110169000,2646352000,1690551000,-699353000,144923000,-412620000,-1829991000,741161000,750809000,-474867000,1177801000,-814720000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000,4378000,-2817000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,34034000,33986000,49403000,-34360000,11408000,2005000,23486000,25618000,- -
81,Other Working Capital,10876792000,3281458000,498213000,1608382000,4254734000,5945285000,2047000,598032000,1708907000,-121084000,620077000,1370886000,896019000,2073820000,1259100000,- -
82,Other Non-Cash Items,-2178944000,8023874000,2745338000,-1990464000,-4172922000,-1664497000,-53252000,-22479000,-380604000,2109586000,-732349000,-995611000,1031853000,-998274000,-1226338000,- -
83,Cash Provided by Operating Activities,-1825504000,855741000,153071000,107993000,-218051000,743821000,265551000,1025382000,-372917000,582673000,615260000,808258000,814259000,1082694000,-1616430000,- -
84,CAPEX,-7039000,-6856000,-57302000,-15849000,-5601000,-21285000,-11259000,-7577000,-5949000,-6203000,-6356000,-8529000,-14741000,-39495000,-59562000,- -
85,Acquisitions Net,- -,- -,- -,- -,20270000,-29632000,-99190000,-98422000,-109923000,-234382000,-224946000,-153309000,- -,-186985000,-168512000,- -
86,Purchases of Investments,- -,- -,- -,-42522000,-63459000,-142368000,-126917000,- -,- -,-25000000,-46880000,-376523000,-823584000,-556578000,-2440663000,- -
87,Sales/Maturities of Investments,- -,- -,- -,42475000,38868000,64844000,152645000,- -,50000000,25000000,- -,- -,472581000,394078000,1620212000,- -
88,Other Investing Activites,-2372000,-22257000,-129156000,-974000,255000,-1095000,-70000,217726000,79304000,37649000,95421000,121347000,118484000,125008000,210866000,- -
89,Cash Used for Investing Activites,-9411000,-29113000,-186458000,-16870000,-9667000,-129536000,-84791000,111727000,13432000,-202936000,-182761000,-417014000,-247260000,-263972000,-837659000,- -
90,Debt Repayment,-1781000,-21376000,-58611000,-55783000,-182309000,-417808000,-516595000,-2955878000,-2621499000,- -,-597275000,-443082000,-392153000,-388871000,-953015000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,381518000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3485000,-43000,- -,-128064000,-62326000,-312000,- -,-13377000,-18463000,-90908000,-110726000,-91617000,- -
93,Dividends Paid,-190503000,- -,-72777000,-16866000,-74560000,-102598000,-467340000,-1004538000,-1209487000,-433304000,-239109000,-380238000,-438525000,-471930000,-586188000,- -
94,Other Financing Activites,1996324000,-251546000,-216911000,-30130000,500673000,-112935000,1133959000,3017719000,4316909000,-534774000,613604000,388148000,169402000,1111240000,4930130000,- -
95,Cash Used/Provided by Financing Activities,1804040000,-272922000,-348299000,-106264000,243761000,-251823000,21960000,-1005023000,485611000,-968078000,-236157000,-453635000,-752184000,139713000,3299310000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-30875000,553706000,-381686000,-15141000,16043000,362462000,202720000,132086000,126126000,-588341000,196342000,-62391000,-185185000,958435000,845221000,- -
98,Cash at the End of Period,209347000,763053000,381367000,366226000,382269000,744731000,947451000,1079537000,1205663000,617322000,813664000,751273000,662875000,1621310000,2466531000,- -
99,Cash at the Beginning of Period,240222000,209347000,763053000,381367000,366226000,382269000,744731000,947451000,1079537000,1205663000,617322000,813664000,848060000,662875000,1621310000,- -
100,Free Cash Flow,-1832543000,848885000,95769000,92144000,-223652000,722536000,254292000,1017805000,-378866000,576470000,608904000,799729000,799518000,1043199000,-1675992000,- -
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1411494/000119312512107084/0001193125-12-107084-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1411494/000141149415000008/apo-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1411494/000141149416000030/0001411494-16-000030-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149417000009/0001411494-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149418000010/0001411494-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149419000016/0001411494-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149420000012/0001411494-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1411494/000141149421000012/0001411494-21-000012-index.htm,undefined
102,false,,,,,,,,,,,,,,,,
