,https://roic.ai/company/KTEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2820000,50000,- -,- -,- -,12950,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2820000,50000,- -,- -,10700,63550,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82090,81722
61,Total Liabilities,- -,25663,37514,44227,50987,58053,68236,- -,110064,2900000,380000,280000,1816866,1678090,1679550,165399
62,Preferred Stock,- -,3780,3780,- -,- -,- -,- -,- -,- -,- -,1302925,- -,- -,- -,- -,- -
63,Common Stock,- -,138,- -,1116,1116,1116,1116,- -,1116,10000,10000,- -,27192,40690,40690,40692
64,Retained Earnings,- -,-2838211,- -,-2867932,-2867800,-2867932,-2867932,- -,-2867932,-2750000,-2840000,-2980000,-3190873,-4352070,-5896980,- -
65,Other Comprehensive Income/Loss,- -,- -,15325,6892,- -,-6934,-17117,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,2812295,- -,2815697,2815697,2815697,2815697,- -,2756752,1638437,440579,1576954,- -,7041695,7380034,1492143
67,Total Stockholders Equity,- -,-21998,-35794,-44227,-50987,-58053,-68236,-87844,-110064,-1101563,-1086496,-1403046,-460648,2730315,1523744,1532835
68,Total Liabilities And Stockholders Equity,- -,3665,1720,- -,- -,- -,- -,- -,- -,1798437,-706496,-1123046,1356218,4408405,3203294,1698234
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1321563,1356496,1303046,- -,5,-4,1068841
70,Total Liabilities & Equity,- -,3665,1720,- -,- -,- -,- -,- -,- -,3120000,650000,180000,1356218,4408410,3203290,2767075
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845819/000102402011000063/0001024020-11-000063-index.html,https://www.sec.gov/Archives/edgar/data/845819/000154963212000033/0001549632-12-000033-index.html,https://www.sec.gov/Archives/edgar/data/845819/000154963213000039/0001549632-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/845819/000151597114000538/0001515971-14-000538-index.html,https://www.sec.gov/Archives/edgar/data/845819/000151597116000420/0001515971-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597117000008/0001515971-17-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/845819/000151597119000057/0001515971-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597120000054/ktel10k123119.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597121000031/0001515971-21-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,- -,-11386,-14396,-8433,-6760,-7066,-7066,- -,-22220,-2710000,-12680,-135740,-1713180,-1161200,-1584900,239
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,421520,166149,989786,838003
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,44349,133044,49771,37494,602163,338333,80603
77,Change in Working Capital,- -,11367,-13796,-8433,-6760,-7066,-10183,68236,-110064,1250064,-1430000,20000,89655,328658,-540140,970075
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1782,711,- -,212512,-154448,745112,-59629
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25139,44825,-3574,-13127
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-625,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-21998,-35794,-44227,-50987,-58053,-68236,- -,-110064,1140000,-290000,-270000,-100638,-500500,-1040640,-70565
82,Other Non-Cash Items,- -,- -,26247,15146,13520,14132,17249,-68236,132284,1059346,678025,-19693,163676,-913890,973599,-1317374
83,Cash Provided by Operating Activities,- -,-19,-1945,-1720,- -,- -,- -,- -,- -,-356241,-631611,-85662,-1000835,-978120,176678,571546
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260723,-591044,- -,-5845,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151524,- -,- -,- -,-443627,14318,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,- -,-5845,266043,44285,-10833
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-412247,-587044,- -,-5845,-177584,58603,-10833
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66028,-49761,-160522,-124405
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39488,-60495,- -,- -,- -,- -,-310130
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,1990000,100000,90010,1050020,-32175,60205,397543
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1950512,39505,90010,983992,1118064,-100317,-36992
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-19,-1945,- -,- -,- -,- -,- -,- -,1950512,-1179150,4348,-22688,-37640,134964,523721
98,Cash at the End of Period,- -,3665,1720,- -,- -,- -,- -,- -,- -,1182024,2874,7222,94150,56510,191474,715195
99,Cash at the Beginning of Period,- -,3684,3665,1720,- -,- -,- -,- -,- -,- -,1182024,2874,116838,94150,56510,191474
100,Free Cash Flow,- -,-19,-1945,-1720,- -,- -,- -,- -,- -,-616964,-1222655,-85662,-1006680,-978120,176678,571546
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/845819/000102402011000063/0001024020-11-000063-index.html,https://www.sec.gov/Archives/edgar/data/845819/000154963212000033/0001549632-12-000033-index.html,https://www.sec.gov/Archives/edgar/data/845819/000154963213000039/0001549632-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/845819/000151597114000538/0001515971-14-000538-index.html,https://www.sec.gov/Archives/edgar/data/845819/000151597116000420/0001515971-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597117000008/0001515971-17-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/845819/000151597119000057/0001515971-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597120000054/ktel10k123119.htm,https://www.sec.gov/Archives/edgar/data/845819/000151597121000031/0001515971-21-000031-index.htm
102,false,,,,,,,,,,,,,,,,
