,https://roic.ai/company/HBM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,800836,185942569,172500000,13000000,24700000,100000,1200000,- -,- -,506700000,972293000,- -,1207612000,1215674000,1045800000,1034793000,1034421000,1135675000,1224747000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443902000,426363000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229433000,261764000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,128622290,119400000,120900000,145300000,136100000,164500000,206100000,431100000,920100000,1395688000,17139000,1107118000,1162606000,1101800000,1144822000,1181666000,709042000,717313000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,800836,314564859,291900000,133900000,170000000,136200000,165700000,206100000,431100000,1426800000,2367981000,17139000,2314730000,2378280000,2147600000,2179615000,2216087000,2518052000,2630187000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,14657195,7758739,11162491,5029789,419885,- -,- -,- -,- -,- -,- -,3225000,- -,84573000,74235000,81947000,63514000,78002000
61,Total Liabilities,- -,- -,- -,- -,- -,627120,1591804,407549038,402200000,304100000,361700000,295600000,313700000,435200000,623600000,1742800000,2741823000,- -,2692295000,2693344000,2504500000,2506779000,2607838000,2966839000,3139403000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,10560560,16486393,99936779,123600000,264800000,312300000,519800000,612400000,631900000,1000800000,1028600000,1562249000,- -,1576600000,1588319000,1777400000,1777340000,1777340000,1777340000,1778848000
64,Retained Earnings,- -,- -,- -,- -,- -,-8834016,-14691867,-5395378,67700000,551700000,872000000,749900000,974600000,1047000000,755300000,707100000,474158000,- -,195750000,151652000,319700000,384498000,18567000,-53334000,-301838000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1021,-5453,-1024839,-200000,-101900000,-10800000,-30200000,12200000,83600000,45400000,74200000,145302000,- -,29880000,46482000,94200000,34036000,104432000,-2530049000,-182000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,403318,5857663,33561815,33823368,112620316,29401141,41272391,26574998,-23499240,-25630264,-41980858,-645592280,2107678790,-14940000,-23241000,-47045000,-17018000,-52216000,2505849000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,2128841,7646736,127078377,224923368,827220316,1202901141,1280772391,1625774998,1739000760,1775869736,1767919142,1536116720,2107678790,1787290000,1763212000,2144255000,2178856000,1848123000,1699806000,1476828000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,2755960,9238540,534627414,627123368,1131320316,1564601141,1576372391,1939474998,2174200760,2399469736,3510719142,4277939720,- -,4479585000,4456556000,4648755000,4685635000,4455961000,4666645000,4616231000
69,Minority Interest,- -,- -,- -,- -,- -,-0,0,- -,-123368,479684,-7401141,527609,-7274998,6099240,3030264,4880858,572941280,- -,- -,- -,-55000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,2755960,9238540,534627414,627000000,1131800000,1557200000,1576900000,1932200000,2180300000,2402500000,3515600000,4850881000,- -,4479585000,4456556000,4648700000,4685635000,4455961000,4666645000,4616231000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000104746906003814/a2168606zex-99_2.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000110465913025425/0001104659-13-025425-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000106299316008645/0001062993-16-008645-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299317001601/0001062993-17-001601-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299318001423/0001062993-18-001423-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299319001478/0001062993-19-001478-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299320001579/0001062993-20-001579-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2545103,-204380,-1143199,-2265600,-2878064,-602434,-3967159,-8251951,70400000,497400000,211700000,68700000,98900000,70800000,-155600000,-18500000,-98400000,65350000,-331428000,-35193000,139692000,85416000,-343810000,-144584000,-244358000
74,Depreciation and Amortization,8386,5670,- -,- -,- -,1021,4213,1200359,47737214,62232327,95624558,72551356,96199981,103382459,102449559,77002101,72794125,80296504,217617000,299134000,293235000,333144000,346634000,363603000,359767000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-330244,- -,-130051476,107179643,40562859,2118231,21877500,- -,73700029,50031462,-51965784,-67613000,40798000,34829000,85421000,-108953000,-34505000,41607000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4480947,6334986,2974535,5798981,4555913,6924177,-319000,9887000,15919000,-2373000,2714000,15008000,12145000
77,Change in Working Capital,-98722,83091,-139197,77651,-27310,-2767,-93619,1890795,18676597,-57370453,20481672,9897288,-17810142,55731083,15466210,-70514560,-77852494,-84993022,-102412000,17778000,-79269000,-21800000,3571000,-2383000,-104046000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15327094,-37974924,27732615,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-9851598,-14046840,-39461222,-20091891,28581758,15050138,9432491,17622919,12924821,5547677,-15462674,-44581000,2653000,-18690000,-32000,-11759000,-2867000,-32752000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21928501,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-98722,83091,-139197,77651,-27310,-2767,-93619,422580,6406923,- -,- -,23829,- -,24401096,- -,-39854045,-72368681,-49005048,-53169000,-48452000,-40645000,-18320000,9949000,5679000,-430000
82,Other Non-Cash Items,1828826,0,1046064,2118129,2436597,-5944,1607071,-521570,-12083313,-8512732,68066737,11005012,-82471770,-2576916,279782174,479191776,184223229,234866219,469820000,142670000,135170000,-256000,410700000,42341000,318701000
83,Cash Provided by Operating Activities,-806613,-115619,-236331,-69820,-468778,-610124,-2449495,-6012611,124730498,363697666,503052610,202716516,101417248,255549112,245072478,546678327,135352236,250478094,185665000,475074000,539576000,479552000,310856000,239480000,383816000
84,CAPEX,-1862732,-550517,-265029,-266039,-43688,-171288,-1231096,-4308982,-61067677,-102307824,-118083409,-118912901,-97329768,-172305431,-242222331,-513123850,-849945059,-846530159,-490664000,-192822000,-249763000,-190899000,-259202000,-361185000,-377433000
85,Acquisitions Net,- -,- -,- -,- -,- -,260090,- -,-212629145,- -,-8260981,- -,107433854,- -,- -,-104143976,- -,- -,2809124,-9729000,- -,- -,-19050000,-44688000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5853638,-896698,-573578472,-3767548,-52610582,-43572968,-3821758,-6719761,-2748824,- -,-359000,-2245000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,398657,- -,- -,101793755,682499284,8049712,19701273,- -,- -,- -,- -,- -,- -,53000,- -,- -,1193000
88,Other Investing Activites,1047899,305111,7131,6479,224982,762467,-1368473,-11058612,11220079,13727,- -,-119304026,-42571865,49927012,149887365,-33557492,-135121200,14841583,14849000,46125000,17744000,7760000,11520000,2167000,1238000
89,Cash Used for Investing Activites,-814833,-245405,-257898,-259560,181294,851269,-2599570,-227996739,-49448941,-116408717,-118980107,-602567790,538830102,-162249040,-214775710,-548488687,-988958179,-830411075,-485544000,-147056000,-234264000,-202136000,-292370000,-359018000,-375002000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4082705,- -,- -,- -,- -,-122549661,-30827000,-179387000,-288948000,-20926000,-32952000,-443232000,-660597000
91,Common Stock Issued,1192593,213922,108689,52028,- -,- -,6660296,116180312,17743241,117059883,7775422,511093,- -,- -,- -,- -,- -,141980084,13199000,11719000,186852000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6254670,-43788825,-4775093,-63283875,- -,- -,- -,- -,- -,- -,- -,-69000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14898616,-33639569,-34570731,-17772852,-3661940,-3604000,-3567000,-3686000,-4045000,-3927000,-3783000,-4146000
94,Other Financing Activites,124792,81653,380029,288562,274279,-129127,-131745,170342057,-24087308,-155256520,-8108654,-9835661,8970490,2584586,-2106758,465754953,190061703,171173096,209191000,-64842000,12935000,-95314000,-100899000,609108000,488844000
95,Cash Used/Provided by Financing Activities,1317385,295575,488718,340590,274279,-129127,6528551,286522368,-6344068,-38196637,-6587903,-53113394,112692,-75597904,-35746327,431184222,172288851,186941578,187959000,-236077000,-92847000,-120354000,-137778000,162093000,-175899000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-573145,-2546065,416953,-2133697,15949877,-9009646,-2825548,2887365,10913422,18581478,27612287,-12896000,1071000,-2830000,1936000,-59000,434000,-1061000
97,Net Change In Cash,-304061,-65449,-5512,11210,-13204,112018,1479487,51939874,66391424,209509266,375350904,-437014790,631350396,14876620,-2562194,440287285,-662735614,-365379115,-124816000,93012000,209635000,158998000,-119351000,42989000,-168146000
98,Cash at the End of Period,86593,15084,10513,21364,18829,123979,1630000,53698405,121973480,331043240,764994446,185478225,846923885,901548752,880584721,1344036670,593017271,178551246,53852000,146864000,356499000,515497000,396146000,439135000,270989000
99,Cash at the Beginning of Period,390654,80532,16025,10154,32033,11961,150513,1758531,55582056,121533974,389643542,622493016,215573489,886672132,883146915,903749384,1255752886,543930362,178668000,53852000,146864000,356499000,515497000,396146000,439135000
100,Free Cash Flow,-2669345,-666136,-501361,-335859,-512466,-781412,-3680591,-10321593,63662821,261389842,384969201,83803615,4087480,83243681,2850147,33554477,-714592823,-596052065,-304999000,282252000,289813000,288653000,51654000,-121705000,6383000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000104746906003814/a2168606zex-99_2.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000110465913025425/0001104659-13-025425-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1322422/000106299316008645/0001062993-16-008645-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299317001601/0001062993-17-001601-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299318001423/0001062993-18-001423-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299319001478/0001062993-19-001478-index.html,https://www.sec.gov/Archives/edgar/data/1322422/000106299320001579/0001062993-20-001579-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
