,https://roic.ai/company/CVT,2018,2019,2020,2021
36,Other Current Assets,- -,35142000,34620000,45872000
37,Total Current Assets,- -,253150000,240998000,285187000
38,PP&E,- -,82872000,60637000,43704000
39,Goodwill,- -,1614157000,1605628000,1617880000
40,Intangible Assets,- -,468657000,396446000,330222000
41,Intangible Assets,- -,2082814000,2002074000,1948102000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,2163000,2036000,2403000
44,Other Non-Current Assets,- -,24017000,25906000,26683000
45,Total Non-Current Assets,- -,2191866000,2090653000,2020892000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,2445016000,2331651000,2306079000
48,Accounts Payable,- -,5889000,4078000,2675000
49,Short-Term Debt,- -,19995000,33830000,11290000
50,Tax Payable,- -,8607000,9550000,10774000
51,Deferred Revenue,- -,225131000,207622000,239843000
52,Other Current Liabilities,- -,131704000,98811000,104809000
53,Total Current Liabilities,- -,382719000,344341000,358617000
54,Long-Term Debt,- -,807488000,794270000,293111000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,15062000,16950000,16695000
57,Other Non-Current Liabilities,- -,3966000,5239000,8200000
58,Total Non-Current Liabilities,- -,826516000,816459000,318006000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,64526000,56227000,42099000
61,Total Liabilities,- -,1209235000,1160800000,676623000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,48000
64,Retained Earnings,- -,-681795000,-765528000,-851607000
65,Other Comprehensive Income/Loss,- -,-1234000,-69000,-2746000
66,Other Total Stockholders Equity,- -,1918809000,1936447000,- -
67,Total Stockholders Equity,- -,1235781000,1170851000,1629456000
68,Total Liabilities And Stockholders Equity,- -,2445016000,2331651000,2306079000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2445016000,2331651000,2306079000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1827075/000119312521102380/0001193125-21-102380-index.htm,https://www.sec.gov/Archives/edgar/data/1827075/000095017022003009/0000950170-22-003009-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-54040000,-91761000,-83733000,-86079000
74,Depreciation and Amortization,108574000,129119000,138103000,132710000
75,Deferred Income Tax,-26134000,-12299000,2016000,-596000
76,Stock Based Compensation,17911000,18833000,17695000,25056000
77,Change in Working Capital,-23898000,-26786000,-90880000,2591000
78,Accounts Receivable,-33122000,-23412000,786000,19966000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-3646000,-2452000,-36433000,1961000
81,Other Working Capital,-129569000,42360000,-16591000,-606000
82,Other Non-Cash Items,27360000,30923000,45898000,48514000
83,Cash Provided by Operating Activities,49773000,48029000,29099000,122196000
84,CAPEX,-48700000,-64893000,-42653000,-45653000
85,Acquisitions Net,-121689000,-16729000,-1400000,-14647000
86,Purchases of Investments,-28375000,-27759000,-26919000,-35727000
87,Sales/Maturities of Investments,20995000,35627000,27901000,35189000
88,Other Investing Activites,-36616000,-45042000,-40072000,-40978000
89,Cash Used for Investing Activites,-177769000,-73754000,-42571000,-60838000
90,Debt Repayment,-45484000,-7935000,-34535000,-519351000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-253000,-10000,-230000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,131686000,28540000,40073000,522455000
95,Cash Used/Provided by Financing Activities,86202000,20352000,5528000,2874000
96,Effect of Forex Changes on Cash,1029000,255000,693000,-3073000
97,Net Change In Cash,-40765000,-5118000,-7251000,61159000
98,Cash at the End of Period,77839000,72721000,65470000,126629000
99,Cash at the Beginning of Period,118604000,77839000,72721000,65470000
100,Free Cash Flow,1073000,-16864000,-13554000,76543000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1827075/000119312521102380/0001193125-21-102380-index.htm,https://www.sec.gov/Archives/edgar/data/1827075/000095017022003009/0000950170-22-003009-index.htm
102,false,,,,
