,https://roic.ai/company/SHO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,2690000,2522000,2814000,3089000,3190000,3183000,2446000,2614000,2608000,1377000,1464000,1439000,1395000,1225000,1323000,1078000,- -,- -,- -
36,Other Current Assets,- -,- -,40235000,31354000,58851000,72675000,21647000,48607000,54805000,64098000,78170000,221468000,101918000,96983000,87059000,157525000,204580000,64236000,61666000,-2403325000,132880000
37,Total Current Assets,- -,- -,82645000,68115000,124076000,147871000,165700000,266369000,557361000,363230000,263853000,407560000,237686000,354745000,619545000,567624000,728124000,908474000,913732000,435145000,282096000
38,PP&E,821588000,1316659000,1235304000,1134791000,2061546000,2492187000,2801347000,2467451000,1902034000,2046235000,2789685000,2717000,2666000,2315000,1529000,779000,584000,8426000,115923000,79042000,29073000
39,Goodwill,- -,- -,28493000,28493000,27169000,22249000,16251000,13404000,4673000,4673000,13088000,9405000,9405000,9405000,990000,990000,990000,990000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,35214000,- -,- -,7877000,7277000,6677000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,28493000,28493000,27169000,22249000,16251000,13404000,39887000,4673000,13088000,17282000,16682000,16082000,990000,990000,990000,990000,- -,- -,- -
42,Investments,- -,- -,540000,4000,9111000,68714000,35816000,28770000,730000,246000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9492000,8407000,7415000,- -,- -
44,Other Non-Current Assets,- -,- -,17960000,22342000,27287000,29352000,30038000,29617000,13518000,21722000,34614000,2709116000,3251764000,3551823000,3241187000,3169841000,3118622000,3046536000,2881904000,2471530000,2729880000
45,Total Non-Current Assets,- -,- -,1282297000,1185630000,2125113000,2612502000,2883452000,2539242000,1956169000,2072876000,2837387000,2729115000,3271112000,3570220000,3243706000,3171610000,3129688000,3064359000,3005242000,2550572000,2758953000
46,Other Assets,915654000,1445889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,915654000,1445889000,1364942000,1253745000,2249189000,2760373000,3049152000,2805611000,2513530000,2436106000,3101240000,3136675000,3508798000,3924965000,3863251000,3739234000,3857812000,3972833000,3918974000,2985717000,3041049000
48,Accounts Payable,- -,- -,- -,41476000,41697000,48519000,28540000,34484000,22242000,29382000,31508000,22646000,25116000,32577000,30193000,36110000,31810000,30425000,35614000,37326000,47701000
49,Short-Term Debt,- -,- -,25804000,45009000,4387000,23231000,9815000,13002000,363398000,16486000,53935000,76723000,23289000,121328000,85776000,184929000,5477000,5838000,82109000,2261000,20694000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12591000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6938000,8259000,10742000,12727000,14505000,13454000,16711000,18001000,13341000,33750000
52,Other Current Liabilities,- -,- -,67519000,34678000,58507000,68518000,98996000,53816000,83952000,55380000,61338000,93698000,63405000,134337000,322297000,173260000,191818000,179751000,189828000,37865000,73613000
53,Total Current Liabilities,- -,- -,93323000,121163000,104591000,140268000,137351000,101302000,469592000,101248000,146781000,200005000,120069000,298984000,450993000,408804000,242559000,232725000,325552000,90793000,175758000
54,Long-Term Debt,- -,- -,891848000,667452000,1176791000,1476597000,1712336000,1699763000,1050019000,1126817000,1516542000,1286666000,1380786000,1307964000,1010819000,746374000,977282000,971225000,888954000,742528000,613861000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10548000,33188000,28865000,30072000,32852000,25171000,27287000,5225000,7911000,6598000
56,Deferred Tax Liabilities,- -,- -,43612000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000,304000,8887000,- -,- -
57,Other Non-Current Liabilities,- -,- -,4606000,2968000,107878000,105725000,105530000,106241000,107152000,108742000,112623000,20143000,22356000,20318000,20247000,19372000,30365000,30121000,69285000,55106000,5058000
58,Total Non-Current Liabilities,- -,- -,940066000,670420000,1284669000,1582322000,1817866000,1806004000,1157171000,1235559000,1629165000,1317357000,1436330000,1357147000,1061138000,798598000,1033075000,1028937000,972351000,805545000,625517000
59,Other Liabilities,616869000,1047147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15621000,15586000,15576000,15575000,15574000,26804000,27009000,65261000,45523000,25120000
61,Total Liabilities,616869000,1047147000,1033389000,791583000,1389260000,1722590000,1955217000,1907306000,1626763000,1336807000,1775946000,1517362000,1556399000,1656131000,1512131000,1207402000,1275634000,1261662000,1297903000,896338000,801275000
62,Preferred Stock,- -,- -,- -,- -,121250000,176250000,176250000,176250000,176250000,176250000,291250000,391250000,115000000,115000000,115000000,190000000,190000000,190000000,190000000,190000000,281250000
63,Common Stock,- -,- -,332087000,345000,522000,578000,588000,479000,969000,1170000,1173000,1352000,1809000,2048000,2076000,2201000,2253000,2282000,2249000,2156000,2193000
64,Retained Earnings,- -,- -,- -,-27859000,-60243000,-97932000,-70457000,-81971000,-8949000,-388482000,-334816000,-316768000,-287080000,-318918000,-275010000,786901000,932277000,1182722000,1318455000,913766000,948064000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1000000,-4000000,-3000000,-3000000,-5000000,-5000000,-8455000,-9446000,-9444000,-10028000,- -,- -,-11147000,-12617000,- -
66,Other Total Stockholders Equity,298785000,398742000,-1742000,444846000,798400000,958887000,988554000,807547000,721497000,1313361000,1312650000,1493062000,2077176000,2428013000,2468179000,1513696000,1409208000,1288482000,1075281000,955339000,967460000
67,Total Stockholders Equity,298785000,398742000,330345000,417332000,859929000,1037783000,1093935000,898305000,886767000,1099299000,1265257000,1563896000,1898450000,2216697000,2300801000,2482770000,2533738000,2663486000,2574838000,2048644000,2198967000
68,Total Liabilities And Stockholders Equity,915654000,1445889000,1363734000,1208915000,2249189000,2760373000,3049152000,2805611000,2513530000,2436106000,3041203000,3081258000,3454849000,3872828000,3812932000,3690172000,3809372000,3925148000,3872741000,2944982000,3000242000
69,Minority Interest,- -,- -,1208000,44830000,- -,- -,- -,- -,- -,- -,60037000,55417000,53949000,52137000,50319000,49062000,48440000,47685000,46233000,40735000,40807000
70,Total Liabilities & Equity,915654000,1445889000,1364942000,1253745000,2249189000,2760373000,3049152000,2805611000,2513530000,2436106000,3101240000,3136675000,3508798000,3924965000,3863251000,3739234000,3857812000,3972833000,3918974000,2985717000,3041049000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295810/000119312505033593/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312506032691/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312507022812/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312508035335/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312509027323/0001193125-09-027323-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000119312510037652/0001193125-10-037652-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465911008076/a11-5778_110k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000110465912013838/0001104659-12-013838-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465913013600/0001104659-13-013600-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465914013102/a13-26277_110k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837015000098/sho-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837016003377/0001558370-16-003377-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837017000849/0001558370-17-000849-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837018000688/0001558370-18-000688-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837019000674/0001558370-19-000674-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837020000962/0001558370-20-000962-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837021000947/0001558370-21-000947-index.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837022001708/0001558370-22-001708-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-18807000,-10386000,-22266000,-36100000,30205000,53237000,125663000,74743000,-269608000,38542000,80957000,47796000,65988000,81263000,347355000,134197000,145376000,250445000,135733000,-404689000,34298000
74,Depreciation and Amortization,28318000,26038000,68285000,61322000,73158000,101837000,117544000,119414000,111060000,101213000,133903000,148404000,141908000,160124000,166884000,163662000,159103000,146540000,147748000,137051000,128682000
75,Deferred Income Tax,- -,- -,-3241000,-2617000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9235000,1132000,688000,7415000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2745000,3466000,4858000,6221000,6536000,7157000,8042000,9007000,9313000,9576000,12788000
77,Change in Working Capital,- -,-10678000,-42370000,72533000,-11882000,20746000,136718000,-77298000,174213000,-144910000,90483000,-89938000,-61856000,112791000,-9732000,326745000,190184000,-87569000,-243828000,-282045000,3762000
78,Accounts Receivable,- -,- -,- -,-1024000,-42872000,-8324000,8540000,604000,9903000,4269000,-4161000,4587000,1740000,-1532000,1775000,-8401000,3175000,905000,-1726000,26827000,-20515000
79,Inventory,- -,- -,251000,-13000,-307000,-260000,-104000,7000,290000,-163000,-316000,-271000,1524000,100000,44000,40000,-16000,117000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,5515000,21657000,3797000,11224000,-12249000,- -,-1301000,5422000,2279000,7001000,7273000,4619000,476000,-822000,3322000,2935000,4065000,21705000
81,Other Working Capital,- -,-10678000,-53048000,19485000,7603000,28349000,165067000,87769000,261982000,117072000,207555000,117617000,55761000,168552000,158820000,485565000,675749000,588180000,344352000,62307000,-1344000
82,Other Non-Cash Items,33806000,21746000,59626000,-53547000,-4871000,-12716000,-165946000,44004000,54430000,50557000,-151698000,61768000,20221000,-81804000,-210982000,-326348000,-182681000,-14264000,241266000,415987000,-151160000
83,Cash Provided by Operating Activities,43317000,26720000,60034000,41591000,86610000,163104000,213979000,160863000,70095000,45402000,156390000,171496000,171119000,278595000,300061000,305413000,310789000,305291000,290920000,-116705000,28370000
84,CAPEX,- -,- -,-100888000,-104125000,-978897000,-587737000,-538480000,-125392000,-44105000,-199394000,-218688000,- -,- -,- -,- -,- -,- -,-18543000,-25000,-102000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-538480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,- -,-13000,- -,-125000,- -,- -,-111000,-80000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,426000,- -,500000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,119259000,58356000,31412000,87042000,759248000,371206000,62250000,-4818000,-30431000,-193700000,-371338000,-406734000,399366000,-152163000,-145994000,156366000,-47150000,113899000,-239608000
89,Cash Used for Investing Activites,- -,- -,18371000,-45769000,-947485000,-500695000,-317286000,245814000,18645000,-203312000,-249119000,-193700000,-371350000,-406734000,399353000,-152163000,-146119000,156366000,-47150000,113788000,-239688000
90,Debt Repayment,- -,- -,-508654000,-620238000,-295633000,-212868000,-204494000,-190386000,-191856000,-175175000,-568308000,-73398000,-144635000,-157084000,-452057000,-265709000,-405543000,-72705000,-7965000,-477718000,-189884000
91,Common Stock Issued,- -,- -,- -,362011000,320979000,158400000,110895000,- -,269100000,199875000,- -,126533000,566451000,284390000,- -,55133000,79407000,45125000,- -,- -,38443000
92,Common Stock Repurchased,- -,- -,- -,-28511000,-12668000,-693000,-86890000,-184467000,-12025000,-9233000,- -,- -,-276250000,-1000000,- -,-124281000,-3793000,-4232000,-54523000,-107886000,-202164000
93,Dividends Paid,- -,- -,-72006000,-9350000,-56841000,-86731000,-96315000,-99753000,-27911000,-20548000,-25021000,-29748000,-27524000,-47850000,-77544000,-227486000,-163014000,-177622000,-170166000,-156271000,-13693000
94,Other Financing Activites,- -,- -,500182000,280274000,916610000,490974000,418494000,180883000,56460000,87712000,560557000,6836000,29335000,167416000,107158000,279563000,446738000,50835000,-8512000,295958000,325194000
95,Cash Used/Provided by Financing Activities,- -,- -,-80478000,-15814000,872447000,349082000,141690000,-293723000,93768000,82631000,-32772000,30223000,147377000,245872000,-422443000,-282780000,-46205000,-158599000,-241166000,-445917000,-42104000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-2073000,-19992000,11572000,11491000,38383000,112954000,182508000,-75279000,-125501000,8019000,-52854000,117733000,276971000,-129530000,118465000,303058000,2604000,-448834000,-253422000
98,Cash at the End of Period,- -,- -,20229000,16261000,17538000,29029000,67412000,179042000,358610000,277976000,150533000,157217000,104363000,222096000,499067000,369537000,488002000,862369000,864973000,416139000,162717000
99,Cash at the Beginning of Period,- -,- -,22302000,36253000,5966000,17538000,29029000,66088000,176102000,353255000,276034000,149198000,157217000,104363000,222096000,499067000,369537000,559311000,862369000,864973000,416139000
100,Free Cash Flow,43317000,26720000,-40854000,-62534000,-892287000,-424633000,-324501000,35471000,25990000,-153992000,-62298000,171496000,171119000,278595000,300061000,305413000,310789000,286748000,290895000,-116807000,28370000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295810/000119312505033593/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312506032691/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312507022812/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312508035335/d10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000119312509027323/0001193125-09-027323-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000119312510037652/0001193125-10-037652-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465911008076/a11-5778_110k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000110465912013838/0001104659-12-013838-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465913013600/0001104659-13-013600-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000110465914013102/a13-26277_110k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837015000098/sho-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837016003377/0001558370-16-003377-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837017000849/0001558370-17-000849-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837018000688/0001558370-18-000688-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837019000674/0001558370-19-000674-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837020000962/0001558370-20-000962-index.html,https://www.sec.gov/Archives/edgar/data/1295810/000155837021000947/0001558370-21-000947-index.htm,https://www.sec.gov/Archives/edgar/data/1295810/000155837022001708/0001558370-22-001708-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
