,https://roic.ai/company/TERN,2018,2019,2020,2021
53,Total Current Liabilities,2375000,4950000,22821000,6820000
54,Long-Term Debt,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,142000,345000,- -,- -
57,Other Non-Current Liabilities,14325000,14402000,877000,947000
58,Total Non-Current Liabilities,14467000,14747000,877000,947000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,16842000,19697000,23698000,7767000
62,Preferred Stock,94967000,94967000,186033000,- -
63,Common Stock,- -,- -,- -,3000
64,Retained Earnings,-23251000,-91862000,-131915000,-182073000
65,Other Comprehensive Income/Loss,59000,-106000,-124000,-338000
66,Other Total Stockholders Equity,- -,- -,- -,- -
67,Total Stockholders Equity,72230000,4207000,68592000,160303000
68,Total Liabilities And Stockholders Equity,89072000,23904000,92290000,168070000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,89072000,23904000,92290000,168070000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1831363/000156459021016734/0001564590-21-016734-index.htm,https://www.sec.gov/Archives/edgar/data/1831363/000095017022002962/0000950170-22-002962-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-17711000,-68611000,-40053000,-50158000
74,Depreciation and Amortization,65000,195000,394000,512000
75,Deferred Income Tax,- -,- -,693000,219000
76,Stock Based Compensation,234000,668000,1691000,8146000
77,Change in Working Capital,-352000,-68827000,50774000,-1425000
78,Accounts Receivable,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,488000,722000,-1146000,1727000
81,Other Working Capital,86101000,17274000,68048000,-60000
82,Other Non-Cash Items,-307000,70353000,-43308000,879000
83,Cash Provided by Operating Activities,-18071000,-66222000,-29809000,-41827000
84,CAPEX,-244000,-900000,-584000,-340000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-6949000,-58385000,-715000,-166297000
87,Sales/Maturities of Investments,2417000,55429000,7992000,46941000
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-4776000,-3856000,6693000,-119696000
90,Debt Repayment,- -,- -,- -,-12880000
91,Common Stock Issued,- -,- -,- -,136362000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,99761000,62000,85515000,10911000
95,Cash Used/Provided by Financing Activities,99761000,62000,85515000,134393000
96,Effect of Forex Changes on Cash,103000,-131000,80000,-25000
97,Net Change In Cash,77017000,-70147000,62479000,-27155000
98,Cash at the End of Period,82522000,12375000,74854000,47699000
99,Cash at the Beginning of Period,5505000,82522000,12375000,74854000
100,Free Cash Flow,-18315000,-67122000,-30393000,-42167000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1831363/000156459021016734/0001564590-21-016734-index.htm,https://www.sec.gov/Archives/edgar/data/1831363/000095017022002962/0000950170-22-002962-index.htm
102,false,,,,
