,https://roic.ai/company/CYRX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-3.4989,-9.4612,-31.2399,-36.1377,-90.9832,-35.5831,-11.7708,-13.3805,-5.7467,-1.9092,-1.4212,-1.1416,-0.6602,-0.4405,-0.5207,-0.3813,-0.0801
19,Total Other Income Expenses (Gains),- -,-87594,-80377,-228368,-1542642,-13507858,-1452725,-553604,-396650,-56375,-14485451,-1432281,-4341438,-1356,-891032,-594859,-2728000,-256013000
20,Income Before Tax,- -,-1037310,-1521301,-2324659,-4562454,-16703551,-5649961,-6150678,-7831328,-6380833,-19563826,-7025313,-13107547,-7893858,-9535647,-18269904,-32738000,-273842000
21,Income Before Tax Ratio,- -,-3.8217,-9.9890,-34.6431,-54.5983,-475.5595,-47.8989,-12.9351,-14.0943,-5.7979,-7.3550,-1.7852,-1.7070,-0.6603,-0.4859,-0.5383,-0.4160,-1.2302
22,Income Tax expense (Gain),- -,800,800,1600,1600,1600,1600,1600,1600,1600,1600,1600,5673,5143,19954,61575,-45000,1686000
23,Net Income,- -,-1038110,-1522101,-2326259,-4564054,-16705151,-5651561,-6152278,-7832928,-6382433,-19565426,-7026913,-13113220,-7899001,-9555601,-18331479,-32693000,-275528000
24,Net Income ratio,- -,-3.8246,-9.9942,-34.6670,-54.6175,-475.6050,-47.9125,-12.9384,-14.0972,-5.7994,-7.3556,-1.7856,-1.7077,-0.6608,-0.4869,-0.5401,-0.4154,-1.2377
25,EPS,- -,-6.72,-5.60,-8.96,-13.43,-45.90,-12.65,-5.15,-3.02,-1.90,-4.48,-2.27,-0.93,-0.34,-0.34,-0.55,-1.94,-5.97
26,EPS Diluted,- -,-6.72,-5.60,-8.96,-13.43,-45.90,-12.65,-5.15,-3.02,-1.90,-4.48,-2.27,-0.93,-0.34,-0.34,-0.55,-1.94,-5.97
27,Weighted Average Shares Outstanding,- -,159952,266968,276387,352149,368343,447592,1188126,2588061,3372816,4363375,5387474,14220977,22963382,28210648,33394285,38582432,46137147
28,Weighted Average Shares Outstanding Diluted,- -,159952,266968,276387,352149,368343,447592,1188126,2588061,3372816,4363375,5387474,14220977,22963382,28210648,33394285,38582432,46137147
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124524/000101968708002872/0001019687-08-002872-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000101968709002392/0001019687-09-002392-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000101968710002384/0001019687-10-002384-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000095012311061907/0000950123-11-061907-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000119312512285723/0001193125-12-285723-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000114420413036463/0001144204-13-036463-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420414039508/0001144204-14-039508-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420415032332/0001144204-15-032332-index.html,- -,https://www.sec.gov/Archives/edgar/data/1124524/000114420418013595/0001144204-18-013595-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420419013692/0001144204-19-013692-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000110465920031407/0001104659-20-031407-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000110465921030112/0001104659-21-030112-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000141057822000232/0001410578-22-000232-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,720195,4723,264392,2231031,249758,3629886,9278443,4617535,563104,369581,1405186,- -,15042189,37327125,47234770,36873000,139101000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9930968,47060786,56444000,489698000
33,Cash and Short-Term Investments,- -,720195,4723,264392,2231031,249758,3629886,9278443,4617535,563104,369581,1405186,4524529,15042189,47258093,94295556,93317000,628799000
34,Net Receivables,- -,44547,22306,10172,21411,2546,81036,37594,146124,217097,515825,589699,1195479,1625476,3543666,7098191,31377000,39412000
35,Inventory,- -,150980,190321,146008,121952,530241,- -,44224,51754,39212,29703,69680,- -,114796,220514,473961,10535000,16501000
36,Other Current Assets,- -,51118,9270,15320,356686,271452,194418,637414,317338,138892,196505,97337,376418,516427,752269,1096855,11928000,8804000
37,Total Current Assets,- -,966840,226620,435892,2731080,1053997,3905340,9997675,5132751,958305,1111614,2161902,6096426,17298888,51774542,102964563,147157000,693516000
38,PP&E,- -,96940,57520,38400,193852,189301,559241,669580,682021,505485,408892,307926,1647104,2511174,4357498,16293376,44080000,69704000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10999722,145282000,146954000
40,Intangible Assets,- -,16648,9365,9395,474,- -,- -,- -,379083,272263,180086,136821,5000,90646,137220,5177578,213908000,201427000
41,Intangible Assets,- -,16648,9365,9395,474,264364,311965,354854,379083,272263,180086,136821,5000,90646,137220,16177300,359190000,348381000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,535483,64894,- -,9358,19744,19744,9358,- -,363403,363403,350837,437299,1978000,1369000
45,Total Non-Current Assets,- -,113588,66885,47795,729809,518559,871206,1033792,1080848,797492,598336,444747,2015507,2965223,4845555,32907975,405248000,419454000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10127440,- -,- -,- -,- -,- -
47,Total Assets,- -,1080428,293505,483687,3460889,1572556,4776546,11031467,6213599,1755797,1709950,2606649,8111933,20264111,56620097,135872538,552405000,1112970000
48,Accounts Payable,- -,162985,223070,306682,234298,218433,823653,506887,401399,858709,579678,758696,- -,1259629,1709397,2498375,24844000,28583000
49,Short-Term Debt,- -,24000,69000,285435,1252429,3973109,290388,2069790,337902,1400419,2980479,1512088,651934,- -,23191,690518,2290000,3603000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66315,367867,445000,547000
52,Other Current Liabilities,- -,420971,472785,322171,263144,555470,796365,661243,369330,238280,454288,725712,1579333,925514,1262478,1903720,7441000,9912000
53,Total Current Liabilities,- -,607956,764855,914288,1749871,4747012,1910406,3237920,1108631,2497408,4014445,2996496,2231267,2185143,3061381,5460480,35020000,42645000
54,Long-Term Debt,- -,43440,35440,1659281,1711199,- -,2302459,421726,- -,1321664,- -,26452,- -,- -,14711580,- -,116256000,423452000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20935,5882000,4018000
57,Other Non-Current Liabilities,- -,1609067,1643246,197950,- -,1601448,1478256,1423412,1375448,- -,- -,- -,200264,192202,300571,4109775,12549000,1027000
58,Total Non-Current Liabilities,- -,1652507,1678686,1857231,1711199,1601448,3780715,1845138,1375448,1321664,- -,26452,200264,192202,15012151,4130710,134687000,428497000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56347,4800293,14663000,21798000
61,Total Liabilities,- -,2260463,2443541,2771519,3461070,6348460,5691121,5083058,2484079,3819072,4014445,3022948,2431531,2377345,18073532,9591190,169707000,471142000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617,- -,- -,- -,- -,2844000,10275000
63,Common Stock,- -,29708,30082,34782,40929,41863,8137,27505,37761,37761,59980,5026,- -,25702,30319,37340,40000,50000
64,Retained Earnings,- -,-5516790,-7038891,-9365150,-13929204,-30634355,-45943809,-52096087,-59929015,-66311448,-85876874,-97768079,-123533882,-131432883,-140988484,-159319963,-192013000,-467541000
65,Other Comprehensive Income/Loss,- -,-337104,-418574,-437694,-430997,-494126,-253372,-398190,-640028,-899265,-1076784,-1131546,- -,-1546861,3153,-45051,5376000,-1243000
66,Other Total Stockholders Equity,- -,4644151,5277347,7480230,14319091,26310714,45274469,58415181,64260802,65109677,84589183,98477683,- -,150840808,179501577,285609022,566451000,1100287000
67,Total Stockholders Equity,- -,-1180035,-2150036,-2287832,-181,-4775904,-914575,5948409,3729520,-2063275,-2304495,-416299,5680402,17886766,38546565,126281348,382698000,641828000
68,Total Liabilities And Stockholders Equity,- -,1080428,293505,483687,3460889,1572556,4776546,11031467,6213599,1755797,1709950,2606649,8111933,20264111,56620097,135872538,552405000,1112970000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1080428,293505,483687,3460889,1572556,4776546,11031467,6213599,1755797,1709950,2606649,8111933,20264111,56620097,135872538,552405000,1112970000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124524/000101968708002872/0001019687-08-002872-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000101968709002392/0001019687-09-002392-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000101968710002384/0001019687-10-002384-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000095012311061907/0000950123-11-061907-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000119312512285723/0001193125-12-285723-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000114420413036463/0001144204-13-036463-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420414039508/0001144204-14-039508-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420415032332/0001144204-15-032332-index.html,- -,https://www.sec.gov/Archives/edgar/data/1124524/000114420418013595/0001144204-18-013595-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420419013692/0001144204-19-013692-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000110465920031407/0001104659-20-031407-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000110465921030112/0001104659-21-030112-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000141057822000232/0001410578-22-000232-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1038110,-1522101,-2326259,-4564054,-16705151,-5651561,-6152278,-7832928,-6382433,-19565426,-7026913,-13113220,-7899001,-9555601,-18331479,-32693000,-275528000
74,Depreciation and Amortization,- -,92596,88753,111219,1343990,81984,150093,245477,343029,393959,311590,197938,374202,664831,857939,2415222,9869000,20247000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-499000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,948569,166094,477620,- -,- -,678119,881706,3117946,3547781,5478625,16523506,8916000,15345000
77,Change in Working Capital,- -,-147622,-897119,59839,1459605,-4674224,5687949,4764821,-2735635,-5563223,-1363728,2068237,1906682,11248586,33599416,48790922,14632917,-6963000
78,Accounts Receivable,- -,- -,- -,- -,- -,18865,-78490,25242,-90330,-70973,-323604,-76587,-581197,-441643,-1958405,-3596610,-2617000,-7270000
79,Inventory,- -,-97863,-39341,44313,24056,-408289,81012,16004,-7530,12542,9509,-39977,-74895,-25297,-105718,-253447,1322000,-5979000
80,Accounts Payable,- -,- -,- -,- -,- -,-15865,300454,- -,- -,443568,-221929,209138,51320,123249,405074,570477,4245000,- -
81,Other Working Capital,- -,358884,-538235,-478396,981209,-3693015,1994934,6759755,4024120,-1539103,-2902831,-834594,3865159,15113745,48713161,97504083,112137000,3417000
82,Other Non-Cash Items,- -,75020,1174505,1444942,-59791,17762352,-3205934,-4147051,3445400,6766553,15558786,-248670,1995514,-11145323,-33732759,-50722031,-15091917,255025000
83,Cash Provided by Operating Activities,- -,-1018116,-1155962,-710259,-1820250,-2586470,-2853359,-4811411,-6780134,-4785144,-4380659,-4127702,-5718876,-3583126,-3352380,-1323860,-14866000,8126000
84,CAPEX,- -,-14879,-42050,- -,-182528,-108359,-148874,-465450,-388061,-178682,-138886,-70130,-1067926,-1800577,-2960603,-5409449,-9669000,-25007000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20316707,-363140000,-5540000
86,Purchases of Investments,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9923619,-43195959,-158736000,-482707000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5995000,149233000,44000000
88,Other Investing Activites,- -,- -,- -,- -,- -,59063,-106948,-124050,-125420,-22482,- -,- -,-5000,-85646,-46574,-73608,-751000,-1125000
89,Cash Used for Investing Activites,- -,-14879,-42050,- -,-382528,485,-138874,-465450,-388061,-178682,-138886,-70130,-1067926,-1800577,-12884222,-62927115,-382312000,-469254000
90,Debt Repayment,- -,- -,- -,- -,- -,-275220,- -,- -,-90000,-178800,-96000,-351623,-399350,-656221,-14700,-23191,-70000,-3457000
91,Common Stock Issued,- -,1609971,490540,904528,807366,- -,4046863,11571286,4718880,- -,- -,- -,6463256,11405924,17813293,68810718,28160000,269825000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-423372,-2273028,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2844000,- -
94,Other Financing Activites,- -,137136,-8000,65400,3362051,879932,2325498,-222496,151435,1088195,4422022,5585060,- -,5151660,20732499,5362742,354651000,297974000
95,Cash Used/Provided by Financing Activities,- -,1747107,482540,969928,4169417,604712,6372361,10925418,2507287,909395,4326022,5233437,6063906,15901363,38531092,74150269,385585000,564342000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9554,8351,1231000,-986000
97,Net Change In Cash,- -,714112,-715472,259669,1966639,-1981273,3380128,5648557,-4660908,-4054431,-193523,1035605,-722896,10517660,22284936,9907645,-10362000,102228000
98,Cash at the End of Period,- -,720195,4723,264392,2231031,249758,3629886,9278443,4617535,563104,369581,1405186,4524529,15042189,37327125,47234770,36873000,139101000
99,Cash at the Beginning of Period,- -,6083,720195,4723,264392,2231031,249758,3629886,9278443,4617535,563104,369581,5247425,4524529,15042189,37327125,47235000,36873000
100,Free Cash Flow,- -,-1032995,-1198012,-710259,-2002778,-2694829,-3002233,-5276861,-7168195,-4963826,-4519545,-4197832,-6786802,-5383703,-6312983,-6733309,-24535000,-16881000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124524/000101968708002872/0001019687-08-002872-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000101968709002392/0001019687-09-002392-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000101968710002384/0001019687-10-002384-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000095012311061907/0000950123-11-061907-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000119312512285723/0001193125-12-285723-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000114420413036463/0001144204-13-036463-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420414039508/0001144204-14-039508-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420415032332/0001144204-15-032332-index.html,- -,https://www.sec.gov/Archives/edgar/data/1124524/000114420418013595/0001144204-18-013595-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000114420419013692/0001144204-19-013692-index.html,https://www.sec.gov/Archives/edgar/data/1124524/000110465920031407/0001104659-20-031407-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000110465921030112/0001104659-21-030112-index.htm,https://www.sec.gov/Archives/edgar/data/1124524/000141057822000232/0001410578-22-000232-index.htm
102,false,,,,,,,,,,,,,,,,,,
