,https://roic.ai/company/DFIN,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,158900000,92400000,171700000,94300000,56200000,102700000,52100000,-17500000,197800000
21,Income Before Tax Ratio,0.1464,0.0855,0.1636,0.0959,0.0559,0.1066,0.0596,-0.0196,0.1991
22,Income Tax expense (Gain),62600000,35000000,67400000,35200000,46500000,29100000,14500000,8400000,51900000
23,Net Income,96300000,57400000,104300000,59100000,9700000,73600000,37600000,-25900000,145900000
24,Net Income ratio,0.0887,0.0531,0.0994,0.0601,0.0097,0.0764,0.0430,-0.0290,0.1469
25,EPS,2.97,1.77,2.58,1.81,0.29,2.18,1.10,-0.76,4.33
26,EPS Diluted,2.94,1.76,2.56,1.80,0.29,2.16,1.10,-0.76,4.21
27,Weighted Average Shares Outstanding,32400000,32400000,32400000,32600000,33100000,33800000,34100000,33900000,33700000
28,Weighted Average Shares Outstanding Diluted,32700000,32700000,32700000,32800000,33300000,34000000,34300000,33900000,34700000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1669811/000156459017002855/0001564590-17-002855-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459018003788/0001564590-18-003788-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459019004946/0001564590-19-004946-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459020006801/0001564590-20-006801-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459021008822/0001564590-21-008822-index.htm,https://www.sec.gov/Archives/edgar/data/1669811/000095017022001605/0000950170-22-001605-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,28600000,15100000,36200000,52000000,47300000,17200000,73600000,54500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,28600000,15100000,36200000,52000000,47300000,17200000,73600000,54500000
34,Net Receivables,- -,138400000,146200000,252200000,165200000,172900000,161400000,173500000,199100000
35,Inventory,- -,22500000,22200000,24100000,23300000,12100000,11100000,4900000,5600000
36,Other Current Assets,- -,13600000,7300000,17100000,29600000,16700000,21500000,15200000,20500000
37,Total Current Assets,- -,203100000,190800000,329600000,270100000,249000000,211200000,267200000,279700000
38,PP&E,- -,36500000,33000000,35500000,34700000,32200000,98200000,64500000,61300000
39,Goodwill,- -,448800000,446800000,446400000,447400000,450000000,450300000,409900000,410000000
40,Intangible Assets,- -,122700000,112700000,95900000,81000000,85000000,76900000,61000000,72400000
41,Intangible Assets,- -,571500000,559500000,542300000,528400000,535000000,527200000,470900000,482400000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,169000000,10600000,37000000,22200000,9700000,9000000,34000000,31700000
44,Other Non-Current Assets,- -,14100000,23700000,34500000,38100000,42800000,41300000,29000000,28200000
45,Total Non-Current Assets,- -,791100000,626800000,649300000,623400000,619700000,675700000,598400000,603600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,994200000,817600000,978900000,893500000,868700000,886900000,865600000,883300000
48,Accounts Payable,- -,34500000,39500000,85300000,67800000,72400000,58500000,54200000,36300000
49,Short-Term Debt,- -,32900000,8800000,- -,- -,- -,22600000,19800000,17900000
50,Tax Payable,- -,- -,- -,- -,- -,12400000,2700000,11800000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,16100000,- -,- -,- -
52,Other Current Liabilities,- -,73800000,75400000,100700000,119200000,109900000,98400000,164500000,207200000
53,Total Current Liabilities,- -,141200000,123700000,186000000,187000000,198400000,179500000,238500000,261400000
54,Long-Term Debt,- -,44000000,29200000,587000000,458300000,362700000,296000000,281500000,163400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,457500000,41200000,94800000,98800000,81600000,142800000,97800000,81500000
58,Total Non-Current Liabilities,- -,501500000,70400000,681800000,557100000,444300000,438800000,379300000,244900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,80500000,70800000,57300000
61,Total Liabilities,- -,642700000,194100000,867800000,744100000,642700000,618300000,617800000,506300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,300000,300000,300000,300000,300000,400000
64,Retained Earnings,- -,- -,- -,-800000,8900000,94300000,131900000,105500000,251400000
65,Other Comprehensive Income/Loss,- -,-673700000,-16000000,-68300000,-64600000,-82700000,-84600000,-80800000,-78300000
66,Other Total Stockholders Equity,- -,1025500000,639500000,179900000,204800000,214100000,221000000,222800000,203500000
67,Total Stockholders Equity,- -,351500000,623500000,111100000,149400000,226000000,268600000,247800000,377000000
68,Total Liabilities And Stockholders Equity,- -,994200000,817600000,978900000,893500000,868700000,886900000,865600000,883300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,994200000,817600000,978900000,893500000,868700000,886900000,865600000,883300000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1669811/000156459017002855/0001564590-17-002855-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459018003788/0001564590-18-003788-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459019004946/0001564590-19-004946-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459020006801/0001564590-20-006801-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459021008822/0001564590-21-008822-index.htm,https://www.sec.gov/Archives/edgar/data/1669811/000095017022001605/0000950170-22-001605-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,96300000,57400000,104300000,59100000,9700000,73600000,37600000,-25900000,145900000
74,Depreciation and Amortization,37100000,40700000,41700000,43300000,44500000,45800000,71700000,74200000,57600000
75,Deferred Income Tax,-6300000,-13200000,10500000,-5000000,12200000,10500000,2500000,-26400000,-300000
76,Stock Based Compensation,2100000,2100000,1600000,2500000,6800000,9200000,8900000,13600000,19500000
77,Change in Working Capital,1700000,59600000,5200000,76500000,-60500000,-32500000,-18900000,-3000000,-52500000
78,Accounts Receivable,5400000,3900000,-10200000,-43100000,18000000,-25300000,8700000,-14800000,-28800000
79,Inventory,-600000,900000,200000,-1900000,800000,-1600000,1000000,6200000,-800000
80,Accounts Payable,4100000,-6000000,5100000,42300000,-18300000,10700000,-13600000,-4400000,-19800000
81,Other Working Capital,2300000,61900000,67100000,143600000,83100000,50600000,31700000,28700000,-13500000
82,Other Non-Cash Items,8400000,-21300000,-42400000,-70400000,78700000,-40300000,-47300000,121700000,9800000
83,Cash Provided by Operating Activities,139300000,125300000,120900000,106000000,91400000,66300000,54500000,154200000,180000000
84,CAPEX,-19600000,-28800000,-27100000,-26200000,-27800000,-37100000,-44800000,-31100000,-42300000
85,Acquisitions Net,- -,-6000000,- -,- -,- -,65000000,-8500000,- -,-3600000
86,Purchases of Investments,- -,- -,-10000000,-3500000,-3400000,- -,-2300000,-1200000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3100000,12800000,12800000,- -
88,Other Investing Activites,-11100000,-23500000,-27100000,-25800000,-27600000,-37900000,-14200000,-31400000,-41400000
89,Cash Used for Investing Activites,-11100000,-29500000,-37100000,-29300000,-31000000,30200000,-12200000,-19800000,-45000000
90,Debt Repayment,-14400000,-14700000,-14800000,-50000000,-431500000,-457500000,-588000000,-432800000,-591600000
91,Common Stock Issued,- -,- -,- -,- -,18800000,1200000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-900000,-1500000,-1800000,-11800000,-40900000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-117300000,-75700000,-80000000,-10000000,367900000,358800000,515300000,367100000,477600000
95,Cash Used/Provided by Financing Activities,-131700000,-90400000,-94800000,-60000000,-45700000,-99000000,-74500000,-77500000,-154900000
96,Effect of Forex Changes on Cash,-2500000,2000000,-2500000,4400000,1100000,-2200000,2100000,-500000,800000
97,Net Change In Cash,-6000000,7400000,-13500000,21100000,15800000,-4700000,-30100000,56400000,-19100000
98,Cash at the End of Period,21200000,28600000,15100000,36200000,52000000,47300000,17200000,73600000,54500000
99,Cash at the Beginning of Period,27200000,21200000,28600000,15100000,36200000,52000000,47300000,17200000,73600000
100,Free Cash Flow,119700000,96500000,93800000,79800000,63600000,29200000,9700000,123100000,137700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1669811/000156459017002855/0001564590-17-002855-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459018003788/0001564590-18-003788-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459019004946/0001564590-19-004946-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459020006801/0001564590-20-006801-index.html,https://www.sec.gov/Archives/edgar/data/1669811/000156459021008822/0001564590-21-008822-index.htm,https://www.sec.gov/Archives/edgar/data/1669811/000095017022001605/0000950170-22-001605-index.htm
102,false,,,,,,,,,
