,https://roic.ai/company/KMPH,2013,2014,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-5226000,-24454761,-54664000,-16516000,-43386000,-56466000,-24522000,-12760000,-8555000
74,Depreciation and Amortization,68000,74763,84000,175000,336000,324000,304000,273000,150000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,134000,213758,2369000,6600000,4562000,6495000,4410000,2491000,2436000
77,Change in Working Capital,122000,9546327,39392948,21979000,-32228000,-23770000,-10514000,-357000,109980000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-714000,1051000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-3203275,6343052,45736000,67715000,35487000,11717000,1203000,846000,110826000
82,Other Non-Cash Items,575000,-54173,-7449948,-42010000,37616000,19214000,6585000,8414000,-93572000
83,Cash Provided by Operating Activities,-4327000,-14674086,-20268000,-29772000,-33100000,-54203000,-23737000,-1939000,10439000
84,CAPEX,-51000,-48723,-135000,-643000,-181000,-21000,-26000,-33000,-102000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-19002000,-89849000,-27378000,- -,- -,- -,-15422000
87,Sales/Maturities of Investments,- -,- -,- -,44645000,54971000,33353000,3260000,- -,- -
88,Other Investing Activites,17000,5000,- -,-1100000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-34000,-43723,-19137000,-46947000,27412000,33332000,3234000,-33000,-15524000
90,Debt Repayment,-58000,-66148,-32000,-20631000,-157000,-193000,-207000,-227000,-519000
91,Common Stock Issued,- -,- -,59892000,- -,- -,28328000,5446000,2303000,30819000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3846000,23070346,1608000,81794000,-46000,-116000,-300000,663000,82809000
95,Cash Used/Provided by Financing Activities,3788000,23004198,61468000,61163000,-203000,28019000,4939000,2739000,113109000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-573000,8286389,22063000,-15556000,-5891000,7148000,-15564000,767000,108024000
98,Cash at the End of Period,1969000,10255021,32318000,16762000,11971000,19119000,3555000,4322000,112346000
99,Cash at the Beginning of Period,2542000,1968632,10255000,32318000,17862000,11971000,19119000,3555000,4322000
100,Free Cash Flow,-4378000,-14722809,-20403000,-30415000,-33281000,-54224000,-23763000,-1972000,10337000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1434647/000156459016014881/0001564590-16-014881-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774917004317/0001437749-17-004317-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774918005932/0001437749-18-005932-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774919003789/0001437749-19-003789-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774920003965/0001437749-20-003965-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774921005785/0001437749-21-005785-index.htm,https://www.sec.gov/Archives/edgar/data/1434647/000143774922007725/0001437749-22-007725-index.htm
102,false,,,,,,,,,
