,https://roic.ai/company/ARNC,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1790982/000179098220000022/0001790982-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1790982/000179098221000007/0001790982-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1790982/000179098222000011/0001790982-22-000011-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,126000000,81000000,72000000,787000000,335000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,126000000,81000000,72000000,787000000,335000000
34,Net Receivables,- -,546000000,535000000,520000000,759000000,1148000000
35,Inventory,- -,804000000,818000000,820000000,1043000000,1630000000
36,Other Current Assets,- -,64000000,42000000,28000000,53000000,55000000
37,Total Current Assets,- -,1540000000,1476000000,1440000000,2642000000,3168000000
38,PP&E,- -,2861000000,2861000000,2869000000,2856000000,2773000000
39,Goodwill,- -,394000000,385000000,386000000,390000000,322000000
40,Intangible Assets,- -,- -,- -,- -,47000000,38000000
41,Intangible Assets,- -,394000000,385000000,386000000,437000000,360000000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,26000000,15000000,14000000,329000000,229000000
44,Other Non-Current Assets,- -,81000000,58000000,32000000,50000000,50000000
45,Total Non-Current Assets,- -,3362000000,3319000000,3301000000,3672000000,3412000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4902000000,4795000000,4741000000,6314000000,6580000000
48,Accounts Payable,- -,958000000,1165000000,1061000000,1106000000,1718000000
49,Short-Term Debt,- -,- -,- -,33000000,36000000,35000000
50,Tax Payable,- -,51000000,37000000,21000000,33000000,61000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,232000000,228000000,247000000,331000000,310000000
53,Total Current Liabilities,- -,1190000000,1393000000,1341000000,1473000000,2063000000
54,Long-Term Debt,- -,250000000,250000000,250000000,1389000000,1684000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,92000000,82000000,87000000,15000000,12000000
57,Other Non-Current Liabilities,- -,363000000,393000000,335000000,1990000000,1262000000
58,Total Non-Current Liabilities,- -,705000000,725000000,672000000,3394000000,2958000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,119000000,129000000,147000000,125000000
61,Total Liabilities,- -,1895000000,2118000000,2013000000,4867000000,5021000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2584000000,2415000000,2419000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,-155000000,-552000000
65,Other Comprehensive Income/Loss,- -,410000000,250000000,295000000,-1761000000,-1111000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,3348000000,- -
67,Total Stockholders Equity,- -,2994000000,2665000000,2714000000,1433000000,1545000000
68,Total Liabilities And Stockholders Equity,- -,4889000000,4783000000,4727000000,6300000000,6566000000
69,Minority Interest,- -,13000000,12000000,14000000,14000000,14000000
70,Total Liabilities & Equity,- -,4902000000,4795000000,4741000000,6314000000,6580000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1790982/000179098220000022/0001790982-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1790982/000179098221000007/0001790982-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1790982/000179098222000011/0001790982-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,155000000,209000000,170000000,225000000,-109000000,-397000000
74,Depreciation and Amortization,257000000,266000000,272000000,252000000,251000000,253000000
75,Deferred Income Tax,-31000000,29000000,-4000000,-67000000,-16000000,-100000000
76,Stock Based Compensation,26000000,30000000,22000000,40000000,23000000,22000000
77,Change in Working Capital,131000000,- -,-267000000,16000000,1070000000,-505000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,-25000000,-137000000,-51000000,-5000000,65000000,-596000000
80,Accounts Payable,190000000,71000000,247000000,-100000000,82000000,581000000
81,Other Working Capital,350000000,350000000,83000000,99000000,1169000000,21000000
82,Other Non-Cash Items,80000000,-352000000,310000000,-9000000,-1213000000,320000000
83,Cash Provided by Operating Activities,618000000,182000000,503000000,457000000,6000000,-407000000
84,CAPEX,-350000000,-241000000,-317000000,-201000000,-163000000,-184000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-350000000,-250000000,-10000000,-170000000,-38000000,-181000000
89,Cash Used for Investing Activites,-350000000,-250000000,-10000000,-170000000,-38000000,-181000000
90,Debt Repayment,- -,- -,- -,- -,-1100000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-161000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-278000000,136000000,-536000000,-295000000,1844000000,296000000
95,Cash Used/Provided by Financing Activities,-278000000,136000000,-536000000,-295000000,744000000,135000000
96,Effect of Forex Changes on Cash,-3000000,4000000,-2000000,-1000000,3000000,1000000
97,Net Change In Cash,-13000000,72000000,-45000000,-9000000,715000000,-452000000
98,Cash at the End of Period,54000000,126000000,81000000,72000000,787000000,335000000
99,Cash at the Beginning of Period,67000000,54000000,126000000,81000000,72000000,787000000
100,Free Cash Flow,268000000,-59000000,186000000,256000000,-157000000,-591000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1790982/000179098220000022/0001790982-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1790982/000179098221000007/0001790982-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1790982/000179098222000011/0001790982-22-000011-index.htm
102,false,,,,,,
