,https://roic.ai/company/HCM,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,60544245,- -,- -,- -,- -,- -,- -,- -,- -,- -,24270000,473000,578000,616000,199546000,634158000
33,Cash and Short-Term Investments,5616780,70614011,53344589,38206298,41751592,45309792,53762535,62009000,46863000,38946000,31941000,103701000,14316000,17421000,22037000,435176000,1011700000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,63283000,18751000,36037000,47921000,40812000,38410000,40176000,41410000,- -,- -
35,Inventory,8677193,9490592,11722960,14714696,17475455,26630991,28719768,25318000,1420000,4405000,9555000,12822000,44423000,46791000,46417000,19766000,35755000
36,Other Current Assets,15680535,18692579,23375651,25003755,24631855,35815388,58152868,- -,- -,14742000,250000,10045000,4421000,11632000,14840000,75798000,164621000
37,Total Current Assets,29974507,98797183,88443200,77924750,83858902,107756171,140635171,150610000,67034000,94130000,89667000,167380000,101570000,116020000,124704000,530740000,1212076000
38,PP&E,22011239,27103357,31510852,32027905,30651573,29933053,29451749,33288000,6536000,8918000,9850000,9954000,70817000,65933000,60317000,45307000,66323000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,8311000,407000,1953000,3332000,3137000,8751000,8384000,8163000,3307000,3380000
40,Intangible Assets,6810668,7016834,7217682,7527228,12484085,18021207,23106359,15585000,407000,666000,571000,469000,2906000,2434000,2375000,227000,163000
41,Intangible Assets,6810668,7016834,7217682,7527228,12484085,18021207,23106359,23896000,407000,2619000,3903000,3606000,11657000,10818000,10538000,3534000,3543000
42,Investments,- -,- -,- -,- -,- -,3009275,31082,32000,111405000,113014000,119756000,158506000,144237000,138000000,99000000,139505000,-557679000
43,Tax Assets,5616780,10069766,256986,332470,614422,1205589,1549438,1639000,285000,257000,- -,- -,- -,- -,- -,1515000,9401000
44,Other Non-Current Assets,-1531067,-9942151,134516,144362,145521,- -,-0,- -,- -,- -,6578000,-158506000,-144237000,-138000000,-99000000,3517000,638997000
45,Total Non-Current Assets,32907619,34247805,39120035,40031965,43895601,52169124,54138628,58855000,118633000,124808000,140087000,13560000,82474000,76751000,70855000,193378000,160585000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,62882126,133044988,127563235,117956714,127754503,159925295,194773799,209465000,185667000,218938000,229754000,180940000,184044000,192771000,195559000,724118000,1372661000
48,Accounts Payable,3937767,3184473,5302336,5290350,8165345,10557515,16451703,18897000,4163000,20427000,20565000,30383000,24365000,25625000,23961000,31612000,41177000
49,Short-Term Debt,7385248,7114999,6563171,7605971,8111987,24500074,30037645,11202000,51508000,26282000,23077000,19957000,29987000,- -,3216000,2785000,26905000
50,Tax Payable,- -,- -,550110,536618,724371,1241600,1073883,951000,- -,122000,442000,274000,979000,555000,1828000,1120000,15546000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,3120000,564000,1171000,962000,18248000,16926000,15244000,- -,- -
52,Other Current Liabilities,79569036,12763413,18091385,20346265,33587864,32588480,41987120,50969000,19643000,21912000,36249000,43817000,3187000,31423000,81630000,124000000,243576000
53,Total Current Liabilities,90892051,23062885,29956892,33242585,49865196,67646069,88476467,81068000,78434000,69185000,81062000,95119000,75787000,73974000,124051000,158397000,311658000
54,Long-Term Debt,- -,- -,- -,- -,145521,- -,- -,26923000,- -,26923000,26923000,26830000,- -,26739000,26818000,26861000,7161000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2692000,- -,- -,5630000,- -,- -,- -,- -,484000,- -
56,Deferred Tax Liabilities,- -,- -,- -,288724,827853,1399736,1911543,2667000,2397000,2947000,3415000,- -,- -,- -,- -,5063000,2765000
57,Other Non-Current Liabilities,- -,- -,- -,- -,1615283,22073239,27056881,12467000,- -,- -,10447000,8129000,1117000,859000,5960000,14364000,11563000
58,Total Non-Current Liabilities,- -,- -,- -,288724,2588657,23472974,28968424,44749000,2397000,29870000,46415000,34959000,1117000,27598000,32778000,46772000,21489000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78217000,19865000,- -,81468000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6265000,8849000,7161000
61,Total Liabilities,90892051,23062885,29956892,33531309,52453853,91119043,117444891,125817000,80831000,99055000,127477000,138377000,94535000,91276000,172741000,205169000,333147000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,51212681,51228473,51229482,51278367,51743254,51743760,52048000,52051000,53076000,56533000,- -,- -,- -,- -,72772000,86453000
64,Retained Earnings,-34144514,-43779627,-60477947,-78013700,-86879271,-94726416,-93807030,-89989000,-74447000,-69185000,-92040000,- -,- -,- -,- -,-415591000,-610328000
65,Other Comprehensive Income/Loss,-7806721,-11035709,-16155962,-19153457,-23556616,-34331104,-32797726,-33947000,-12113000,-12785000,5015000,-4275000,5430000,-243000,-4000000,4477000,- -
66,Other Total Stockholders Equity,13941311,106554181,115701743,121080179,125060747,136867231,139645210,142466000,123379000,123783000,113848000,208060000,479966000,412498000,316903000,822458000,1510768000
67,Total Stockholders Equity,-33671432,102951525,90296308,75142504,65903227,59552965,64784213,70578000,88870000,94889000,83356000,184270000,461733000,388996000,288012000,484116000,986893000
68,Total Liabilities And Stockholders Equity,57220619,126014411,120253199,108673813,118357080,150672008,182229104,196395000,169701000,193944000,210833000,322647000,556268000,480272000,460753000,689285000,1320040000
69,Minority Interest,5661507,7030577,7310036,9282901,9397423,9253287,12544695,13070000,15966000,24994000,18921000,-141707000,-372224000,-287501000,-265194000,34833000,52621000
70,Total Liabilities & Equity,62882126,133044988,127563235,117956714,127754503,159925295,194773799,209465000,185667000,218938000,229754000,180940000,184044000,192771000,195559000,724118000,1372661000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1648257/000155837017001647/0001558370-17-001647-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000104746918001485/0001047469-18-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000104746919001057/0001047469-19-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000110465920028220/0001104659-20-028220-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-6776262,-9606427,-17189927,-17755043,-8749046,-6864029,710224,3638000,5915000,5374000,7993000,-43025000,-50456000,-82691000,-137831000,-125730000,-194648000
74,Depreciation and Amortization,2318964,2866418,3800576,4651658,4567743,4579673,4562838,4049000,963000,1265000,2015000,- -,147000,76000,195000,6061000,7190000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1050000,1405000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,2367740,2459433,955121,150372,278695,943339,752000,357000,868000,1459000,- -,1316000,7903000,7173000,19642000,41990000
77,Change in Working Capital,-9311984,-51046,1481683,-2839115,12372519,-20981946,-2486560,15605000,-4264000,2413000,-9895000,3386000,-14279000,6998000,16105000,29273000,32458000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,7147000,-3944000,- -,-12025000,- -,2160000,-1564000,-1209000,- -,- -
79,Inventory,-2375734,-184550,-2419279,-3222622,-2834426,-9328441,-2241012,-72000,-55000,80000,-5154000,- -,-16000,37000,316000,-3623000,-16002000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,2446000,980000,2170000,3659000,9818000,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-3269000,280000,- -,-1907000,-1537000,- -,- -,- -,- -,- -
82,Other Non-Cash Items,172030,785320,851265,720351,3285541,3170543,1471733,-8383000,1007000,2035000,-10957000,51732000,54329000,34867000,33446000,8688000,-91213000
83,Cash Provided by Operating Activities,-13597251,-3637995,-8596971,-14267029,11627128,-19817065,5201573,15661000,5028000,13360000,-9385000,12093000,-8943000,-32847000,-80912000,-62066000,-204223000
84,CAPEX,-1780511,-2626895,-7237759,-3397606,-7504033,-8705292,-6303430,-12081000,-2500000,-3729000,-3324000,-13219000,- -,- -,- -,-19580000,-16756000
85,Acquisitions Net,-14517612,-19633,- -,- -,-405842,-2655427,385417,- -,- -,689000,- -,- -,- -,- -,8689000,- -,159118000
86,Purchases of Investments,- -,-123688,- -,- -,- -,- -,- -,- -,- -,-12179000,12179000,- -,- -,- -,- -,-732908000,-1370976000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,145610,- -,- -,- -,- -,12179000,- -,- -,- -,- -,629373000,921364000
88,Other Investing Activites,-11572458,588990,937596,1238012,291042,234855,136761,-4088000,- -,-5000000,-12179000,-29270000,-255761000,50116000,118904000,-2326000,930000
89,Cash Used for Investing Activites,-27870580,-2181226,-6300163,-2159594,-7618833,-10980254,-5781252,-11978000,-2500000,-20219000,8855000,-33597000,-260780000,43752000,119028000,-125441000,-306320000
90,Debt Repayment,-302773,-936494,-5709899,-1506321,-4309039,-8257502,-946447,-18836000,-568000,-11277000,-6410000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,68742986,38146,- -,90546,779719,- -,629000,7000,2801000,1431000,- -,- -,- -,- -,318934000,717319000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-6519000,- -,- -,-1786000,- -,- -,- -,- -,-12904000,-27309000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-538000,- -,- -,- -,-6000000,-55586000,-35218000,-28135000,- -,- -
94,Other Financing Activites,30647145,2852675,3011550,2572265,3545862,41436251,8824180,29439000,13684000,7835000,1294000,98435000,328782000,26987000,26642000,-9596000,-39982000
95,Cash Used/Provided by Financing Activities,30344372,70659167,-2660203,1065944,-672630,33958467,7877733,4175000,13123000,-641000,-5471000,92435000,273196000,-8231000,-1493000,296434000,650028000
96,Effect of Forex Changes on Cash,466201,155101,289109,221646,210197,396122,1154696,388000,445000,-417000,-1004000,-1779000,2361000,-1903000,-1502000,5546000,2427000
97,Net Change In Cash,-10657259,64995047,-17268228,-15139032,3545862,3557270,8452750,8246000,16096000,-7917000,-7005000,-5729000,- -,- -,- -,114473000,141912000
98,Cash at the End of Period,-1768468,63499012,46781418,30600327,36734351,20809719,23724891,62009000,46863000,38946000,31941000,- -,- -,- -,- -,235630000,377542000
99,Cash at the Beginning of Period,8888790,-1496035,64049645,45739359,33188489,17252448,15272141,53763000,30767000,46863000,38946000,- -,- -,- -,- -,121157000,235630000
100,Free Cash Flow,-15377762,-6264890,-15834730,-17664635,4123095,-28522357,-1101857,3580000,2528000,9631000,-12709000,-1126000,-8943000,-32847000,-80912000,-81646000,-220979000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1648257/000155837017001647/0001558370-17-001647-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000104746918001485/0001047469-18-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000104746919001057/0001047469-19-001057-index.htm,https://www.sec.gov/Archives/edgar/data/1648257/000110465920028220/0001104659-20-028220-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,
