,https://roic.ai/company/ZTO,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,163359000,2452359000,11287789000,5425024000,4622554000,5270204000,14212778000,9721225000
32,Short-Term Investments,- -,- -,- -,5224559000,13599852000,11113217000,3690402000,2845319000
33,Cash and Short-Term Investments,163359000,2452359000,11287789000,10649583000,18222406000,16383421000,17903180000,12566544000
34,Net Receivables,278834000,144234000,203203000,891912000,2234778000,2797164000,3081811000,2178895000
35,Inventory,4950000,15720000,33959000,34231000,43813000,43845000,53070000,82961000
36,Other Current Assets,305471000,825807000,1661087000,802120000,733070000,873827000,1286565000,3837959000
37,Total Current Assets,752614000,3438120000,13186038000,12377846000,21234067000,20098257000,22324626000,18666359000
38,PP&E,925868000,1752586000,4065562000,6473010000,9035704000,13372588000,19441420000,25827135000
39,Goodwill,2379182000,4091219000,4157111000,4241541000,4241541000,4241541000,4241541000,4241541000
40,Intangible Assets,416283000,821131000,1302869000,1663332000,2023403000,2556889000,4402505000,5371183000
41,Intangible Assets,2795465000,4912350000,5459980000,5904873000,6264944000,6798430000,8644046000,9612724000
42,Investments,389557000,377431000,537175000,610160000,2207410000,4055674000,5066463000,4944948000
43,Tax Assets,87259000,81006000,109030000,152763000,318063000,403587000,720561000,934848000
44,Other Non-Current Assets,23362000,20730000,45953000,308986000,622669000,1161966000,3007634000,2786329000
45,Total Non-Current Assets,4221511000,7144103000,10217700000,13449792000,18448790000,25792245000,36880124000,44105984000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4974125000,10582223000,23403738000,25827638000,39682857000,45890502000,59204750000,62772343000
48,Accounts Payable,152059000,294199000,636422000,889139000,1311807000,1475258000,1635888000,1957529000
49,Short-Term Debt,250000000,300000000,450000000,250000000,- -,298728000,2005523000,3884632000
50,Tax Payable,218215000,301932000,418310000,221926000,405683000,80272000,48628000,86789000
51,Deferred Revenue,220247000,298865000,229724000,258965000,436710000,1210887000,1119666000,1226549000
52,Other Current Liabilities,908988000,1757879000,2206325000,2747910000,3392948000,3696074000,4586507000,5927605000
53,Total Current Liabilities,1531294000,2650943000,3522471000,4146014000,5141465000,6680947000,9347584000,12996315000
54,Long-Term Debt,- -,- -,- -,- -,- -,504442000,502481000,556091000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,47128000,85059000,130520000,157320000,157940000,207896000,254987000,292356000
57,Other Non-Current Liabilities,- -,- -,- -,82987000,113903000,93820000,- -,- -
58,Total Non-Current Liabilities,47128000,85059000,130520000,240307000,271843000,806158000,757468000,848447000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,803170000,748875000,807086000
61,Total Liabilities,1578422000,2736002000,3652991000,4386321000,5413308000,7487105000,10105052000,13844762000
62,Preferred Stock,- -,1976855000,- -,- -,- -,- -,- -,- -
63,Common Stock,390000,390000,471000,471000,523000,517000,553000,535000
64,Retained Earnings,401440000,1589420000,3509707000,6669370000,11052395000,16726540000,21038753000,22716799000
65,Other Comprehensive Income/Loss,- -,-13749000,294649000,-295896000,571716000,675720000,-95571000,-242104000
66,Other Total Stockholders Equity,2966980000,4281321000,15940206000,15061368000,22592604000,20899827000,28035078000,26162017000
67,Total Stockholders Equity,3368810000,7834237000,19745033000,21435313000,34217238000,38302604000,48978813000,48637247000
68,Total Liabilities And Stockholders Equity,4947232000,10570239000,23398024000,25821634000,39630546000,45789709000,59083865000,62482009000
69,Minority Interest,26893000,11984000,5714000,6004000,52311000,100793000,120885000,290334000
70,Total Liabilities & Equity,4974125000,10582223000,23403738000,25827638000,39682857000,45890502000,59204750000,62772343000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1677250/000110465917026948/a17-1334_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465918025967/a17-27927_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465919021667/a18-41129_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465920049056/zto-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,406426000,1331755000,2053855000,3159663000,4383025000,5674145000,4312213000,4754827000
74,Depreciation and Amortization,64014000,158056000,324978000,560366000,853718000,1264566000,1840462000,- -
75,Deferred Income Tax,-80309000,5047000,-30553000,-29035000,-139081000,-40527000,-271969000,- -
76,Stock Based Compensation,- -,116800000,122502000,40725000,249478000,316666000,264154000,- -
77,Change in Working Capital,684489000,469825000,37831000,-177588000,-443277000,-260212000,-1393472000,- -
78,Accounts Receivable,-40656000,-11918000,-141845000,-100231000,-309431000,-84468000,-79831000,- -
79,Inventory,-4950000,-10770000,-18239000,-271000,-9582000,-32000,-9225000,- -
80,Accounts Payable,110025000,142139000,342223000,252716000,422668000,156056000,160630000,- -
81,Other Working Capital,83594000,-185153000,-130063000,58095000,184882000,140004000,-1521562000,- -
82,Other Non-Cash Items,-2869000,-213945000,27931000,76553000,-499812000,-650452000,199361000,2465390000
83,Cash Provided by Operating Activities,1071751000,1867538000,2536544000,3630684000,4404051000,6304186000,4950749000,7220217000
84,CAPEX,-790081000,-1475864000,-2689209000,-2826739000,-3981276000,-5226418000,-9207952000,- -
85,Acquisitions Net,-109193000,-214407000,-430880000,-89055000,-1177882000,-236491000,-232104000,- -
86,Purchases of Investments,- -,- -,- -,-10126703000,-13634396000,-15019049000,-10626232000,- -
87,Sales/Maturities of Investments,- -,- -,- -,4725872000,5834805000,16699480000,17010363000,- -
88,Other Investing Activites,-388535000,-173037000,-1001330000,-232419000,-571338000,-472468000,-2464066000,-8756533000
89,Cash Used for Investing Activites,-1116299000,-1449746000,-3418304000,-8294547000,-12872633000,-3664213000,-3549341000,-8756533000
90,Debt Repayment,-50000000,-300000000,-409943000,-750000000,-250000000,- -,-870000000,- -
91,Common Stock Issued,500000000,- -,9195636000,- -,8891909000,- -,9771782000,- -
92,Common Stock Repurchased,-184000000,- -,- -,-857658000,-769811000,-762893000,-1228341000,- -
93,Dividends Paid,- -,-115000000,- -,- -,-895136000,-1270773000,-1649308000,- -
94,Other Financing Activites,-94936000,2284331000,629400000,546100000,65160000,51360000,2313274000,-2903985000
95,Cash Used/Provided by Financing Activities,171064000,1869331000,9415093000,-1061558000,7042122000,-1982306000,8337407000,-2903985000
96,Effect of Forex Changes on Cash,- -,1877000,302097000,-424000000,275680000,-3207000,-656137000,-150430000
97,Net Change In Cash,126516000,2289000000,8835430000,-6149421000,-1150780000,654460000,9082678000,-4590731000
98,Cash at the End of Period,163359000,2452359000,11287789000,5773734000,4622954000,5277414000,14360092000,9769361000
99,Cash at the Beginning of Period,36843000,163359000,2452359000,11923155000,5773734000,4622954000,5277414000,14360092000
100,Free Cash Flow,281670000,391674000,-152665000,803945000,422775000,1077768000,-4257203000,7220217000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1677250/000110465917026948/a17-1334_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465918025967/a17-27927_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465919021667/a18-41129_120f.htm,https://www.sec.gov/Archives/edgar/data/1677250/000110465920049056/zto-20191231x20f.htm,- -,- -
102,Forex Rate,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
