,https://roic.ai/company/NTIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1300000,1100000,1300000,2000000,2700000,3300000,3900000,4000000,3800000,4204069,1972755,1606505,614297,1425857,1497653,2332457,4034249,3231839,-2997300,2989695,5159266,4998623,4790192,5819897,3077317,550907,5048171,8701298,7167986,2421185,8867616
16,EBITDA ratio,0.3824,0.2895,0.3250,0.4082,0.4355,0.4783,0.4483,0.3960,0.3838,0.3811,0.2128,0.2115,0.0735,0.1306,0.1011,0.1405,0.2397,0.2547,-0.3495,0.2078,0.2642,0.2194,0.2129,0.2169,0.1015,0.0167,0.1276,0.1692,0.1286,0.0508,0.1570
17,Operating Income,700000,500000,500000,800000,1000000,1200000,1200000,2000000,1300000,1475550,474554,-233769,-667772,415864,10448,91585,-497622,-1757257,-2842938,2419570,4625437,4569769,4964976,6694386,3151644,1282632,4600941,8017449,6592769,1588176,8322853
18,Operating Income ratio,0.2059,0.1316,0.1250,0.1633,0.1613,0.1739,0.1379,0.1980,0.1313,0.1337,0.0512,-0.0308,-0.0799,0.0381,0.0007,0.0055,-0.0296,-0.1385,-0.3315,0.1682,0.2369,0.2006,0.2206,0.2495,0.1039,0.0389,0.1163,0.1559,0.1183,0.0333,0.1473
19,Total Other Income Expenses (Gains),500000,700000,700000,1100000,1600000,2000000,2600000,1900000,2300000,2530255,1232892,1645945,1090499,809451,1198833,105721,3907030,4481213,-804038,-41643,76451,46877,652525,-31312,14390,-1854814,23157,81501,64690,151699,135789
20,Income Before Tax,1200000,- -,- -,1900000,2600000,3200000,3800000,3900000,3600000,4005805,1707446,1412176,422727,1225315,1209281,197306,3409408,2723956,-3646976,2377927,4701888,4616646,5617501,6663074,3166034,-572182,4624098,8098950,6657459,1739875,8458642
21,Income Before Tax Ratio,0.3529,- -,- -,0.3878,0.4194,0.4638,0.4368,0.3861,0.3636,0.3631,0.1842,0.1860,0.0506,0.1123,0.0816,0.0119,0.2026,0.2146,-0.4253,0.1653,0.2408,0.2026,0.2496,0.2484,0.1044,-0.0174,0.1169,0.1575,0.1194,0.0365,0.1497
22,Income Tax expense (Gain),400000,- -,- -,600000,800000,1100000,1200000,1300000,1100000,1375000,555000,185000,-85000,189000,16000,254000,186000,170000,-302000,-230000,706000,1041000,864000,1124662,648674,626120,699519,876103,841837,2674635,1461905
23,Net Income,800000,1100000,1200000,1300000,1800000,2100000,2600000,2600000,2500000,2630805,1152446,1227176,507727,1036315,1193281,1719065,3223408,2553956,-3344976,2583756,3900120,3448196,3366894,4106372,1789571,-867514,3422126,6701366,5209622,-1337709,6281238
24,Net Income ratio,0.2353,0.2895,0.3000,0.2653,0.2903,0.3043,0.2989,0.2574,0.2525,0.2385,0.1243,0.1616,0.0608,0.0949,0.0805,0.1035,0.1915,0.2012,-0.3901,0.1796,0.1997,0.1514,0.1496,0.1531,0.0590,-0.0263,0.0865,0.1303,0.0934,-0.0281,0.1112
25,EPS,0.10,0.14,0.14,0.15,0.21,0.24,0.30,0.32,0.33,0.34,0.15,0.17,0.07,0.14,0.17,0.24,0.44,0.34,-0.45,0.30,0.45,0.40,0.38,0.46,0.20,-0.10,0.38,0.74,0.57,-0.15,0.69
26,EPS Diluted,0.10,0.14,0.14,0.15,0.21,0.24,0.30,0.32,0.32,0.34,0.15,0.17,0.07,0.14,0.17,0.23,0.43,0.34,-0.45,0.30,0.45,0.39,0.38,0.45,0.19,-0.10,0.38,0.71,0.55,-0.15,0.64
27,Weighted Average Shares Outstanding,8421053,8148148,8275862,8666667,8571429,8580198,8547000,8168816,7830002,7715928,7522422,7331922,7264782,7221898,7168170,7206680,7323648,7429880,7498024,8447210,8651726,8782848,8843272,8909672,9043576,9075008,9057222,9077676,9085584,9096981,9116472
28,Weighted Average Shares Outstanding Diluted,8421053,8148148,8275862,8666667,8571429,8750000,8571429,8315442,7913954,7738150,7526726,7331922,7273358,7225554,7200970,7261354,7390332,7514984,7498024,8538700,8808200,8903188,8951790,9158996,9298120,9075008,9154718,9370404,9415974,9096981,9874139
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875582/000089155401506717/d70662_10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/875582/000120677404001691/d15800_10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/875582/000120677407002700/nt139420.htm,https://www.sec.gov/Archives/edgar/data/875582/000120677407002753/northerntech_10ksb.htm,https://www.sec.gov/Archives/edgar/data/875582/000110465908072839/0001104659-08-072839-index.html,https://www.sec.gov/Archives/edgar/data/875582/000110465909067552/0001104659-09-067552-index.html,https://www.sec.gov/Archives/edgar/data/875582/000110465910059629/0001104659-10-059629-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184311003555/0001171843-11-003555-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184312004247/0001171843-12-004247-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184313004772/0001171843-13-004772-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184314005562/0001171843-14-005562-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184315006334/0001171843-15-006334-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184316013352/0001171843-16-013352-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184317007207/0001171843-17-007207-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184318007912/0001171843-18-007912-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184319007508/0001171843-19-007508-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184320007980/0001171843-20-007980-index.htm,https://www.sec.gov/Archives/edgar/data/875582/000117184321008091/0001171843-21-008091-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,3700000,3900000,2200000,2800000,3840057,3238283,230274,283326,497487,327458,299117,244499,260460,138885,1776162,3266362,4137547,4314258,2477017,2623981,3395274,6360201,4163023,5856758,6403032,7680641
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4008417,1643939,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5519766,2027441,2243864,3766984,3300110,3565258,5544722,4634
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,3700000,3900000,2200000,2800000,3840057,3238283,4238691,1927265,497487,327458,299117,244499,260460,138885,1776162,3266362,4137547,4314258,7996783,4651422,5639138,10127185,7463133,9422016,11947754,7685275
34,Net Receivables,- -,- -,- -,- -,- -,1700000,1700000,1400000,2200000,1998400,1774177,1874935,2867878,3477369,4052139,4062303,3808832,5587530,3970396,4744664,5794893,4626566,6780385,7161194,6320168,7169715,8044583,12312202,12329009,9495305,13645314
35,Inventory,- -,- -,- -,- -,- -,600000,800000,1000000,1000000,929661,913911,859228,971499,1072440,1547769,1377953,1636073,2725466,2002622,3639169,3842854,4151197,5111549,5961399,7468441,7711287,7456552,9130861,10488728,10961797,11114207
36,Other Current Assets,- -,- -,- -,- -,- -,200000,400000,300000,100000,271066,170886,130367,137542,389454,176726,470736,746407,363066,356986,592580,586405,1144416,726313,1200590,835581,422031,439298,1661577,1062609,797494,1302293
37,Total Current Assets,- -,- -,- -,- -,- -,6200000,6800000,4900000,6100000,7039184,6097257,7103221,5904184,5436750,6104092,6210109,6435811,8936522,6468889,10752575,13490514,14059726,16932505,22319966,19275612,20942171,26067618,30567773,33302362,33202350,33747089
38,PP&E,- -,- -,- -,- -,- -,1000000,1000000,1000000,1100000,1219189,1067138,409780,526738,733139,720646,3430573,3792461,3754565,3542169,3452530,3636335,4288618,5323612,6477987,7293163,7275872,7359662,7168826,7358159,7769577,12197896
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304000,304000,304000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317166,588631,1364217,996592,983206,1015321,888065,- -,903038,961181,1060639,1197700,1262219,1278597,1322089,1156257,1008969,802006,709572
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317166,588631,1364217,1300592,1287206,1319321,888065,912718,903038,961181,1060639,1197700,1262219,1278597,1322089,1156257,1008969,802006,709572
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14064122,16055943,20559509,21461492,24702981,22961989,22427906,19840774,20035074,22950995,24207339,24090826,27623768
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000,395000,343000,354000,497197,628197,779500,837300,1336700,1505300,1410700,1030610,1034212,943279,1176012,1639762,1756565,1551536,1634258,209729,92554
44,Other Non-Current Assets,- -,- -,- -,- -,- -,2100000,3400000,3400000,4300000,4859921,4863469,6117517,7655588,9583572,10610666,11701159,14001778,16481904,182975,18234,39646,76000,- -,156854,130736,92874,71685,153849,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,3100000,4400000,4400000,5400000,6079110,6310607,6922297,8842492,11259342,13192726,17060521,19860945,22393090,20014031,21944725,26549228,27817901,32121444,31737809,32290036,30127879,30545075,32981463,34208725,32872138,40623790
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,9300000,11200000,9300000,11500000,13118294,12407864,14025518,14746676,16696092,19296818,23270630,26296756,31329612,26482920,32697300,40039742,41877627,49053949,54057775,51565648,51070050,56612693,63549236,67511087,66074488,74370879
48,Accounts Payable,- -,- -,- -,- -,- -,200000,200000,200000,100000,221236,240109,492102,538520,658707,1284784,1775926,1337443,1251522,630363,1721237,2032614,1818309,1830729,2225029,2101175,2753903,2676610,3905034,4505531,3205241,4290972
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1554870,966114,29319,1157313,2256973,1144922,76119,76120,76119,- -,- -,- -,- -,- -,- -,- -,272336
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310922,178923
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209729,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,700000,800000,100000,600000,739254,277673,334185,605481,1285305,566745,1246735,1280272,1586316,853781,1967493,2296033,2105216,1755205,2241626,1570666,1240199,2218007,3825148,3336262,2682634,3952888
53,Total Current Liabilities,- -,- -,- -,- -,- -,900000,1000000,300000,700000,960490,517782,826287,1144001,1944012,3406399,3988775,2647034,3995151,3741117,4833652,4404766,3999645,3662053,4466655,3671841,3994102,4894617,7730182,7841793,6097604,8516196
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1240848,1211528,1179972,- -,- -,1009533,933413,857295,- -,- -,- -,- -,- -,- -,- -,104102
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,100000,100000,100000,100000,50000,25000,25000,25000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272443,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,100000,100000,100000,100000,50000,25000,25000,25000,30000,- -,1240848,1211528,1179972,- -,- -,1009533,933413,857295,- -,- -,- -,- -,- -,- -,272443,104102
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,658788,376438
61,Total Liabilities,- -,- -,- -,- -,- -,1000000,1100000,400000,800000,1010490,542782,851287,1169001,1974012,3406399,5229623,3858562,5175123,3741117,4833652,5414299,4933058,4519348,4466655,3671841,3994102,4894617,7730182,7841793,6370047,8620298
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,76062,73791,72891,72524,71640,71800,72380,73660,74556,75132,85186,87061,88073,88641,90092,90781,90668,90700,90826,181736,182000,183696
64,Retained Earnings,- -,- -,- -,- -,- -,3100000,5200000,4900000,6500000,8093286,8199866,9322258,9493742,10233967,11176509,12895574,16118982,18672938,15327962,17911718,21811838,25260034,28626928,32733300,34522871,33655357,37077483,41963341,44992719,42472810,46973092
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-800000,-900000,-1000000,-1200000,-1376658,-1525324,-834042,-973237,-1137702,434477,-1043144,-840714,-1195473,2000000,1000000,2000000,-2336442,-2790303,-3240791,-3000000,-3000000,-2000000,-4000000,-5000000,-3000000,-3525030
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,6000000,5800000,5000000,5300000,5315114,5116749,4613124,4984646,5554175,- -,6060943,7050133,8599070,5338709,8845409,10634749,13744991,14808406,16171262,13260453,13788950,13692445,15022578,16420160,17004605,18736268
67,Total Stockholders Equity,- -,- -,- -,- -,- -,8300000,10100000,8900000,10700000,12107804,11865082,13174231,13577675,14722080,15822881,17985753,22402061,26151091,22741803,27842313,34533648,36756656,40733672,45753863,44874105,44534975,48860628,53076745,56594615,56659415,62368026
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,9300000,11200000,9300000,11500000,13118294,12407864,14025518,14746676,16696092,19229280,23215376,26260623,31326214,26482920,32675965,39947947,41689714,45253020,50220518,48545946,48529077,53755245,60806927,64436408,63029462,70988324
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67538,55254,36133,3398,- -,21335,91795,187913,3800929,3837257,3019702,2540973,2857448,2742309,3074679,3045026,3382555
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,9300000,11200000,9300000,11500000,13118294,12407864,14025518,14746676,16696092,19296818,23270630,26296756,31329612,26482920,32697300,40039742,41877627,49053949,54057775,51565648,51070050,56612693,63549236,67511087,66074488,74370879
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875582/000089155401506717/d70662_10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/875582/000120677404001691/d15800_10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/875582/000120677407002700/nt139420.htm,https://www.sec.gov/Archives/edgar/data/875582/000120677407002753/northerntech_10ksb.htm,https://www.sec.gov/Archives/edgar/data/875582/000110465908072839/0001104659-08-072839-index.html,https://www.sec.gov/Archives/edgar/data/875582/000110465909067552/0001104659-09-067552-index.html,https://www.sec.gov/Archives/edgar/data/875582/000110465910059629/0001104659-10-059629-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184311003555/0001171843-11-003555-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184312004247/0001171843-12-004247-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184313004772/0001171843-13-004772-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184314005562/0001171843-14-005562-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184315006334/0001171843-15-006334-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184316013352/0001171843-16-013352-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184317007207/0001171843-17-007207-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184318007912/0001171843-18-007912-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184319007508/0001171843-19-007508-index.html,https://www.sec.gov/Archives/edgar/data/875582/000117184320007980/0001171843-20-007980-index.htm,https://www.sec.gov/Archives/edgar/data/875582/000117184321008091/0001171843-21-008091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,1100000,1200000,1300000,1800000,2100000,2600000,2600000,2500000,2630805,1152446,1227176,507727,1036315,1193281,1719065,3223408,2553956,-3344976,2583756,3900120,3448196,3366894,4106372,1789571,-867514,3422126,6701366,5209622,-1337709,6281238
74,Depreciation and Amortization,100000,- -,100000,100000,100000,100000,100000,100000,200000,198264,265309,194329,191570,200542,288372,359392,460469,507883,517265,538263,493605,480039,507083,541541,618112,779040,906144,1105867,1102960,1068225,1108387
75,Deferred Income Tax,- -,- -,- -,- -,-100000,-100000,-100000,- -,- -,-150000,70000,20000,85000,-275000,105715,-341000,-476215,320900,-535000,-398300,321600,5605,124935,-230883,131777,-47000,-117298,186808,-89637,1424529,114620
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306451,454015,495683,427437,391664,413010,1431925,1337774,664174
77,Change in Working Capital,-100000,- -,- -,- -,- -,5300000,500000,-1200000,800000,678694,-499219,697459,-1516751,-1267445,-1024696,-476359,1567443,1152594,-2213599,3191151,3166825,974333,3210371,4582859,-2249540,1344298,4224932,1664590,2622978,1644177,-2453129
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1073140,-287547,258144,-1019779,-341817,-393179,-870324,-992036,-4442373,-113282,2029184,-3179563
79,Inventory,- -,- -,- -,- -,-100000,-100000,-300000,-100000,- -,83864,15750,54683,-112271,-100941,-336257,169816,-258120,-1089393,722844,-1514855,-203685,-365800,-1017188,-825176,-1679654,-257826,305268,-1909253,-1486833,-435712,58314
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-621159,857705,311377,-123512,78623,365797,127907,641631,-129371,1641132,682786,-1229510,866597
81,Other Working Capital,- -,- -,- -,- -,- -,5300000,5800000,4600000,5400000,6078694,5579475,6276934,4760183,3492738,- -,2221334,3788777,4941371,2727772,5918923,9085748,10060081,13270452,17853311,15603771,16948069,21173001,22837591,25460569,27104746,- -
82,Other Non-Cash Items,- -,-100000,-200000,-200000,-300000,-5700000,-1300000,500000,-1500000,-736930,146461,-1023546,-615448,337601,-1925847,-405631,-5492463,-7368547,3830772,-7090762,-9018373,-5296867,-8760769,-9462298,-1541147,419345,-3091877,-9462954,-4800826,775074,-2822350
83,Cash Provided by Operating Activities,800000,1000000,1100000,1200000,1500000,1700000,1800000,2000000,2000000,2620833,1134997,1115418,-1347902,32013,-1363175,855467,-717358,-2833214,-1745538,-1175892,-1136223,-388694,-1245035,-8394,-755544,2055606,5735691,608687,5477022,4912070,2892940
84,CAPEX,- -,- -,-100000,-200000,- -,-700000,-100000,-100000,-300000,-302224,-113258,-193253,-438714,-383766,-148411,-3068905,-933044,-484829,-223915,-232007,-715305,-1224532,-1743318,-1826626,-1591101,-778817,-1084795,-766983,-1074775,-807408,-5643404
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110988,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4008417,- -,- -,- -,-25000,-563104,-117950,-695662,-30101,-38217,-484545,- -,-6019766,- -,-216423,-3000000,-1518596,-3365146,-4000000,-800000
87,Sales/Maturities of Investments,- -,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2364478,1643939,- -,- -,- -,- -,2589887,- -,- -,- -,- -,500000,3492325,- -,1476880,1985470,3100000,2020536,6340088
88,Other Investing Activites,-200000,-100000,-100000,-200000,-100000,600000,-900000,- -,-400000,-127196,-361508,273927,-151482,-694671,393054,1424885,2999087,2268951,-39658,856526,2790389,2873481,4513246,7207121,-152182,-135410,-162525,-86481,-114436,-93806,-110654
89,Cash Used for Investing Activites,-500000,100000,-100000,-400000,-100000,-100000,-1000000,-100000,-700000,-429420,-474766,-3927743,1774282,565502,244643,-1669020,1502939,1666172,1670310,594418,2184915,1351468,3025187,-26074,1901224,-995240,-2607915,-300109,-1339921,-2784682,-103316
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1071312,-1112051,-59270,-76119,-76119,-933414,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,300000,- -,- -,100000,100000,68750,19999,- -,- -,- -,34691,133120,125916,86565,23465,3232537,- -,55410,56739,42580,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-200000,- -,-500000,-700000,-300000,-100000,-3100000,-300000,-551383,-637032,-195684,-64124,-181666,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24346,-138881,-196225,- -,- -,- -,- -
93,Dividends Paid,-100000,-200000,-200000,-300000,-300000,-400000,-500000,-600000,-600000,-618932,-644972,- -,-309204,-201688,-250739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1815508,-2180244,-1182200,-1780956
94,Other Financing Activites,-200000,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,1000000,652092,-966115,1096438,1001500,98265,467989,34531,-1544487,-923584,-850305,-131366,-30465,-556616,-213420,-335805,258747
95,Cash Used/Provided by Financing Activities,-300000,-400000,-200000,-800000,-700000,-700000,-500000,-3700000,-800000,-1101565,-1262005,-195684,-373328,-383354,783952,785212,-840199,1183003,-46347,2218751,408719,13822,-1563867,-1814418,-874651,-270247,-226690,-2372124,-2393664,-1518005,-1522209
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32789,-105411,-39574,11646,-124065,-18826,63839,-133632,-49702,-63109,10194
97,Net Change In Cash,-300000,-400000,-200000,-800000,-700000,-700000,-500000,-3700000,600000,1089848,-601774,-3008009,53052,214161,-334580,-28341,-54618,15961,-121575,1637277,1490200,871185,176711,-1837241,146964,771293,2964925,-2197178,1693735,546274,1277609
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,2800000,3840057,3238283,230274,283326,497487,327458,299117,244499,260460,138885,1776162,3266362,4137547,4314258,2477017,2623981,3395274,6360199,4163023,5856758,6403032,7680641
99,Cash at the Beginning of Period,800000,900000,1600000,2300000,2200000,2800000,3700000,3900000,2200000,2750209,3840057,3238283,230274,283326,662038,327458,299117,244499,260460,138885,1776162,3266362,4137547,4314258,2477017,2623981,3395274,6360201,4163023,5856758,6403032
100,Free Cash Flow,800000,1000000,1000000,1000000,1500000,1000000,1700000,1900000,1700000,2318609,1021739,922165,-1786616,-351753,-1511586,-2213438,-1650402,-3318043,-1969453,-1407899,-1851528,-1613226,-2988353,-1835020,-2346645,1276789,4650896,-158296,4402247,4104662,-2750464
