,https://roic.ai/company/PATI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,200000,-27000,-19000,-102000,-112000,1563000,-74000,151000,414000,104000,-22000
20,Income Before Tax,- -,7200000,6709000,8551000,5241000,5474000,9353000,2298000,2197000,2393000,347000,858000
21,Income Before Tax Ratio,- -,0.0736,0.0648,0.0763,0.0406,0.0445,0.0778,0.0205,0.0193,0.0220,0.0039,0.0106
22,Income Tax expense (Gain),- -,2800000,2617000,3335000,2044000,2135000,3648000,469000,-2922000,630000,90000,233000
23,Net Income,- -,4600000,4189000,5216000,3197000,3339000,5705000,1829000,5119000,1763000,257000,625000
24,Net Income ratio,- -,0.0470,0.0405,0.0465,0.0248,0.0272,0.0475,0.0163,0.0449,0.0162,0.0029,0.0077
25,EPS,- -,1.44,1.30,1.62,1.00,1.02,1.74,0.55,1.54,0.53,0.08,0.18
26,EPS Diluted,- -,1.44,1.29,1.61,0.99,1.02,1.74,0.55,1.54,0.53,0.08,0.18
27,Weighted Average Shares Outstanding,3200000,3200000,3210000,3210000,3210000,3275000,3283000,3299000,3318000,3342000,3369000,3395000
28,Weighted Average Shares Outstanding Diluted,3200000,3200000,3237000,3237000,3237000,3275000,3285000,3302000,3320000,3343000,3370000,3408000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616741/000161674115000020/pati10k15.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674116000033/pati10k16.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674117000013/pati10k17.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674118000021/pati10k18.htm,https://www.sec.gov/Archives/edgar/data/1616741/000084405919000015/pati10k19.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674120000037/0001616741-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674121000054/0001616741-21-000054-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,3890000,- -,- -,- -,6005000,11289000,1000,15233000,15962000,10899000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,17298000,5983000,- -,- -
33,Cash and Short-Term Investments,- -,- -,3890000,- -,- -,- -,6005000,11289000,17299000,21216000,15962000,10899000
34,Net Receivables,- -,- -,6470000,6884000,7119000,7497000,7304000,8158000,8413000,6878000,5005000,4930000
35,Inventory,- -,- -,840000,881000,895000,780000,811000,855000,895000,949000,903000,871000
36,Other Current Assets,26430000,28040000,4740000,3246000,3671000,3519000,3617000,3419000,4837000,5381000,4671000,6678000
37,Total Current Assets,26430000,28040000,15940000,11011000,11685000,11796000,17737000,23721000,31444000,34424000,26541000,23378000
38,PP&E,28970000,28470000,31390000,38902000,42174000,42620000,43703000,39592000,33911000,33567000,33363000,24633000
39,Goodwill,- -,- -,1090000,1087000,3431000,3431000,3431000,3431000,3431000,3431000,3637000,3637000
40,Intangible Assets,- -,- -,- -,- -,3812000,1384000,1214000,1021000,854000,701000,956000,756000
41,Intangible Assets,- -,- -,1090000,1087000,7243000,4815000,4645000,4452000,4285000,4132000,4593000,4393000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,8170000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5590000,1170000,-8110000,107000,32000,295000,214000,189000,176000,170000,171000,156000
45,Total Non-Current Assets,34560000,29640000,32540000,40096000,49449000,47730000,48562000,44233000,38372000,37869000,38127000,29182000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,60990000,57680000,48480000,51107000,61134000,59526000,66299000,67954000,69816000,72293000,64668000,52560000
48,Accounts Payable,- -,- -,2490000,3208000,3288000,4163000,4896000,4948000,3271000,3184000,2679000,1858000
49,Short-Term Debt,- -,- -,- -,248000,933000,773000,- -,- -,625000,- -,- -,928000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,263000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5087000,- -
52,Other Current Liabilities,10930000,10300000,7950000,7382000,6115000,7167000,5677000,5080000,6267000,5643000,1909000,6049000
53,Total Current Liabilities,10930000,10300000,10440000,10838000,10336000,12103000,10573000,10028000,10163000,8827000,9675000,8835000
54,Long-Term Debt,- -,- -,- -,- -,7282000,- -,- -,- -,- -,- -,- -,1131000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,9252000,8579000,8025000,10479000,10045000,5940000,6237000,5087000,4062000
57,Other Non-Current Liabilities,- -,- -,10190000,1487000,2215000,2196000,1301000,1298000,1308000,2432000,4859000,2416000
58,Total Non-Current Liabilities,- -,- -,10190000,10739000,18076000,10221000,11780000,11343000,7248000,8669000,9946000,7609000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3138000,2059000
61,Total Liabilities,- -,- -,20630000,21577000,28412000,22324000,22353000,21371000,17411000,17496000,19621000,16444000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,327000,329000,330000,333000,335000,338000,342000
64,Retained Earnings,40690000,37480000,27790000,- -,- -,1819000,7524000,9353000,14472000,16235000,5935000,-3572000
65,Other Comprehensive Income/Loss,- -,- -,120000,-52358000,-54897000,-57366000,-59080000,-62331000,-60799000,-57765000,-52805000,89000
66,Other Total Stockholders Equity,- -,- -,- -,81888000,87619000,92422000,95173000,99231000,98400000,95992000,91580000,39257000
67,Total Stockholders Equity,- -,- -,27840000,29530000,32722000,37202000,43946000,46583000,52406000,54797000,45048000,36116000
68,Total Liabilities And Stockholders Equity,60990000,57680000,48470000,51107000,61134000,59526000,66299000,67954000,69817000,72293000,64669000,52560000
69,Minority Interest,- -,- -,10000,- -,- -,- -,- -,- -,-1000,- -,-1000,- -
70,Total Liabilities & Equity,60990000,57680000,48480000,51107000,61134000,59526000,66299000,67954000,69816000,72293000,64668000,52560000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616741/000161674115000020/pati10k15.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674116000033/pati10k16.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674117000013/pati10k17.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674118000021/pati10k18.htm,https://www.sec.gov/Archives/edgar/data/1616741/000084405919000015/pati10k19.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674120000037/0001616741-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674121000054/0001616741-21-000054-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,4600000,4189000,5216000,3197000,3339000,5705000,1829000,5119000,1763000,257000,625000
74,Depreciation and Amortization,- -,6880000,7153000,7819000,9294000,9485000,9729000,10293000,9469000,8474000,9071000,8217000
75,Deferred Income Tax,- -,230000,1554000,1163000,-461000,-590000,2145000,-434000,-4105000,297000,-1150000,-1025000
76,Stock Based Compensation,- -,- -,351000,441000,569000,617000,745000,808000,589000,590000,574000,467000
77,Change in Working Capital,- -,10000,-12240000,-5327000,1176000,-1656000,7471000,6529000,7588000,4316000,-8731000,-2323000
78,Accounts Receivable,- -,- -,-193000,-486000,-235000,-263000,339000,-599000,-224000,1278000,1583000,75000
79,Inventory,- -,- -,279000,-40000,-14000,115000,-31000,-44000,-40000,-54000,46000,32000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-939000,-682000
81,Other Working Capital,- -,17740000,5500000,173000,1349000,-307000,7164000,13693000,21281000,25597000,16866000,14543000
82,Other Non-Cash Items,- -,-800000,9650000,4384000,-2955000,3857000,-10840000,-8365000,-10888000,-5011000,9361000,-3189000
83,Cash Provided by Operating Activities,- -,10920000,10657000,13696000,10820000,15052000,14955000,10660000,7772000,10429000,9382000,2772000
84,CAPEX,- -,-6740000,-10509000,-15612000,-9631000,-9905000,-11503000,-6332000,-4656000,-9576000,-5045000,-910000
85,Acquisitions Net,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,-1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-17235000,-14810000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,- -,- -
88,Other Investing Activites,- -,6330000,1734000,1748000,1413000,1863000,3155000,956000,2082000,3248000,1966000,3083000
89,Cash Used for Investing Activites,- -,-410000,-8775000,-13864000,-18218000,-8042000,-8348000,-5376000,-19809000,5362000,-4079000,2173000
90,Debt Repayment,- -,- -,- -,- -,-16246000,-51075000,-13536000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10557000,-10132000
94,Other Financing Activites,- -,-8200000,-14233000,-3722000,23644000,44065000,12934000,- -,749000,-559000,- -,124000
95,Cash Used/Provided by Financing Activities,- -,-8200000,-14233000,-3722000,7398000,-7010000,-602000,- -,749000,-559000,-10557000,-10008000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,2320000,-12351000,- -,- -,- -,- -,5284000,-11288000,15232000,-5254000,-5063000
98,Cash at the End of Period,- -,2320000,3890000,- -,- -,- -,6005000,11289000,1000,15233000,15962000,10899000
99,Cash at the Beginning of Period,- -,- -,16241000,3890000,- -,- -,- -,6005000,11289000,1000,21216000,15962000
100,Free Cash Flow,- -,4180000,148000,-1916000,1189000,5147000,3452000,4328000,3116000,853000,4337000,1862000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616741/000161674115000020/pati10k15.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674116000033/pati10k16.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674117000013/pati10k17.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674118000021/pati10k18.htm,https://www.sec.gov/Archives/edgar/data/1616741/000084405919000015/pati10k19.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674120000037/0001616741-20-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1616741/000161674121000054/0001616741-21-000054-index.htm
102,false,,,,,,,,,,,,
