,https://roic.ai/company/SNGX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-1187985,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7632389,-2952751,-4684466,-10809352,-7323844,-8320163,-3775526,-7563893,-8899975,-9966268,-18525415,-13415715
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3.9188,-0.3853,-1.4897,-3.3526,-1.0399,-0.9489,-0.3613,-1.3923,-1.6980,-2.1526,-7.8516,-16.2759
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245810,-574157,-521458,-750356,-616872,-488933,-530143,-416810,- -,-610676,-836893,864742
23,Net Income,-1187985,-3200000,-21800000,-7501019,-4795693,-14631175,-4966081,-5288531,-5871574,-4720260,-8163346,-6164643,-3422027,-6034453,-7386579,-2378594,-4163008,-10058996,-6706972,-7831230,-3245383,-7147083,-8899975,-9355592,-17688522,-14280457
24,Net Income ratio,-Infinity,-32.0000,-109.0000,-7501019.0000,-Infinity,-Infinity,-Infinity,-63.0962,-5.8864,-1.5347,-3.5293,-4.9003,-1.4812,-2.1429,-3.7926,-0.3104,-1.3239,-3.1199,-0.9523,-0.8931,-0.3106,-1.3156,-1.6980,-2.0207,-7.4969,-17.3250
25,EPS,-46.00,-206.00,-452.00,-164.00,-102.00,-240.00,-58.00,-42.00,-32.00,-18.00,-26.00,-14.00,-6.00,-8.00,-8.00,-2.20,-3.70,-6.50,-3.20,-3.00,-0.93,-1.16,-0.68,-0.48,-0.64,-0.52
26,EPS Diluted,-46.00,-206.00,-452.00,-164.00,-102.00,-240.00,-58.00,-42.00,-32.00,-18.00,-26.00,-14.00,-6.00,-8.00,-8.00,-2.20,-3.70,-6.50,-4.30,-3.00,-1.34,-1.16,-0.68,-0.48,-0.64,-0.52
27,Weighted Average Shares Outstanding,25336,15709,49708,53776,60971,67252,112494,145916,203133,248631,318795,453438,509409,837575,1012032,1095767,1113648,1546325,2063842,2606576,3481460,6144237,13178154,19376508,27486949,27486949
28,Weighted Average Shares Outstanding Diluted,25336,15709,49708,53776,60971,67252,112494,145916,203133,248631,318795,453438,509409,837575,1012032,1095767,1113648,1546325,2358494,2606576,3583587,6144237,13178154,19376508,27486949,27486949
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812796/000116923203000951/d53572_10ksba.htm,https://www.sec.gov/Archives/edgar/data/812796/000101540204001522/dor10ksba.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812796/000081279609000018/0000812796-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390010001169/0001213900-10-001169-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390011001567/f10k2010_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390012001317/0001213900-12-001317-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390013000871/0001213900-13-000871-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390014001738/f10k2013_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390015002035/f10k2014_soligenixinc.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390016011833/0001213900-16-011833-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390017002845/0001213900-17-002845-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390018003007/0001213900-18-003007-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390019004865/0001213900-19-004865-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390020007959/0001213900-20-007959-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390021018698/0001213900-21-018698-index.htm,https://www.sec.gov/Archives/edgar/data/812796/000155837022004605/0001558370-22-004605-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,15700000,12200000,4995906,10831266,9942053,4147164,4117539,2332190,821702,119636,2220128,1475466,7692011,7451714,5996668,3356380,5856242,5525094,4921545,8772567,7809487,8983717,5420708,18676663,26043897
32,Short-Term Investments,- -,- -,- -,3547847,2014984,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15700000,12200000,8543753,12846250,9942053,4147164,4117539,2332190,821702,119636,2220128,1475466,7692011,7451714,5996668,3356380,5856242,5525094,4921545,8772567,7809487,8983717,5420708,18676663,26043897
34,Net Receivables,- -,- -,- -,- -,- -,44447,- -,20954,742987,564330,89933,97845,278316,23632,372651,936630,339308,1617442,794767,1985212,1206777,1343061,1201715,1462878,564870,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82182,42865,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1700000,2800000,102546,185341,49941,104333,155844,59604,138794,94470,119178,86837,141313,187494,195762,140693,135391,172928,244267,134431,263254,157278,609739,225473,525624
37,Total Current Assets,- -,17400000,15000000,8646299,13031591,10036441,4251497,4294337,3134781,1524826,304039,2437151,1922801,7899821,8011859,7129060,3836381,7609075,6492789,7151024,10113775,9415802,10342710,7493325,19467006,26569521
38,PP&E,- -,100000,500000,448951,384162,365219,262921,60795,50480,44728,29692,25941,21217,21172,20699,15032,12995,23868,51510,47366,26702,37163,19634,161505,251537,106155
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,300000,400000,176875,253705,639959,1323782,1896934,1882454,1803020,1073239,1320787,1418717,1463289,1235989,1079566,855728,632512,409949,188732,126628,73952,46863,19699,- -,- -
41,Intangible Assets,- -,300000,400000,176875,253705,639959,1323782,1896934,1882454,1803020,1073239,1320787,1418717,1463289,1235989,1079566,855728,632512,409949,188732,126628,73952,46863,19699,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22734,82495,100831,172692,194251
45,Total Non-Current Assets,- -,1700000,1200000,625826,637867,1005178,1586703,1957729,1932934,1847748,1102931,1346728,1439934,1484461,1256688,1094598,868723,656380,461459,236098,153330,133849,148992,282035,424229,300406
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19100000,16200000,9272125,13669458,11041619,5838200,6252066,5067715,3372574,1406970,3783879,3362735,9384282,9268547,8223658,4705104,8265455,6954248,7387122,10267105,9549651,10491702,7775360,19891235,26869927
48,Accounts Payable,- -,600000,300000,496889,642440,856187,698120,531587,1668958,1530900,2112479,847610,1015005,844857,1674175,1303555,1124503,1520290,3003545,4379936,1708091,1753614,2126215,2735442,2129844,2925544
49,Short-Term Debt,- -,- -,100000,110342,118793,164748,382122,359067,115948,- -,- -,- -,- -,- -,- -,- -,- -,- -,3789562,292719,- -,- -,- -,121075,437273,9962304
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,700000,1126841,2157918,2248802,124480,116638,299226,313601,402947,345903,370614,365199,236581,129061,29495,8514986,315030,2732776,1161766,1476325,2085317,3455559,3513404,-6596672
53,Total Current Liabilities,- -,600000,1100000,1734072,2919151,3269737,1204722,1007292,2084132,1844501,2515426,1193513,1385619,1210056,1910756,1432616,1153998,10035276,7108137,7405431,2869857,3229939,4211532,6312076,6080521,6291176
54,Long-Term Debt,- -,- -,300000,281899,204162,52098,347845,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6149,10068886,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,100000,- -,- -,10348733,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9856153
58,Total Non-Current Liabilities,- -,100000,400000,281899,204162,10400831,347845,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6149,10068886,9856153
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127224,228590,- -
61,Total Liabilities,- -,700000,1500000,2015971,3123313,13670568,1552567,1007292,2084132,1844501,2515426,1193513,1385619,1210056,1910756,1432616,1153998,10035276,7108137,7405431,2869857,3229939,4211532,6318225,16149407,16147329
62,Preferred Stock,- -,- -,- -,- -,- -,- -,11711822,12648768,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10878,12861,20945,26795,34894,42218,50612,68855,94996,118610,185656,216192,11106,11169,19626,23937,31270,5470,8731,17683,21753,30644,42873
64,Retained Earnings,- -,-13500000,-35300000,-44294417,-49090110,-63721285,-68687366,-73975897,-79847471,-84567731,-92731077,-98898720,-102317747,-108352200,-115738779,-118117373,-122280381,-132339377,-139046349,-146877579,-150122962,-157270045,-166170020,-175525612,-193214134,-205765107
65,Other Comprehensive Income/Loss,- -,-900000,-900000,-649042,-800066,-975860,386664,-141650,-68149,- -,-111180,- -,-132600,-13284,-20018,- -,- -,- -,- -,- -,- -,- -,-3669,-45010,-24337,41942
66,Other Total Stockholders Equity,- -,32800000,42500000,52188735,60423460,62047251,60847718,66678659,82856985,- -,91664946,- -,104308853,116354054,122900396,124897309,125820318,130549930,138868523,146828000,157514740,163581026,172436176,177006004,196949655,216402890
67,Total Stockholders Equity,- -,18400000,6300000,7256154,10546145,-2628949,4285633,5244774,2983583,1528073,-1108456,2590366,1977116,8174226,7357791,6791042,3551106,-1769821,-153889,-18309,7397248,6319712,6280170,1457135,3741828,10722598
68,Total Liabilities And Stockholders Equity,- -,19100000,7800000,9272125,13669458,11041619,5838200,6252066,5067715,3372574,1406970,3783879,3362735,9384282,9268547,8223658,4705104,8265455,6954248,7387122,10267105,9549651,10491702,7775360,19891235,26869927
69,Minority Interest,- -,- -,8400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,19100000,16200000,9272125,13669458,11041619,5838200,6252066,5067715,3372574,1406970,3783879,3362735,9384282,9268547,8223658,4705104,8265455,6954248,7387122,10267105,9549651,10491702,7775360,19891235,26869927
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812796/000116923203000951/d53572_10ksba.htm,https://www.sec.gov/Archives/edgar/data/812796/000101540204001522/dor10ksba.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812796/000081279609000018/0000812796-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390010001169/0001213900-10-001169-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390011001567/f10k2010_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390012001317/0001213900-12-001317-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390013000871/0001213900-13-000871-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390014001738/f10k2013_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390015002035/f10k2014_soligenixinc.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390016011833/0001213900-16-011833-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390017002845/0001213900-17-002845-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390018003007/0001213900-18-003007-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390019004865/0001213900-19-004865-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390020007959/0001213900-20-007959-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390021018698/0001213900-21-018698-index.htm,https://www.sec.gov/Archives/edgar/data/812796/000155837022004605/0001558370-22-004605-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1187985,-3200000,-21800000,-7501019,-4795693,-14631175,-4966081,-5288531,-5871574,-4720260,-8163346,-6164643,-3422027,-6034453,-7386579,-2378594,-4163008,-10058996,-6706972,-7831230,-3245383,-7147083,-8899975,-9355592,-17688522,-14280457
74,Depreciation and Amortization,204457,500000,1700000,1407750,156856,188526,345495,226140,302449,194284,137044,119565,149183,175604,185696,226027,230630,230071,245787,247458,89928,68563,44060,54450,62372,34161
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522678,579066,571545,715805,493170,885208,976190,886693,574977,489787,380886,376339,409933,361559
77,Change in Working Capital,-17423,16800000,-2900000,-6987773,3200213,-3345736,-3719929,240270,-2236396,-1370324,-1891712,3455025,-706456,6152583,-588662,-404659,-3014061,-5108584,1810853,360941,7498325,-1058055,-54685,-4949929,12205236,6891860
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280526,-275464,182880,815061,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182182,-10683,42865,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167396,-170148,829318,- -,-179053,395787,1483255,1376391,- -,- -,- -,- -,- -,1127259
81,Other Working Capital,- -,16800000,13900000,6912227,10112440,6766704,3046775,3287045,1050649,-319675,-2211387,1243638,537182,6689765,6101103,5696444,2682383,-2426201,-615348,-254407,7243918,6185863,6131178,1181249,13386485,20278345
82,Other Non-Cash Items,-1379,-16400000,18900000,11104267,-2011073,13811821,2339715,603615,3397745,1225598,5776184,-3407780,668250,-5475989,1487418,-110317,3817736,9595328,1207413,949830,-9900268,1136221,1285083,6365165,-6443445,-4746743
83,Cash Provided by Operating Activities,-1002330,-2300000,-4100000,-1976775,-3449697,-3976564,-6000800,-4218506,-4407776,-4670702,-4141830,-5997833,-2788372,-4603189,-5730582,-1951738,-2635533,-4456973,-2466729,-5386308,-4982421,-6510567,-7244631,-7509567,-11454426,-11739620
84,CAPEX,-67956,-100000,-200000,-107873,-86185,-139656,-83089,-17854,-10559,-272131,-208556,-363362,-242390,-222529,-336424,-152664,-4755,-17728,-50866,-22098,-7159,-26348,-1925,-30209,-7147,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-1000000,-4663099,-5390981,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2175496,6923919,2014909,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-61330,-100000,-16700000,-2634202,-82712,1357273,-593931,-335438,-267096,- -,- -,- -,-237113,-206799,-330163,-151086,- -,- -,- -,- -,- -,- -,1000,5500,- -,-11789
89,Cash Used for Investing Activites,-67956,-200000,-17900000,-5229678,1364041,3232526,-677020,-353292,-277655,-272131,-208556,-363362,-242390,-222529,-336424,-152664,-4755,-17728,-300866,-22098,-7159,-26348,-925,-24709,-7147,-11789
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,-6803,-7516,-6149
91,Common Stock Issued,- -,17200000,18300000,351,7990302,- -,974069,4912066,3144517,3548293,3648320,8461687,2158600,11042263,5749856,355000,- -,- -,2408369,3839177,9991260,6246196,8675346,4142456,14615990,27500
92,Common Stock Repurchased,-143750,- -,-100000,- -,- -,-21871,-24517,- -,-1316,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,300000,-407,-69286,-123304,-66621,-370900,-243119,-115948,- -,- -,127500,- -,76853,294356,- -,6974563,28078,965680,-850658,-672361,-251891,-130198,10068175,19036650
95,Cash Used/Provided by Financing Activities,-143750,17200000,18500000,-56,7921016,-145175,882931,4541166,2900082,3432345,3648320,8461687,2286100,11042263,5826709,649356,- -,6974563,2436447,4804857,8840602,5573835,8423455,4005455,24676649,19058001
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3669,-34188,40879,60642
97,Net Change In Cash,-1214036,17200000,18500000,-7206509,5835360,-889213,-5794889,-30632,-1785349,-1510488,-702066,2100492,-744662,6216545,-240297,-1455046,-2640288,2499862,-331148,-603549,3851022,-963080,1174230,-3563009,13255955,7367234
98,Cash at the End of Period,1022120,- -,- -,4995906,10831266,9942053,4147164,4116532,2332190,821702,119636,2220128,1475466,7692011,7451714,5996668,3356380,5856242,5525094,4921545,8772567,7809487,8983717,5420708,18676663,26043897
99,Cash at the Beginning of Period,2236156,900000,15700000,12202415,4995906,10831266,9942053,4147164,4117539,2332190,821702,119636,2220128,1475466,7692011,7451714,5996668,3356380,5856242,5525094,4921545,8772567,7809487,8983717,5420708,18676663
100,Free Cash Flow,-1070286,-2400000,-4300000,-2084648,-3535882,-4116220,-6083889,-4236360,-4418335,-4942833,-4350386,-6361195,-3030762,-4825718,-6067006,-2104402,-2640288,-4474701,-2517595,-5408406,-4989580,-6536915,-7246556,-7539776,-11461573,-11739620
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812796/000116923203000951/d53572_10ksba.htm,https://www.sec.gov/Archives/edgar/data/812796/000101540204001522/dor10ksba.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812796/000081279609000018/0000812796-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390010001169/0001213900-10-001169-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390011001567/f10k2010_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390012001317/0001213900-12-001317-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390013000871/0001213900-13-000871-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390014001738/f10k2013_soligenix.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390015002035/f10k2014_soligenixinc.htm,https://www.sec.gov/Archives/edgar/data/812796/000121390016011833/0001213900-16-011833-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390017002845/0001213900-17-002845-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390018003007/0001213900-18-003007-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390019004865/0001213900-19-004865-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390020007959/0001213900-20-007959-index.html,https://www.sec.gov/Archives/edgar/data/812796/000121390021018698/0001213900-21-018698-index.htm,https://www.sec.gov/Archives/edgar/data/812796/000155837022004605/0001558370-22-004605-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
