,https://roic.ai/company/RETC,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,-5000,28767,55570,1211554,11589049,16232288,40596867,-12015890
83,Cash Provided by Operating Activities,-5000,-39270,-16480,-741226,-1570671,-1069580,-609211,-536307
84,CAPEX,- -,-15000,- -,-6729,-439078,-158629,399,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,734388,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,8130,-370339,-888937,-180426,-79059
89,Cash Used for Investing Activites,- -,-15000,- -,1401,-438299,-170695,-180027,-79059
90,Debt Repayment,- -,- -,- -,- -,- -,-269928,- -,- -
91,Common Stock Issued,- -,28184,- -,- -,500000,131000,5000,- -
92,Common Stock Repurchased,20000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,41243,-27420
94,Other Financing Activites,- -,16000,11589,786266,1446646,1466562,612350,643788
95,Cash Used/Provided by Financing Activities,20000,44184,11589,786266,1946646,1327634,658593,616368
96,Effect of Forex Changes on Cash,- -,- -,- -,-821,-219,-3750,-962,- -
97,Net Change In Cash,15000,-10086,-4891,45620,-62543,81139,-107076,1002
98,Cash at the End of Period,15000,4914,23,100264,37721,118860,11784,12786
99,Cash at the Beginning of Period,- -,15000,4914,54644,100264,37721,118860,11784
100,Free Cash Flow,-5000,-54270,-16480,-747955,-2009749,-1228209,-608812,-536307
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1627611/000164033416001285/0001640334-16-001285-index.htm,https://www.sec.gov/Archives/edgar/data/1627611/000164033417001091/0001640334-17-001091-index.htm,https://www.sec.gov/Archives/edgar/data/1627611/000149315218005212/0001493152-18-005212-index.htm,https://www.sec.gov/Archives/edgar/data/1627611/000149315219005320/0001493152-19-005320-index.htm,https://www.sec.gov/Archives/edgar/data/1627611/000149315220011425/0001493152-20-011425-index.htm,https://www.sec.gov/Archives/edgar/data/1627611/000149315221015518/0001493152-21-015518-index.htm,https://www.sec.gov/Archives/edgar/data/1627611/000149315222008422/0001493152-22-008422-index.htm
102,false,,,,,,,,
