,https://roic.ai/company/TW,2016,2017,2018,2019,2020,2021
73,Net Income,93161000,83648000,159467000,83769000,166296000,226828000
74,Depreciation and Amortization,80859000,68615000,81828000,139330000,153789000,171308000
75,Deferred Income Tax,-6323000,-950000,3570000,-18110000,53764000,85409000
76,Stock Based Compensation,- -,- -,- -,49824000,39286000,51943000
77,Change in Working Capital,-22076000,209052000,206180000,-150148000,165437000,455176000
78,Accounts Receivable,-18303000,11194000,-190616000,-1095000,-11547000,-22369000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1984000,-3826000,176324000,-3550000,11194000,-3480000
81,Other Working Capital,1684000,210736000,416916000,266768000,432205000,887381000
82,Other Non-Cash Items,26224000,-135785000,-173661000,206338000,-135338000,-412643000
83,Cash Provided by Operating Activities,171845000,224580000,277384000,311003000,443234000,578021000
84,CAPEX,-35349000,-40618000,-42096000,-44462000,-42536000,- -
85,Acquisitions Net,-15216000,66000,- -,- -,-20000000,-207762000
86,Purchases of Investments,- -,-5000000,- -,- -,-20000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-25351000,-27157000,-26679000,-28681000,-11046000,-51348000
89,Cash Used for Investing Activites,-50565000,-45552000,-42096000,-44462000,-62536000,-259110000
90,Debt Repayment,- -,- -,- -,- -,- -,-71024000
91,Common Stock Issued,- -,- -,- -,1971224000,626267000,- -
92,Common Stock Repurchased,- -,- -,- -,-809954000,- -,- -
93,Dividends Paid,-130000000,-152000000,-175350000,-155936000,-58088000,-64570000
94,Other Financing Activites,-521000,-1461000,- -,-1223476000,-620872000,-506000
95,Cash Used/Provided by Financing Activities,-130521000,-153461000,-175350000,-218142000,-52693000,-136100000
96,Effect of Forex Changes on Cash,-6200000,3157000,-2432000,2008000,2564000,-2043000
97,Net Change In Cash,-15441000,28724000,57506000,50407000,330569000,180768000
98,Cash at the End of Period,325074000,353798000,411304000,461711000,792280000,973048000
99,Cash at the Beginning of Period,340515000,325074000,353798000,411304000,461711000,792280000
100,Free Cash Flow,136496000,183962000,235288000,266541000,400698000,578021000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1758730/000175873021000007/0001758730-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1758730/000175873022000006/0001758730-22-000006-index.htm
102,false,,,,,,
