,https://roic.ai/company/ADTX,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,-170629,-16305291
90,Debt Repayment,- -,-180000,-58002,-715600,- -
91,Common Stock Issued,- -,631220,470177,18500039,29868611
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,25752,-59442,103930,6086059
95,Cash Used/Provided by Financing Activities,- -,476972,352733,17888369,35954670
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,90709,-111619,10496736,-2628765
98,Cash at the End of Period,- -,115709,4090,10500826,7872061
99,Cash at the Beginning of Period,- -,25000,115709,4090,10500826
100,Free Cash Flow,- -,-386263,-464352,-7391633,-23293896
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1726711/000121390021017776/0001213900-21-017776-index.htm,https://www.sec.gov/Archives/edgar/data/1726711/000121390022016723/0001213900-22-016723-index.htm
102,false,,,,,
