,https://roic.ai/company/NNUP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-252200,-692500,-423000,-1163900,-346300,-805100,-905800,471700,-318700,-198900,-166800,406800,-256000,-376800,-226500,-11100,-132900,27500,33300,23700,279100,414300,1880600,828800,518700,76400
16,EBITDA ratio,-0.0693,-0.2273,-0.1745,-0.6851,-0.2814,-1.0427,-1.2294,0.8254,-0.5072,-0.3765,-0.2176,0.2919,-0.2720,-0.5640,-0.3439,-0.0156,-0.2086,0.0367,0.0361,0.0249,0.2017,0.2644,0.5628,0.3266,0.1951,0.0391
17,Operating Income,-799600,-739600,-578400,-484200,-251200,-830200,-915200,-441300,-328500,-213800,-175800,211400,-362300,-455000,-234400,-183700,-143800,-12900,29000,-38700,271800,406300,1870600,806300,479000,25200
18,Operating Income ratio,-0.2197,-0.2428,-0.2386,-0.2850,-0.2041,-1.0752,-1.2421,-0.7722,-0.5228,-0.4047,-0.2294,0.1517,-0.3849,-0.6810,-0.3559,-0.2575,-0.2257,-0.0172,0.0314,-0.0407,0.1965,0.2593,0.5598,0.3178,0.1802,0.0129
19,Total Other Income Expenses (Gains),277400,-135200,-64000,-808900,-143600,- -,- -,909400,- -,- -,-36300,175400,91500,65600,- -,166700,-2300,23200,-21300,20700,-13300,-25100,-9400,900,11300,18500
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386800,-270800,-389400,- -,- -,-146100,10300,7700,-18000,258500,381200,1861200,807200,490300,43700
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2775,-0.2877,-0.5828,- -,- -,-0.2294,0.0137,0.0083,-0.0189,0.1868,0.2433,0.5570,0.3181,0.1844,0.0224
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800,900,- -,- -,- -,- -,- -,- -,- -,- -,- -,205800,52300,-18100,-5700
23,Net Income,-408300,-847000,-548800,-1262600,-382700,-828600,-924500,458800,-339000,-215900,-190100,386000,-271700,-389400,-245100,-27300,-146100,10300,7700,-18000,258500,381200,1655400,754900,508400,49400
24,Net Income ratio,-0.1122,-0.2781,-0.2264,-0.7432,-0.3110,-1.0732,-1.2548,0.8028,-0.5396,-0.4087,-0.2480,0.2769,-0.2886,-0.5828,-0.3721,-0.0383,-0.2294,0.0137,0.0083,-0.0189,0.1868,0.2433,0.4954,0.2975,0.1912,0.0253
25,EPS,-0.03,-0.05,-0.02,-0.04,-0.01,-0.02,-0.02,0.01,-0.01,-0.00,-0.00,0.01,-0.01,-0.01,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.01,0.03,0.01,0.01,0.00
26,EPS Diluted,-0.03,-0.05,-0.02,-0.04,-0.01,-0.02,-0.02,0.01,-0.01,-0.00,-0.00,0.01,-0.01,-0.01,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.01,0.03,0.01,0.01,0.00
27,Weighted Average Shares Outstanding,14067606,17192323,33587332,33693999,33817332,37386574,42516686,45972241,47614388,50586181,51224394,52078349,52282920,53124118,56041549,58110228,58565605,58599016,58599016,58599016,58599016,58603441,58616716,59443207,64052777,64052777
28,Weighted Average Shares Outstanding Diluted,14067606,17192323,33587332,33693999,33817332,37386574,42516686,45972241,47614388,50586181,51224394,53392882,52282920,53124118,56041549,58110228,58565605,58687694,58600690,58599016,58600257,58895173,58980420,59836570,64172276,64172276
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000089322008000931/0000893220-08-000931-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000119312512141729/0001193125-12-141729-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000155335015000967/0001553350-15-000967-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335016001790/0001553350-16-001790-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335017000322/0001553350-17-000322-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335018000254/0001553350-18-000254-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335019000289/0001553350-19-000289-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335020000259/0001553350-20-000259-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335021000216/0001553350-21-000216-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335022000259/0001553350-22-000259-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,139000,89900,24000,4300,53100,263600,87200,37200,10600,22900,20600,52900,28000,11400,199100,360400,400800,688000,1362800,1846700
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,139000,89900,24000,4300,53100,263600,87200,37200,10600,22900,20600,52900,28000,11400,199100,360400,400800,688000,1362800,1846700
34,Net Receivables,- -,- -,- -,- -,- -,- -,39100,89800,153500,97500,142000,221900,167100,140400,171100,31800,68500,237100,287800,253300,243400,292100,579000,1352300,1280800,970800
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58300,92300,97200,66100,34800,20800,26000,28500,43500,36600,70900,110600,133500,127900,324800,422700
36,Other Current Assets,- -,- -,- -,- -,- -,- -,31000,40200,29200,40400,24800,56200,35900,35200,37200,23300,23800,31500,18800,22600,29600,35300,43600,135000,97800,160000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,209100,219900,206700,142200,278200,634000,387400,278900,253700,98800,138900,350000,378100,323900,543000,798400,1156900,2303200,3066200,3400200
38,PP&E,- -,- -,- -,- -,- -,- -,14000,71500,52000,35000,24100,- -,24300,15200,9600,- -,600,1500,- -,- -,- -,- -,- -,272100,247500,222500
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,110600,150000,100000,50000,- -,33400,- -,- -,- -,3700,- -,- -,18100,20900,15000,14100,1359700,957000,559500,-3534400
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,124600,221500,152000,85000,24100,33400,24300,15200,9600,3700,600,1500,18100,20900,15000,14100,1359700,1229100,807000,-3311900
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,333700,441400,358700,227200,302300,667400,411700,294100,263300,102500,139500,351500,396200,344800,558000,812500,2516600,3532300,3873200,88300
48,Accounts Payable,- -,- -,- -,- -,- -,- -,649200,366400,417200,469100,409400,364200,272200,268400,263400,179800,245600,169500,160300,76200,33100,4900,16500,44300,5700,3700
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112800,- -,- -,165900,56300,138300,128300,128300,139600,44500,47500
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52400,36300,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,120700,71500,24900,10000,5800,5000,10000,13900,46500,42800,- -,- -,- -,112400,106300,99400,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,433900,414800,264400,294800,395600,138000,117100,206900,286800,101500,360500,531100,476400,443000,459900,364700,201600,284000,214900,151500
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,1203800,852700,706500,773900,810800,507200,399300,489200,596700,436900,606100,700600,802600,687900,737600,597300,346400,467900,265100,202700
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000,- -,- -,- -,160300,115800,68300
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108800,47400,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98700,31800,- -,- -,- -,94700,67000,39200,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98700,31800,95000,- -,- -,203500,274700,155000,68300
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,160300,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,1203800,852700,706500,773900,810800,507200,399300,489200,596700,436900,606100,799300,834400,782900,737600,597300,549900,742600,420100,-3417000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,459700,459700,505900,505900,516900,522800,522900,549700,578500,583500,586000,586000,586000,586000,586000,586200,586200,610400,673500,675000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-12470900,-12012100,-12351100,-12567000,-12757100,-12371100,-12642800,-13032200,-13277300,-13304600,-13450700,-13440400,-13432700,-13450700,-13192200,-12811000,-11059500,-10304600,-9796200,-9746800
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-501700,-475100,-495400,-512400,-528500,-548500,-233100,-242200,-247400,-253300,-256400,-257300,-178400,-175700,-183000,-190500,-197600,-206600,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,11642800,11616200,11992800,12026800,12260200,12557000,12365400,12529600,12612800,12640000,12654500,12663900,12586900,12602300,12609600,12630500,12637600,12690500,12575800,12577100
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,-870100,-411300,-347800,-546700,-508500,160200,12400,-195100,-333400,-334400,-466600,-447800,-438200,-438100,-179600,215200,1966700,2789700,3453100,3505300
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,333700,441400,358700,227200,302300,667400,411700,294100,263300,102500,139500,351500,396200,344800,558000,812500,2516600,3532300,3873200,88300
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,333700,441400,358700,227200,302300,667400,411700,294100,263300,102500,139500,351500,396200,344800,558000,812500,2516600,3532300,3873200,88300
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000089322008000931/0000893220-08-000931-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000119312512141729/0001193125-12-141729-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000155335015000967/0001553350-15-000967-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335016001790/0001553350-16-001790-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335017000322/0001553350-17-000322-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335018000254/0001553350-18-000254-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335019000289/0001553350-19-000289-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335020000259/0001553350-20-000259-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335021000216/0001553350-21-000216-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335022000259/0001553350-22-000259-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-408300,-847000,-548800,-1262600,-382700,-828600,-924500,458800,-339000,-215900,-190100,386000,-271700,-389400,-245100,-27300,-146100,10300,7700,-18000,258500,381200,1655400,754900,508400,49400
74,Depreciation and Amortization,156100,154500,125800,98700,36400,23500,18700,12900,20300,17000,23300,20000,12500,9100,7900,5900,3100,900,4000,6100,7300,7500,7100,10800,21500,30500
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108800,-61400,-47400,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121700,19900,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-7300,106400,60300,-53700,- -,- -,-994700,361900,133000,-131900,99100,659400,-138700,-198400,-132700,4900,-129100,116600,-73900,60500,169400,395700,609400,-736600,-156800,396400
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54800,26700,-30700,139300,-36700,-168600,-50700,34500,9900,-48700,-286900,-773300,64500,310000
79,Inventory,17100,-400,- -,- -,- -,- -,- -,- -,- -,- -,-58300,-34000,-4900,31100,31300,14000,-5200,-2500,-15000,6900,-34300,-39700,-22900,5600,-196900,-97900
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123400,-190100,108700,-45500,-29100
81,Other Working Capital,-113000,-6600,53700,- -,- -,- -,-994700,-632800,-499800,-631700,-532600,126800,-11900,-210300,-343000,-338100,-467200,-350600,-424500,-364000,-194600,201100,810500,13800,-16100,3197500
82,Other Non-Cash Items,-358700,366200,-52300,671600,-158200,201300,1468000,-912400,-31500,293100,-132400,-1009300,101000,246800,196700,35800,237800,-176700,76700,-6800,-232600,-606900,-2339800,392900,376700,-48100
83,Cash Provided by Operating Activities,-618200,-219900,-415000,-546000,-504500,-603800,-432500,-78800,-217200,-37700,-200100,56100,-175200,-312000,-170200,19300,-34300,-48900,14500,41800,202600,177500,40900,360600,702400,428200
84,CAPEX,-136800,-156800,-88700,-22500,-14700,- -,- -,-70400,-800,- -,-5200,-29300,-3400,- -,-2300,- -,- -,-1800,-20600,-8900,-1400,-6600,-500,-73400,-38600,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-75300,-1823200,-49600,-54400,81100,- -,- -,110600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31600
89,Cash Used for Investing Activites,-136800,-1842700,-101700,-76900,66400,- -,- -,40200,-800,- -,-5200,-29300,-3400,- -,-2300,- -,- -,-1800,-20600,-8900,-1400,-6600,-500,-73400,-38600,-31600
90,Debt Repayment,- -,- -,-825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6200,-42000,-27500,-25000,-23800,-49500,-13500,-10000,- -,- -,- -,38000
91,Common Stock Issued,128500,2548000,- -,- -,- -,417000,411000,- -,152100,- -,173100,282700,- -,162000,101600,18000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-125000,- -,160400,-10500,- -,18000,81000,-99000,2200,100000,50500,17000,49500,108000,5000,- -,- -,400,- -,- -,11000,-35200
95,Cash Used/Provided by Financing Activities,128500,2548000,-825000,- -,-125000,417000,571400,-10500,152100,18000,254100,183700,2200,262000,145900,-7000,32000,83000,-18800,-49500,-13500,-9600,- -,- -,11000,2800
96,Effect of Forex Changes on Cash,-126400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-752900,485400,-1341700,-622900,-563100,-186800,138900,-49100,-65900,-19700,48800,210500,-176400,-50000,-26600,12300,-2300,32300,-24900,-16600,187700,161300,40400,287200,674800,483900
98,Cash at the End of Period,2229200,2714600,1372900,750000,186900,100,139000,89900,24000,4300,53100,263600,87200,37200,10600,22900,20600,52900,28000,11400,199100,360400,400800,688000,1362800,- -
99,Cash at the Beginning of Period,2982100,2229200,2714600,1372900,750000,186900,100,139000,89900,24000,4300,53100,263600,87200,37200,10600,22900,20600,52900,28000,11400,199100,360400,400800,688000,- -
100,Free Cash Flow,-755000,-376700,-503700,-568500,-519200,-603800,-432500,-149200,-218000,-37700,-205300,26800,-178600,-312000,-172500,19300,-34300,-50700,-6100,32900,201200,170900,40400,287200,663800,428200
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000089322008000931/0000893220-08-000931-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000119312512141729/0001193125-12-141729-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/888981/000155335015000967/0001553350-15-000967-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335016001790/0001553350-16-001790-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335017000322/0001553350-17-000322-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335018000254/0001553350-18-000254-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335019000289/0001553350-19-000289-index.html,https://www.sec.gov/Archives/edgar/data/888981/000155335020000259/0001553350-20-000259-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335021000216/0001553350-21-000216-index.htm,https://www.sec.gov/Archives/edgar/data/888981/000155335022000259/0001553350-22-000259-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
