,https://roic.ai/company/AMSF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-641909000,-714811000,-707726000,-740365000,-771190000,- -,101569000,74190000,141838000,200366000,169555000,126231000,167130000,-965227000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,2558000,2341000,2523000,2301000,1894000,- -,917396000,949923000,1153663000,1239482000,1247335000,1262673000,1298878000,166122000,- -,- -
46,Other Assets,685308000,- -,603801000,678608000,754187000,892320000,- -,- -,- -,- -,- -,1148509000,- -,- -,- -,- -,- -,- -,- -,- -,1470855000,1402724000
47,Total Assets,685308000,- -,603801000,678608000,754187000,892320000,994146000,1061853000,1107833000,1118809000,1128134000,1148509000,1220946000,1329001000,1457220000,1502045000,1518856000,1518236000,1515931000,1492906000,1470855000,1402724000
48,Accounts Payable,- -,- -,- -,18902000,18725000,- -,30470000,28946000,30534000,24324000,20653000,25633000,26105000,27547000,30953000,30638000,31538000,37076000,38611000,40089000,38880000,37883000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,3631000,- -,1221000,- -,- -,- -,- -,- -,- -,911000,4017000,- -,3412000,3220000,417000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,743830000,763254000,762966000,755976000,746147000,- -,813595000,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,774300000,792200000,793500000,780300000,766800000,- -,839700000,- -,- -,- -,- -,- -,- -,- -,- -,- -
54,Long-Term Debt,9500000,- -,8000000,16310000,36090000,36090000,36090000,36090000,36090000,36090000,36090000,25780000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,10000,10000,10000,10000,10000,- -,- -,- -,- -,- -,- -,- -,- -,17513000,- -,- -
58,Total Non-Current Liabilities,9500000,- -,8000000,16310000,36090000,36090000,36100000,36100000,36100000,36100000,36100000,25780000,- -,- -,- -,- -,- -,- -,- -,17513000,- -,- -
59,Other Liabilities,721721000,- -,636901000,715570000,833139000,781064000,97162000,97183000,97161000,- -,72211000,823437000,24000,912187000,1010252000,1048064000,1062706000,1092813000,1106169000,1080204000,1032039000,1003401000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,712221000,- -,628901000,699260000,797049000,744974000,835362000,853283000,854561000,816392000,802911000,797657000,839724000,912187000,1010252000,1048064000,1062706000,1092813000,1106169000,1062691000,1032039000,1003401000
62,Preferred Stock,- -,- -,- -,24720000,1765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2000,3000,174000,187000,188000,188000,189000,191000,194000,195000,198000,201000,203000,204000,204000,205000,205000,206000,206000
64,Retained Earnings,- -,- -,- -,-52544000,-51683000,-54346000,-16988000,33230000,77076000,122632000,155985000,185079000,213017000,250744000,267189000,268873000,270418000,233896000,221328000,227165000,224645000,190492000
65,Other Comprehensive Income/Loss,- -,- -,- -,7170000,7053000,6000000,4028000,1563000,845000,2728000,265000,2215000,2979000,-4295000,2810000,2587000,-492000,3612000,-832000,12211000,21019000,13537000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,195518000,171557000,173589000,175163000,176868000,168782000,- -,165031000,170167000,176768000,182318000,186020000,187711000,189061000,190634000,192946000,- -
67,Total Stockholders Equity,-26913000,- -,-25100000,-20652000,-42862000,147346000,158784000,208570000,253272000,302417000,325223000,350852000,381222000,416814000,446968000,453981000,456150000,425423000,409762000,430215000,438816000,399323000
68,Total Liabilities And Stockholders Equity,685308000,- -,603801000,678608000,754187000,892320000,994146000,1061853000,1107833000,1118809000,1128134000,1148509000,1220946000,1329001000,1457220000,1502045000,1518856000,1518236000,1515931000,1492906000,1470855000,1402724000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,685308000,- -,603801000,678608000,754187000,892320000,994146000,1061853000,1107833000,1118809000,1128134000,1148509000,1220946000,1329001000,1457220000,1502045000,1518856000,1518236000,1515931000,1492906000,1470855000,1402724000
71,SEC Link,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312508048986/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312509048536/0001193125-09-048536-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312510051860/0001193125-10-051860-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312511057764/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1018979/000119312513094153/0001193125-13-094153-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312514077734/d642647d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312515069873/d838456d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312516481952/0001193125-16-481952-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459017002393/0001564590-17-002393-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459018003779/0001564590-18-003779-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459019005456/0001564590-19-005456-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459020006372/0001564590-20-006372-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459021009413/0001564590-21-009413-index.htm,https://www.sec.gov/Archives/edgar/data/1018979/000156459022007154/0001564590-22-007154-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,8594000,10557000,5930000,37358000,50219000,43846000,46431000,33353000,24125000,29353000,43637000,53666000,70462000,77865000,46231000,71632000,92690000,86602000,65756000
74,Depreciation and Amortization,- -,- -,- -,2019000,3368000,2159000,4232000,4507000,1188000,1164000,1028000,1015000,1112000,1300000,1298000,1348000,1181000,984000,996000,942000,1012000,1017000
75,Deferred Income Tax,- -,- -,- -,-1868000,-2849000,-6389000,-5824000,4376000,-6775000,5233000,-2797000,-1555000,115000,-207000,-1412000,1446000,-2249000,12800000,-1462000,872000,1657000,1270000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1285000,1364000,2325000,471000,641000,1409000,1519000,1223000,1603000,2018000,2065000,2351000,3296000,2320000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,217288000,50024000,44498000,24398000,23232000,-359440000,-536150000,915228000,-75521000,-40994000,8958000,-15958000,-38510000,1109731000,-1326784000,-27142000
78,Accounts Receivable,- -,- -,- -,- -,-3990000,-11289000,-23863000,-10244000,-4418000,4997000,28952000,1395000,-20727000,-29629000,-7338000,-6447000,2359000,8771000,11756000,4525000,1193000,21660000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,85313000,156256000,78347000,50609000,3081000,-6298000,-6114000,447000,4582000,3561000,8734000,4364000,3605000,-2382000,4269000,-5023000,-6750000,-2244000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,217288000,267312000,311810000,336208000,359440000,- -,-536150000,379078000,303557000,262563000,271521000,255563000,217053000,1326784000,- -,-14577000
82,Other Non-Cash Items,- -,- -,- -,41704000,80873000,140342000,-171232000,-8695000,-19119000,-51292000,-12297000,379093000,585977000,-832464000,160890000,59374000,26854000,84735000,63547000,-1127762000,1297615000,-5242000
83,Cash Provided by Operating Activities,- -,- -,- -,50449000,91949000,142042000,81822000,100431000,64923000,27298000,44844000,43709000,81048000,128903000,140440000,92859000,114212000,130810000,98268000,78824000,63398000,37979000
84,CAPEX,- -,- -,- -,-640000,-2778000,-1409000,-1330000,-1451000,-1336000,-1017000,-3206000,-1128000,-1196000,-1140000,-989000,-953000,-1638000,-478000,-1126000,-1018000,-921000,-1296000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-90663000,-145256000,-296169000,-256599000,-625922000,-147304000,-186406000,-194458000,-294766000,-267747000,-345647000,-455198000,-326171000,-354591000,-401811000,-368272000,-345904000,-320947000,-271182000
87,Sales/Maturities of Investments,- -,- -,- -,37675000,39067000,126295000,153041000,546533000,131364000,153603000,160991000,252951000,259613000,259827000,315179000,277304000,305751000,350747000,340339000,358610000,365239000,343414000
88,Other Investing Activites,- -,- -,- -,7000,2000,3000,86000,1000,- -,3000,16000,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,23000
89,Cash Used for Investing Activites,- -,- -,- -,-53621000,-108965000,-171280000,-104802000,-80839000,-17276000,-33817000,-36657000,-42943000,-9330000,-96960000,-141008000,-49820000,-50478000,-51542000,-29059000,11688000,43371000,70959000
90,Debt Repayment,- -,- -,- -,-2000000,-6000000,- -,- -,- -,- -,- -,- -,-10310000,-25780000,- -,- -,- -,- -,- -,- -,-47000,-50000,-44000
91,Common Stock Issued,- -,- -,- -,- -,27330000,63289000,428000,810000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-54488000,-10186000,- -,- -,- -,-25875000,-12102000,-10268000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5910000,-37068000,-68561000,-76111000,-82645000,-84491000,-87016000,-88775000,-99929000
94,Other Financing Activites,- -,- -,- -,10310000,25780000,- -,14000,179000,290000,341000,1693000,4382000,1202000,4368000,5515000,4047000,1832000,- -,67000,20000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,8310000,-7378000,53103000,442000,989000,290000,-25534000,-10409000,-16196000,-24578000,-1542000,-31553000,-64514000,-74279000,-82645000,-84424000,-87043000,-88825000,-99973000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,5138000,-24394000,23865000,-22538000,20581000,47937000,-32053000,-2222000,-15430000,47140000,30401000,-32121000,-21475000,-10545000,-3377000,-15215000,3469000,17944000,8965000
98,Cash at the End of Period,- -,- -,- -,49815000,25421000,49286000,26748000,47329000,95266000,63188000,60966000,45536000,92676000,123077000,90956000,69481000,58936000,55559000,40344000,43813000,61757000,70722000
99,Cash at the Beginning of Period,- -,- -,- -,44677000,49815000,25421000,49286000,26748000,47329000,95241000,63188000,60966000,45536000,92676000,123077000,90956000,69481000,58936000,55559000,40344000,43813000,61757000
100,Free Cash Flow,- -,- -,- -,49809000,89171000,140633000,80492000,98980000,63587000,26281000,41638000,42581000,79852000,127763000,139451000,91906000,112574000,130332000,97142000,77806000,62477000,36683000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1018979/000095013407004806/d43179e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312508048986/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312509048536/0001193125-09-048536-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312510051860/0001193125-10-051860-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312511057764/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1018979/000119312513094153/0001193125-13-094153-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000119312514077734/d642647d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312515069873/d838456d10k.htm,https://www.sec.gov/Archives/edgar/data/1018979/000119312516481952/0001193125-16-481952-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459017002393/0001564590-17-002393-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459018003779/0001564590-18-003779-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459019005456/0001564590-19-005456-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459020006372/0001564590-20-006372-index.html,https://www.sec.gov/Archives/edgar/data/1018979/000156459021009413/0001564590-21-009413-index.htm,https://www.sec.gov/Archives/edgar/data/1018979/000156459022007154/0001564590-22-007154-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
