,https://roic.ai/company/ZTCOY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,44619386,62836979,121987908,237238541,634167278,1006956421,1308172957,2709631686,3272392252,4797003544,6899025000,6265852000,7261674000,9663378000,11822230000,16086826000,19406310000,23340460000,23483250000,20669541000,22630390000,27659143000,28576333000,26046789000,22197841000,24424076000,26482809000,30100857000
11,COGS and Expenses,114258690,126247607,239352857,494327225,1556343277,2291251931,4069184955,8452349741,10297582296,14912383776,21268131000,20210649000,22433471000,32667919000,41314760000,56710165000,66741336000,83497814000,87574796000,73795445000,78390494000,96759590000,98676991000,101052607000,79565419000,81432453000,95862024000,105987691000
12,Interest Income ,- -,- -,- -,- -,- -,- -,2811802,-87227440,-44780049,21150702,22578000,54870000,49050000,- -,112786000,110715000,101020000,283618000,149409000,355958000,433604000,527886000,740988000,908082000,748810000,931929000,1238753000,1497096000
13,Interest Expense (Gain),1763536,2472527,5804159,11956503,79635833,53591553,108789160,143678435,97757492,109974577,113661000,175884000,153694000,- -,690174000,751744000,728552000,1374163000,1888481000,1650437000,1561674000,1269080000,1156134000,1157659000,1328685000,1718187000,1495660000,1481221000
14,Depreciation and Amortization,- -,- -,- -,- -,19798837,35590491,57422701,101480008,225435843,295501244,361619000,445993000,552865000,609921000,700069000,938120000,1062991000,1406400000,1538519000,1721965000,1805018000,2071997000,2430367000,2603139000,2472396000,3586834000,3971297000,4587871000
15,EBITDA,82476096,76139731,109084054,138280981,440218220,323482446,570031570,891223180,1011851660,1317408259,1692085000,1974765000,1639536000,2138362000,3401050000,4777066000,5925509000,5232772000,1207459000,5124266000,6810755000,7112224000,1869201000,9661552000,-3583444000,11837899000,10069183000,14345069000
16,EBITDA ratio,0.4192,0.3868,0.3523,0.2188,0.2236,0.1273,0.1260,0.0954,0.0915,0.0818,0.0744,0.0915,0.0710,0.0615,0.0768,0.0793,0.0843,0.0607,0.0143,0.0681,0.0836,0.0710,0.0185,0.0888,-0.0419,0.1305,0.0993,0.1253
17,Operating Income,80712559,68130032,64511020,125632859,332990819,180581400,365416332,675711012,568818485,883972144,1182714000,1032945000,459597000,1000754000,1245393000,2064163000,2589558000,429510000,-5002162000,-1493094000,60328000,320471000,1165548000,6752930000,-611951000,7552182000,5470720000,8676105000
18,Operating Income ratio,0.4103,0.3461,0.2083,0.1988,0.1691,0.0711,0.0808,0.0724,0.0514,0.0549,0.0520,0.0478,0.0199,0.0288,0.0281,0.0342,0.0369,0.0050,-0.0594,-0.0198,0.0007,0.0032,0.0115,0.0621,-0.0072,0.0832,0.0539,0.0758
19,Total Other Income Expenses (Gains),- -,5537173,38768876,4896643,24098543,66580263,59764557,5170126,169377103,90658000,236102000,468919000,610020000,726980000,1017150000,1260579000,1770643000,2205626000,3018962000,3320937000,3477894000,3983061000,-1933299000,-34006000,-6738252000,-390512000,-406554000,-177179000
20,Income Before Tax,80712559,73667205,103279895,130529502,357089362,247161663,425180889,680881138,738195589,974630144,1418816000,1501864000,1069617000,1727734000,2262543000,3324742000,4360201000,2635136000,-1983200000,1827843000,3538222000,4303532000,-767751000,6718924000,-7350203000,7161670000,5064166000,8498926000
21,Income Before Tax Ratio,0.4103,0.3742,0.3335,0.2066,0.1814,0.0973,0.0940,0.0729,0.0667,0.0606,0.0624,0.0696,0.0463,0.0497,0.0511,0.0552,0.0621,0.0306,-0.0235,0.0243,0.0434,0.0430,-0.0076,0.0617,-0.0860,0.0789,0.0499,0.0742
22,Income Tax expense (Gain),- -,518649,4223192,9265398,26990211,22828439,49667275,75795796,121658383,159433958,207935000,158545000,125624000,276283000,350608000,629081000,883719000,392043000,621421000,394207000,810492000,563262000,640118000,1332582000,-400863000,1385001000,342474000,1463036000
23,Net Income,80712559,73148555,99056703,117059081,313793340,211471963,354152434,570268941,566999942,752498480,1008870000,1194343000,807353000,1252158000,1660199000,2458121000,3250247000,2060166000,-2840962000,1357657000,2633571000,3207885000,-2357418000,4568172000,-6983662000,5147877000,4259752000,6812941000
24,Net Income ratio,0.4103,0.3716,0.3199,0.1852,0.1594,0.0832,0.0783,0.0611,0.0513,0.0468,0.0444,0.0553,0.0349,0.0360,0.0375,0.0408,0.0463,0.0239,-0.0337,0.0180,0.0323,0.0320,-0.0233,0.0420,-0.0817,0.0567,0.0420,0.0595
25,EPS,0.04,0.03,0.04,0.07,0.20,0.13,0.21,0.30,0.30,0.40,0.46,0.54,0.37,0.55,0.74,1.08,1.63,1.02,-1.38,0.65,1.28,1.56,-1.14,2.18,-3.34,2.44,1.84,2.94
26,EPS Diluted,0.04,0.03,0.04,0.07,0.20,0.13,0.21,0.30,0.30,0.40,0.46,0.54,0.37,0.55,0.71,1.04,1.60,1.02,-1.38,0.65,1.28,1.54,-1.14,2.16,-3.34,2.44,1.84,2.94
27,Weighted Average Shares Outstanding,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2271915475,2255728448,2275517726,2000152000,2026392787,2053707470,2088703077,2052133247,2323405128,1628173684,2325445872,1966055389,2252654508,2323906522,2317326871
28,Weighted Average Shares Outstanding Diluted,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2261340245,2289527223,2330919396,2359796160,2034937252,2026392787,2053707470,2088703077,2052133247,2353579221,1628173684,2346977778,1966055389,2252654508,2323906522,2317326871
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,2939067568,3785021830,7598223000,5573132000,4311060000,6483170000,11480406000,14496808000,15383207000,21471967000,24126423000,20903035000,18115874000,28025009000,32349914000,33407879000,24289798000,33309347000,35659832000,50713310000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16693000,123644000,- -,- -,123365000,95618000,106297000,217454000,240973000,- -,- -,- -,1476823000,560662000,1036906000,1360697000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2939067568,3785021830,7598223000,5573132000,4327753000,6606814000,11480406000,14496808000,15506572000,21567585000,24232720000,21120489000,18356847000,28025009000,32349914000,33407879000,25766621000,33870009000,36696738000,52074007000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,3241454164,4704395974,4643758000,2519547000,2760995000,5363430000,8978036000,9324800000,12103670000,14988379000,11442389000,12434352000,19592298000,19731741000,26810568000,26234139000,25011416000,27688508000,33689306000,36316753000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4446567821,5312949903,6314065000,9843497000,13467159000,18516417000,22217653000,31772295000,37917857000,47921405000,46943902000,42850441000,44276362000,47535640000,53691578000,48588571000,42069616000,41008657000,36591231000,39480325000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,10627089552,13802367707,18556046000,17936176000,20555907000,30486661000,42676095000,55593903000,65528099000,84477369000,82619011000,76405282000,82225507000,95292390000,112852060000,108230589000,92847653000,102567174000,106977275000,127871085000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1552538943,1773253988,1952143000,2506912000,3061494000,3969153000,4920162000,6047268000,7670244000,8584286000,7921011000,7626899000,7611155000,8335964000,9245691000,10167442000,10194112000,11618985000,14001052000,13625226000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186206000,308806000,186206000,186206000,186206000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,134598773,143015362,146214000,160264000,152859000,483839000,1065104000,1392148000,2357794000,3120556000,3533972000,4168903000,4848200000,5014261000,5719986000,6643692000,11290844000,9595229000,11440139000,10547817000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,134598773,143015362,146214000,160264000,152859000,483839000,1065104000,1392148000,2357794000,3120556000,3533972000,4168903000,4848200000,5014261000,5906192000,6952498000,11477050000,9781435000,11626345000,10547817000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83988000,56839000,- -,- -,1137330000,1238445000,1441806000,1890854000,1960007000,- -,- -,- -,3040971000,3360880000,2213638000,1499461000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104625000,80893000,233683000,295750000,400265000,643918000,655245000,1128836000,1218605000,1353033000,1284493000,1434143000,1604575000,1464250000,2787790000,2511372000,3437101000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,91542839,48317826,90961000,1094886000,1829018000,3880854000,1804295000,4665085000,6803645000,6818622000,10711901000,8634526000,8284834000,10817139000,12032392000,17147436000,9003173000,11362289000,12379495000,15219836000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1778680554,1964587177,2293943000,3842955000,5361042000,8686435000,8189826000,12748419000,18624258000,20890745000,24827295000,23674215000,23988689000,25601507000,28788850000,35731626000,36503096000,38634961000,43657631000,40892340000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,12405770106,15766954884,20849989000,21779131000,25916949000,39173096000,50865921000,68342322000,84152357000,105368114000,107446306000,100079497000,106214196000,120893897000,141640910000,143962215000,129350749000,141202135000,150634906000,168763425000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3182711323,4394750599,4341884000,6269792000,6991665000,11802669000,15814005000,21531665000,25497683000,32692252000,29593979000,24990555000,29626088000,32817995000,36933838000,34463067000,27443104000,27728550000,28515789000,33274643000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,345507752,1149811443,422595000,599695000,945726000,4403424000,5664485000,6846468000,7901230000,11876448000,22448027000,15342957000,17172334000,16525176000,17064145000,18535867000,24983323000,27258227000,12663837000,9924271000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,271848625,50467710,65656000,-663148000,-690767000,-1342330000,-765040000,77715000,-321345000,-990041000,-1161974000,-1251859000,-2790280000,-2329886000,997189000,1263723000,954021000,888848000,878201000,1216334000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3122976568,4062443436,5173809000,3120509000,3198958000,4732560000,8347964000,12716927000,14815229000,18906111000,20916921000,20637293000,19126310000,18294885000,37749115000,34596013000,36950371000,31383739000,33215349000,35486342000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6651195642,9607005478,9938288000,9989996000,11136349000,20938653000,29826454000,41095060000,48214142000,63474811000,72958927000,60970805000,65924732000,67638056000,91747098000,87594947000,89376798000,86370516000,74394975000,78685256000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1103848574,759900000,1025263000,80000000,1679242000,2085229000,4807199000,6029074000,5475100000,10824900000,7097983000,11505263000,10039687000,6016254000,5018276000,3002146000,2366568000,10690387000,23332490000,30440424000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631149000,759394000,790223000,1224978000,691608000,2656024000,2228313000,1872518000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5019000,3924000,89167000,- -,139900000,139900000,159340000,52769000,98380000,338131000,155041000,172060000,134317000,150348000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,157520000,123475000,247320000,1113311000,1860555000,3260806000,1043702000,3265398000,5411950000,4779628000,4610766000,3837840000,3166784000,3078819000,3101843000,6421866000,3800059000,3358850000,4422305000,4327219000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1261368574,883375000,1272583000,1193311000,3539797000,5346035000,5855920000,9298396000,10976217000,15604528000,11848649000,15483003000,13996960000,9907236000,9008722000,10987121000,7013276000,16877321000,30117425000,36790509000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2522737148,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645294000,718186000,531983000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7912564216,10490380478,11210871000,11183307000,14676146000,26284688000,35682374000,50393456000,59190359000,79079339000,84807576000,76453808000,79921692000,77545292000,100755820000,98582068000,96390074000,103247837000,104512400000,115475765000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,556080000,667296000,959522000,959522000,959522000,959522000,1343330000,1831336000,2866732000,3440078000,3440078000,3437541000,3437541000,4150791000,4184628000,4192672000,4192672000,4227530000,4613435000,4730796000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1050231143,1631843551,1735311000,2411070000,2767616000,3831231000,5021369000,6853682000,9222387000,10545984000,7705022000,8933788000,10724034000,13678222000,10282238000,14667683000,6983261000,11680365000,14824478000,20651196000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,2670101805,2744791128,6479606000,6754503000,6951773000,7346408000,7884845000,8140249000,11004753000,10245655000,10357374000,10161319000,10716999000,11831081000,11934285000,12786520000,11721643000,12918973000,23858895000,26100097000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,4276412948,5043930679,9174439000,10125095000,10678911000,12137161000,14249544000,16825267000,23093872000,24231717000,21502474000,22532648000,24878574000,29660094000,26401151000,31646875000,22897576000,28826868000,43296808000,51482089000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,12188977164,15534311157,20385310000,21308402000,25355057000,38421849000,49931918000,67218723000,82284231000,103311056000,106310050000,98986456000,104800266000,107205386000,127156971000,130228943000,119287650000,132074705000,147809208000,166957854000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,216792942,232643727,464679000,470729000,561892000,751247000,934003000,1123599000,1868126000,2057058000,1136256000,1093041000,1413930000,13688511000,14483939000,13733272000,10063099000,9127430000,2825698000,1805571000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,12405770106,15766954884,20849989000,21779131000,25916949000,39173096000,50865921000,68342322000,84152357000,105368114000,107446306000,100079497000,106214196000,120893897000,141640910000,143962215000,129350749000,141202135000,150634906000,168763425000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,313793340,211471963,354152434,570268941,566999942,752498480,1008870000,1194343000,807353000,1252158000,1660199000,2458121000,3250247000,2060166000,-2840962000,1357657000,2633571000,3207885000,-2357418000,4568172000,-6983662000,5147877000,4259752000,6812941000
74,Depreciation and Amortization,- -,- -,- -,- -,19798837,35590491,57422701,101480008,225435843,295501244,361619000,445993000,552865000,609921000,700069000,938120000,1062991000,1406400000,1538519000,1721965000,1805018000,2071997000,2430367000,2603139000,2472396000,3586834000,3971297000,4587871000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-270737243,-865244403,-377047287,-693151699,336754502,-373063267,-1307440000,-2217802000,-3401868000,-3293915000,-674337000,-605130000,-3892290000,-6661779000,4102098000,-3628411000,-4354438000,-1787842000,1747099000,-3134337000,-11132373000,-4177382000,-1964534000,2615473000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-717462183,-256174657,-2225138144,-876811196,596160633,-1588115481,-419693000,-866316000,-381185000,-3280829000,-1494937000,-628599000,-2751161000,-3254859000,3411983000,-1681392000,-7681897000,-706457000,-7500775000,445592000,337928000,-3861583000,-5950631000,-3445693000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,95333127,94050354,-105239541,349092453,289538730,466862006,1581570000,754771000,486664000,1520226000,1961982000,938161000,520962000,1382996000,-1249639000,3123367000,2428484000,3912625000,3440158000,3183000000,6428253000,2889225000,3966136000,1707242000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,158188060,-524131595,-70711692,327689703,1418729016,1141798463,1644619000,177305000,-1554986000,88390000,3647913000,3729272000,941910000,-1812217000,1550016000,2574578000,2512635000,7404665000,5260206000,7219974000,-9215386000,7446554000,10232651000,15723527000
84,CAPEX,- -,- -,- -,- -,-149500682,-239689055,-368318262,-567111601,-437038589,-639290473,-542178000,-921463000,-1181162000,-1777223000,-1911923000,-2053824000,-3067164000,-4065036000,-2377654000,-2336926000,-2067604000,-2469110000,-4002460000,-5984005000,-4881872000,-6550620000,-6471652000,-5686369000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989185000,1318667000,289890000,12227000,964261000,- -,498207000,447907000,-5969000,1240256000
86,Purchases of Investments,- -,- -,- -,- -,-2500000,-8919631,-17565902,-57616670,-47526252,-1715855,-122976000,-72955000,-48889000,-60000000,-233536000,-266425000,-91902000,-1645035000,-1636871000,-1820312000,-1387493000,-1405987000,-3087455000,-2200283000,-2405998000,-1835699000,-7363565000,-17062063000
87,Sales/Maturities of Investments,- -,- -,- -,- -,5077443,6017,67088492,1929629,3818892,475000,97832000,331000,46031000,61282000,105254000,18143000,17001000,2200751000,1380365000,1170445000,1470462000,2263781000,3008060000,1997803000,3249015000,2166595000,6783683000,10740516000
88,Other Investing Activites,- -,- -,- -,- -,2918994,13552188,967417,14397655,79992463,27128640,905000,9817000,20457000,18295000,52554000,1011000,29480000,90615000,41845000,5955000,72015000,23734000,98620000,1251878000,2574948000,-251298000,-24611000,175222000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-144004245,-235050482,-317828255,-608400988,-400753487,-613402688,-566417000,-984270000,-1163563000,-1757646000,-1987651000,-2301095000,-3112585000,-3418705000,-1603130000,-1662171000,-1622730000,-1575355000,-3018974000,-4934607000,-965700000,-6023115000,-7082114000,-10592438000
90,Debt Repayment,- -,- -,- -,- -,-82000000,-286477405,-536300000,-3445713387,-2048162392,-1169540948,-3237824000,-869867000,-1147875000,-3117701000,-8896625000,-7435235000,-11568474000,-21517594000,-40920499000,-24372924000,-41621563000,-23835552000,-28929382000,-35048391000,-23237437000,-36301498000,-49454964000,-61551343000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,23170000,- -,- -,46128682,- -,25227000,30366000,- -,- -,- -,- -,- -,- -,18895000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-111783684,-52731717,-102156226,-226065343,-184847132,-232633633,-344042000,-459553000,-509886000,-472229000,-830481000,-1000782000,-1183152000,-1972207000,-2438717000,-1527941000,-1823911000,-2042961000,-2776936000,-1624464000,-1825069000,-2159672000,-2691770000,-2305501000
94,Other Financing Activites,- -,- -,- -,- -,166307781,1146599769,1320328329,4813445420,2420509976,1673615215,6314273000,108695000,3093148000,7418265000,13369790000,9723208000,15789375000,34890210000,45445186000,23200305000,39719225000,29460474000,32932827000,34913244000,25950593000,44182888000,51856829000,66635358000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-27475902,807390648,705042103,1141666690,187500453,317569316,2732407000,-1195498000,1465753000,3828335000,3642684000,1287191000,3037749000,11400409000,2085970000,-2681665000,-3726249000,3581961000,1226509000,-1759611000,888087000,5721718000,-289905000,2778514000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-592065,-1550355,1836566,-269171,- -,-10827,2592000,-22628000,-9276000,8607000,-268535000,16294000,-37797000,-412497000,-35310000,-772103000,-51790000,-24415000,-34946000,-466278000,317841000,226532000,36624000,- -
97,Net Change In Cash,- -,- -,- -,- -,-13884152,46658217,318338722,860686234,1205475982,845954262,3813201000,-2025091000,-1262072000,2167686000,5034411000,2731662000,829277000,5756990000,1997546000,-2541361000,-2888134000,9386856000,3432795000,59478000,-8975158000,7371689000,2897256000,7667527000
98,Cash at the End of Period,- -,- -,- -,- -,521282643,567940859,880273091,1733591585,2939067568,3785021830,7598223000,5573132000,4311060000,6309749000,11344160000,14075822000,14905099000,20662089000,22659635000,20118274000,17230140000,26616996000,30049791000,30109269000,21134111000,28505800000,31403056000,39070583000
99,Cash at the Beginning of Period,- -,- -,- -,- -,535166795,521282643,561934369,872905351,1733591585,2939067568,3785022000,7598223000,5573132000,4142063000,6309749000,11344160000,14075822000,14905099000,20662089000,22659635000,20118274000,17230140000,26616996000,30049791000,30109269000,21134111000,28505800000,31403056000
100,Free Cash Flow,- -,- -,- -,- -,8687379,-763820651,-439029954,-239421899,981690427,502507990,1102441000,-744158000,-2736148000,-1688833000,1735990000,1675448000,-2125254000,-5877253000,-827638000,237652000,445031000,4935555000,1257746000,1235969000,-14097258000,895934000,3760999000,10037158000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
