,https://roic.ai/company/RMCF,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16084246,17967245,19247974,19057480,18456169,16147460,16841052,18919914,21438808,24162970,23833945,37465539,34138213,30315725,29418356,28940635,26222141,27817388,24951152
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,612770,952542,1088476,1145410,898794,1710380,1074643,877832,1540930,1355818,1998897,1971530,1675746,1663245,1820470,1647991,897074,2241506,1297211
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1218400,1080400,126000,- -,- -,300000,- -,- -,- -,- -,- -,108023,1208888,1254007,1302501,1352893,1176488,- -,682348
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288500,303000,142000,220938,261410,156000,417484,1798781,951241,3338893,3372756,3529041,998383,805500,812175
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041415,1802610,1902242,1762363,2068749,1497514,1554716,2195378,1873351,2030375,3146758,4079861,4451497,1749546,1564532,1677691,1663886,2559816,988586
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2872585,3835552,3116718,2907773,3256043,3810894,2771359,3294148,3675691,3542193,5563139,7958195,8287372,8005691,8060259,8207616,4735831,5606822,3780320
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3072798,1986174,1539084,- -,- -,- -,- -,- -,- -,- -,- -,6291977,5083479,3831126,2529240,1176416,- -,- -,1278354
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1096478,960151,924909
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232215,555567,698602,663889,685613,681529,827700,894429,1109002,1884957,881694,1050489,1029507,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1894904,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3320670,2541741,2237686,663889,685613,681529,827700,894429,1109002,1884957,881694,7342466,6112986,3831126,2529240,1176416,1096478,2855055,2203263
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2698765,1960702
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6193255,6377293,5354404,3571662,3941656,4492423,3599059,4188577,4784693,5427150,6444833,15300661,14400358,11836817,10589499,9384032,5832309,8461877,5983583
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75004,128185,138064,188458,183397,179428,179696,180808,182099,184872,182054,184206,180384,5839,5854,5903,5958,6020,6074
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7094554,8779136,2658298,4924830,7334388,4428467,5751017,6923927,8411975,9838205,8642093,10344794,11524708,13132879,13283646,13419553,13733010,11889560,10989783
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6808778,-7340305,-7707645,-6562681,-7203831,-7900272,-8319215,-8610038,-8978481,-9319250,-10712613,-11496791,-12320176,-12746172,-12438730,-13009251,-12441054,-12719338,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9530211,10022936,18804853,16935211,14200559,14947414,15630495,16236640,17038522,18031993,18272055,21389764,19483268,18086362,17978087,19140398,19091918,20179269,7971712
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9890991,11589952,13893570,15485818,14514513,11655037,13241993,14731337,16654115,18735820,16383589,20421973,18868184,18478908,18828857,19556603,20389832,19355511,18967569
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16084246,17967245,19247974,19057480,18456169,16147460,16841052,18919914,21438808,24162970,22828422,35722634,33268542,30315725,29418356,28940635,26222141,27817388,24951152
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1005523,1742905,869671,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16084246,17967245,19247974,19057480,18456169,16147460,16841052,18919914,21438808,24162970,23833945,37465539,34138213,30315725,29418356,28940635,26222141,27817388,24951152
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1616262/000143774915011158/0001437749-15-011158-index.html,https://www.sec.gov/Archives/edgar/data/1616262/000143774916032668/0001437749-16-032668-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774917009919/0001437749-17-009919-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774918010031/0001437749-18-010031-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774919010981/0001437749-19-010981-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774920012018/0001437749-20-012018-index.htm,https://www.sec.gov/Archives/edgar/data/1616262/000143774921013850/0001437749-21-013850-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,400000,900000,1400000,1200000,-1400000,300000,400000,1056565,1556388,1995342,852348,2319046,3316640,4064572,4744918,4961376,3718563,3580077,3910841,3876032,1478212,4392444,3937840,4425907,3450116,2963908,2238799,1033832,-899777
74,Depreciation and Amortization,- -,- -,- -,300000,300000,300000,500000,800000,1700000,1300000,1500000,1562632,1149590,905227,815279,796272,785083,875940,873988,782951,758322,698580,670321,750860,935377,1026775,1440448,1420301,1288709,1319255,1709799,1492825,1336182
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,- -,100000,-1000000,800000,-500000,- -,145281,11794,27726,348664,135716,4195,-133432,165441,-105180,-25323,230628,733875,-1144622,258557,-55068,-1878205,262248,23411,-78934,-22657,-514685
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240013,316434,413659,457449,418633,601969,865240,763094,584893,591839,519772,809129,511835
77,Change in Working Capital,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4781121,1612505,1614563,-475485,-29330,-2351173,2218306,1559881,900908,725878,-1576380,52754,336967,-1937352,-342602,273191,2166552,-1525396,991595
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-669508,-470209,-643735,479099,-235345,-1408048,662625,364767,-128404,-229948,-390663,-453816,1022975
79,Inventory,- -,- -,- -,-300000,100000,-300000,-600000,-800000,200000,-500000,-700000,192158,284264,-603779,91535,535325,-136402,-461207,-613905,-623320,-125754,723164,-902741,154143,98478,12793,-202333,144454,-2735,-365323,41310,297306,-617268
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336249,-197772,513119,-439014,-451080,-310533,-87657,96491,-545588,1205891,-901090
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4781121,6393626,8008189,7532704,7503374,5152201,7370507,8930388,9831296,10557174,8980794,9033548,9370515,7433163,7090561,7363752,9530304,8004908,8996503
82,Other Non-Cash Items,- -,- -,- -,- -,- -,100000,-200000,-1200000,2100000,100000,-500000,893821,-369388,-1646535,-3502374,184070,-1749783,795849,-672908,2075863,-3347651,-594588,-2330631,-397043,6258850,531002,-653912,3994340,77650,-413992,-2540968,2608085,-1357804
83,Cash Provided by Operating Activities,- -,- -,- -,-100000,700000,1400000,1700000,900000,1400000,2500000,900000,3513018,2481871,1265828,2974100,5260557,4102219,5265071,4783236,5634458,3482373,5535061,3795726,6147051,6370070,6863501,5871515,6788085,5321014,4757612,4015020,4395818,67346
84,CAPEX,- -,- -,- -,-800000,-400000,-1100000,-4400000,-5500000,-4300000,-2000000,-1400000,-870112,-466448,-724130,-285313,-469894,-1406698,-1304709,-201037,-578433,-256034,-498832,-1297761,-3260638,-1542871,-11467851,-626744,-826354,-1551419,-553464,-613786,-1058941,-253540
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1688,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94495,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,- -,-100000,-100000,-200000,- -,-100000,502859,1296147,-312974,-500692,265624,-39081,361190,386805,320910,24072,-143626,-593645,137075,-231476,-7789260,836902,49362,-54406,205439,107614,72532,83498
89,Cash Used for Investing Activites,- -,- -,- -,-700000,-200000,-1100000,-4500000,-5600000,-4500000,-2200000,-1500000,-367253,829699,-1037104,-786005,-204270,-1445779,-943519,185768,-257523,-231962,-642458,-1796911,-3123563,-976035,-10307577,210158,-693889,-1292878,-339517,-506172,-911409,-70994
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,-107633,-1207234,-1253392,-1302432,-1352821,-1176488,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,5000000,- -,- -,100000,2700,63250,237334,126532,755601,591126,1072729,623206,331313,24393,- -,9876,173064,82223,195130,962494,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,-1800000,-1176209,-3080299,-625541,- -,-909595,-844206,-2958441,-4381090,-5932605,- -,- -,- -,- -,-1715352,- -,-3127624,-3030708,-351583,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-398356,-1099639,-1710980,-2030625,-2404409,-2396499,-2403458,-2418488,-2440560,-2623031,-2681853,-2711812,-2838545,-2804786,-2821874,-2844984,-2869877,-722344
94,Other Financing Activites,- -,- -,- -,700000,-300000,- -,2100000,800000,3300000,500000,900000,-2161219,-335412,237654,-1197127,-1234626,-1417128,-1673986,159930,474233,- -,- -,11195,24962,58377,6468832,200544,19868,-34128,- -,- -,- -,1537200
95,Cash Used/Provided by Financing Activities,- -,- -,- -,700000,-300000,- -,2100000,4800000,3300000,500000,-800000,-3334728,-3352461,-150553,-1070595,-1786976,-2769847,-5270678,-5628579,-7531468,-2672106,-2403458,-2397417,-2242534,-4197783,3982109,-4784031,-7056619,-4443889,-4124306,-4197805,-4046365,814856
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,700000,-300000,- -,2100000,4800000,3300000,500000,-800000,-188963,-40891,78171,1117500,3269311,-113407,-949126,-659575,-2154533,578305,2489145,-398602,780954,1196252,538033,1297642,-962423,-415753,293789,-688957,-561956,811208
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128192,87301,165472,1282972,4552283,4438876,3489750,2830175,675642,1253947,3743092,3344490,4125444,5321696,5859729,7157371,6194948,5779195,6072984,5384027,4822071,5633279
99,Cash at the Beginning of Period,- -,- -,- -,600000,600000,700000,1000000,400000,500000,800000,1800000,317155,128192,87301,165472,1282972,4552283,4438876,3489750,2830175,675642,1253947,3743092,3344490,4125444,5321696,5859729,7157371,6194948,5779195,6072984,5384027,4822071
100,Free Cash Flow,- -,- -,- -,-900000,300000,300000,-2700000,-4600000,-2900000,500000,-500000,2642906,2015423,541698,2688787,4790663,2695521,3960362,4582199,5056025,3226339,5036229,2497965,2886413,4827199,-4604350,5244771,5961731,3769595,4204148,3401234,3336877,-186194
