,https://roic.ai/company/CMP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
14,Depreciation and Amortization,- -,- -,39000000,44300000,43600000,45900000,41900000,41300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000
15,EBITDA,-443500000,28500000,69300000,79900000,98300000,92600000,111700000,121400000,268600000,262900000,217900000,218300000,129500000,192000000,311900000,236000000,231400000,155600000,140100000,153000000,279400000
16,EBITDA ratio,-0.8710,0.0592,0.1379,0.1330,0.1414,0.1247,0.1691,0.1416,0.2300,0.2730,0.2039,0.1974,0.1375,0.1700,0.2432,0.2148,0.2033,0.1140,0.0938,0.1027,0.2034
17,Operating Income,- -,- -,77600000,95600000,124100000,142900000,119400000,144300000,274200000,270200000,226500000,215300000,133200000,185600000,311000000,221400000,174600000,159200000,130300000,163600000,140500000
18,Operating Income ratio,- -,- -,0.1544,0.1592,0.1785,0.1925,0.1807,0.1683,0.2348,0.2806,0.2119,0.1947,0.1414,0.1643,0.2425,0.2015,0.1534,0.1167,0.0872,0.1098,0.1023
19,Total Other Income Expenses (Gains),- -,- -,-47300000,-60000000,-69400000,-100300000,-49600000,-64200000,-47200000,-33100000,-31300000,-18000000,-21900000,-11500000,-19200000,-6900000,22700000,-56500000,-52700000,-79000000,-69300000
20,Income Before Tax,- -,- -,30300000,35600000,54700000,42600000,69800000,80100000,227000000,237100000,195200000,197300000,111300000,174100000,291800000,214500000,197300000,102700000,77600000,84600000,71200000
21,Income Before Tax Ratio,- -,- -,0.0603,0.0593,0.0787,0.0574,0.1056,0.0934,0.1944,0.2462,0.1826,0.1784,0.1182,0.1541,0.2275,0.1952,0.1734,0.0753,0.0520,0.0568,0.0518
22,Income Tax expense (Gain),- -,- -,11400000,8400000,4900000,15800000,14800000,100000,67500000,73200000,44600000,48300000,22400000,43300000,73900000,55300000,34600000,60000000,8800000,22100000,11700000
23,Net Income,-443500000,28500000,18900000,27200000,49800000,30900000,55000000,80000000,159500000,163900000,150600000,149000000,88900000,130800000,217900000,159200000,162700000,42700000,68800000,62500000,59500000
24,Net Income ratio,-0.8710,0.0592,0.0376,0.0453,0.0716,0.0416,0.0832,0.0933,0.1366,0.1702,0.1409,0.1348,0.0944,0.1158,0.1699,0.1449,0.1430,0.0313,0.0461,0.0419,0.0433
25,EPS,-890562.25,8.17,0.24,1.05,1.63,0.98,1.70,2.44,4.82,4.93,4.52,4.46,2.65,3.89,6.45,4.70,4.79,1.25,2.02,1.82,1.72
26,EPS Diluted,-890562.25,8.17,0.23,1.01,1.57,0.97,1.69,2.43,4.81,4.92,4.51,4.45,2.65,3.88,6.44,4.69,4.79,1.25,2.02,1.81,1.72
27,Weighted Average Shares Outstanding,30029932,3220724,35039110,32492792,30604597,31487975,32345962,32810704,33096000,32574000,32747000,32906000,33109000,33403000,33557000,33677000,33776000,33819000,33848000,33882000,33928000
28,Weighted Average Shares Outstanding Diluted,30029932,3220724,35474539,33983983,31816202,32049632,32592780,32931707,33166000,32596000,32763000,32934000,33135000,33420000,33581000,33692000,33780000,33820000,33848000,33882000,33928000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1227654/000095013705003091/c92919e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000095013706002198/c01762e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000095013707002611/x12491e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765408000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765409000012/0001227654-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765410000007/0001227654-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036111011013/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000114036112010153/0001140361-12-010153-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036113008641/0001140361-13-008641-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036114009227/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000114036115008475/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765416000082/0001227654-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765417000032/0001227654-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765418000031/0001227654-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765419000037/0001227654-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765420000044/0001227654-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765421000037/0001227654-21-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,15900000,11900000,2600000,9700000,47100000,7400000,12100000,34600000,13500000,91100000,130300000,100100000,159600000,266800000,58400000,77400000,36600000,27000000,34700000,21000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000
33,Cash and Short-Term Investments,300000,15900000,11900000,2600000,9700000,47100000,7400000,12100000,34600000,13500000,91100000,130300000,100100000,159600000,266800000,58400000,77400000,36600000,27000000,34700000,41000000
34,Net Receivables,- -,- -,94500000,117400000,143000000,183000000,114000000,206600000,210400000,167500000,197200000,158800000,143700000,211900000,213000000,147800000,320900000,344500000,311600000,342400000,296700000
35,Inventory,- -,- -,96500000,96700000,96300000,81500000,146100000,128400000,123300000,273200000,205000000,207200000,229700000,180700000,199000000,275300000,280600000,289900000,266600000,311500000,370600000
36,Other Current Assets,- -,- -,700000,3700000,17000000,22800000,16300000,18600000,22200000,29200000,28100000,19500000,33400000,25200000,23900000,30800000,36100000,66500000,116000000,96400000,48900000
37,Total Current Assets,- -,- -,203600000,220400000,266000000,334400000,283800000,365700000,390500000,483400000,521400000,515800000,506900000,577400000,702700000,512300000,715000000,737500000,721200000,785000000,757200000
38,PP&E,- -,- -,263400000,262000000,402900000,366100000,374600000,396800000,383100000,463800000,533800000,573400000,645200000,677300000,700900000,800700000,1092300000,1138100000,1052000000,1030800000,964900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68500000,58100000,412200000,405000000,350800000,343000000,281300000
40,Intangible Assets,- -,- -,149800000,172700000,23600000,22500000,21500000,22200000,20400000,19700000,18400000,57500000,74700000,72500000,106100000,85300000,157600000,143600000,115900000,103000000,85000000
41,Intangible Assets,- -,- -,149800000,172700000,23600000,22500000,21500000,22200000,20400000,19700000,18400000,57500000,74700000,72500000,174600000,143400000,569800000,548600000,466700000,446000000,366300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116400000,24900000,24600000,24500000,24900000,20000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,27300000,31400000,31400000,27300000,26400000,35300000,28600000,36900000,40700000,58800000,73800000,77600000,58900000,56100000,64500000,122200000,103500000,156500000,154000000
45,Total Non-Current Assets,- -,- -,440500000,466100000,457900000,415900000,422500000,454300000,432100000,520400000,592900000,689700000,793700000,827400000,934400000,1116600000,1751500000,1833500000,1646700000,1658200000,1505200000
46,Other Assets,636000000,655600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,636000000,655600000,644100000,686500000,723900000,750300000,706300000,820000000,822600000,1003800000,1114300000,1205500000,1300600000,1404800000,1637100000,1628900000,2466500000,2571000000,2367900000,2443200000,2262400000
48,Accounts Payable,- -,- -,62300000,72600000,79400000,88300000,73000000,104900000,115400000,95700000,92500000,86800000,85400000,109400000,97600000,80700000,100800000,123500000,111300000,126200000,116800000
49,Short-Term Debt,- -,- -,1200000,800000,400000,3500000,3100000,4100000,4100000,4100000,4200000,156000000,3900000,3900000,3900000,4900000,130200000,32100000,43500000,52100000,63700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,29800000,21900000,14400000,6600000,1000000,11000000,44400000,14800000,4400000,25900000,32100000,10400000,5500000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56500000,- -,- -,- -,- -,- -,- -,87000000
52,Other Current Liabilities,- -,- -,39100000,40600000,55100000,47600000,42900000,56100000,96000000,84800000,85900000,84000000,110000000,87800000,136200000,85200000,141000000,112400000,128500000,117600000,28800000
53,Total Current Liabilities,- -,- -,102600000,114000000,134900000,139400000,119000000,165100000,215500000,184600000,182600000,326800000,199300000,257600000,237700000,170800000,372000000,268000000,283300000,295900000,296300000
54,Long-Term Debt,- -,- -,506600000,602500000,582700000,612400000,582400000,602700000,491600000,486600000,482500000,326700000,478400000,474700000,622500000,722100000,1194800000,1330400000,1321200000,1363900000,1337700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,99200000,77700000,55100000,43700000,11100000,12600000,21600000,55000000,59800000,70700000,77900000,78400000,88900000,71300000,130800000,127000000,100800000,89900000,87500000
57,Other Non-Current Liabilities,- -,- -,44400000,36400000,39600000,33900000,58900000,44200000,29400000,54500000,41600000,34700000,41500000,39900000,34500000,25000000,51800000,151000000,122400000,163900000,153900000
58,Total Non-Current Liabilities,- -,- -,650200000,716600000,677400000,690000000,652400000,659500000,542600000,596100000,583900000,432100000,597800000,593000000,745900000,818400000,1377400000,1608400000,1544400000,1617700000,1579100000
59,Other Liabilities,347500000,786600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,347500000,786600000,752800000,830600000,812300000,829400000,771400000,824600000,758100000,780700000,766500000,758900000,797100000,850600000,983600000,989200000,1749400000,1876400000,1827700000,1913600000,1875400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,300000,300000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000,400000
64,Retained Earnings,- -,- -,-190600000,-174800000,-118800000,-115500000,-95400000,-54500000,68300000,185000000,283600000,372500000,395000000,452500000,589500000,659100000,727500000,672500000,643500000,607400000,567300000
65,Other Comprehensive Income/Loss,- -,- -,100000,25500000,38300000,41700000,35800000,53500000,-800000,31200000,46000000,40800000,57600000,34500000,-15500000,-108300000,-104900000,-77900000,-210900000,-192100000,-303300000
66,Other Total Stockholders Equity,288500000,- -,81500000,4900000,-8300000,-5700000,-5900000,-4000000,-3400000,6500000,17800000,32900000,50500000,66800000,79200000,88500000,94100000,99600000,107200000,113900000,122600000
67,Total Stockholders Equity,288500000,-131000000,-108700000,-144100000,-88400000,-79100000,-65100000,-4600000,64500000,223100000,347800000,446600000,503500000,554200000,653600000,639700000,717100000,694600000,540200000,529600000,387000000
68,Total Liabilities And Stockholders Equity,636000000,655600000,644100000,686500000,723900000,750300000,706300000,820000000,822600000,1003800000,1114300000,1205500000,1300600000,1404800000,1637200000,1628900000,2466500000,2571000000,2367900000,2443200000,2262400000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,636000000,655600000,644100000,686500000,723900000,750300000,706300000,820000000,822600000,1003800000,1114300000,1205500000,1300600000,1404800000,1637100000,1628900000,2466500000,2571000000,2367900000,2443200000,2262400000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1227654/000095013705003091/c92919e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000095013706002198/c01762e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000095013707002611/x12491e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765408000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765409000012/0001227654-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765410000007/0001227654-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036111011013/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000114036112010153/0001140361-12-010153-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036113008641/0001140361-13-008641-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036114009227/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000114036115008475/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765416000082/0001227654-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765417000032/0001227654-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765418000031/0001227654-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765419000037/0001227654-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765420000044/0001227654-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765421000037/0001227654-21-000037-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-443500000,- -,18900000,27200000,49800000,30900000,55000000,80000000,159500000,163900000,150600000,149000000,88900000,130800000,217900000,159200000,162700000,42700000,68800000,62500000,59500000
74,Depreciation and Amortization,- -,- -,39000000,44300000,43600000,45900000,41900000,41300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000
75,Deferred Income Tax,- -,- -,-1900000,400000,-22600000,-8800000,-23200000,-300000,16200000,25600000,7700000,4500000,400000,-200000,3600000,-100000,-11300000,-16500000,-16700000,-11800000,5400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,3300000,4500000,5300000,6500000,8500000,5100000,4900000,6100000,4900000,5000000,7800000,6300000,9400000
77,Change in Working Capital,- -,- -,24700000,63900000,-30200000,35800000,-25600000,123800000,40000000,-149800000,118600000,12200000,145200000,-123500000,1500000,126500000,-31600000,51200000,-28200000,-7900000,53000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,-71700000,-4400000,59000000,-76900000,-22700000,16400000,- -,- -
79,Inventory,- -,- -,3800000,4300000,1900000,13000000,-64400000,22700000,-5700000,-146900000,70400000,-3100000,-23800000,45700000,-21900000,-90500000,65100000,-5900000,-16800000,-45400000,-71400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7100000,45100000,35500000,-65700000,-56000000,-3600000,21100000,-12100000,-3700000
81,Other Working Capital,106400000,- -,131100000,195000000,164800000,200600000,175000000,298800000,338800000,189000000,307600000,319800000,465000000,341500000,343000000,469500000,437900000,489100000,460900000,453000000,506000000
82,Other Non-Cash Items,515600000,- -,1700000,-66700000,59100000,-15900000,47500000,-126300000,35100000,74700000,-41000000,80100000,-91300000,226100000,15000000,-153800000,42600000,64500000,159000000,110500000,-89100000
83,Cash Provided by Operating Activities,72100000,- -,82400000,69100000,99700000,87900000,95600000,118500000,254100000,118900000,241200000,252300000,151700000,238300000,242900000,137900000,167300000,146900000,190700000,159600000,175200000
84,CAPEX,- -,- -,-19500000,-20600000,-26900000,-31800000,-36400000,-48000000,-67800000,-94100000,-112100000,-107400000,-130900000,-122700000,-125200000,-217600000,-182200000,-114100000,-96800000,-98100000,-84900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-7600000,- -,-3600000,- -,-58100000,- -,- -,-86500000,-116400000,-282400000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-34000000,- -,400000,-25000000,900000,32600000,-4400000,-300000,-66700000,-95300000,-113400000,-94300000,-123600000,-106100000,-102700000,-219000000,-185400000,-119000000,-99600000,-100400000,-88200000
89,Cash Used for Investing Activites,-34000000,- -,-19100000,-45600000,-26000000,800000,-40800000,-55900000,-66700000,-98900000,-113400000,-152400000,-123600000,-106100000,-189200000,-335400000,-467800000,-119000000,-99600000,-100400000,-88200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-117500000,-102500000,-4100000,-4200000,-387700000,-3900000,-102400000,-49400000,-818500000,-355800000,-497200000,-1513900000,-408900000
91,Common Stock Issued,- -,- -,- -,400000,1200000,1500000,400000,400000,- -,3200000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-18200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-1100000
93,Dividends Paid,- -,- -,- -,-103700000,-28700000,-34700000,-39500000,-42000000,-44300000,-47200000,-52000000,-60100000,-66300000,-73100000,-80700000,-89400000,-94100000,-97500000,-97700000,-98100000,-99100000
94,Other Financing Activites,-43300000,- -,-69800000,85200000,-43700000,-20600000,-57100000,-17500000,-500000,93200000,-1800000,8600000,392100000,10600000,247700000,153000000,1227200000,379900000,509000000,1561800000,412900000
95,Cash Used/Provided by Financing Activities,-43300000,- -,-69800000,-36300000,-71200000,-53800000,-96200000,-59100000,-162300000,-53300000,-55100000,-55700000,-61900000,-66400000,64600000,14200000,314600000,-73400000,-85900000,-50500000,-96200000
96,Effect of Forex Changes on Cash,- -,- -,2500000,3500000,4600000,2500000,1700000,1200000,-2600000,12200000,4900000,-5000000,3600000,-6300000,-11100000,-25100000,4900000,4700000,-14800000,-1000000,-4500000
97,Net Change In Cash,-43300000,- -,-4000000,-9300000,7100000,37400000,-39700000,4700000,22500000,-21100000,77600000,39200000,-30200000,59500000,107200000,-208400000,19000000,-40800000,-9600000,7700000,-13700000
98,Cash at the End of Period,- -,- -,11900000,2600000,9700000,47100000,7400000,12100000,34600000,13500000,91100000,130300000,100100000,159600000,266800000,58400000,77400000,36600000,27000000,34700000,21000000
99,Cash at the Beginning of Period,- -,- -,15900000,11900000,2600000,9700000,47100000,7400000,12100000,34600000,13500000,91100000,130300000,100100000,159600000,266800000,58400000,77400000,36600000,27000000,34700000
100,Free Cash Flow,72100000,- -,62900000,48500000,72800000,56100000,59200000,70500000,186300000,24800000,129100000,144900000,20800000,115600000,117700000,-79700000,-14900000,32800000,93900000,61500000,90300000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1227654/000095013705003091/c92919e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000095013706002198/c01762e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000095013707002611/x12491e10vk.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765408000009/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765409000012/0001227654-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765410000007/0001227654-10-000007-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036111011013/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000114036112010153/0001140361-12-010153-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036113008641/0001140361-13-008641-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000114036114009227/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000114036115008475/form10k.htm,https://www.sec.gov/Archives/edgar/data/1227654/000122765416000082/0001227654-16-000082-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765417000032/0001227654-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765418000031/0001227654-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765419000037/0001227654-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765420000044/0001227654-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/1227654/000122765421000037/0001227654-21-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
