,https://roic.ai/company/TNLX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11,COGS and Expenses,28000000,20400000,20400000,18300000,20000000,18800000,21300000,22700000,31700000,30400000,33900000,40700000,47600000,57600000,58370000,63999000,64543000,71169000,56719000,51023000,53577000,53382000,52916000,38197000,35596000,28755000,28580000,27516000,24354000,28611000,25719000,22011000,27289000,18342000,17263000,13979000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445000,157000,177000,113000,184000,353000,279000,214000,145000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),600000,1900000,- -,1900000,2100000,2100000,1200000,1300000,2600000,1400000,2300000,2400000,- -,4100000,- -,5980000,5532000,4578000,3922000,3915000,4225000,4507000,3859000,1672000,1694000,1591000,1382000,- -,- -,- -,- -,- -,708000,940000,504000,425000
14,Depreciation and Amortization,4500000,4200000,4000000,4000000,3600000,3600000,4100000,5000000,6300000,6500000,6900000,7100000,7100000,7900000,8682000,9532000,10067000,10247000,9983000,9852000,9685000,9543000,8771000,6398000,5983000,5303000,4615000,4104000,3538000,3003000,2444000,1774000,1301000,952000,1041000,823000
15,EBITDA,7500000,- -,3300000,3800000,6400000,6100000,5800000,7000000,10600000,10000000,11100000,11800000,9900000,15000000,9914000,12414000,16661000,15465000,15805000,14733000,11154000,10782000,6882000,1334000,-1064000,-161000,4571000,2762000,1299000,-1596000,718000,1097000,-1591000,-2755000,184000,-3602000
16,EBITDA ratio,0.2443,- -,0.1701,0.2000,0.3062,0.3128,0.2624,0.2905,0.2961,0.2967,0.2937,0.2605,0.1854,0.2351,0.1578,0.1859,0.2374,0.2065,0.2745,0.2802,0.2052,0.2000,0.1344,0.0364,-0.0373,-0.0066,0.1917,0.1200,0.0621,-0.0655,0.0305,0.0518,-0.0651,-0.1913,0.0108,-0.3814
17,Operating Income,2700000,-400000,-1000000,700000,900000,700000,800000,1400000,4100000,3300000,3900000,4600000,5800000,6200000,4448000,2764000,5628000,3722000,855000,1556000,791000,529000,-1711000,-1514000,- -,-5526000,-4961000,-4910000,-3496000,-4252000,-2152000,-820000,-2846000,-4046000,-451000,-4616000
18,Operating Income ratio,0.0879,-0.0200,-0.0515,0.0368,0.0431,0.0359,0.0362,0.0581,0.1145,0.0979,0.1032,0.1015,0.1086,0.0972,0.0708,0.0414,0.0802,0.0497,0.0149,0.0296,0.0145,0.0098,-0.0334,-0.0413,- -,-0.2273,-0.2080,-0.2133,-0.1672,-0.1746,-0.0913,-0.0387,-0.1164,-0.2810,-0.0265,-0.4887
19,Total Other Income Expenses (Gains),-300000,-6000000,300000,-2800000,-200000,-300000,-300000,-700000,-2400000,-1200000,-2000000,-2300000,-3000000,-3200000,-3216000,-5862000,-4566000,-3883000,352000,-1113000,-3673000,-4141000,-4491000,-1796000,-1693000,-1591000,3759000,3804000,626000,-347000,426000,143000,-754000,-601000,-910000,-234000
20,Income Before Tax,2400000,-6400000,-700000,-2100000,700000,400000,500000,700000,1700000,2100000,1900000,2300000,2800000,3000000,1232000,-3098000,1062000,-161000,1207000,443000,-2882000,-3612000,-6202000,-3310000,-8741000,-7117000,-1202000,-1106000,-2870000,-4599000,-1726000,-677000,-3600000,-4647000,-1361000,-4850000
21,Income Before Tax Ratio,0.0782,-0.3200,-0.0361,-0.1105,0.0335,0.0205,0.0226,0.0290,0.0475,0.0623,0.0503,0.0508,0.0524,0.0470,0.0196,-0.0464,0.0151,-0.0021,0.0210,0.0084,-0.0530,-0.0670,-0.1211,-0.0902,-0.3062,-0.2928,-0.0504,-0.0480,-0.1373,-0.1888,-0.0732,-0.0319,-0.1473,-0.3227,-0.0799,-0.5135
22,Income Tax expense (Gain),700000,-2900000,-200000,-600000,300000,200000,200000,400000,1200000,800000,800000,1000000,1300000,1300000,444000,-867000,553000,212000,846000,427000,-963000,-1621000,-653000,1306000,54000,-19000,-8000,23000,-370000,29000,23000,-66000,-751000,47000,41000,-7000
23,Net Income,1700000,-3200000,-500000,-1500000,400000,200000,300000,300000,500000,1300000,1100000,1300000,1500000,1700000,788000,-2231000,509000,428000,1054000,539000,-1793000,-1647000,-5095000,-8042000,-8795000,-7036000,-1418000,-1365000,-1869000,-4628000,-1749000,-611000,-2849000,-4694000,-1402000,-4843000
24,Net Income ratio,0.0554,-0.1600,-0.0258,-0.0789,0.0191,0.0103,0.0136,0.0124,0.0140,0.0386,0.0291,0.0287,0.0281,0.0266,0.0125,-0.0334,0.0073,0.0057,0.0183,0.0103,-0.0330,-0.0306,-0.0995,-0.2192,-0.3081,-0.2895,-0.0595,-0.0593,-0.0894,-0.1900,-0.0742,-0.0288,-0.1166,-0.3260,-0.0823,-0.5128
25,EPS,21.25,-39.75,-6.50,-24.75,6.50,3.00,6.25,7.00,9.75,26.25,21.25,24.25,29.50,33.00,15.25,-44.25,10.00,8.50,21.00,10.75,-35.50,-32.75,-60.75,-87.25,-95.25,-72.25,-13.00,-2.25,-1.79,-3.38,-1.06,-0.47,-1.78,-1.88,-0.13,-0.35
26,EPS Diluted,21.25,-39.75,-6.50,-24.75,6.50,3.00,6.25,7.00,9.50,23.00,20.25,22.50,20.00,21.25,15.25,-44.25,10.00,8.50,17.50,10.75,-35.50,-32.75,-60.75,-87.25,-95.25,-72.25,-13.00,-2.25,-1.79,-3.38,-1.06,-0.47,-1.78,-1.88,-0.13,-0.35
27,Weighted Average Shares Outstanding,80000,80503,76923,60606,61538,66667,48000,42857,51282,49524,50360,51360,51240,51600,51440,50440,50440,50440,50440,50440,50440,50400,83920,92280,92440,97480,109520,617640,1042000,1371000,1674000,1711000,1714000,2603000,11417000,13696000
28,Weighted Average Shares Outstanding Diluted,80000,80503,76923,60606,61538,66667,48000,42857,52632,56522,65720,67880,144680,142160,51520,50440,50440,50440,136840,157280,50440,50400,83920,92280,92440,97480,109520,617640,1042000,1371000,1674000,1711000,1714000,2603000,11417000,13696000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99106/000151316213000486/0001513162-13-000486-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316214000306/0001513162-14-000306-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316215000177/0001513162-15-000177-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316216000825/0001513162-16-000825-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316217000291/0001513162-17-000291-index.htm,- -,https://www.sec.gov/Archives/edgar/data/99106/000151316219000109/0001513162-19-000109-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316220000064/0001513162-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316221000058/0001513162-21-000058-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8270000,12022000,12398000,13610000,5765000,6591000,1422000,541000,398000,1109000,1164000,55000,650000,547000,606000,747000,723000,535000,43000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,522000,393000,388000,431000,199000,171000,135000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8792000,12415000,12786000,14041000,5964000,6762000,1557000,541000,398000,1109000,1164000,55000,650000,547000,606000,747000,723000,535000,43000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8583000,6769000,6574000,7163000,7683000,7825000,4714000,1772000,2981000,2123000,1974000,2386000,2798000,2888000,3118000,3522000,2271000,2381000,1382000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7440000,5761000,6565000,5658000,6467000,6853000,6592000,5149000,4852000,2875000,2468000,2523000,1811000,1876000,1893000,2164000,2201000,2182000,1542000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745000,956000,534000,1149000,858000,1375000,1716000,1077000,532000,729000,1256000,1585000,805000,605000,671000,1539000,417000,807000,327000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25560000,25901000,26459000,28011000,20972000,22815000,14579000,8539000,8763000,6836000,6862000,6549000,6064000,5916000,6288000,7972000,5612000,5905000,3294000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80208000,71575000,67360000,64706000,60468000,57028000,29852000,26688000,22325000,18257000,14081000,10872000,7996000,5838000,5381000,4302000,3490000,4352000,3714000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1004000,1004000,1004000,810000,810000,810000,744000,744000,744000,744000,744000,744000,744000,744000,744000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264000,1035000,1004000,- -,358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264000,1035000,1004000,1004000,1362000,1004000,810000,810000,810000,744000,744000,744000,744000,744000,744000,744000,744000,744000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,611000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3942000,3511000,6291000,6829000,5670000,3112000,5606000,1846000,1544000,1622000,395000,340000,441000,492000,1001000,1355000,1620000,1253000,47000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85414000,76121000,74655000,72539000,67500000,61144000,36268000,29344000,24679000,20623000,15220000,11956000,9181000,7074000,7126000,7012000,5854000,6349000,3761000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110974000,102022000,101114000,100550000,88472000,83959000,50847000,37883000,33442000,27459000,22082000,18505000,15245000,12990000,13414000,14984000,11466000,12254000,7055000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2754000,1592000,2413000,2821000,2412000,2439000,3151000,1410000,2459000,1589000,1135000,1446000,1798000,1209000,1493000,2778000,3728000,945000,1640000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3763000,2637000,1744000,14145000,3162000,6276000,2945000,16990000,16378000,4444000,3932000,2478000,1811000,1031000,2984000,4029000,3584000,1856000,2848000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,760000,802000,1063000,1059000,583000,972000,1083000,1114000,1149000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1704000,2681000,1721000,931000,915000,2138000,1432000,910000,795000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7189000,6935000,7353000,6986000,6929000,7633000,6690000,6145000,7555000,12127000,7762000,5902000,6136000,5205000,4885000,4778000,5332000,5259000,4284000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13706000,11164000,11510000,23952000,12503000,16348000,12786000,24545000,26392000,18160000,14533000,12507000,11466000,8376000,10277000,13723000,14076000,8970000,9567000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67209000,60505000,56796000,48365000,51537000,39899000,19646000,2193000,2335000,512000,455000,394000,- -,262000,557000,1534000,1446000,1543000,860000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4092000,4265000,4244000,2978000,476000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2942000,2052000,3959000,2859000,3782000,3116000,3968000,3852000,4685000,11068000,5014000,4103000,5647000,4508000,3856000,3638000,3708000,3485000,3677000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74243000,66822000,64999000,54202000,55795000,43015000,23614000,6045000,7020000,11580000,5469000,4497000,5647000,4770000,4413000,5172000,5154000,5028000,4537000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177000,893000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87949000,77986000,76509000,78154000,68298000,59363000,36400000,30590000,33412000,29740000,20002000,17004000,17113000,13146000,14690000,18895000,19230000,13998000,14104000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6138000,- -,- -,- -,3302000,3302000,3302000,3302000,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2827000,2827000,5071000,26000,26000,2000,2000,2000,2000,4000,13000,13000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19612000,20490000,20852000,18883000,17193000,11848000,3806000,-4989000,-12025000,-13443000,-14808000,-16677000,-21305000,-23054000,-23842000,-26889000,-31682000,-33164000,-38007000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1391000,-1258000,-1050000,-1287000,-1853000,-1262000,-3377000,-1739000,-1988000,-3466000,-3879000,-2628000,-5461000,-5257000,-5610000,-5536000,-6394000,-6618000,-7322000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2064000,2064000,2063000,2060000,2094000,11270000,11278000,11194000,11216000,3419000,20741000,20780000,24896000,24851000,24872000,25210000,27006000,38025000,38267000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23025000,24036000,24605000,22396000,20174000,24596000,14447000,7293000,30000,-2281000,2080000,1501000,-1868000,-156000,-1276000,-3911000,-7764000,-1744000,-7049000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110974000,102022000,101114000,100550000,88472000,83959000,50847000,37883000,33442000,27459000,22082000,18505000,15245000,12990000,13414000,14984000,11466000,12254000,7055000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110974000,102022000,101114000,100550000,88472000,83959000,50847000,37883000,33442000,27459000,22082000,18505000,15245000,12990000,13414000,14984000,11466000,12254000,7055000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99106/000151316213000486/0001513162-13-000486-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316214000306/0001513162-14-000306-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316215000177/0001513162-15-000177-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316216000825/0001513162-16-000825-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316217000291/0001513162-17-000291-index.htm,- -,https://www.sec.gov/Archives/edgar/data/99106/000151316219000109/0001513162-19-000109-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316220000064/0001513162-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/99106/000151316221000058/0001513162-21-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1700000,-3200000,- -,-1500000,400000,200000,300000,300000,500000,1300000,1100000,1300000,1500000,1700000,788000,-2231000,509000,428000,1054000,539000,-1793000,-1647000,-5095000,-8042000,-8795000,-7036000,-1418000,-1365000,-1869000,-4628000,-1749000,-611000,-2849000,-4694000,-1402000,-4843000
74,Depreciation and Amortization,4500000,4200000,- -,4000000,3600000,3600000,4100000,5000000,6300000,6500000,6900000,7100000,7100000,7900000,8682000,9532000,10067000,10247000,9983000,9852000,9685000,9543000,8771000,6398000,5983000,5303000,4615000,4104000,3538000,3003000,2444000,1774000,1301000,952000,1041000,823000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,100000,300000,1000000,-200000,700000,100000,1000000,100000,-126000,-971000,620000,581000,204000,61000,-1332000,-1855000,-1137000,-18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,3000,- -,- -,- -,- -,- -,10000,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11854000,2883000,212000,-10890000,4410000,-2002000,-4674000,-17799000,-1623000,6305000,3653000,1713000,556000,2942000,-1529000,-1762000,-2713000,5399000,-3208000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000,- -,- -,- -,- -,- -,-300000,-18000,878000
79,Inventory,- -,- -,- -,- -,- -,- -,100000,-100000,100000,- -,-400000,100000,-800000,-700000,-765000,-1635000,944000,-603000,886000,-918000,-43000,-809000,-386000,176000,1443000,297000,1977000,407000,-55000,712000,-65000,-17000,-271000,-37000,19000,640000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-589000,284000,1285000,950000,-2783000,695000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11854000,14737000,14949000,4059000,8469000,6467000,1793000,-16006000,-17629000,-11324000,-7671000,-5958000,-5402000,-2460000,-3989000,-5751000,-8464000,-3065000,-6273000
82,Other Non-Cash Items,-6200000,-1000000,- -,-2500000,-4000000,-3800000,-100000,2400000,-300000,2600000,-2100000,-3800000,-3000000,-600000,-1633000,229000,-3012000,-13912000,-8433000,-4388000,8202000,-6692000,5406000,7533000,25626000,5108000,-10059000,-5540000,-5756000,-548000,-6198000,-406000,2500000,5377000,-9375000,5347000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,4400000,8000000,7500000,10200000,6600000,4700000,6600000,9100000,7711000,6559000,8184000,9198000,5691000,6276000,3872000,3759000,5943000,1197000,5015000,1752000,-533000,855000,-2374000,-1617000,-2561000,-772000,-810000,-1068000,-4337000,-1881000
84,CAPEX,- -,- -,- -,- -,- -,- -,-3500000,-6200000,-3900000,-8500000,-7600000,-9300000,-12500000,-13000000,-20365000,-9607000,-8856000,-6375000,-5432000,-8323000,-6809000,-4990000,-4872000,-4488000,-2642000,-1425000,-472000,-556000,-293000,-127000,-236000,-2081000,-222000,-140000,-421000,-190000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1163000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7100000,-5300000,-1100000,-3500000,-1000000,-900000,-18300000,- -,- -,- -,- -,- -,-113000,-282000,-114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,9400000,9400000,1100000,4000000,1600000,400000,11000000,3300000,1148000,3182000,- -,- -,312000,307000,32000,1210000,450000,- -,135000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,-17500000,-3300000,100000,-2400000,- -,-2200000,200000,-3290000,-2532000,1157000,1533000,7145000,7178000,440000,- -,- -,12785000,18000,- -,- -,- -,2493000,- -,- -,703000,-550000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1300000,-19600000,-7200000,-7900000,-9400000,-9800000,-22000000,-9500000,-23670000,-8957000,-7699000,-4842000,1912000,-1120000,-6451000,-3780000,-4422000,8297000,-2489000,-1425000,-472000,-556000,2200000,-127000,-236000,-1378000,-772000,-140000,-421000,-190000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3407000,-1300000,-6784000,-66000,-1060000,-61000,-1290000,-682000,-2182000,-1483000,-3037000,-650000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,- -,1500000,2428000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,-226000,-233000,- -,- -,- -,-1000,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-200000,-100000,-200000,-200000,-200000,-200000,-200000,-200000,-175000,-174000,-178000,-176000,-176000,-177000,-176000,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177000,-198000,-99000,-80000,- -
