,https://roic.ai/company/SSYS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.10,-0.08,0.01,0.07,0.03,-0.18,0.12,0.06,0.15,0.19,0.34,0.44,0.51,0.55,0.69,0.66,0.20,0.46,0.98,0.37,-0.64,-2.39,-26.64,-1.48,-0.75,-0.22,-0.20,-8.08,-1.13
26,EPS Diluted,-0.10,-0.08,0.01,0.07,0.03,-0.18,0.12,0.06,0.15,0.19,0.32,0.42,0.49,0.54,0.66,0.65,0.20,0.44,0.95,0.36,-0.68,-2.39,-26.64,-1.48,-0.75,-0.22,-0.20,-8.08,-1.13
27,Weighted Average Shares Outstanding,9672583,10708931,12695652,16542728,17179017,18215361,17327835,16581432,16385967,16010385,18101336,20700086,21055614,20240012,20771656,20676436,20235747,20579412,21132580,22812000,42079000,50019000,51592000,52330000,52959000,53751000,54260000,54918000,54918000
28,Weighted Average Shares Outstanding Diluted,9672583,10708931,12695652,16542728,18049143,18215361,17338020,17052954,16478556,16784607,19358870,21451802,21489166,20723160,21565618,21079265,20267999,21129533,21653185,23776000,42099000,50019000,51592000,52582000,52959000,53751000,54260000,54918000,54918000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517396/000120677413000975/0001206774-13-000975-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1517396/000120677416005045/0001206774-16-005045-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677417000761/0001206774-17-000761-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677418000616/0001206774-18-000616-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677419000740/0001206774-19-000740-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677420000614/0001206774-20-000614-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,4600000,4700000,4000000,9100000,11200000,2532359,6737306,10211398,14193590,44544341,55849845,10105199,12509861,16211771,27945799,48315926,27554411,20092200,133826000,414088000,442141000,257592000,280328000,328761000,393167000,293484000,272092000,243179000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,6000620,- -,- -,- -,950000,- -,20000000,21367316,27257592,4835055,19692594,8797878,14602408,25197000,207066000,8765000,12275000,11717000,7208000,2658000,28300000,27000000,259000000
33,Cash and Short-Term Investments,500000,4600000,4700000,4000000,9100000,11200000,8532979,6737306,10211398,14193590,45494341,55849845,30105199,33877177,43469363,32780854,68008520,36352289,34694608,159023000,621154000,450906000,269867000,292045000,335969000,395825000,321784000,299092000,502179000
34,Net Receivables,400000,900000,2800000,10600000,11700000,9800000,11756257,11496515,12132738,10640451,15788095,14951350,20019177,25035665,26307053,26539733,19249813,23148362,29525328,84016000,99200000,150806000,123215000,120411000,132671000,138146000,132558000,106068000,129382000
35,Inventory,200000,400000,900000,2600000,5500000,5000000,6647265,9102818,6877582,6537446,6423658,7520422,10887198,9925217,12771235,19889351,14608014,17880714,22771460,67995000,88406000,123385000,123658000,117521000,115717000,123524000,168504000,131672000,129147000
36,Other Current Assets,200000,100000,6400000,7900000,5700000,5500000,643211,902230,804879,1047404,3353748,3535993,4922559,6685640,6475269,7037552,4524612,6831394,6232012,12244000,43369000,71531000,30333000,23062000,30554000,26676000,36226000,23660000,39994000
37,Total Current Assets,1300000,6000000,14800000,25100000,32000000,31500000,27579712,28238869,30026597,32418891,71059842,81857610,65934133,75523699,89022920,86247490,106390959,84212759,93223408,323278000,852129000,796628000,547073000,553039000,614911000,684171000,659072000,560492000,800702000
38,PP&E,200000,400000,1100000,2200000,3400000,3600000,3235362,2905620,6006529,5937200,6544663,10043657,17294575,20412719,26577362,29749921,26326012,29872945,39669433,62070000,91005000,157036000,201934000,208415000,199951000,188150000,210642000,222530000,217946000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25393967,822475000,1195891000,1323502000,383853000,385629000,387108000,385849000,385658000,35694000,65144000
40,Intangible Assets,100000,100000,3900000,4100000,3400000,2800000,3409708,3521561,3288222,2953401,2496593,2551581,4380193,4868923,8063319,8347200,7653269,6405714,25295032,510372000,622330000,597903000,252468000,177458000,142122000,107274000,87328000,131568000,152244000
41,Intangible Assets,100000,100000,3900000,4100000,3400000,2800000,3409708,3521561,3288222,2953401,2496593,2551581,4380193,4868923,8063319,8347200,7653269,6405714,50688999,1332847000,1818221000,1921405000,636321000,563087000,529230000,493123000,472986000,167262000,217388000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000107,52504650,32581472,9506000,11219000,14822000,17785000,12126000,4439000,1552000,- -,- -,28667000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,2363000,2174000,2124000,354000,392000,915000,719000,989000,688000,- -,- -,- -,- -,- -,11243000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,300000,100000,100000,200000,3300000,2888534,2915681,266997,116995,1875128,4392169,16678692,16283904,24374421,21789422,2078165,5463563,5607053,3812000,9647000,9216000,- -,29382000,31219000,21258000,38819000,39718000,12519000
45,Total Non-Current Assets,300000,800000,5100000,6400000,7000000,9700000,9533604,9342862,11924748,11181596,13040384,17341407,38745460,42480546,59734102,60875543,46745553,94246872,128546957,1408235000,1930092000,2102479000,867283000,813010000,764839000,704083000,722447000,429510000,476520000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1600000,6800000,19900000,31500000,39000000,41200000,37113316,37581731,41951345,43600487,84100226,99199017,104679593,118004245,148757022,147123033,153136512,178459631,221770365,1731513000,2782221000,2899107000,1414356000,1366049000,1379750000,1388254000,1381519000,990002000,1277222000
48,Accounts Payable,200000,700000,1700000,3600000,3100000,3600000,3855447,3719309,3736284,4141635,4940055,6643620,9545265,4250556,6385861,11795238,12874798,14408628,19368197,35235000,35375000,37359000,39021000,40933000,39849000,45855000,35818000,16987000,51976000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,- -,3714000,5143000,5143000,- -,- -,7276000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5263962,7668362,8865253,9876719,10964471,12765396,10678427,11561521,9768610,20271000,36033000,45023000,52309000,49952000,52908000,53965000,52268000,49165000,51174000
52,Other Current Liabilities,600000,200000,500000,1300000,2500000,9300000,4156812,4506027,4696065,4535853,- -,- -,- -,6085051,7573161,- -,- -,- -,- -,38921000,66317000,118184000,81397000,70012000,65397000,70818000,71833000,66002000,100042000
53,Total Current Liabilities,800000,900000,2200000,4900000,5600000,12900000,8012259,8225336,8432349,8677488,10204017,14311982,18410518,20212326,24923493,24560634,23553225,25970149,29136807,94427000,137725000,250566000,172727000,164611000,163297000,175781000,159919000,132154000,210468000
54,Long-Term Debt,- -,100000,200000,100000,100000,200000,318012,130320,2215983,2156790,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22286000,27143000,22000000,- -,- -,7693000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2562195,3181000,3315000,5946000,7627000,12922000,15200000,18422000,16039000,14227000,21133000
56,Deferred Tax Liabilities,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,6760000,54693000,105901000,55835000,16040000,5952000,7069000,1662000,- -,- -,7341000
57,Other Non-Current Liabilities,100000,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7056000,35493000,55521000,29161000,24280000,34534000,28274000,48410000,84253000,74573000
58,Total Non-Current Liabilities,100000,100000,200000,200000,300000,200000,318012,130320,2215983,2156790,- -,- -,- -,- -,- -,- -,- -,207000,9322195,64930000,144709000,117302000,52828000,65440000,83946000,70358000,64449000,98480000,110740000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21737000,21849000,14969000
61,Total Liabilities,900000,1000000,2400000,5100000,5900000,13100000,8330271,8355656,10648332,10834278,10204017,14311982,18410518,20212326,24923493,24560634,23553225,26177149,38459002,159357000,282434000,367868000,225555000,230051000,247243000,246139000,224368000,230634000,321208000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,61020,61260,61333,65182,120283,122118,122872,124449,256108,259096,260533,265095,269333,101000,133000,139000,141000,142000,145000,146000,148000,155000,182000
64,Retained Earnings,-3800000,-4900000,-4500000,-1000000,-500000,-3800000,-1703880,-715579,1797606,4908388,11063902,20193048,30795945,41960124,56284182,69899669,74015940,83385484,104011848,112503000,85549000,-33871000,-1406706000,-1483925000,-1523906000,-1531326000,-1542175000,-1985896000,-2047878000
65,Other Comprehensive Income/Loss,-100000,-200000,-400000,-800000,-1700000,-3000000,-4148152,-5398371,-6829811,-8309504,-9695541,-11504964,-13865165,-16612836,-19653397,-23866966,-29352906,-34588157,-38951100,-46523000,2000000,-4000000,-11000000,-13000000,-7000000,-8000000,-8000000,-8846000,-8771000
66,Other Total Stockholders Equity,4600000,10900000,22400000,28200000,35300000,34900000,34574057,35278765,36273885,36102143,72407565,76076833,69215423,72320182,86946636,76270600,84659720,103220060,117981282,1505579000,2412105000,2568502000,2606183000,2632650000,2663251000,2681295000,2707178000,2753955000,3012481000
67,Total Stockholders Equity,700000,5800000,17500000,26400000,33100000,28100000,28783045,29226075,31303013,32766209,73896209,84887035,86269075,97791919,123833529,122562399,129583287,152282482,183311363,1571660000,2499787000,2530770000,1188618000,1135867000,1132490000,1142115000,1157151000,759368000,956014000
68,Total Liabilities And Stockholders Equity,1600000,6800000,19900000,31500000,39000000,41200000,37113316,37581731,41951345,43600487,84100226,99199017,104679593,118004245,148757022,147123033,153136512,178459631,221770365,1731017000,2782221000,2898638000,1414173000,1365918000,1379733000,1388254000,1381519000,990002000,1277222000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496000,- -,469000,183000,131000,17000,- -,- -,- -,- -
70,Total Liabilities & Equity,1600000,6800000,19900000,31500000,39000000,41200000,37113316,37581731,41951345,43600487,84100226,99199017,104679593,118004245,148757022,147123033,153136512,178459631,221770365,1731513000,2782221000,2899107000,1414356000,1366049000,1379750000,1388254000,1381519000,990002000,1277222000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517396/000120677413000975/0001206774-13-000975-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1517396/000120677416005045/0001206774-16-005045-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677417000761/0001206774-17-000761-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677418000616/0001206774-18-000616-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677419000740/0001206774-19-000740-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677420000614/0001206774-20-000614-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1000000,-1100000,400000,3500000,500000,-3300000,2143649,988301,2513185,3110782,6155514,9129146,10602897,11164179,14324058,13615487,4116271,9369544,20626364,8491000,-26954000,-119420000,-1374635000,-77219000,-39981000,-10964000,-10849000,-443721000,-61982000
74,Depreciation and Amortization,100000,100000,400000,1100000,1900000,2300000,1904039,1768080,2279575,2401209,2533743,2687080,3059790,3832234,4974336,7003846,8255653,9342390,10347723,19497000,92436000,109429000,108395000,92877000,66635000,61250000,50942000,49560000,56096000
75,Deferred Income Tax,- -,- -,- -,-900000,-100000,-2400000,594000,-195000,307000,309000,2459322,2544592,258399,204611,-56000,-51000,-1431000,-328000,-112910,-2266000,-19449000,-53887000,-19129000,-10378000,2404000,-3956000,-2393000,-17484000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1137070,1242176,1587469,8874000,24262000,30207000,30010000,20773000,17722000,15686000,20564000,20204000,30977000
77,Change in Working Capital,-300000,-100000,-1400000,-7400000,-3300000,2600000,-2054685,-2015364,1102896,1176140,-6729866,1314889,-5885245,-4126460,964817,-8607719,12654003,-2642842,-5330873,-17781000,-34727000,-54021000,15982000,8903000,14377000,-1393000,-64834000,33830000,19576000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7289920,-801638,-5739554,-28502000,-30350000,-46717000,25075000,2009000,-7581000,-8884000,4967000,29465000,-25003000
79,Inventory,100000,-200000,-500000,-1700000,-2800000,500000,-1611677,-2455553,1464046,-485619,222759,-972908,-3426039,1013897,-2423068,-6875415,4810441,-5367062,-5846807,-7724000,-27102000,-39370000,-12408000,642000,2174000,-16124000,-48647000,37120000,-53000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4495241,6537888,21340000,5481000,-4305000,-1937000,1969000,-1206000,6882000,-13114000,-24534000,28492000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1115863,-2878600,-1077525,- -,-715695,-2335157,-5066000,6692000,7584000,3644000,9026000,15617000,13640000,-868000,-5335000,-3508000
82,Other Non-Cash Items,- -,100000,200000,300000,400000,6500000,107394,117269,41720,-2,71771,255099,88928,1321416,962162,2530563,758414,4987806,-4606205,-15321000,-3539000,101508000,1217467000,27017000,750000,3089000,-4623000,385413000,-8843000
83,Cash Provided by Operating Activities,-1200000,-1000000,-400000,-3400000,-600000,5700000,2694397,663286,6244376,6997129,4490484,15930806,8124769,12395980,21169373,14491177,25490411,21971074,22511568,1494000,32029000,13816000,-21910000,61973000,61907000,63712000,-11193000,27802000,35824000
84,CAPEX,- -,-100000,-700000,-1400000,-2000000,-1200000,-628290,-978359,-3928177,-602711,-2339561,- -,-9756217,-7601616,-13920007,-10901366,-3971802,-9110500,-17167624,-15075000,-37939000,-63584000,-87046000,-47127000,-23848000,-24810000,-25301000,-29013000,-26751000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5289672,- -,- -,- -,- -,- -,- -,-38559085,41524000,-8758000,-151057000,-9905000,-23064000,-3568000,28153000,-15313000,-24940000,-20553000
86,Purchases of Investments,- -,- -,-12600000,-1500000,-33000000,-40200000,-24927971,-7499380,- -,- -,-1575000,- -,-30577550,-7637455,-24459978,- -,-9920000,-67911812,-18754748,-8407000,-180307000,-3767000,-187514000,-67177000,-477000,- -,-28300000,-27000000,-372779000
87,Sales/Maturities of Investments,- -,- -,6300000,1300000,35200000,40100000,23500000,13500000,- -,- -,- -,855000,38120000,6820000,14475022,23875909,7022607,27728403,35675259,63366000,- -,191427000,191741000,73836000,- -,- -,- -,28300000,129000000
88,Other Investing Activites,- -,-400000,-1200000,-900000,-400000,-400000,-7712970,-577040,-501038,-564012,-516363,-893086,-4059698,- -,63630,315726,-1648681,-1287627,-4318003,-2908000,-4410000,-3545000,-3125000,-2459000,-1901000,2352000,-3364000,-2042000,-1852000
89,Cash Used for Investing Activites,- -,-500000,-8200000,-2500000,-200000,-1700000,-9769231,4445221,-4429215,-1166723,-4430924,-5327758,-6273465,-8419071,-23841333,13290269,-6830750,-49293909,-38806098,81518000,-226751000,-27439000,-93102000,-63989000,-28254000,7144000,-69526000,-52625000,-291165000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000000,- -,-3714000,-5143000,-27293000,- -,- -
91,Common Stock Issued,1000000,6200000,8800000,5400000,6200000,100000,2286,82449,36500,2085288,32524459,756250,266207,1407174,8508265,3229259,- -,- -,- -,- -,462872000,- -,- -,- -,- -,- -,- -,- -,218850000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1800000,-1465315,-731135,-449439,-3742979,- -,-25346,-9594954,-3111280,- -,-19104261,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,400000,-600000,-100000,-200000,-300000,-200000,-183752,-230229,2083285,-182935,-2218362,- -,- -,- -,812766,18747,1582687,6780311,8768786,30489000,12043000,44941000,107996000,25799000,14412000,2192000,5284000,228000,8461000
95,Cash Used/Provided by Financing Activities,1400000,5600000,8700000,5200000,5900000,-1900000,-1646781,-878915,1670346,-1840626,30306097,730904,-9328747,-1704106,9321031,-15856255,1582687,6780311,8768786,30489000,474915000,44941000,-67004000,25799000,10698000,-2951000,-22009000,228000,227311000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,10135,-24645,-11415,-7588,-14906,-28448,-147203,131859,259855,-191163,127779,-218991,63533,233000,69000,-3265000,-2533000,-1047000,4082000,-3530000,2591000,3214000,-893000
97,Net Change In Cash,1400000,4100000,8700000,5200000,5900000,-1900000,-8711480,4204947,3474092,3982192,30350751,11305504,-7624646,2404662,6908926,11734028,20370127,-20761515,-7462211,113734000,280262000,28053000,-184549000,22736000,48433000,64375000,-100137000,-21381000,-28923000
98,Cash at the End of Period,- -,4600000,- -,- -,- -,- -,2532359,6737306,10211398,14193590,44544341,55849845,10105199,12509861,16211771,27945799,48315926,27554411,20092200,133826000,414088000,442141000,257592000,280328000,328761000,393734000,293597000,272216000,243293000
99,Cash at the Beginning of Period,500000,500000,4600000,4700000,4000000,9100000,11243839,2532359,6737306,10211398,14193590,44544341,17729845,10105199,9302845,16211771,27945799,48315926,27554411,20092000,133826000,414088000,442141000,257592000,280328000,329359000,393734000,293597000,272216000
100,Free Cash Flow,-1200000,-1100000,-1100000,-4800000,-2600000,4500000,2066107,-315073,2316199,6394418,2150923,15930806,-1631448,4794364,7249366,3589811,21518609,12860574,5343944,-13581000,-5910000,-49768000,-108956000,14846000,38059000,38902000,-36494000,-1211000,9073000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1517396/000120677413000975/0001206774-13-000975-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1517396/000120677416005045/0001206774-16-005045-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677417000761/0001206774-17-000761-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677418000616/0001206774-18-000616-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677419000740/0001206774-19-000740-index.html,https://www.sec.gov/Archives/edgar/data/1517396/000120677420000614/0001206774-20-000614-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
