,https://roic.ai/company/GOED,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-202935000
89,Cash Used for Investing Activites,- -,- -,-113147,-204834000
90,Debt Repayment,- -,- -,-3655185,-60000
91,Common Stock Issued,- -,- -,8602166,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-713800,- -,- -,- -
94,Other Financing Activites,- -,- -,-802109,247101000
95,Cash Used/Provided by Financing Activities,-713800,- -,4144872,247041000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-271726,- -,9440608,23879084
98,Cash at the End of Period,1525693,- -,9911916,33791000
99,Cash at the Beginning of Period,1797419,- -,471308,9911916
100,Free Cash Flow,442074,- -,5295736,-20227000
101,SEC Link,- -,undefined,https://www.sec.gov/Archives/edgar/data/1810140/000121390021018284/0001213900-21-018284-index.htm,https://www.sec.gov/Archives/edgar/data/1810140/000121390022016393/0001213900-22-016393-index.htm
102,false,,,,
