,https://roic.ai/company/SNY,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,4379000000,4386000000,4382000000,4838228690,4964275560,15336367200,22771040700,23485359240,23195437530,22916000000,22931000000,24702000000,27871000000,28170000000,26827000000,27278000000,27728000000,27179000000,29003000000,29422000000,30405000000,29476000000,30028000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000000,24000000,105000000,140000000,93000000,109000000,193000000,178000000,68000000,147000000,164000000,141000000,103000000,40000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,335000000,324000000,467000000,552000000,553000000,612000000,605000000,559000000,924000000,420000000,435000000,444000000,436000000,368000000
14,Depreciation and Amortization,236000000,241000000,301000000,379282060,389074700,2516226480,5946475330,6113042920,4671460570,5985000000,5011000000,5129000000,5553000000,4907000000,5569000000,3777000000,4276000000,3301000000,3686000000,4279000000,7452000000,3684000000,3351000000
15,EBITDA,861000000,1837000000,2728000000,2886546130,3517552900,-272941600,8679506800,10919070590,10630985000,11294000000,11964000000,12305000000,12253000000,11561000000,10661000000,9943000000,9831000000,10260000000,14262000000,9501000000,10841000000,18247000000,11500000000
16,EBITDA ratio,0.1609,0.3081,0.4205,0.3872,0.4378,-0.0182,0.3046,0.3703,0.3634,0.3919,0.3891,0.3841,0.3495,0.3215,0.3201,0.2915,0.2820,0.2956,0.3939,0.2663,0.2881,0.4883,0.2936
17,Operating Income,971000000,1577000000,2106000000,2615902650,3069719980,-304661840,4749243750,5728894090,5920429840,4394000000,6366000000,5961000000,5731000000,6337000000,5106000000,6143000000,5624000000,6534000000,5803000000,4676000000,3125000000,14141000000,8126000000
18,Operating Income ratio,0.1815,0.2645,0.3246,0.3509,0.3821,-0.0203,0.1667,0.1943,0.2024,0.1525,0.2070,0.1861,0.1635,0.1762,0.1533,0.1801,0.1613,0.1883,0.1603,0.1311,0.0830,0.3784,0.2074
19,Total Other Income Expenses (Gains),- -,-17000000,34000000,-108638580,58758220,-1537325120,-2108242070,-981208550,-139231610,-232000000,-300000000,-362000000,-412000000,-460000000,-503000000,-412000000,-381000000,-856000000,-273000000,-271000000,-303000000,-337000000,-328000000
20,Income Before Tax,- -,1560000000,2140000000,2507264070,3128478200,-1841986960,2641001680,4747685540,5781198230,4162000000,6066000000,5599000000,5319000000,5877000000,4603000000,5731000000,5243000000,5678000000,5530000000,4405000000,2822000000,13804000000,7798000000
21,Income Before Tax Ratio,- -,0.2616,0.3298,0.3363,0.3894,-0.1225,0.0927,0.1610,0.1976,0.1444,0.1973,0.1748,0.1517,0.1634,0.1382,0.1680,0.1504,0.1636,0.1527,0.1235,0.0750,0.3694,0.1991
22,Income Tax expense (Gain),- -,611000000,842000000,747128480,1056059900,818087120,477035150,800120640,687927610,682000000,1364000000,1242000000,455000000,1134000000,763000000,1171000000,709000000,1326000000,1722000000,481000000,139000000,1813000000,1558000000
23,Net Income,625000000,985000000,1585000000,1760135590,2072418300,-3607255200,2255996320,4005907030,5271596820,4292000000,5265000000,5467000000,5693000000,4967000000,3717000000,4390000000,4287000000,4709000000,8434000000,4306000000,2806000000,12314000000,6223000000
24,Net Income ratio,0.1168,0.1652,0.2443,0.2361,0.2580,-0.2400,0.0792,0.1358,0.1802,0.1489,0.1712,0.1707,0.1624,0.1381,0.1116,0.1287,0.1230,0.1357,0.2330,0.1207,0.0746,0.3295,0.1589
25,EPS,0.42,0.68,1.08,1.21,1.48,-1.96,0.84,1.48,1.96,2.75,2.02,2.10,2.15,1.88,1.41,1.67,1.64,1.83,3.35,1.73,1.12,4.91,2.48
26,EPS Diluted,0.42,0.68,1.08,1.21,1.48,-1.96,0.84,1.47,1.95,2.75,2.02,2.10,2.15,1.88,1.41,1.67,1.64,1.83,3.35,1.73,1.12,4.91,2.48
27,Weighted Average Shares Outstanding,1470588235,1462465050,1463422450,1455372744,1405490416,1846573078,2673000000,2693600000,2693800000,2618600000,2612903226,2610600000,2643400000,2639000000,2646200000,2631600000,2612400000,2573200000,2513800000,2494200000,2499800000,2507200000,2505000000
28,Weighted Average Shares Outstanding Diluted,1470588235,1462465050,1463422450,1458546323,1410247160,1846573078,2693000000,2717600000,2707800000,2631600000,2613000000,2610600000,2643400000,2639000000,2646200000,2631600000,2612400000,2573200000,2513800000,2494200000,2499800000,2507200000,2505000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121404/000119312504056369/0001193125-04-056369-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312505073750/0001193125-05-073750-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312506069546/0001193125-06-069546-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312507072848/0001193125-07-072848-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312508049502/0001193125-08-049502-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312509044756/0001193125-09-044756-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312510054671/0001193125-10-054671-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312511050947/0001193125-11-050947-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312512098598/0001193125-12-098598-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746913002333/0001047469-13-002333-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746914001951/0001047469-14-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746915001974/0001047469-15-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312516493072/0001193125-16-493072-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312517069257/0001193125-17-069257-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312518073307/0001193125-18-073307-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312519068926/0001193125-19-068926-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000112140420000006/0001121404-20-000006-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,202000000,207000000,123000000,143898470,151659730,1530686000,1247890180,1153204180,1713989130,4226000000,4692000000,6465000000,4124000000,6381000000,8257000000,7341000000,9148000000,10273000000,10315000000,6925000000,9427000000,13915000000,10098000000
32,Short-Term Investments,2154000000,2672000000,4166000000,2946583240,3220585680,957508640,310706080,108349670,- -,403000000,277000000,51000000,173000000,56000000,59000000,9000000,13000000,31000000,77000000,199000000,426000000,900000000,- -
33,Cash and Short-Term Investments,2356000000,2879000000,4289000000,3090481710,3372245410,2488194640,1558596260,1261553850,1713989130,4629000000,4969000000,6516000000,4297000000,6437000000,8316000000,7350000000,9161000000,10304000000,10392000000,7124000000,9853000000,14815000000,10098000000
34,Net Receivables,1099000000,1234000000,1566000000,1774430140,1488012220,5625547680,6166840240,7076066910,6853898910,5303000000,6015000000,6507000000,8042000000,9604000000,8854000000,9010000000,8853000000,9050000000,8675000000,9345000000,10083000000,9953000000,612000000
35,Inventory,764000000,737000000,805000000,823366080,798000150,3055470560,3427054290,3658885010,3734562150,3590000000,4444000000,5020000000,6051000000,6379000000,6352000000,6562000000,6516000000,6892000000,6816000000,7477000000,7994000000,8352000000,19854000000
36,Other Current Assets,658000000,553000000,1011000000,877685370,1366525630,3270135440,1958799200,163661040,270232780,1881000000,2104000000,2000000000,2401000000,481000000,404000000,515000000,6150000000,6862000000,503000000,701000000,1006000000,666000000,89000000
37,Total Current Assets,4877000000,5403000000,7671000000,6565963300,7024783410,14439348320,13111289990,12160166810,12572682970,15403000000,17532000000,20043000000,20791000000,22901000000,23926000000,23437000000,30680000000,33108000000,26386000000,24647000000,28936000000,33786000000,30653000000
38,PP&E,1143000000,1217000000,1229000000,1396101050,1446722660,5881522640,6179504890,6219119520,6548000890,6961000000,7830000000,8155000000,10750000000,10578000000,10182000000,10396000000,9943000000,10019000000,9579000000,9651000000,11017000000,10563000000,11976000000
39,Goodwill,3000000,82000000,141000000,- -,- -,- -,- -,28471717130,27242070530,28163000000,29733000000,31932000000,38079000000,38073000000,37134000000,39197000000,39557000000,40287000000,40264000000,44235000000,44519000000,44364000000,- -
40,Intangible Assets,258000000,319000000,668000000,1296039200,1019534520,53035503600,60417134980,23737670010,19211904570,15260000000,13747000000,12479000000,23639000000,20192000000,15395000000,14543000000,12026000000,10879000000,13080000000,21889000000,16572000000,18421000000,- -
41,Intangible Assets,261000000,401000000,809000000,1296039200,1019534520,53035503600,60417134980,52209387140,46453975100,43423000000,43480000000,44411000000,61718000000,58265000000,52529000000,53740000000,51583000000,51166000000,53344000000,66124000000,61091000000,62785000000,69463000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2459000000,1953000000,924000000,807000000,3191000000,4314000000,3970000000,4561000000,4802000000,5381000000,5531000000,5266000000,2105000000,7975000000
43,Tax Assets,159000000,397000000,- -,- -,- -,- -,3092707530,3492193210,2916319240,2920000000,2912000000,3051000000,3633000000,4377000000,4154000000,4860000000,4714000000,4669000000,4290000000,4613000000,5434000000,4212000000,- -
44,Other Non-Current Assets,371000000,427000000,258000000,209653400,240591090,3341690400,3791796210,3682373400,3536345720,821000000,6342000000,8680000000,2466000000,1095000000,960000000,989000000,840000000,908000000,846000000,842000000,992000000,1078000000,175000000
45,Total Non-Current Assets,1934000000,2442000000,2296000000,2901793650,2706848270,62258716640,73481143610,65603073270,59454640950,56584000000,62517000000,65221000000,79374000000,77506000000,72139000000,73955000000,71641000000,71564000000,73440000000,86761000000,83800000000,80743000000,89589000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6811000000,7845000000,9967000000,9467756950,9731631680,76698064960,86592433600,77763240080,72027323920,71987000000,80049000000,85264000000,100165000000,100407000000,96065000000,97392000000,102321000000,104672000000,99826000000,111408000000,112736000000,114529000000,120242000000
48,Accounts Payable,642000000,667000000,717000000,596559220,655868780,2762611600,3190647490,3008029300,2753082180,2791000000,2654000000,2800000000,3183000000,3190000000,3003000000,3651000000,3817000000,4297000000,4633000000,5041000000,5313000000,5295000000,17397000000
49,Short-Term Debt,324000000,291000000,285000000,351645930,314435880,7382701440,6420133240,2445065630,2210559010,1833000000,2866000000,1565000000,2940000000,3812000000,4176000000,1538000000,3436000000,1764000000,1275000000,2633000000,4815000000,2999000000,3452000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,935000000,981000000,948000000,1044000000,1134000000,1180000000,733000000,613000000,1203000000,309000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1251000000,1300000000,2004000000,1600036630,1617439110,4848770640,5797876770,4824969920,4720843210,4721000000,5445000000,5722000000,7441000000,6896000000,6779000000,7843000000,10555000000,11568000000,9549000000,9702000000,10259000000,10986000000,446000000
53,Total Current Liabilities,2217000000,2258000000,3006000000,2548241780,2587743770,14994083680,15408657500,10278064850,9684484400,9345000000,10965000000,10087000000,13564000000,13898000000,13958000000,13032000000,17808000000,17629000000,15457000000,17376000000,20387000000,19280000000,21295000000
54,Long-Term Debt,137000000,121000000,119000000,64801960,53200010,8631593680,4746710820,4499163220,3740049110,4173000000,5961000000,6695000000,12499000000,10719000000,10414000000,13276000000,13118000000,16815000000,14326000000,22007000000,21118000000,20676000000,18962000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4000000,- -,10482670,8734330,11386828480,12198590880,9246091070,6945805490,5668000000,4933000000,3808000000,6011000000,5932000000,5060000000,4105000000,2895000000,2292000000,1605000000,3414000000,2294000000,1770000000,1617000000
57,Other Non-Current Liabilities,846000000,1130000000,1053000000,786200250,751946410,5762756160,7447658510,7920133570,6867616310,7730000000,9744000000,11386000000,11702000000,12386000000,9619000000,10711000000,10290000000,10212000000,10180000000,9576000000,9829000000,9656000000,9337000000
58,Total Non-Current Liabilities,983000000,1255000000,1172000000,861484880,813880750,25781178320,24392960210,21665387860,17553470910,17571000000,20638000000,21889000000,30212000000,29037000000,25093000000,28092000000,26303000000,29319000000,26111000000,34997000000,33241000000,32102000000,29916000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1248000000,1163000000,2108000000
61,Total Liabilities,3200000000,3513000000,4178000000,3409726660,3401624520,40775262000,39801617710,31943452710,27237955310,26916000000,31603000000,31976000000,43776000000,42935000000,39051000000,41124000000,44111000000,46948000000,41568000000,52373000000,53628000000,51382000000,51211000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1462000000,1463000000,1464000000,1466620830,1463397290,2820888320,2800576270,2719349410,2736621300,2631000000,2637000000,2622000000,2682000000,2653000000,2649000000,2639000000,2611000000,2584000000,2508000000,2495000000,2508000000,2518000000,- -
64,Retained Earnings,- -,- -,- -,1760135590,2072418300,-3607255200,- -,- -,37924495780,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-91000000,-200000000,-401000000,-160098960,-403367240,-3013422800,2672241150,-692528660,-3195468330,-4419000000,-3936000000,-1152000000,-960000000,52732000000,52090000000,51576000000,52922000000,53441000000,52297000000,52938000000,52572000000,56688000000,- -
66,Other Total Stockholders Equity,2207000000,3041000000,4705000000,2974219370,3179296120,39347851200,41128873030,43573236520,7146765400,46654000000,49487000000,51627000000,54497000000,1953000000,2146000000,1905000000,2516000000,1529000000,3284000000,3443000000,3854000000,3795000000,- -
67,Total Stockholders Equity,3578000000,4304000000,5768000000,6040876830,6311744470,35548061520,46601690450,45600057270,44612414150,44866000000,48188000000,53097000000,56219000000,57338000000,56885000000,56120000000,58049000000,57554000000,58089000000,58876000000,58934000000,63001000000,68681000000
68,Total Liabilities And Stockholders Equity,6778000000,7817000000,9946000000,9450603490,9713368990,76323323520,86403308160,77543509980,71850369460,71782000000,79791000000,85073000000,99995000000,100273000000,95936000000,97244000000,102160000000,104502000000,99657000000,111249000000,112562000000,114383000000,119892000000
69,Minority Interest,33000000,28000000,21000000,17153460,18262690,374741440,189125440,219730100,176954460,205000000,258000000,191000000,170000000,134000000,129000000,148000000,161000000,170000000,169000000,159000000,174000000,146000000,350000000
70,Total Liabilities & Equity,6811000000,7845000000,9967000000,9467756950,9731631680,76698064960,86592433600,77763240080,72027323920,71987000000,80049000000,85264000000,100165000000,100407000000,96065000000,97392000000,102321000000,104672000000,99826000000,111408000000,112736000000,114529000000,120242000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121404/000119312504056369/0001193125-04-056369-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312505073750/0001193125-05-073750-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312506069546/0001193125-06-069546-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312507072848/0001193125-07-072848-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312508049502/0001193125-08-049502-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312509044756/0001193125-09-044756-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312510054671/0001193125-10-054671-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312511050947/0001193125-11-050947-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312512098598/0001193125-12-098598-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746913002333/0001047469-13-002333-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746914001951/0001047469-14-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746915001974/0001047469-15-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312516493072/0001193125-16-493072-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312517069257/0001193125-17-069257-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312518073307/0001193125-18-073307-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312519068926/0001193125-19-068926-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000112140420000006/0001121404-20-000006-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,625000000,985000000,1585000000,1760135590,2072418300,-3607255200,2255996320,4005907030,5271596820,4292000000,5265000000,5467000000,5693000000,4967000000,3717000000,4390000000,4287000000,4709000000,8434000000,4306000000,2806000000,12314000000,6223000000
74,Depreciation and Amortization,236000000,241000000,301000000,379282060,389074700,2516226480,5946475330,6113042920,4671460570,5985000000,5011000000,5129000000,5553000000,4907000000,5569000000,3777000000,4276000000,3301000000,3686000000,4279000000,7452000000,3684000000,3351000000
75,Deferred Income Tax,- -,- -,75000000,63848990,-15086570,- -,-2098110350,-2463250190,-1478049850,-1473000000,-1169000000,-1512000000,-1865000000,-916000000,-1010000000,-1270000000,-1253000000,-542000000,-909000000,-727000000,-1753000000,-214000000,-356000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-44000000,-84000000,-270000000,-595606250,-162776150,111389680,-238939730,-1006212320,-812755950,-1000000,-847000000,-277000000,-515000000,-332000000,135000000,957000000,1055000000,828000000,469000000,-1545000000,-361000000,-467000000,1409000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-309000000,-429000000,-82000000,-257000000,368000000,175000000,-23000000,-493000000,168000000,-529000000,-35000000,-462000000,-134000000,185000000
79,Inventory,-56000000,31000000,-105000000,-78143540,-54788070,161551920,-585951140,-372025790,-89163100,-84000000,-489000000,-378000000,-232000000,-445000000,-117000000,-11000000,-466000000,-323000000,-145000000,-701000000,-547000000,-593000000,-357000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336000000,28000000,-87000000,67000000,-124000000,478000000,241000000,447000000,577000000,270000000,169000000,86000000,451000000
81,Other Working Capital,- -,- -,- -,-422165710,32555230,-634404800,610436130,-315956730,-506857930,420000000,407000000,155000000,61000000,-322000000,201000000,513000000,1773000000,536000000,566000000,-1079000000,479000000,174000000,1130000000
82,Other Non-Cash Items,11000000,57000000,127000000,69566810,-22232840,5005896480,527693750,-45461400,-534978600,-280000000,255000000,952000000,453000000,-455000000,-1457000000,-164000000,555000000,-458000000,-4301000000,-766000000,-400000000,-7868000000,-105000000
83,Cash Provided by Operating Activities,828000000,1199000000,1818000000,1677227200,2261397440,4026257440,6393115320,6604026040,7117272990,8523000000,8515000000,9759000000,9319000000,8171000000,6954000000,7690000000,8920000000,7838000000,7379000000,5547000000,7744000000,7449000000,10522000000
84,CAPEX,-414000000,-372000000,-565000000,-1404677780,-370017980,- -,-1142351430,-1454007110,-1612480370,-1606000000,-1785000000,-1573000000,-1782000000,-1612000000,-1398000000,-1557000000,-2772000000,-2083000000,-1956000000,-1977000000,-1816000000,-2114000000,-2043000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5594000000
86,Purchases of Investments,- -,-93000000,- -,-32400980,- -,- -,- -,-512956130,-436213320,-6000000,-5000000,-74000000,-26000000,-46000000,-18000000,-571000000,-142000000,-208000000,-161000000,-137000000,-38000000,-137000000,-311000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,962000000,-296000000,-113000000,26683160,20644780,-14131735760,42215500,1176692570,329903470,-542000000,-5497000000,-1736000000,-12893000000,71000000,143000000,-1332000000,-343000000,-220000000,2756000000,-10758000000,796000000,3725000000,650000000
89,Cash Used for Investing Activites,962000000,-389000000,-113000000,-1410395600,-349373200,-14131735760,-1100135930,-790270670,-1718790220,-2154000000,-7287000000,-3383000000,-14701000000,-1587000000,-1273000000,-3460000000,-3257000000,-2511000000,639000000,-12872000000,-1058000000,3588000000,-7298000000
90,Debt Repayment,-31000000,-29000000,-12000000,- -,- -,- -,- -,- -,- -,-1253000000,-2774000000,-1981000000,-2931000000,-1345000000,-2822000000,-3032000000,-708000000,-2576000000,-2368000000,-787000000,-2334000000,-4186000000,-2390000000
91,Common Stock Issued,6000000,3000000,7000000,3811880,7146270,8852160,418777760,356871990,294924100,57000000,168000000,75000000,73000000,646000000,1006000000,681000000,574000000,305000000,319000000,177000000,162000000,203000000,186000000
92,Common Stock Repurchased,- -,- -,- -,-1171200130,-1001271830,- -,- -,- -,-1808639190,-1227000000,- -,-321000000,-1074000000,-823000000,-1641000000,-1801000000,-1784000000,-2908000000,-2162000000,-1101000000,-9000000,-822000000,-382000000
93,Dividends Paid,-178000000,-241000000,-323000000,-476485000,-581229960,-734729280,-1612632100,-2041974550,-2367623240,-2708000000,-2878000000,-3138000000,-1372000000,-3487000000,-3638000000,-3676000000,-3694000000,-3759000000,-3710000000,-3773000000,-3834000000,-3937000000,-4008000000
94,Other Financing Activites,-35000000,-204000000,-155000000,51460380,-19850750,9940975680,-4786393390,-4168810380,-946500600,1322000000,4697000000,718000000,8197000000,658000000,3369000000,2648000000,2011000000,4837000000,19000000,9418000000,1822000000,2257000000,-462000000
95,Cash Used/Provided by Financing Activities,-238000000,-471000000,-483000000,-1592412870,-1595206270,9215098560,-5980247730,-5853912940,-4827838930,-3809000000,-787000000,-4647000000,2893000000,-4351000000,-3726000000,-5180000000,-3601000000,-4101000000,-7902000000,3934000000,-4193000000,-6485000000,-7056000000
96,Effect of Forex Changes on Cash,13000000,1000000,3000000,-16200490,-16674630,-22868080,97095650,-56069060,-12345660,-45000000,25000000,44000000,1000000,24000000,-79000000,34000000,-232000000,-101000000,-74000000,1000000,9000000,-64000000,15000000
97,Net Change In Cash,1565000000,340000000,1225000000,-1340828790,299349310,-913247840,-591017000,-95468940,558984050,2515000000,466000000,1773000000,-2341000000,2257000000,1876000000,-916000000,1807000000,1125000000,42000000,-3390000000,2502000000,4488000000,-3817000000
98,Cash at the End of Period,2356000000,2580000000,3805000000,2467239330,2760048280,1849363760,1247890180,1153204180,1713989130,4226000000,4692000000,6465000000,4124000000,6381000000,8257000000,7341000000,9148000000,10273000000,10315000000,6925000000,9427000000,13915000000,10098000000
99,Cash at the Beginning of Period,791000000,2240000000,2580000000,3808068120,2460698970,2762611600,1838907180,1248673120,1155005080,1711000000,4226000000,4692000000,6465000000,4124000000,6381000000,8257000000,7341000000,9148000000,10273000000,10315000000,6925000000,9427000000,13915000000
100,Free Cash Flow,414000000,827000000,1253000000,272549420,1891379460,4026257440,5250763890,5150018930,5504792620,6917000000,6730000000,8186000000,7537000000,6559000000,5556000000,6133000000,6148000000,5755000000,5423000000,3570000000,5928000000,5335000000,8479000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1121404/000119312504056369/0001193125-04-056369-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312505073750/0001193125-05-073750-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312506069546/0001193125-06-069546-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312507072848/0001193125-07-072848-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312508049502/0001193125-08-049502-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312509044756/0001193125-09-044756-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312510054671/0001193125-10-054671-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312511050947/0001193125-11-050947-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312512098598/0001193125-12-098598-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746913002333/0001047469-13-002333-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746914001951/0001047469-14-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000104746915001974/0001047469-15-001974-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312516493072/0001193125-16-493072-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312517069257/0001193125-17-069257-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312518073307/0001193125-18-073307-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000119312519068926/0001193125-19-068926-index.htm,https://www.sec.gov/Archives/edgar/data/1121404/000112140420000006/0001121404-20-000006-index.htm,- -,- -
