,https://roic.ai/company/FLO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0717,0.0894,- -,0.0735,0.0672,0.0416,0.0537,0.0547,- -,0.0733
19,Total Other Income Expenses (Gains),- -,- -,-68300000,-32200000,-16500000,- -,8000000,6337000,4900000,8400000,- -,7400000,1500000,2940000,-9711000,-12860000,- -,-7295000,-14353000,-13619000,-15183000,-13345000,- -,-120777000
20,Income Before Tax,- -,- -,-58700000,-26400000,10700000,- -,85900000,105623000,123400000,153100000,- -,190100000,207800000,191966000,208800000,322373000,- -,268100000,249537000,149293000,197161000,212083000,- -,200711000
21,Income Before Tax Ratio,- -,- -,-0.0362,-0.0162,0.0065,- -,0.0591,0.0616,0.0653,0.0752,- -,0.0787,0.0799,0.0692,0.0685,0.0859,- -,0.0715,0.0635,0.0381,0.0499,0.0514,- -,0.0457
22,Income Tax expense (Gain),- -,- -,-16500000,-8100000,4593000,- -,33063000,39861000,45304000,54970000,- -,67744000,74047000,68538000,72651000,91479000,- -,92315000,85761000,-827000,40001000,47545000,- -,48393000
23,Net Income,41899000,7294000,5000000,-14300000,-17000000,- -,14700000,61231000,81000000,94600000,- -,119200000,130300000,123428000,136100000,230894000,- -,175700000,163776000,150120000,157160000,164538000,- -,152318000
24,Net Income ratio,0.0283,0.0048,0.0031,-0.0088,-0.0103,- -,0.0101,0.0357,0.0429,0.0464,- -,0.0494,0.0501,0.0445,0.0447,0.0616,- -,0.0469,0.0417,0.0383,0.0398,0.0399,- -,0.0347
25,EPS,0.18,0.03,0.02,-0.04,-0.08,- -,0.07,0.29,0.39,0.46,- -,0.57,0.63,0.61,0.66,1.11,- -,0.84,0.79,0.71,0.75,0.78,- -,0.72
26,EPS Diluted,0.18,0.03,0.02,-0.04,-0.08,- -,0.06,0.28,0.39,0.45,- -,0.57,0.63,0.60,0.65,1.09,- -,0.82,0.78,0.71,0.74,0.78,- -,0.72
27,Weighted Average Shares Outstanding,228600000,228600000,228085875,339417843,226567125,- -,227610000,208544625,205274250,204682500,- -,209331000,207742500,203971779,207409783,208562950,- -,209347313,208422801,210526204,210895207,211514071,- -,211603324
28,Weighted Average Shares Outstanding Diluted,228600000,228600000,228564281,339417843,231822000,- -,231700500,214579125,208348875,207828000,- -,209331000,208649250,205321500,207673500,211927000,- -,213092000,210354000,210526204,211632000,211974000,- -,212345000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128928/000095014402003144/0000950144-02-003144-index.html,https://www.sec.gov/Archives/edgar/data/1128928/000095014403004022/0000950144-03-004022-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000095014404002751/0000950144-04-002751-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014406001674/0000950144-06-001674-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014407001715/0000950144-07-001715-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014408001429/0000950144-08-001429-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000095014409001854/0000950144-09-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095012310020492/0000950123-10-020492-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312512087463/0001193125-12-087463-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312513067201/0001193125-13-067201-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000119312515061804/0001193125-15-061804-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459017002099/0001564590-17-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459018002612/0001564590-18-002612-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459019003388/0001564590-19-003388-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459020005163/0001564590-20-005163-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000156459021007896/0001564590-21-007896-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,11800000,12300000,69800000,- -,42400000,11001000,13900000,20000000,- -,20000000,18900000,7783000,13300000,8530000,- -,7500000,6410000,5129000,25306000,11044000,- -,307476000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,11800000,12300000,69800000,- -,42400000,11001000,13900000,20000000,- -,20000000,18900000,7783000,13300000,8530000,- -,7500000,6410000,5129000,25306000,11044000,- -,307476000
34,Net Receivables,- -,- -,113100000,104100000,104100000,- -,99400000,120751000,131900000,137700000,- -,178100000,182300000,195455000,261600000,263017000,- -,244800000,272833000,290183000,291399000,299530000,- -,302212000
35,Inventory,- -,- -,90400000,110000000,105400000,- -,50900000,42801000,69400000,75900000,- -,86700000,96400000,113720000,136200000,148807000,- -,147200000,170391000,172375000,187699000,194515000,- -,193337000
36,Other Current Assets,- -,- -,52000000,26100000,31300000,- -,74000000,63017000,26900000,35600000,- -,67400000,41400000,61612000,53400000,67051000,- -,61100000,27208000,39504000,39320000,48829000,- -,35178000
37,Total Current Assets,- -,- -,267300000,252500000,310600000,- -,266700000,237570000,242100000,269200000,- -,352200000,339000000,378570000,464500000,487405000,- -,460600000,476842000,507191000,543724000,553918000,- -,838203000
38,PP&E,- -,- -,569500000,610400000,579700000,- -,432000000,451921000,464400000,486500000,- -,587200000,602600000,685487000,725800000,867004000,- -,807500000,781026000,732026000,743847000,1117124000,- -,1033524000
39,Goodwill,- -,- -,125400000,80000000,54200000,- -,57000000,- -,75500000,76300000,- -,200000000,201700000,219730000,269900000,282404000,- -,283000000,465578000,464777000,545379000,545244000,- -,545244000
40,Intangible Assets,- -,- -,- -,45700000,44600000,- -,14100000,72172000,24100000,22100000,- -,106300000,103100000,141231000,388400000,656710000,- -,645000000,835964000,742442000,794929000,750207000,- -,714918000
41,Intangible Assets,- -,- -,125400000,125700000,98800000,- -,71100000,72172000,99600000,98400000,- -,306300000,304800000,360961000,658300000,939114000,- -,928000000,1301542000,1207219000,1340308000,1295451000,- -,1260162000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3490000,3434000,3125000,3496000,- -,3242000
43,Tax Assets,- -,- -,- -,- -,- -,- -,20500000,- -,47400000,51000000,- -,55500000,63700000,- -,39200000,- -,- -,94200000,- -,82976000,102658000,121395000,- -,- -
44,Other Non-Current Assets,- -,- -,600400000,111100000,107300000,- -,56900000,89406000,53100000,82400000,- -,52000000,41300000,128980000,108000000,210491000,- -,118700000,198168000,126878000,111875000,86392000,- -,187892000
45,Total Non-Current Assets,- -,- -,1295300000,847200000,785800000,- -,580500000,613499000,664500000,718300000,- -,1001000000,1012400000,1175428000,1531300000,2016609000,- -,1948400000,2284226000,2152533000,2301813000,2623858000,- -,2484820000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,1562600000,1099700000,1096400000,- -,847200000,851069000,906600000,987500000,- -,1353200000,1351400000,1553998000,1995800000,2504014000,- -,2409000000,2761068000,2659724000,2845537000,3177776000,- -,3323023000
48,Accounts Payable,- -,- -,100800000,84000000,82800000,- -,81300000,83801000,90900000,98300000,- -,116800000,92700000,115138000,154000000,151935000,- -,142600000,173102000,181388000,242084000,233011000,- -,225918000
49,Short-Term Debt,- -,- -,- -,- -,27231000,- -,5286000,4652000,7406000,6920000,- -,22538000,25763000,42768000,88842000,47619000,- -,50164000,31395000,17794000,21446000,78479000,- -,68808000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6633000,10943000,5661000,6870000,- -,22773000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,11679000,1863000,- -,38745000,20714000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4760000
52,Other Current Liabilities,- -,- -,81600000,102200000,94469000,- -,76514000,85822000,75215000,106517000,- -,87017000,82623000,110513000,112158000,128228000,- -,122836000,136127000,194769000,136809000,216653000,- -,204619000
53,Total Current Liabilities,- -,- -,182400000,186200000,204500000,- -,163100000,174275000,185200000,213600000,- -,265100000,221800000,268419000,355000000,327782000,- -,315600000,340624000,393951000,400339000,528143000,- -,504105000
54,Long-Term Debt,- -,- -,247800000,242100000,223100000,- -,9900000,74403000,79100000,22500000,- -,263900000,225900000,283406000,535000000,892478000,- -,728900000,946667000,820141000,990640000,882168000,- -,960103000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19153000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,42569000,- -,- -,- -,- -,- -,35375000,39206000,112140000,- -,94153000,145854000,82976000,102658000,- -,- -,143251000
57,Other Non-Current Liabilities,- -,- -,630000000,49800000,75800000,- -,96600000,42888000,79400000,95200000,- -,189500000,187800000,207830000,207994000,95425000,- -,147247000,117843000,111979000,93633000,504035000,- -,323417000
58,Total Non-Current Liabilities,- -,- -,877800000,291900000,298900000,- -,106500000,159860000,158500000,117700000,- -,453400000,413700000,526611000,782200000,1100043000,- -,970300000,1210364000,1015096000,1186931000,1386203000,- -,1445924000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7781000,- -,- -,- -,- -,- -,- -,- -,404503000,- -,345762000
61,Total Liabilities,- -,- -,1060200000,478100000,503400000,- -,269600000,334135000,343700000,331300000,- -,718500000,635500000,795030000,1137200000,1427825000,- -,1285900000,1550988000,1409047000,1587270000,1914346000,- -,1950029000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,300000,300000,- -,500000,678000,700000,1000000,- -,1000000,1000000,199000,200000,199000,- -,200000,199000,199000,199000,199000,- -,199000
64,Retained Earnings,- -,- -,164100000,149800000,131400000,- -,131000000,198567000,250600000,303400000,- -,369400000,437500000,547997000,597600000,735631000,- -,809100000,910520000,919658000,945410000,947046000,- -,932094000
65,Other Comprehensive Income/Loss,- -,- -,-26800000,-9800000,-21834000,- -,-18378000,-12835000,-8220000,22141000,- -,-102279000,-64672000,-112047000,-114667000,-62515000,- -,-98020000,-83283000,-84559000,-109171000,-106020000,- -,6424000
66,Other Total Stockholders Equity,- -,- -,365000000,481300000,483130000,- -,464529000,325961000,319781000,329676000,- -,366598000,342117000,322819000,375487000,402874000,- -,411764000,382644000,415379000,421829000,422205000,- -,434277000
67,Total Stockholders Equity,- -,- -,502500000,621600000,592996000,- -,577651000,512371000,562861000,656217000,- -,634719000,715945000,758968000,858620000,1076189000,- -,1123044000,1210080000,1250677000,1258267000,1263430000,- -,1372994000
68,Total Liabilities And Stockholders Equity,- -,- -,1562700000,1099700000,1096396000,- -,847251000,846506000,906561000,987517000,- -,1353219000,1351445000,1553998000,1995820000,2504014000,- -,2408944000,2761068000,2659724000,2845537000,3177776000,- -,3323023000
69,Minority Interest,- -,- -,-100000,- -,4000,- -,-51000,4563000,39000,-17000,- -,-19000,-45000,- -,-20000,- -,- -,56000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,1562600000,1099700000,1096400000,- -,847200000,851069000,906600000,987500000,- -,1353200000,1351400000,1553998000,1995800000,2504014000,- -,2409000000,2761068000,2659724000,2845537000,3177776000,- -,3323023000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1128928/000095014402003144/0000950144-02-003144-index.html,https://www.sec.gov/Archives/edgar/data/1128928/000095014403004022/0000950144-03-004022-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000095014404002751/0000950144-04-002751-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014406001674/0000950144-06-001674-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014407001715/0000950144-07-001715-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014408001429/0000950144-08-001429-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000095014409001854/0000950144-09-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095012310020492/0000950123-10-020492-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312512087463/0001193125-12-087463-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312513067201/0001193125-13-067201-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000119312515061804/0001193125-15-061804-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459017002099/0001564590-17-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459018002612/0001564590-18-002612-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459019003388/0001564590-19-003388-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459020005163/0001564590-20-005163-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000156459021007896/0001564590-21-007896-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,41899000,7294000,5000000,-14300000,-17000000,- -,14700000,61231000,81000000,94600000,- -,119200000,130300000,123428000,136100000,230894000,- -,175700000,163776000,150120000,157160000,164538000,- -,152318000
74,Depreciation and Amortization,53544000,53890000,67102000,73815000,73965000,- -,53935000,59344000,64250000,66094000,- -,73312000,80928000,94638000,102690000,118491000,- -,128961000,140869000,146719000,144124000,144228000,- -,141384000
75,Deferred Income Tax,- -,- -,-19328000,-7496000,2890000,- -,10331000,12408000,-11644000,-6075000,- -,2814000,3307000,-1700000,11450000,6485000,- -,9241000,-14457000,-61306000,21657000,18609000,- -,-31154000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10594000,11855000,13638000,10116000,15943000,- -,18662000,18761000,16093000,8148000,7430000,- -,12855000
77,Change in Working Capital,- -,- -,84900000,-18600000,39800000,- -,-2500000,-15605000,-6395000,-1300000,- -,31500000,30100000,39251000,-651000,50123000,- -,-14623000,39648000,-22978000,30145000,-117610000,- -,308323000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22340000,-476000,-283000,-64182000,1114000,- -,7181000,-7888000,-11762000,-8278000,-7809000,- -,-25021000
79,Inventory,- -,- -,12076000,-3764000,4379000,- -,-1734000,-5371000,-844000,-3612000,- -,-4242000,-3525000,-6457000,-13366000,-10708000,- -,6977000,-1526000,-7801000,-8424000,-4774000,- -,-1771000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5187000,28529000,-702000,- -,-9951000,-519000,10840000,60863000,-14155000,- -,-5772000
81,Other Working Capital,- -,- -,84900000,66300000,106100000,- -,103600000,63295000,56900000,55600000,- -,87100000,117200000,110151000,109500000,159623000,- -,145000000,136218000,113240000,143385000,25775000,- -,334098000
82,Other Non-Cash Items,-95443000,-61184000,-67634000,46504000,23097000,- -,11523000,-3399000,24065000,61279000,- -,-142548000,-20481000,-134965000,-42825000,-151452000,- -,-3971000,-2553000,68741000,-65341000,149757000,- -,-129262000
83,Cash Provided by Operating Activities,- -,- -,70040000,79923000,122752000,- -,87989000,113979000,151276000,214598000,- -,94872000,236009000,134290000,216880000,270484000,- -,313970000,346044000,297389000,295893000,366952000,- -,454464000
84,CAPEX,- -,- -,-39925000,-49514000,-48811000,- -,-43618000,-58846000,-61792000,-88125000,- -,-86861000,-72093000,-79162000,-67259000,-99181000,- -,-83778000,-101727000,-75232000,-99422000,-103685000,- -,-97929000
85,Acquisitions Net,- -,- -,-22070000,-6506000,-1023000,- -,-14534000,-9867000,-887000,-1515000,- -,-170077000,-24565000,-169485000,-318476000,-415813000,- -,7500000,- -,- -,-200174000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12629000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,37382000,-76588000,2973000,- -,231271000,-1740000,-9037000,-13228000,- -,-3859000,7049000,-1921000,298000,12109000,- -,42965000,31680000,39837000,-2209000,6592000,- -,23937000
89,Cash Used for Investing Activites,- -,- -,-24613000,-132608000,-46861000,- -,173119000,-70453000,-71716000,-102868000,- -,-260797000,-89609000,-237939000,-385437000,-502885000,- -,-33313000,-70047000,-35395000,-301805000,-97093000,- -,-73992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-392614000,-896372000,-875083000,-1221660000,-1859094000,- -,-1343087000,-2146100000,-735900000,-27650000,-729437000,- -,-399115000
91,Common Stock Issued,- -,- -,4567000,337000,213000,- -,1677000,6443000,6363000,22087000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-41000,- -,- -,- -,-22173000,-124388000,-63617000,-33296000,- -,-44072000,-40531000,-26598000,-18726000,-8819000,- -,-38916000,-126300000,-2671000,-2489000,-7054000,- -,-783000
93,Dividends Paid,- -,- -,-52372000,- -,-1499000,- -,-15068000,-23652000,-28994000,-42120000,- -,-53222000,-62170000,-79081000,-86489000,-92840000,- -,-102302000,-131073000,-140982000,-150214000,-159987000,- -,-167270000
94,Other Financing Activites,- -,- -,-4401000,52783000,-17059000,- -,-252954000,61614000,9601000,-52337000,- -,655819000,851657000,1085439000,1500924000,2188409000,- -,1202641000,2119508000,616278000,206442000,612357000,- -,483128000
95,Cash Used/Provided by Financing Activities,- -,- -,-52247000,53120000,-18345000,- -,-288518000,-79983000,-76647000,-105666000,- -,165911000,-147416000,104677000,174049000,227656000,- -,-281664000,-283965000,-263275000,26089000,-284121000,- -,-84040000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-6820000,435000,57546000,- -,-27410000,-36457000,2913000,6064000,- -,-14000,-1016000,1028000,5492000,-4745000,- -,-1007000,-7968000,-1281000,20177000,-14262000,- -,296432000
98,Cash at the End of Period,- -,- -,11845000,12280000,69826000,- -,42416000,11001000,13914000,19978000,- -,19964000,18948000,7783000,13275000,8530000,- -,7523000,6410000,5129000,25306000,11044000,- -,307476000
99,Cash at the Beginning of Period,- -,- -,18665000,11845000,12280000,- -,69826000,47458000,11001000,13914000,- -,19978000,19964000,6755000,7783000,13275000,- -,8530000,14378000,6410000,5129000,25306000,- -,11044000
100,Free Cash Flow,- -,- -,30115000,30409000,73941000,- -,44371000,55133000,89484000,126473000,- -,8011000,163916000,55128000,149621000,171303000,- -,230192000,244317000,222157000,196471000,263267000,- -,356535000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128928/000095014402003144/0000950144-02-003144-index.html,https://www.sec.gov/Archives/edgar/data/1128928/000095014403004022/0000950144-03-004022-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000095014404002751/0000950144-04-002751-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014406001674/0000950144-06-001674-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014407001715/0000950144-07-001715-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095014408001429/0000950144-08-001429-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000095014409001854/0000950144-09-001854-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000095012310020492/0000950123-10-020492-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312512087463/0001193125-12-087463-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000119312513067201/0001193125-13-067201-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000119312515061804/0001193125-15-061804-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459017002099/0001564590-17-002099-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459018002612/0001564590-18-002612-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459019003388/0001564590-19-003388-index.htm,https://www.sec.gov/Archives/edgar/data/1128928/000156459020005163/0001564590-20-005163-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1128928/000156459021007896/0001564590-21-007896-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
