,https://roic.ai/company/ATRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,- -,1310000,1740000,1460000,1270000,1550000,1210000,630000,960000,900000,3000000,- -,9900000,10200000,14100000,14850000,11654000,21623000,25153000,30080000,41229000,57452000,72568000,50388000,24970000,28464000,19807000,10419000,2480000,4020000,4669000,757730,6090617,10236600,10043000,2037000
11,COGS and Expenses,- -,1310000,1740000,1460000,1270000,1550000,1210000,630000,960000,1900000,3000000,- -,10100000,10500000,14000000,14476000,12157000,21912000,25651000,30338000,41250000,57807000,72668000,53294000,24970000,28464000,19807000,10419000,2480000,4020000,4669000,757730,6090617,10695308,10452000,2037000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644000,322000,278000,227000,344000,1990000,2789000,3308000,519000,5000,244000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,140000,50000,10000,10000,-80000,-110000,-100000,-80000,- -,- -,- -,- -,- -,- -,- -,- -,162000,393000,462000,352000,640000,1149000,797000,538000,2807000,- -,1716000,249000,1006000,1000,3513,127931,149900,662000,1774000
14,Depreciation and Amortization,- -,- -,- -,- -,80000,110000,100000,30000,30000,- -,- -,- -,300000,300000,400000,732000,846000,1402000,1414000,1443000,1832000,2903000,4392000,4114000,2369000,1580000,1251000,555000,- -,- -,- -,49189,450903,332986,82000,400000
15,EBITDA,- -,-1010000,-1050000,-1080000,-540000,-410000,-570000,-480000,-230000,200000,-100000,- -,-4200000,-600000,-8000000,-8959000,-8386000,-11904000,-334000,-26704000,-29979000,-23334000,-46831000,-54309000,-5139000,-23366000,-27030000,-7236000,-1361000,-5471000,3338000,-708541,-5639714,-16272071,-11234000,-1992000
16,EBITDA ratio,- -,-50.5000,-1.7797,-3.0000,-0.8438,-0.3445,-0.7500,-1.5000,-0.2674,0.0952,-0.0345,- -,-1.0244,-0.0741,-1.7778,-2.1635,-3.2217,-1.3341,-0.0172,-14.4580,-4.0246,-0.8190,-2.5821,-20.8160,-0.3488,-9.4984,-12.0886,-1.7159,-0.6435,-10.9420,4.9088,-Infinity,-Infinity,-213.5835,-44.5794,-Infinity
17,Operating Income,- -,-1290000,-1150000,-1100000,-640000,-370000,-450000,-310000,-100000,200000,-100000,- -,-6000000,-2400000,-9500000,-10335000,-9554000,-13584000,-6211000,-28491000,-33801000,-29317000,-54531000,-58942000,-10693000,-29530000,-34995000,-7883000,-365000,-3520000,-3989000,-757730,-6090617,-15794838,-11316000,-2037000
18,Operating Income ratio,- -,-64.5000,-1.9492,-3.0556,-1.0000,-0.3109,-0.5921,-0.9688,-0.1163,0.0952,-0.0345,- -,-1.4634,-0.2963,-2.1111,-2.4958,-3.6704,-1.5224,-0.3195,-15.4256,-4.5377,-1.0290,-3.0066,-22.5918,-0.7258,-12.0041,-15.6507,-1.8693,-0.1726,-7.0400,-5.8662,-Infinity,-Infinity,-207.3194,-44.9048,-Infinity
19,Total Other Income Expenses (Gains),- -,140000,50000,10000,10000,-70000,-110000,-100000,-80000,100000,- -,- -,1400000,1400000,- -,- -,- -,-595000,4236000,- -,- -,- -,- -,-8257000,2725000,814000,6714000,-1624000,-1245000,-2957000,7326000,-78613,-127931,-960119,-662000,-1729000
20,Income Before Tax,- -,-1150000,-1100000,-1090000,-630000,-440000,-560000,-410000,-180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28281000,-9507000,-1610000,-6477000,3337000,-836343,-6218548,-16754957,-11978000,-3766000
21,Income Before Tax Ratio,- -,-57.5000,-1.8644,-3.0278,-0.9844,-0.3697,-0.7368,-1.2813,-0.2093,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12.6480,-2.2544,-0.7612,-12.9540,4.9074,-Infinity,-Infinity,-219.9217,-47.5317,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1143000,39000,-39000,- -,- -,800,800,- -,- -,- -
23,Net Income,- -,-1150000,-1100000,-1090000,-630000,-440000,-560000,-410000,-180000,200000,-100000,- -,-4500000,-900000,-8400000,-9691000,-9232000,-13468000,-2141000,-28609000,-32163000,-26877000,-52372000,-59220000,-8046000,-27753000,-29424000,-9546000,-1571000,-6477000,3337000,-837143,-6219348,-16754957,-11978000,-3766000
24,Net Income ratio,- -,-57.5000,-1.8644,-3.0278,-0.9844,-0.3697,-0.7368,-1.2813,-0.2093,0.0952,-0.0345,- -,-1.0976,-0.1111,-1.8667,-2.3403,-3.5467,-1.5094,-0.1101,-15.4894,-4.3178,-0.9434,-2.8876,-22.6984,-0.5462,-11.2817,-13.1592,-2.2637,-0.7428,-12.9540,4.9074,-Infinity,-Infinity,-219.9217,-47.5317,-Infinity
25,EPS,- -,-0.07,-0.07,-0.07,-0.04,-0.03,-0.04,-0.03,-0.01,36.00,-12.00,- -,-304.00,-56.00,-528.00,-604.00,-464.00,-536.00,-80.00,-884.00,-688.00,-508.00,-840.00,-804.00,-84.00,-158.00,-46.50,-7.10,-0.90,-2.60,1.00,-0.20,-0.63,-1.64,-1.24,-0.49
26,EPS Diluted,- -,-0.07,-0.07,-0.07,-0.04,-0.03,-0.04,-0.03,-0.01,32.00,-12.00,- -,-304.00,-56.00,-528.00,-604.00,-464.00,-536.00,-80.00,-884.00,-688.00,-508.00,-840.00,-804.00,-84.00,-158.00,-46.50,-7.10,-0.90,-2.60,-1.40,-0.20,-0.63,-1.64,-1.24,-0.49
27,Weighted Average Shares Outstanding,- -,15575294,15575294,15575293,15575293,15575293,15575293,15575293,15575293,5556,8333,14945,14945,15740,15837,16092,19890,25070,26877,32387,46797,53045,62487,73822,93642,175740,632800,1341711,1693766,2463453,2630239,4743109,9836109,10838731,10840870,10876513
28,Weighted Average Shares Outstanding Diluted,- -,15575294,15575294,15575293,15575293,15575293,15575293,15575293,15575293,6250,8333,14945,14945,15740,15909,16092,19890,25070,27355,32387,46797,53045,62487,73822,93642,175740,632800,1341711,1693766,2463453,3287495,4743109,9836109,10838731,10840870,10876513
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737207/000089102003000971/v88030e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012404000952/v96126e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012405001355/v06082e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012406001245/v17782e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095013407005057/v26971e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095013408004908/v37317e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000119312509075591/d10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000119312510064469/0001193125-10-064469-index.html,https://www.sec.gov/Archives/edgar/data/737207/000119312511075247/d10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000114420412055514/v324618_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104914003110/t1401301_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104914003630/t1401389_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104915001227/t1500315_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104916013489/0001571049-16-013489-index.html,https://www.sec.gov/Archives/edgar/data/737207/000149315217003272/0001493152-17-003272-index.html,https://www.sec.gov/Archives/edgar/data/737207/000149315218005372/form10-k.htm,https://www.sec.gov/Archives/edgar/data/737207/000149315219005482/form10-k.htm,https://www.sec.gov/Archives/edgar/data/737207/000073720720000006/atrx-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000149315221008190/0001493152-21-008190-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,500000,190000,250000,10000,- -,380000,310000,3200000,4000000,- -,25300000,23500000,10700000,6256000,11760000,9021000,16792000,25797000,26769000,28481000,27704000,1084000,748000,1066000,976000,216000,909000,1824000,710000,105347,106378,3918290,50000,1000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,8289000,39677000,32142000,20357000,11714000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,500000,190000,250000,10000,- -,380000,310000,3200000,4000000,- -,25300000,23500000,14700000,6256000,11760000,9021000,25081000,65474000,58911000,48838000,39418000,1084000,748000,1066000,976000,216000,909000,1824000,710000,105347,106378,3918290,50000,1000
34,Net Receivables,- -,- -,50000,60000,70000,430000,540000,30000,380000,2700000,1100000,- -,900000,2300000,1100000,1275000,313000,856000,104000,- -,189000,2798000,324000,32000,211000,59000,- -,7000,5000,500000,- -,- -,- -,48289,- -,- -
35,Inventory,- -,- -,- -,- -,- -,10000,10000,- -,- -,- -,- -,- -,400000,400000,300000,174000,85000,338000,180000,57000,2733000,2203000,1084000,98000,- -,- -,- -,- -,- -,- -,- -,- -,- -,241458,- -,- -
36,Other Current Assets,- -,- -,40000,30000,10000,30000,20000,10000,- -,- -,4000000,- -,- -,300000,400000,190000,162000,190000,469000,9674000,2543000,3719000,3853000,3744000,1698000,1835000,1600000,509000,128000,192000,140000,211133,18565,469142,370000,- -
37,Total Current Assets,- -,- -,590000,280000,330000,480000,570000,420000,690000,5900000,9100000,- -,26600000,26500000,16500000,7895000,12320000,10405000,25834000,75205000,64376000,57558000,44679000,4958000,2657000,2960000,2576000,732000,1042000,2516000,850000,316480,124943,4677179,420000,1000
38,PP&E,- -,- -,130000,170000,200000,200000,100000,70000,40000,100000,200000,- -,700000,1000000,3700000,3565000,2955000,3261000,4474000,5160000,8173000,15444000,15004000,7844000,4569000,3695000,2429000,- -,- -,- -,- -,- -,- -,71774,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3558076,3502829,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,90000,8581000,90000,- -,- -,- -,- -,- -,- -,- -,6700000,6700000,6700000,6700000,6700000,2311877,2555974,391892,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,90000,8581000,90000,- -,- -,- -,- -,- -,- -,22734000,6700000,6700000,6700000,6700000,6700000,5869953,6058803,391892,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,80000,80000,80000,80000,80000,80000,80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-50000,50000,20000,-70000,-80000,-60000,- -,100000,- -,100000,- -,- -,54000,75000,803000,740000,410000,404000,830000,1933000,335000,3000,54000,45000,21000,- -,- -,45000,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,210000,200000,330000,300000,110000,70000,60000,100000,300000,- -,800000,1000000,3700000,3766000,3120000,12645000,5304000,5570000,8577000,16274000,16937000,8179000,4572000,26483000,9174000,6721000,6700000,6700000,6745000,5869953,6058803,463666,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,800000,480000,660000,780000,680000,490000,750000,6000000,9400000,- -,27400000,27500000,20200000,11661000,15440000,23050000,31138000,80775000,72953000,73832000,61616000,13137000,7229000,29443000,11750000,7453000,7742000,9216000,7595000,6186433,6183746,5140845,420000,1000
48,Accounts Payable,- -,- -,260000,190000,180000,350000,500000,400000,450000,500000,500000,- -,1500000,600000,2100000,648000,559000,1269000,2390000,1652000,2944000,4437000,4216000,2039000,2114000,3922000,2536000,1606000,1614000,687000,763000,663261,1033353,270138,1403000,2257000
49,Short-Term Debt,- -,- -,- -,- -,- -,10000,20000,- -,- -,100000,200000,- -,- -,- -,- -,- -,- -,2864000,7168000,9884000,2431000,4226000,4968000,4112000,317000,- -,- -,1450000,1623000,- -,- -,685998,1906263,- -,5330000,6318000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1083000,- -,2774000,1589000,2528000,675000,400000,- -,34000,848000,115000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,30000,50000,100000,800000,1000000,220000,470000,600000,1000000,- -,900000,1400000,1500000,1448000,1357000,1847000,1510000,2533000,2214000,3534000,3709000,5973000,2699000,2318000,1255000,2456000,2979000,1255000,1673000,1618410,2795887,1943988,3574000,6199000
53,Total Current Liabilities,- -,- -,290000,240000,280000,1160000,1520000,620000,920000,1200000,1700000,- -,2400000,2000000,3600000,2096000,1916000,7063000,11068000,16843000,9178000,14725000,13568000,12524000,5130000,6274000,4639000,5627000,6216000,1942000,2436000,2967669,5735503,2214126,10307000,14774000
54,Long-Term Debt,- -,- -,- -,- -,610000,20000,130000,600000,570000,500000,100000,- -,- -,- -,- -,- -,- -,4500000,1569000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2246000,1461000,1384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1202000,2345000,2384000,2345000,2345000,2345000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,80000,80000,80000,80000,80000,570000,70000,- -,- -,- -,100000,- -,- -,- -,30000,2842000,595000,5784000,8208000,15771000,8828000,1626000,7524000,3414000,4728000,5070000,6245000,9300000,2551000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,80000,80000,690000,100000,210000,1170000,640000,500000,100000,- -,100000,- -,- -,- -,30000,7342000,2164000,5784000,8208000,15771000,8828000,3872000,8985000,6000000,7073000,7454000,8590000,11645000,4896000,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000,- -,1719000,3170000,7457000,5757000,5129000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,370000,320000,970000,1260000,1730000,1790000,1560000,1700000,1800000,- -,2500000,2000000,3600000,2096000,1946000,14405000,13232000,22627000,17386000,30496000,22396000,16396000,14115000,12274000,11712000,13081000,14806000,13587000,7332000,2967669,5735503,2214126,10307000,14774000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38,- -,- -
63,Common Stock,- -,- -,- -,10000,10000,10000,10000,10000,10000,- -,- -,- -,- -,- -,- -,41000,57000,61000,71000,107000,124000,- -,- -,- -,- -,307939000,320232000,324112000,324247000,153000,166000,538628,63127,64570,65000,67000
64,Retained Earnings,- -,- -,-3200000,-4300000,-4920000,-5360000,-5930000,-6340000,-6520000,-6200000,-6200000,- -,-11100000,-12000000,-20300000,-30003000,-39235000,-52703000,-54844000,-83453000,-115616000,-142493000,-194865000,-254085000,-263017000,-290770000,-320194000,-329740000,-331311000,-337788000,-334451000,-1951082,-8028707,-25847805,-39327000,-44612000
65,Other Comprehensive Income/Loss,- -,- -,-30000,-50000,-110000,-180000,-140000,-170000,-90000,-100000,-100000,- -,-300000,-600000,-1000000,-1694000,-2483000,-1219000,-749000,-1359000,-5009000,-20000,20000,- -,-7773000,-8081000,-9253000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,3660000,4510000,4710000,5040000,5010000,5200000,5780000,10600000,13900000,- -,36300000,38100000,37900000,41221000,55155000,62506000,73428000,142853000,176068000,193766000,246173000,259236000,263904000,8081000,9253000,- -,- -,333264000,334548000,4631218,8413823,28709916,29375000,29772000
67,Total Stockholders Equity,- -,- -,430000,170000,-310000,-490000,-1050000,-1300000,-820000,4300000,7600000,- -,24900000,25500000,16600000,9565000,13494000,8645000,17906000,58148000,55567000,43336000,39220000,-3259000,-6886000,17169000,38000,-5628000,-7064000,-4371000,263000,3218764,448243,2926719,-9887000,-14773000
68,Total Liabilities And Stockholders Equity,- -,- -,800000,490000,660000,770000,680000,490000,740000,6000000,9400000,- -,27400000,27500000,20200000,11661000,15440000,23050000,31138000,80775000,72953000,73832000,61616000,13137000,7229000,29443000,11750000,7453000,7742000,9216000,7595000,6186433,6183746,5140845,420000,1000
69,Minority Interest,- -,- -,- -,-10000,- -,10000,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,800000,480000,660000,780000,680000,490000,750000,6000000,9400000,- -,27400000,27500000,20200000,11661000,15440000,23050000,31138000,80775000,72953000,73832000,61616000,13137000,7229000,29443000,11750000,7453000,7742000,9216000,7595000,6186433,6183746,5140845,420000,1000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/737207/000089102003000971/v88030e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012404000952/v96126e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012405001355/v06082e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095012406001245/v17782e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095013407005057/v26971e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000095013408004908/v37317e10vk.htm,https://www.sec.gov/Archives/edgar/data/737207/000119312509075591/d10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000119312510064469/0001193125-10-064469-index.html,https://www.sec.gov/Archives/edgar/data/737207/000119312511075247/d10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000114420412055514/v324618_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104914003110/t1401301_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104914003630/t1401389_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104915001227/t1500315_10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000157104916013489/0001571049-16-013489-index.html,https://www.sec.gov/Archives/edgar/data/737207/000149315217003272/0001493152-17-003272-index.html,https://www.sec.gov/Archives/edgar/data/737207/000149315218005372/form10-k.htm,https://www.sec.gov/Archives/edgar/data/737207/000149315219005482/form10-k.htm,https://www.sec.gov/Archives/edgar/data/737207/000073720720000006/atrx-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/737207/000149315221008190/0001493152-21-008190-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-630000,-440000,-560000,-410000,-180000,200000,-100000,100000,-4500000,-900000,-8400000,-9691000,-9232000,-13468000,-2141000,-28609000,-32163000,-26877000,-52372000,-59220000,-8046000,-27753000,-29424000,-9546000,-1571000,-6477000,3337000,-837143,-6219348,-16754957,-11978000,-3766000
74,Depreciation and Amortization,- -,- -,- -,- -,80000,110000,100000,30000,30000,- -,- -,100000,300000,300000,400000,732000,846000,1402000,1414000,1443000,1832000,2903000,4392000,4114000,2369000,1580000,1251000,555000,- -,- -,- -,49189,450903,332986,82000,400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1143000,39000,-39000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8545000,2152000,- -,927000,990000,135000,277000,504000,- -,424784,1445138,765000,8000
77,Change in Working Capital,- -,- -,- -,- -,40000,-730000,-270000,750000,-30000,4930000,2700000,-100000,12900000,300000,-11600000,-7101000,4605000,-7062000,11424000,43596000,-3164000,-12365000,-11722000,-38677000,5093000,-841000,1251000,-2832000,-279000,5748000,-2160000,-1065189,-2959371,8073613,-12350053,-4886000
78,Accounts Receivable,- -,- -,- -,- -,- -,-50000,40000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,292000,-179000,152000,59000,-7000,2000,-495000,500000,- -,- -,-116361,16000,- -
79,Inventory,- -,- -,- -,- -,- -,-10000,- -,10000,- -,- -,- -,- -,-400000,- -,100000,105000,89000,-253000,102000,123000,-2676000,15000,29000,12000,6000,- -,- -,- -,- -,- -,- -,- -,- -,-204369,-240000,- -
80,Accounts Payable,- -,- -,- -,- -,10000,-170000,-150000,100000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2177000,641000,1638000,-673000,490000,8000,-563000,94000,-876044,425339,-703154,1133000,854000
81,Other Working Capital,- -,- -,- -,- -,50000,-680000,-950000,-200000,-230000,4700000,7400000,- -,24200000,24500000,12900000,5799000,10404000,3342000,14766000,58362000,55198000,42833000,31111000,-7566000,-2473000,-3314000,-2063000,-4895000,-5174000,574000,-1586000,-2651189,-5610560,2463053,-9887000,-14773000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,600000,600000,-510000,110000,-5030000,-2500000,- -,-11900000,-2300000,14300000,8198000,-3588000,12624000,-18383000,-35598000,2216000,21586000,13239000,44764000,-9093000,10213000,8735000,6403000,2039000,-4327000,-3846000,1330829,7042347,-2708213,14743053,7656000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-410000,-460000,-130000,-140000,-70000,100000,100000,100000,-3200000,-2600000,-5300000,-7862000,-7369000,-6504000,-7686000,-19168000,-31279000,-14753000,-46463000,-40474000,-7525000,-16801000,-16117000,-4391000,285000,-4779000,-2165000,-522314,-1260685,-9611433,-8738000,-588000
84,CAPEX,- -,- -,- -,- -,-70000,-20000,- -,- -,- -,- -,-100000,-100000,-600000,-600000,-3000000,-593000,-143000,-2363000,-2229000,-2164000,-4966000,-10199000,-4008000,-123000,-94000,-404000,-3000,- -,- -,- -,-45000,- -,-375000,-74364,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5063000,- -,- -,- -,- -,- -,5867,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-10300000,-10300000,-1000000,- -,-4000000,- -,- -,- -,-13689000,-46589000,-122822000,-67595000,-33773000,-1024000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,10500000,8000000,- -,- -,3986000,- -,- -,5400000,15200000,130251000,79467000,42456000,12718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,-20000,30000,- -,-10000,- -,100000,100000,- -,- -,- -,- -,- -,-1457000,14000000,- -,- -,-1157000,- -,530000,2429000,-19000,6000,1062000,410000,- -,- -,- -,-375000,- -,- -,- -
