,https://roic.ai/company/MCFT,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,8571000,12539000,1167000,73000,4038000,7909000,5826000,16319000,39252000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8571000,12539000,1167000,73000,4038000,7909000,5826000,16319000,39252000
34,Net Receivables,5175000,4406000,2653000,2971000,3500000,5515000,13414000,11069000,12435000
35,Inventory,11316000,11685000,11541000,13268000,11676000,20467000,30660000,25636000,53481000
36,Other Current Assets,1929000,5407000,13968000,1780000,2438000,3295000,4464000,3719000,5059000
37,Total Current Assets,26991000,34037000,29329000,18092000,21652000,37186000,54364000,56743000,110227000
38,PP&E,11721000,12891000,13233000,13826000,14827000,22265000,33636000,40481000,60495000
39,Goodwill,29593000,29593000,29593000,29593000,29593000,65792000,74030000,29593000,29593000
40,Intangible Assets,17414000,17193000,16971000,16750000,16643000,51046000,79799000,63849000,59899000
41,Intangible Assets,47007000,46786000,46564000,46343000,46236000,116838000,153829000,93442000,89492000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,1800000,- -,3501000,- -,- -,6240000,16080000,15130000
44,Other Non-Current Assets,1434000,628000,550000,771000,606000,635000,704000,1177000,1116000
45,Total Non-Current Assets,60162000,62105000,60347000,64441000,61669000,139738000,194409000,151180000,166233000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,87153000,96142000,89676000,82533000,83321000,176924000,248773000,207923000,276460000
48,Accounts Payable,9425000,13020000,14808000,13112000,11008000,17266000,17974000,10510000,23861000
49,Short-Term Debt,- -,- -,- -,7885000,3687000,5069000,8725000,8932000,2866000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,726000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1848000
52,Other Current Liabilities,18379000,28930000,48959000,23384000,22190000,28571000,41847000,35985000,45714000
53,Total Current Liabilities,27804000,41950000,63767000,44381000,36885000,50906000,68546000,55427000,74289000
54,Long-Term Debt,75300000,57359000,60487000,44342000,30790000,70087000,105016000,99666000,90277000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6996000,- -,7156000,- -,953000,1427000,- -,- -,- -
57,Other Non-Current Liabilities,769000,620000,519000,2189000,2932000,1982000,2895000,3960000,4106000
58,Total Non-Current Liabilities,83065000,57979000,68162000,46531000,34675000,73496000,107911000,103626000,94383000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,110869000,99929000,131929000,90912000,71560000,124402000,176457000,159053000,168672000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,10000,186000,186000,187000,188000,189000,189000
64,Retained Earnings,-32666000,-12739000,-51205000,-120940000,-101370000,-61717000,-43454000,-67501000,-11331000
65,Other Comprehensive Income/Loss,-8002000,-10253000,-13073000,-16295000,-15007000,-18497000,-20306000,-26718000,- -
66,Other Total Stockholders Equity,16942000,19195000,22015000,128670000,127952000,132549000,135888000,142900000,118930000
67,Total Stockholders Equity,-23716000,-3787000,-42253000,-8379000,11761000,52522000,72316000,48870000,107788000
68,Total Liabilities And Stockholders Equity,87153000,96142000,89676000,82533000,83321000,176924000,248773000,207923000,276460000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,87153000,96142000,89676000,82533000,83321000,176924000,248773000,207923000,276460000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1638290/000155837015001811/0001558370-15-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1638290/000155837016008267/mcft-20160630x10k.htm,https://www.sec.gov/Archives/edgar/data/1638290/000155837017006982/0001558370-17-006982-index.html,https://www.sec.gov/Archives/edgar/data/1638290/000155837018007407/0001558370-18-007407-index.html,https://www.sec.gov/Archives/edgar/data/1638290/000156459019034678/mcft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/1638290/000156459020043257/0001564590-20-043257-index.htm,https://www.sec.gov/Archives/edgar/data/1638290/000156459021046866/0001564590-21-046866-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,2816000,19927000,5534000,10210000,19570000,39653000,21354000,-24047000,56170000
74,Depreciation and Amortization,1975000,2472000,3278000,3444000,3231000,5086000,7787000,10527000,11630000
75,Deferred Income Tax,-90000,-11654000,5961000,-2253000,5197000,-642000,-5821000,-9052000,986000
76,Stock Based Compensation,23000,2000,- -,13687000,711000,1186000,1678000,1061000,2984000
77,Change in Working Capital,4237000,-26525000,8149000,11056000,1513000,-462000,15498000,34622000,1434000
78,Accounts Receivable,-1928000,1014000,2126000,-286000,-551000,-211000,-1835000,6291000,-5919000
79,Inventory,3336000,275000,-632000,-2086000,1193000,-2754000,-449000,4752000,-28561000
80,Accounts Payable,-169000,3595000,1788000,-1697000,-2104000,2847000,-2995000,-6874000,13404000
81,Other Working Capital,-7913000,-34438000,-26289000,-15233000,-13720000,-14182000,1316000,35938000,37372000
82,Other Non-Cash Items,7031000,37692000,2332000,-5397000,-3990000,4576000,15390000,17087000,-4666000
83,Cash Provided by Operating Activities,15992000,21914000,25254000,30747000,26232000,49397000,55886000,30198000,68538000
84,CAPEX,-2994000,-3421000,-3467000,-3817000,-4135000,-5305000,-14064000,-14241000,-27862000
85,Acquisitions Net,- -,- -,- -,- -,- -,-80511000,-81729000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,602000,1040000,-10000,- -,- -,96000,7000,23000,30000
89,Cash Used for Investing Activites,-2392000,-2381000,-3477000,-3817000,-4135000,-85720000,-95786000,-14218000,-27832000
90,Debt Repayment,-7000000,-39956000,-82764000,-85521000,-17991000,-39320000,-41306000,-40357000,-132493000
91,Common Stock Issued,- -,- -,- -,91071000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-4502000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-44000000,-79945000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,24391000,93615000,50873000,-141000,79514000,79123000,34870000,114720000
95,Cash Used/Provided by Financing Activities,-7000000,-15565000,-33149000,-28024000,-18132000,40194000,37817000,-5487000,-17773000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6600000,3968000,-11372000,-1094000,3965000,3871000,-2083000,10493000,22933000
98,Cash at the End of Period,8571000,12539000,1167000,73000,4038000,7909000,5826000,16319000,39252000
99,Cash at the Beginning of Period,1971000,8571000,12539000,1167000,73000,4038000,7909000,5826000,16319000
100,Free Cash Flow,12998000,18493000,21787000,26930000,22097000,44092000,41822000,15957000,40676000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1638290/000155837015001811/0001558370-15-001811-index.htm,https://www.sec.gov/Archives/edgar/data/1638290/000155837016008267/mcft-20160630x10k.htm,https://www.sec.gov/Archives/edgar/data/1638290/000155837017006982/0001558370-17-006982-index.html,https://www.sec.gov/Archives/edgar/data/1638290/000155837018007407/0001558370-18-007407-index.html,https://www.sec.gov/Archives/edgar/data/1638290/000156459019034678/mcft-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/1638290/000156459020043257/0001564590-20-043257-index.htm,https://www.sec.gov/Archives/edgar/data/1638290/000156459021046866/0001564590-21-046866-index.htm
102,false,,,,,,,,,
