,https://roic.ai/company/NAK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299305000781/0001062993-05-000781-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299307001155/0001062993-07-001155-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299308001377/0001062993-08-001377-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299309001068/0001062993-09-001068-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299310001073/0001062993-10-001073-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299311001286/0001062993-11-001286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299313001523/0001062993-13-001523-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299315002901/form20f.htm,https://www.sec.gov/Archives/edgar/data/1164771/000106299316009358/form20f.htm,https://www.sec.gov/Archives/edgar/data/1164771/000106299317001576/0001062993-17-001576-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315218004214/0001493152-18-004214-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315219004626/0001493152-19-004626-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315220005442/0001493152-20-005442-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1454884,-5112493,-8299462,-41698647,-50317831,-58382856,-104007349,-149906000,-12740000,-14115000,-20139000,-15662000,-2523000,-31347000,-33829000,-26982000,-64865000,-15957000,-69193000,-63872000,-31542000
74,Depreciation and Amortization,287,721,3832,45994,93179,123908,145993,182000,- -,- -,- -,- -,- -,282000,279000,205000,176000,234000,647000,533000,329000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-637497,-3814679,-33000,- -,- -,- -,- -,184000,-2289000,-1514000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5417000,8479000,8373000,14205000,5225000,641000,3877000,903000,2995000,5858000,4734000,3970000,9342000,2858000
77,Change in Working Capital,143779,-300562,272473,2410312,-315208,4861364,-557156,5633000,122000,250000,-1408000,767000,375000,2145000,-3262000,-224000,8898000,-3740000,-57000,-5741000,-3974000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-109000,- -,-91000,-616000,48000,84000,303000,-8000,405000,-317000,-123000,481000,-550000,-17000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-282000,91000,1246000,1747000,-4374000,-645000,9618000,-3496000,-158000,-6132000,-3483000
81,Other Working Capital,- -,- -,- -,- -,1,-1,-1,- -,- -,- -,- -,- -,-1269000,171000,826000,453000,-796000,- -,- -,- -,- -
82,Other Non-Cash Items,- -,1008270,1671661,6014971,4089895,5850684,46680902,157694000,233000,-494000,-143000,-794000,-6530000,-478000,-123000,-8000,6914000,-49373000,-111000,1918000,-146000
83,Cash Provided by Operating Activities,-1310818,-4404064,-6351496,-33227370,-46449965,-48184397,-61552289,18987000,-3906000,-5986000,-7485000,-10464000,-7853000,-27810000,-37546000,-24014000,-43019000,-64102000,-64744000,-57820000,-32475000
84,CAPEX,-2488,- -,-13056,-432058,-106283,-346147,-226438,-127000,- -,-1055000,- -,- -,- -,- -,-28000,- -,-473000,-20000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-81879,- -,- -,- -,- -,- -,- -,5452000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,558288,- -,- -,- -,- -,- -,- -,- -,- -,280000,1754000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,3403,- -,- -,-2,28802,- -,335000,-2592000,345000,445000,633000,199000,342000,44000,414000,672000,220000,130000,164000
89,Cash Used for Investing Activites,-2488,- -,-9653,-432058,-106283,130260,-197636,-127000,335000,-3647000,345000,445000,6085000,199000,594000,1798000,-59000,652000,220000,130000,164000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-354000,-2817000,-231000
91,Common Stock Issued,634374,2133259,9378459,42694011,47028841,132535163,8401033,- -,2630000,5160000,4211000,97000,- -,- -,5166000,17997000,45887000,- -,65872000,82639000,872000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-3740000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,371220,650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,11273000,29839000,3974000,58800000,10592000,-1686000,8149000,11550000
95,Cash Used/Provided by Financing Activities,1005594,2783259,9378459,42694011,47028841,128795163,8401033,- -,2630000,5160000,4211000,97000,30000,11273000,35005000,21971000,104687000,10592000,63832000,87971000,12191000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-130000,-20000,-16000,2000,-4000,-10000,9000,-68000,-1647000,572000,-142000,-1859000,-49000
97,Net Change In Cash,-307715,-1620804,3017313,9034584,472594,80741027,-53348892,18860000,-1071000,-4493000,-2945000,-9920000,-1742000,-16348000,-1938000,-313000,59962000,-52286000,-834000,28422000,-20169000
98,Cash at the End of Period,2044955,424152,3441465,12476048,12948641,93689667,40340650,59201000,44895000,40402000,37457000,27537000,25795000,9447000,7509000,7196000,67158000,14872000,14038000,42460000,22291000
99,Cash at the Beginning of Period,2352670,2044956,424152,3441464,12476047,12948640,93689542,40341000,45966000,44895000,40402000,37457000,27537000,25795000,9447000,7509000,7196000,67158000,14872000,14038000,42460000
100,Free Cash Flow,-1313306,-4404064,-6364552,-33659428,-46556248,-48530544,-61778727,18860000,-3906000,-7041000,-7485000,-10464000,-7853000,-27810000,-37574000,-24014000,-43492000,-64122000,-64744000,-57820000,-32475000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299305000781/0001062993-05-000781-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299307001155/0001062993-07-001155-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299308001377/0001062993-08-001377-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299309001068/0001062993-09-001068-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299310001073/0001062993-10-001073-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000106299311001286/0001062993-11-001286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299313001523/0001062993-13-001523-index.html,- -,https://www.sec.gov/Archives/edgar/data/1164771/000106299315002901/form20f.htm,https://www.sec.gov/Archives/edgar/data/1164771/000106299316009358/form20f.htm,https://www.sec.gov/Archives/edgar/data/1164771/000106299317001576/0001062993-17-001576-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315218004214/0001493152-18-004214-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315219004626/0001493152-19-004626-index.html,https://www.sec.gov/Archives/edgar/data/1164771/000149315220005442/0001493152-20-005442-index.html,- -,- -
102,Forex Rate,0.6281,0.6358,0.771,0.8312,0.8601,0.8579,1.0035,0.8218,0.9507,1.0027,0.9807,1.0067,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
