,https://roic.ai/company/MBII,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441693/000119312514114512/0001193125-14-114512-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000119312515372823/0001193125-15-372823-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000119312516523740/0001193125-16-523740-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000156459017005870/0001564590-17-005870-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315218004788/0001493152-18-004788-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315219004161/0001493152-19-004161-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315220004083/0001493152-20-004083-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315221006648/0001493152-21-006648-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315222008186/0001493152-22-008186-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,2215000,10006000,24455000,35324000,19838000,9609000,786000,18221000,6252000,15841000,19623000
32,Short-Term Investments,2000000,- -,13677000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4215000,10006000,38132000,35324000,19838000,9609000,786000,18221000,6252000,15841000,19623000
34,Net Receivables,447000,2970000,7118000,1787000,2347000,3592000,3785000,2720000,5925000,10113000,13211000
35,Inventory,3247000,4872000,11666000,12644000,9064000,8482000,9827000,8224000,8149000,6618000,8633000
36,Other Current Assets,329000,9617000,1737000,4968000,4767000,5192000,4720000,971000,1390000,1688000,1211000
37,Total Current Assets,8238000,27465000,58653000,54723000,36016000,26875000,19118000,30136000,21716000,34260000,42678000
38,PP&E,1067000,3528000,9420000,20166000,18445000,17343000,16016000,14512000,17827000,12565000,16313000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,6764000,6740000,6740000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,23842000,21383000,19011000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,30606000,28123000,25751000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,513000,2785000,806000,2293000,17306000,1765000,1779000,1919000,2568000,- -,2314000
45,Total Non-Current Assets,1580000,6313000,10226000,22459000,35751000,19108000,17795000,16431000,51001000,40688000,44378000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9818000,33778000,68879000,77182000,71767000,45983000,36913000,46567000,72717000,74948000,87056000
48,Accounts Payable,930000,2104000,4460000,5841000,2007000,1385000,3800000,1692000,3379000,1895000,2687000
49,Short-Term Debt,- -,- -,157000,12636000,267000,252000,1524000,2318000,3899000,1008000,27290000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,175000,324000,1340000,4565000,3087000,5647000,6193000,438000,427000,374000,360000
52,Other Current Liabilities,2103000,36505000,5781000,8160000,7511000,7965000,10485000,6871000,13380000,20951000,14851000
53,Total Current Liabilities,3208000,38933000,11738000,31202000,12872000,15249000,22002000,11319000,21085000,24228000,45188000
54,Long-Term Debt,293000,27108000,12280000,9667000,57564000,57750000,62229000,19119000,19147000,27072000,-18218000
55,Deferred Revenue,601000,1696000,1372000,2050000,2021000,1787000,2046000,2399000,1986000,- -,1165000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,39816000,40288000,1705000,1032000,1332000,1381000,1287000,794000,6941000,- -,29268000
58,Total Non-Current Liabilities,40710000,69092000,15357000,12749000,60917000,60918000,65562000,22312000,28074000,27072000,12215000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,294000,402000,2535000,2024000,665000,839000,- -,- -,4883000,4058000,- -
61,Total Liabilities,43918000,108025000,27095000,43951000,73789000,76167000,87564000,33631000,49159000,49787000,57403000
62,Preferred Stock,- -,39612000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000
64,Retained Earnings,-34736000,-75569000,-105436000,-159848000,-203576000,-234647000,-265572000,-283474000,-320649000,- -,-357371000
65,Other Comprehensive Income/Loss,-1428000,-2041000,-2957000,-5088000,-7362000,-7327000,-9271000,-11061000,-12579000,- -,- -
66,Other Total Stockholders Equity,2064000,3363000,150177000,198167000,208916000,211790000,224192000,307470000,356785000,31409000,387023000
67,Total Stockholders Equity,-34100000,-74247000,41784000,33231000,-2022000,-30184000,-50651000,12936000,23558000,31410000,29653000
68,Total Liabilities And Stockholders Equity,9818000,33778000,68879000,77182000,71767000,45983000,36913000,46567000,72717000,81197000,87056000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6249000,- -
70,Total Liabilities & Equity,9818000,33778000,68879000,77182000,71767000,45983000,36913000,46567000,72717000,74948000,87056000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441693/000119312514114512/0001193125-14-114512-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000119312515372823/0001193125-15-372823-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000119312516523740/0001193125-16-523740-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000156459017005870/0001564590-17-005870-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315218004788/0001493152-18-004788-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315219004161/0001493152-19-004161-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315220004083/0001493152-20-004083-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315221006648/0001493152-21-006648-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315222008186/0001493152-22-008186-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-13180000,-38794000,-28489000,-51659000,-43728000,-31071000,-30925000,-20213000,-37175000,-53000,-16554
74,Depreciation and Amortization,499000,613000,976000,2581000,3510000,2235000,2044000,1890000,3154000,3558000,4567
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,271000,662000,2300000,4555000,3811000,2669000,2114000,1850000,3686000,3595000,3351
77,Change in Working Capital,-12000,-16498000,58383000,-23394000,-377000,-11518000,-14510000,21701000,-18186000,9401000,-12542000
78,Accounts Receivable,430000,-2523000,-4148000,2900000,-560000,-1245000,-193000,1065000,-2622000,-4188000,-3098
79,Inventory,-1703000,-1625000,-6794000,73000,3580000,582000,-1345000,1603000,599000,1531000,-35
80,Accounts Payable,438000,1174000,1682000,1667000,-3486000,-588000,2305000,-2028000,1204000,-1409000,585
81,Other Working Capital,5030000,-11468000,46915000,23521000,23144000,11626000,-2884000,18817000,631000,10032000,-2510000
82,Other Non-Cash Items,-3000,31592000,-67175000,31982000,610000,13378000,20221000,-24653000,27182000,-32460000,12540675
83,Cash Provided by Operating Activities,-12425000,-22425000,-34005000,-35935000,-36174000,-24307000,-21056000,-19425000,-21339000,-15959000,-9961
84,CAPEX,-423000,-2757000,-4025000,-13002000,-1653000,-209000,-849000,-580000,-296000,-559000,-1093
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -
86,Purchases of Investments,-2000000,- -,-17477000,-49000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,2000000,3782000,13716000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,41000,6000,7000,- -,35000,- -,-497000,-1238000,-750
89,Cash Used for Investing Activites,-2423000,-757000,-17679000,671000,-1646000,-209000,-814000,-580000,-6793000,-1797000,-1843
90,Debt Repayment,-897000,-1863000,-12542000,-6138000,-2418000,-1081000,-16128000,-21300000,-29537000,-524000,-37476
91,Common Stock Issued,- -,- -,56105000,39949000,- -,- -,8188000,34486000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13673000,32836000,22570000,12322000,24752000,15368000,20987000,23767000,45700000,27869000,53062
95,Cash Used/Provided by Financing Activities,12776000,30973000,66133000,46133000,22334000,14287000,13047000,36953000,16163000,27345000,15586
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2072000,7791000,14449000,10869000,-15486000,-10229000,-8823000,16948000,-11969000,9589000,-17379817
98,Cash at the End of Period,2215000,10006000,24455000,35324000,19838000,9609000,786000,19781000,7812000,17401000,21183
99,Cash at the Beginning of Period,4287000,2215000,10006000,24455000,35324000,19838000,9609000,2833000,19781000,7812000,17401000
100,Free Cash Flow,-12848000,-25182000,-38030000,-48937000,-37827000,-24516000,-21905000,-20005000,-21635000,-16518000,-11054
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1441693/000119312514114512/0001193125-14-114512-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000119312515372823/0001193125-15-372823-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000119312516523740/0001193125-16-523740-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000156459017005870/0001564590-17-005870-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315218004788/0001493152-18-004788-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315219004161/0001493152-19-004161-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315220004083/0001493152-20-004083-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315221006648/0001493152-21-006648-index.htm,https://www.sec.gov/Archives/edgar/data/1441693/000149315222008186/0001493152-22-008186-index.htm
102,false,,,,,,,,,,,
