,https://roic.ai/company/WVVIP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),100000,- -,100000,200000,- -,500000,- -,547216,441629,357444,341177,304841,233736,169643,107768,116383,162113,192206,217037,232291,245431,289020,306805,291370,473608,457689,440999,414061,391272
14,Depreciation and Amortization,200000,200000,300000,400000,500000,700000,- -,719046,778752,763077,713817,636889,556487,541848,576515,620180,674200,719906,- -,- -,748832,1074737,1274243,1335254,1544735,1705711,1799215,1812394,1952093
15,EBITDA,400000,400000,400000,900000,700000,1200000,-115112,1300919,1333241,1347833,1297479,1750888,2575423,2892886,3405114,1999698,1811784,1597271,- -,- -,3322464,4301096,4758296,5733909,5464848,6102986,5703238,7001105,3767949
16,EBITDA ratio,0.1600,0.1290,0.1111,0.2093,0.1228,0.1967,-0.0195,0.1937,0.1896,0.2250,0.1777,0.1865,0.1884,0.1939,0.2038,0.1246,0.1094,0.0920,- -,- -,0.2503,0.2838,0.2653,0.2952,0.2621,0.2644,0.2304,0.2563,0.1185
17,Operating Income,100000,200000,100000,400000,500000,300000,274841,408674,491139,549609,456091,1011519,2000403,2274407,2726063,1363158,1117399,846604,1500437,2198880,2374544,2806222,3268577,4167401,3636044,4182715,3727524,5001773,3690019
18,Operating Income ratio,0.0400,0.0645,0.0278,0.0930,0.0877,0.0492,0.0465,0.0608,0.0699,0.0918,0.0625,0.1078,0.1464,0.1525,0.1631,0.0849,0.0675,0.0487,Infinity,Infinity,0.1789,0.1852,0.1822,0.2145,0.1744,0.1812,0.1506,0.1831,0.1161
19,Total Other Income Expenses (Gains),100000,- -,- -,-100000,-300000,200000,-389953,-374017,-378279,-322297,-213606,-202361,-215203,-93012,-5232,-100023,-141928,-161445,- -,- -,-46343,131117,-91329,-60116,-189539,-243129,-264500,-227123,-223677
20,Income Before Tax,- -,- -,- -,300000,200000,- -,-115112,34657,112860,227312,242485,809158,1785200,2181395,2720831,1263135,975471,685159,- -,- -,2328201,2937339,3177248,4107285,3446505,3939586,3463024,4774650,3466342
21,Income Before Tax Ratio,- -,- -,- -,0.0698,0.0351,- -,-0.0195,0.0052,0.0161,0.0380,0.0332,0.0862,0.1306,0.1462,0.1628,0.0787,0.0589,0.0394,- -,- -,0.1754,0.1938,0.1771,0.2114,0.1653,0.1707,0.1399,0.1748,0.1090
22,Income Tax expense (Gain),- -,- -,- -,100000,100000,100000,-22880,19595,54015,90837,104265,345476,628261,889621,1034170,554541,244001,273351,- -,- -,904709,775999,1275416,1478310,452726,1081006,952123,1379654,-1020879
23,Net Income,100000,200000,- -,200000,100000,-100000,-92232,15062,58845,136475,138220,463682,1156939,1291774,1686661,708594,731470,411808,- -,- -,1423492,2161340,1901832,2628975,2993779,2858580,2510901,3394996,2445463
24,Net Income ratio,0.0400,0.0645,- -,0.0465,0.0175,-0.0164,-0.0156,0.0022,0.0084,0.0228,0.0189,0.0494,0.0846,0.0866,0.1009,0.0442,0.0442,0.0237,- -,- -,0.1073,0.1426,0.1060,0.1353,0.1436,0.1239,0.1015,0.1243,0.0769
25,EPS,0.01,0.03,- -,0.03,0.01,-0.01,-0.01,0.00,0.01,0.02,0.02,0.06,0.15,0.17,0.22,0.09,0.10,0.05,- -,- -,0.19,0.28,0.25,0.34,0.39,0.37,0.33,0.44,0.32
26,EPS Diluted,0.01,0.03,- -,0.03,0.01,-0.01,-0.01,0.00,0.01,0.02,0.02,0.06,0.15,0.17,0.22,0.09,0.10,0.05,- -,- -,0.19,0.28,0.25,0.34,0.39,0.37,0.33,0.44,0.32
27,Weighted Average Shares Outstanding,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100
28,Weighted Average Shares Outstanding Diluted,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100,7633100
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000110465908034128/0001104659-08-034128-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000119983513000141/0001199835-13-000141-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983514000112/0001199835-14-000112-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983515000073/0001199835-15-000073-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983516000651/0001199835-16-000651-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495417002343/0001654954-17-002343-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495418002934/0001654954-18-002934-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495419003037/0001654954-19-003037-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983520000018/0001199835-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495421002818/0001654954-21-002818-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983522000167/0001199835-22-000167-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,632183,213681,851492,415591,1612470,1083405,350361,- -,1518864,- -,- -,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755,13747285
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,632183,213681,851492,415591,1612470,1083405,350361,- -,1518864,- -,- -,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755,13747285
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,519861,878506,908510,1568255,1609697,1804168,1267296,1985870,1442444,- -,- -,1229391,1612124,1684502,1871450,1760039,2352890,1814004,3156136,3163375
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,7550291,7335378,7827982,6950993,6751927,7976432,10604204,12169407,10712018,- -,- -,9833312,9910570,10632462,11970656,14793594,16247109,17075080,17687973,19076750
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,196120,220888,162460,113561,214743,154396,150534,58746,82241,- -,- -,571132,473038,1811918,399740,108102,296863,826549,182266,438447
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8898455,8648453,9750444,9048400,10188837,11018401,12372395,14214023,13755567,- -,- -,12579518,12515493,18139546,19948197,30437992,28634329,26765809,35026130,36425857
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,5046893,4698915,4254526,4037160,3985680,- -,6069408,6192229,6243990,- -,- -,13659090,15038659,16729162,20196945,23201876,25784451,28648301,36430319,46846461
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,59186,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143363,323014,204513,- -,- -,77063,623568,- -,3596507
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2601905,2595471,2183579,1641554,1623927,- -,1893297,1899036,1770643,- -,- -,2622841,3100135,3545655,4666794,6055403,6986693,11877809,8033898,4506285
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7648798,7294386,6438105,5678714,5609607,- -,7962705,8091265,8014633,- -,- -,16425294,18461808,20539330,24922925,29257279,32848207,41149678,44464217,54949253
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6164794,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16547253,15942839,16188549,14727114,15798444,17183195,20335100,22305288,21770200,- -,- -,29004812,30977301,38678876,44871122,59695271,61482536,67915487,79490347,91375110
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,371253,752219,510803,811141,945741,564494,1111499,823517,748813,- -,- -,711333,742024,386137,505085,993598,844820,859215,1416210,2102435
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2288009,1380807,1490208,283334,251437,284786,354536,845738,452226,197936,209327,306353,329255,594420,625888,2156903,2102474,2110333,2112307,1388324
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350870,- -,- -,- -,17659,- -,- -,- -,389798,125297,- -,- -,- -,138986
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,142857,142857,142857,142857,95220,- -,604777,622077,938257
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1195924,1128933,1398220,1165029,1180150,1005886,1456372,1186959,1100408,- -,- -,1589870,1490873,2970891,2292481,3189162,2447968,1796876,3152926,7502967
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3855186,3261959,3399231,2259504,2377328,1856166,2922407,2856214,2301447,197936,209327,2750413,2705009,4094305,3566311,6434883,5395262,5371201,7303520,11931983
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2944511,2693108,2331987,1986531,1237571,284786,2178246,3286005,2827086,- -,- -,5510392,5173039,4824015,4443685,6655384,6251316,5826161,5389457,4930193
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496744,- -,- -,523803,380943,238083,95223,- -,50480,- -,- -,3596507
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,209095,300856,212975,148000,242000,- -,355207,491000,578000,- -,- -,993000,1211000,1848000,1931000,1587227,2200227,2958606,3251099,3596507
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2010930,2008738,2106094,606985,601070,- -,563672,532040,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4724344,2357926
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5164536,5002702,4651056,2741516,2080641,284786,3097125,4309045,3901830,- -,- -,7027195,6764982,6910098,6469908,8242611,8502023,8784767,13364900,14481133
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2095119,- -,- -,- -,- -,- -,14422336,13847022,14327636,13142555,16761990,17029029,22283947,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917895,5002030,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9019722,8264661,8050287,5001020,4457969,3666499,6019532,7165259,6203277,- -,- -,10145554,9787049,11511843,10238958,14954262,13922268,18870381,20668420,26413116
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3735437,9061307,17339508,18319102,18319102,25817305,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,7155162,7167589,7182329,7613222,- -,8425389,- -,- -,- -,- -,- -,8857085,9026739,9674362,8971575,8512489,8512489,8512489,8512489,8512489
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,372369,510589,955933,2112872,3404646,5091307,5799901,6531371,6943179,- -,- -,10427275,12588615,14432836,16599282,18889012,20728677,22213515,24492133,25493313
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5175643,-5788719,-4967465,-5415938,-5575051,- -,-6842745,-7426817,-8064058,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5175643,5788719,4967465,5415938,13510880,- -,15358412,16035475,16687802,16433680,17341494,-425102,-425102,-675602,- -,- -,- -,- -,- -,30956192
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7527531,7678178,8138262,9726094,11340475,13516696,14315568,15140029,15566923,16433680,17341494,18859258,21190252,27167033,34632164,44741009,47560268,49045106,58821927,64961994
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,16547253,15942839,16188549,14727114,15798444,17183195,20335100,22305288,21770200,- -,- -,29004812,30977301,38678876,44871122,59695271,61482536,67915487,79490347,91375110
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,16547253,15942839,16188549,14727114,15798444,17183195,20335100,22305288,21770200,- -,- -,29004812,30977301,38678876,44871122,59695271,61482536,67915487,79490347,91375110
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000110465908034128/0001104659-08-034128-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000119983513000141/0001199835-13-000141-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983514000112/0001199835-14-000112-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983515000073/0001199835-15-000073-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983516000651/0001199835-16-000651-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495417002343/0001654954-17-002343-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495418002934/0001654954-18-002934-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495419003037/0001654954-19-003037-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983520000018/0001199835-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495421002818/0001654954-21-002818-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983522000167/0001199835-22-000167-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,200000,- -,200000,100000,-100000,-92232,15062,58845,136475,138220,463682,1156939,1291774,1686661,708594,731470,411808,- -,- -,1423492,2161340,1901832,2628975,2993779,2858580,2510901,3394996,2445463
74,Depreciation and Amortization,200000,200000,300000,400000,500000,700000,- -,719046,778752,763077,713817,636889,556487,541848,576515,620180,674200,719906,- -,- -,748832,1074737,1274243,1335254,1544735,1705711,1799215,1812394,1952093
75,Deferred Income Tax,- -,- -,- -,- -,100000,- -,-65880,27868,36046,-3031,-12382,-17388,-46574,78000,128000,10507,279493,257000,- -,- -,-383000,20000,-431000,-472798,343773,-613000,-758379,292493,345408
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45108,56230,17976,8836,- -,- -,22839,21164,17685,748,- -,- -,- -,69721,39059
77,Change in Working Capital,-600000,- -,- -,- -,- -,- -,- -,- -,- -,5043269,343225,964719,437683,1022613,1350726,287753,1907821,96311,-11652056,-11391,10038432,-18621,4234757,2336645,7621223,-764042,-1844459,6328002,-3228736
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202807,599287,-282276,193531,- -,- -,140841,382733,72378,186948,-111411,592851,538886,-857572,-491799
79,Inventory,-400000,-100000,-400000,-1000000,-1000000,-400000,-1519795,-778317,-565791,-579909,182907,-511545,1448344,199066,-1224503,-2627775,-1565203,1457389,- -,- -,606428,77258,721892,1338194,2822938,1453515,-827971,-612893,-1388777
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537512,-287982,-74704,-447645,577779,60804,195772,-162828,-88073,1230308,-621866,-129966,805166,-136741
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,5043269,5386494,6351213,6788896,7811509,9162235,9449988,11357809,11454120,-197936,-209327,9829105,9810484,14045241,16381886,24003109,23239067,21394608,27722610,24493874
82,Other Non-Cash Items,- -,100000,-300000,-900000,-1400000,- -,39358,-978851,-422204,-6062123,-104178,-1403333,466306,-741249,-3316787,-1286670,-4561426,1514458,11652056,11391,-10157766,-252072,-4300540,-2740911,-9993611,-885136,2584168,-6476608,1019421
83,Cash Provided by Operating Activities,-300000,500000,- -,-300000,-700000,600000,-118754,-216875,451439,-122333,1078702,644569,2570841,2192986,470223,396594,-950466,3008319,- -,- -,1692829,3006548,2696977,3087913,2509899,2302113,4291446,5420998,2572708
84,CAPEX,-800000,-1000000,-1100000,-900000,-2000000,-900000,-767732,-482088,-379953,-191530,-336489,-395042,-248030,-400537,-863623,-2487404,-828037,-692065,- -,- -,-5970933,-2529512,-2451705,-4327804,-2782366,-4046161,-4534995,-4178821,-5905
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105887,- -,-250500,-526860,-480716,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,22094,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,1490706,- -,-153930,- -,15128,639632,-123043,-94608,-322268,-21428,-63902,45728,1107,-181142,-616042,-1186997,-662691,-473755,-652330,-1215704,-783653,-593157,-10295490
89,Cash Used for Investing Activites,-800000,-1000000,-1100000,-900000,-1900000,-800000,722974,-482088,-533883,-191530,-321361,244590,-371073,-495145,-1185891,-2465310,-781994,-643274,-1737593,-1726978,-6692862,-3716509,-3424896,-5328419,-3915412,-5261865,-5318648,-4771978,-10301395
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-257850,-267124,-377297,-580520,- -,- -,-209493,-314451,-329276,-348923,-444180,-397274,-417318,-522181,-450132
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,8574,- -,2550,421283,279895,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4589192
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105887,- -,-250500,-526860,-480716,- -,-7050176,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57611,-462529,-704049,-1018915,-1026063,-1116378,-708225
94,Other Financing Activites,500000,- -,1300000,1400000,1800000,300000,-534580,732798,334078,432962,-1175843,-253898,-3056952,-780857,444453,1602796,1759396,-265661,910223,-495387,1712320,598490,4856209,5274505,11104364,337151,6833468,7939118,4045382
95,Cash Used/Provided by Financing Activities,500000,- -,1300000,1400000,1800000,300000,-534580,732798,334078,441536,-1175843,-251348,-2635669,-500962,186603,1335672,1382099,-846181,910223,-495387,1396940,284039,4218822,3936193,9475419,-1079038,-1660089,6300559,7476217
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,500000,- -,1300000,1400000,1800000,300000,69640,33835,251634,127673,-418502,637811,-435901,1196879,-529065,-733044,- -,- -,- -,- -,-3607430,-425922,3490903,1695687,8069906,-4038790,-2687291,6949579,-252470
98,Cash at the End of Period,- -,- -,- -,- -,- -,100000,219041,252876,504510,632183,213681,851492,415591,1612470,- -,350361,- -,1518864,- -,- -,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755,13747285
99,Cash at the Beginning of Period,1600000,1000000,400000,600000,800000,- -,149401,219041,252876,504510,632183,213681,851492,415591,- -,1083405,350361,- -,- -,- -,4553113,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755
100,Free Cash Flow,-1100000,-500000,-1100000,-1200000,-2700000,-300000,-886486,-698963,71486,-313863,742213,249527,2322811,1792449,-393400,-2090810,-1778503,2316254,- -,- -,-4278104,477036,245272,-1239891,-272467,-1744048,-243549,1242177,2566803
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000110465908034128/0001104659-08-034128-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000119983513000141/0001199835-13-000141-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983514000112/0001199835-14-000112-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983515000073/0001199835-15-000073-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983516000651/0001199835-16-000651-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495417002343/0001654954-17-002343-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495418002934/0001654954-18-002934-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495419003037/0001654954-19-003037-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983520000018/0001199835-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000165495421002818/0001654954-21-002818-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983522000167/0001199835-22-000167-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
