,https://roic.ai/company/UFPI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,44571429,50156250,52875000,53169000,52584000,59751000,61911000,60258000,59322000,53766000,53283000,54096000,55122000,56460000,57168000,57222000,57768000,57696000,58227000,59340496,59836111,60157840,60597744,61073843,61288205,61658921,61735395,61694500,61694500
28,Weighted Average Shares Outstanding Diluted,44571429,50156250,52875000,53793103,54702000,61839000,63558000,61431000,61131000,55857000,55137000,56313000,57318000,58110000,58086000,57675000,58404000,58428000,58605000,59340496,60114419,60368182,60597744,61196976,61604124,61915833,61735395,61694500,61694500
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912767/000155837021002324/0001558370-21-002324-index.htm,https://www.sec.gov/Archives/edgar/data/912767/000155837022001761/0001558370-22-001761-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,100000,21500000,1300000,3200000,900000,4100000,2400000,22900000,17500000,17400000,25300000,46215000,51108000,43600000,13300000,67400000,43400000,11305000,7600000,- -,405000,87756000,34091000,28339000,27316000,168336000,436507000,286662000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6743000,10348000,11269000,14755000,18527000,24308000,36495000
33,Cash and Short-Term Investments,1300000,100000,21500000,1300000,3200000,900000,4100000,2400000,22900000,17500000,17400000,25300000,46215000,51108000,43600000,13300000,67400000,43400000,11305000,7600000,- -,405000,94499000,44439000,39608000,42071000,186863000,460815000,323157000
34,Net Receivables,30400000,30800000,24600000,33600000,35600000,62700000,70000000,64400000,86300000,105200000,137700000,151800000,185080000,148242000,142600000,138000000,107400000,126800000,134774000,170700000,207846000,207800000,230748000,293712000,334979000,364525000,381989000,476340000,737805000
35,Inventory,107300000,78700000,65900000,90400000,111200000,108400000,131500000,123200000,120800000,166000000,169600000,212900000,253769000,245118000,235900000,193500000,162100000,190400000,194697000,243200000,340048000,340000000,304918000,397227000,460308000,556220000,486874000,567294000,963320000
36,Other Current Assets,4900000,4700000,4300000,4700000,7600000,9600000,9900000,10400000,5000000,9500000,9400000,16500000,17114000,30667000,78400000,36100000,31600000,22200000,17418000,31700000,25112000,24795000,18067000,21060000,28592000,32462000,37346000,33913000,49194000
37,Total Current Assets,143900000,114300000,116300000,130000000,157600000,181600000,215500000,200400000,235000000,298200000,334100000,406500000,502178000,475135000,500500000,380900000,368500000,382800000,358194000,453200000,573006000,573000000,648232000,756438000,863487000,995278000,1093072000,1538362000,2073476000
38,PP&E,40000000,50700000,55300000,61700000,64700000,131300000,149100000,168000000,181700000,203100000,214200000,216300000,224333000,250335000,274300000,247200000,230100000,222200000,222467000,221300000,248269000,248300000,251150000,297851000,328629000,354710000,467341000,494407000,589020000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,105600000,119600000,126300000,125000000,123800000,- -,155177000,150300000,159300000,154700000,154700000,154702000,159300000,183062000,183100000,180990000,198535000,212644000,224117000,229536000,252193000,- -
40,Intangible Assets,- -,- -,- -,3100000,2500000,96200000,93200000,- -,3400000,4500000,6800000,7800000,142522000,25390000,23800000,22800000,19000000,18300000,13264000,10400000,8819000,8800000,17697000,29071000,42325000,48846000,55667000,79653000,- -
41,Intangible Assets,- -,- -,- -,3100000,2500000,96200000,93200000,105600000,123000000,130800000,131800000,131600000,142522000,180567000,174100000,182100000,173700000,173000000,167966000,169700000,191881000,191900000,198687000,227606000,254969000,272963000,285203000,331846000,431424000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8359000,13267000,16214000,- -,- -
43,Tax Assets,- -,- -,- -,2400000,1800000,8100000,8400000,9100000,9600000,13300000,16000000,18500000,- -,- -,24500000,17100000,21700000,20600000,- -,24900000,30933000,30900000,23838000,1546000,14079000,15687000,22880000,2413000,- -
44,Other Non-Current Assets,1800000,4100000,4100000,1700000,2800000,2600000,2400000,2200000,1900000,-6500000,-9200000,-10500000,7887000,7404000,-16400000,-11300000,-17100000,-9200000,15380000,-8600000,-20289000,-20300000,-14228000,8617000,-4846000,-4357000,4767000,37863000,151351000
45,Total Non-Current Assets,41800000,54800000,59400000,68900000,71800000,238200000,253100000,284900000,316200000,340700000,352800000,355900000,374742000,438306000,456500000,435100000,408400000,406600000,405813000,407300000,450794000,450800000,459447000,535620000,601190000,652270000,796405000,866529000,1171795000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,185700000,169100000,175700000,198900000,229400000,419800000,468600000,485300000,551200000,638900000,686900000,762400000,876920000,913441000,957000000,816000000,776900000,789400000,764007000,860500000,1023800000,1023800000,1107679000,1292058000,1464677000,1647548000,1889477000,2404891000,3245271000
48,Accounts Payable,15900000,14800000,14100000,15200000,34100000,38800000,46600000,35600000,46900000,57500000,81700000,87400000,106716000,94441000,83500000,63200000,49700000,59500000,49433000,66100000,89105000,89100000,95041000,124660000,140106000,136901000,142479000,211518000,319125000
49,Short-Term Debt,- -,- -,- -,- -,4500000,2000000,1500000,1300000,1400000,8253000,8137000,22033000,458000,680000,945000,15490000,673000,712000,40270000,- -,1079000,621000,1145000,22395000,27180000,27515000,18099000,16649000,59713000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8035000,8416000,7680000,9278000,- -,2020000,2858000,4682000,4978000,- -,4435000,3245000,6622000,- -,- -
52,Other Current Liabilities,82500000,21100000,22700000,24200000,29300000,41200000,43100000,43100000,62600000,47147000,53863000,74467000,96977000,97101000,70220000,63494000,62347000,49710000,43092000,46680000,82418000,81097000,103011000,124722000,131525000,142509000,186842000,235582000,397204000
53,Total Current Liabilities,98400000,35900000,36800000,39400000,67900000,82000000,91200000,80000000,110900000,112900000,143700000,183900000,204151000,192222000,162700000,150600000,120400000,119200000,132795000,114800000,175460000,175500000,204175000,271777000,303246000,310170000,354042000,463749000,776042000
54,Long-Term Debt,23000000,58800000,52500000,52200000,40200000,132100000,146900000,150800000,154400000,235300000,205000000,185100000,209039000,169417000,205100000,85700000,53200000,54600000,12200000,95800000,98645000,98600000,84750000,109059000,144674000,202130000,160867000,373116000,277567000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1500000,1900000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12914000,12697000,- -,- -,- -,- -,19049000,24930000,26788000,30933000,23838000,20817000,14079000,15687000,22880000,25266000,- -
57,Other Non-Current Liabilities,900000,900000,1000000,6500000,5400000,14100000,16000000,18800000,55000000,26200000,33100000,36600000,10387000,13544000,52500000,37800000,40100000,41100000,17364000,25270000,37213000,33067000,42161000,29939000,43202000,46158000,107973000,59608000,175093000
58,Total Non-Current Liabilities,25400000,61600000,55400000,58700000,45600000,146200000,162900000,169600000,209400000,261500000,238100000,221700000,232340000,195658000,257600000,123500000,93300000,95700000,48613000,146000000,162646000,162600000,150749000,159815000,201955000,263975000,291720000,457990000,452660000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80167000,78058000,- -
61,Total Liabilities,123800000,97500000,92200000,98100000,113500000,228200000,254100000,249600000,320300000,374400000,381800000,405600000,436491000,387880000,420300000,274100000,213700000,214900000,181408000,260800000,338106000,338100000,354924000,431592000,505201000,574145000,645762000,921739000,1228702000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,17400000,17600000,20700000,20200000,19700000,17800000,17700000,17800000,18000000,18403000,- -,18900000,19100000,19300000,19300000,- -,19800000,19984000,20000000,20142000,20342000,61192000,60884000,61409000,61206000,- -
64,Retained Earnings,17400000,27300000,39500000,56400000,70300000,95200000,115300000,136600000,132700000,164200000,200700000,247400000,312878000,380931000,391300000,393300000,409300000,414100000,410848000,426900000,502334000,502300000,565636000,649135000,736212000,839917000,995022000,1182680000,- -
65,Other Comprehensive Income/Loss,-26600000,-30700000,-36500000,-3000000,-3600000,-3800000,800000,-800000,-1200000,-1102000,1001000,2071000,3199000,1198000,3139000,2353000,3633000,4165000,3600000,4258000,3466000,1348000,-4585000,-5630000,144000,-5938000,-4889000,-1794000,- -
66,Other Total Stockholders Equity,71100000,75000000,80500000,30000000,31600000,79500000,78300000,80300000,81600000,82202000,85248000,89298000,97372000,- -,123329000,127130000,130985000,136944000,161957000,148810000,114839000,162046000,171562000,185333000,161928000,178540000,192173000,218224000,- -
67,Total Stockholders Equity,61900000,71600000,83500000,100800000,115900000,191600000,214600000,235800000,230900000,263000000,304749000,356769000,431852000,514742000,536668000,541883000,563218000,574509000,576805000,599768000,640623000,685694000,752755000,849180000,959476000,1073403000,1243715000,1460316000,2016569000
68,Total Liabilities And Stockholders Equity,185700000,169100000,175700000,198900000,229400000,419800000,468700000,485400000,551200000,637400000,686549000,762369000,868343000,902622000,956968000,815983000,776918000,789409000,758213000,860568000,978729000,1023794000,1107679000,1280772000,1464677000,1647548000,1889477000,2382055000,3245271000
69,Minority Interest,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,1500000,351000,31000,8577000,10819000,32000,17000,-18000,-9000,5794000,-68000,45071000,6000,- -,11286000,- -,- -,- -,22836000,- -
70,Total Liabilities & Equity,185700000,169100000,175700000,198900000,229400000,419800000,468600000,485300000,551200000,638900000,686900000,762400000,876920000,913441000,957000000,816000000,776900000,789400000,764007000,860500000,1023800000,1023800000,1107679000,1292058000,1464677000,1647548000,1889477000,2404891000,3245271000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912767/000155837021002324/0001558370-21-002324-index.htm,https://www.sec.gov/Archives/edgar/data/912767/000155837022001761/0001558370-22-001761-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10400000,10700000,14100000,17800000,17000000,26400000,31400000,30438000,33142000,36637000,40119000,48603000,67373000,70125000,21045000,4343000,24272000,17411000,4549000,23934000,43082000,57551000,80595000,101179000,119512000,148598000,179650000,246778000,535640000
74,Depreciation and Amortization,4700000,5700000,7600000,8300000,10000000,15000000,18200000,21462000,24476000,24639000,27547000,30836000,34796000,39522000,47581000,47367000,41225000,37348000,35987000,33379000,33564000,36323000,41241000,43618000,53396000,61342000,66819000,72680000,98132000
75,Deferred Income Tax,-1500000,900000,1100000,-600000,-600000,1300000,-800000,237000,4587000,3102000,1746000,790000,-7377000,-1100000,-4134000,-7747000,4744000,-2708000,-1939000,2526000,4453000,4926000,-1369000,2464000,-8629000,857000,7176000,1857000,5653000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1136000,1706000,2418000,1361000,1367000,1932000,2013000,1955000,2335000,3805000,3574000,4007000,4034000,11224000
77,Change in Working Capital,-41400000,32900000,1100000,11100000,-900000,9900000,24700000,-3900000,3700000,61200000,5100000,32200000,75427000,-15114000,54887000,-107500000,17800000,15500000,-38201000,113001000,59146000,-46000,46557000,40604000,75580000,124867000,53922000,335583000,-142688000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4287000,31071000,-18428000,-7043000,-32274000,-17886000,-9710000,-26007000,-5119000,-30787000,-8512000,-16872000,-87552000,-85439000
79,Inventory,-31200000,28600000,12800000,-19500000,-20800000,20100000,-23100000,13001000,10051000,-40780000,-3555000,-42817000,-36501000,22262000,27795000,42922000,31522000,-24946000,-4496000,-45529000,-42287000,-49575000,34139000,-3245000,-49262000,-84304000,73120000,-76022000,-260301000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20153000,- -,9646000,-9964000,16281000,6756000,15390000,4798000,11259000,21159000,-5213000,-24132000,62405000,78060000
81,Other Working Capital,45500000,78400000,79500000,90600000,89700000,99600000,124300000,120400000,124100000,185300000,190400000,222600000,298027000,282913000,337800000,230300000,248100000,263600000,225399000,338400000,397546000,397500000,444057000,484661000,560241000,685108000,739030000,1074613000,- -
82,Other Non-Cash Items,300000,-7200000,17800000,-32300000,-6400000,14000000,-41000000,18768000,12151000,-108949000,-4137000,-62195000,-96087000,58889000,-32301000,150952000,38599000,-40632000,9499000,-179928000,-88816000,-27647000,-183000,-17680000,-107081000,-222553000,37717000,-324455000,4516000
83,Cash Provided by Operating Activities,-27500000,43000000,41700000,4300000,19100000,66600000,32500000,67005000,78056000,16629000,70375000,50234000,74132000,152322000,87078000,88551000,128346000,29337000,11256000,-5721000,53361000,73120000,168796000,172520000,136583000,116685000,349291000,336477000,512477000
84,CAPEX,-14500000,-18000000,-14300000,-9100000,-13600000,-126600000,-35400000,-29436000,-22748000,-31351000,-40578000,-40722000,-40233000,-43504000,-39360000,-18944000,-15604000,-31539000,-33107000,-30439000,-40166000,-45305000,-43522000,-53762000,-71116000,-95862000,-84933000,-89182000,-151166000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-32557000,-49534000,-17540000,-787000,-10075000,-20747000,-71814000,-57087000,-23338000,- -,-6529000,- -,-16974000,-11478000,-34641000,-3761000,-80969000,-60587000,-54017000,-39122000,-65255000,-475960000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-673000,- -,- -,- -,- -,- -,-7858000,-5666000,-13518000,-13338000,-13352000,-28054000,-23797000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1115000,2568000,5103000,3678000,9828000,24805000,14882000
88,Other Investing Activites,300000,1300000,1600000,-10000000,800000,-1500000,5400000,-698000,3788000,119000,9953000,13541000,5571000,3613000,4476000,30915000,12948000,-9294000,-68000,13095000,7898000,12883000,7209000,-89640000,2459000,38307000,-14458000,2968000,24854000
89,Cash Used for Investing Activites,-14200000,-16700000,-12700000,-19100000,-12800000,-128100000,-30000000,-62691000,-68494000,-48772000,-31412000,-37256000,-55409000,-111705000,-91971000,-11367000,-3329000,-42773000,-33000000,-34223000,-43603000,-67063000,-46817000,-227469000,-137659000,-121232000,-142037000,-154718000,-611187000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-104972000,-49464000,-744000,-2854000,-42774000,-11090000,-197825000,-311271000,-107294000,-736072000,-754036000,-463673000,-6498000,-888695000
91,Common Stock Issued,33700000,100000,- -,300000,600000,500000,900000,480000,870000,843000,1281000,2860000,4487000,5938000,3539000,2957000,2420000,2333000,2971000,2061000,2144000,541000,1074000,536000,660000,1026000,1093000,1395000,2116000
92,Common Stock Repurchased,-3200000,- -,- -,-800000,-1100000,- -,-10500000,-8150000,-1536000,-39687000,-2029000,-129000,- -,- -,-8777000,- -,-3379000,-6226000,- -,- -,- -,-4866000,-800000,- -,-12977000,-24629000,- -,-29212000,- -
93,Dividends Paid,-800000,-900000,-1800000,-1000000,-1100000,-1500000,-1500000,-1605000,-1683000,-2950000,-2522000,-2919000,-3139000,-2072000,-2185000,-5938000,-5287000,-7727000,-7818000,-7905000,-8166000,-12205000,-16507000,-17680000,-19607000,-22072000,-24549000,-30669000,-40209000
94,Other Financing Activites,13200000,-26700000,-5900000,-3900000,-2800000,60300000,11700000,3247000,13282000,64504000,-35797000,-4946000,870000,-39590000,4813000,501000,-425000,1753000,-2613000,85313000,-1310000,209150000,294502000,127649000,762749000,804104000,419861000,150205000,881782000
95,Cash Used/Provided by Financing Activities,42900000,-27500000,-7700000,-5400000,-4400000,59300000,600000,-6028000,10933000,22710000,-39067000,-5134000,2218000,-35724000,-2610000,-107452000,-56135000,-10611000,-10314000,36695000,-18422000,-5205000,-33002000,3211000,-5247000,4393000,-67268000,85221000,-45006000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244000,-62000,-852000,-1221000,-1927000,650000,-464000,482000,962000,-1669000
97,Net Change In Cash,42900000,-27500000,-7700000,-5400000,-4400000,59300000,3200000,-1714000,20495000,-9433000,-104000,7844000,20941000,4893000,-7503000,-30268000,68882000,-24047000,-32058000,-3005000,-8726000,-5205000,-33002000,-53665000,-5673000,-618000,140468000,267942000,-145385000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,4100000,2392000,22887000,13454000,17430000,25274000,46215000,51108000,43605000,13337000,82219000,43363000,11305000,7647000,-1079000,- -,87756000,34091000,28816000,28198000,168666000,436608000,291223000
99,Cash at the Beginning of Period,100000,1300000,100000,21500000,1300000,3200000,900000,4106000,2392000,22887000,17534000,17430000,25274000,46215000,51108000,43605000,13337000,67410000,43363000,10652000,7647000,- -,- -,87756000,34489000,28816000,28198000,168666000,436608000
100,Free Cash Flow,-42000000,25000000,27400000,-4800000,5500000,-60000000,-2900000,37569000,55308000,-14722000,29797000,9512000,33899000,108818000,47718000,69607000,112742000,-2202000,-21851000,-36160000,13195000,27815000,125274000,118758000,65467000,20823000,264358000,247295000,361311000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912767/000155837021002324/0001558370-21-002324-index.htm,https://www.sec.gov/Archives/edgar/data/912767/000155837022001761/0001558370-22-001761-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
