,https://roic.ai/company/IRMD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1325618/000110465915021769/0001104659-15-021769-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465916104068/0001104659-16-104068-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465917015600/0001104659-17-015600-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465918015709/0001104659-18-015709-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465919013242/0001104659-19-013242-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465920029891/0001104659-20-029891-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465921032380/0001104659-21-032380-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465922030317/0001104659-22-030317-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1697306,2461559,9454150,19368114,17713871,18205976,28027688,43481781,50068728,61999550
32,Short-Term Investments,250794,246203,7913793,7602204,7965521,8135123,6349915,2768287,1909368,501855
33,Cash and Short-Term Investments,1948100,2707762,17367943,26970318,25679392,26341099,34377603,46250068,51978096,62501405
34,Net Receivables,1585494,1982083,1960214,3863632,3775699,3778929,4209992,7293303,4574932,5136599
35,Inventory,1385986,1340331,2125838,2383158,3886590,4210846,4059443,3641561,3933987,4299799
36,Other Current Assets,77218,354097,713820,733371,826591,776736,1894679,1778749,3248877,4307154
37,Total Current Assets,4996798,6384273,22167815,33950479,34168272,35107610,44541717,58963681,63735892,76244957
38,PP&E,265617,327343,794835,905622,1456149,1868851,1869561,5009679,4835178,4551460
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,276029,267024,250836,175513,918712,885502,832519,860087,960885,- -
41,Intangible Assets,276029,267024,250836,175513,918712,885502,832519,860087,960885,1118584
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,12528,- -,76557,88398,477531,950375,1088702,1663415,1272672,765096
44,Other Non-Current Assets,3240,8231,19676,124195,173820,200196,109759,232002,261993,201325
45,Total Non-Current Assets,557414,602598,1141904,1293728,3026212,3904924,3900541,7765183,7330728,6636465
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5554212,6986871,23309719,35244207,37194484,39012534,48442258,66728864,71066620,82881422
48,Accounts Payable,408424,427474,629167,1005460,1120830,656723,772470,993742,657054,782903
49,Short-Term Debt,519730,6333,- -,- -,- -,- -,- -,240843,255698,276568
50,Tax Payable,407610,143758,65790,30687,311100,122233,133000,596576,103981,140315
51,Deferred Revenue,389398,207395,308341,536924,1033146,1617571,1798784,1671420,1949259,2553096
52,Other Current Liabilities,1013802,811122,1338613,1353016,1507905,1803678,2118266,2952967,2055252,3210190
53,Total Current Liabilities,2331354,1452324,2276121,2895400,3661881,4077972,4689520,5858972,4917263,6822757
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2205516
55,Deferred Revenue,2658,57676,142902,415782,1643478,2003685,1807005,2630467,2305413,1679343
56,Deferred Tax Liabilities,- -,54087,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2715030,2459332,- -
58,Total Non-Current Liabilities,2658,111763,142902,415782,1643478,2003685,1807005,5345497,4764745,3884859
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2955873,2715030,2482084
61,Total Liabilities,2334012,1564087,2419023,3311182,5305359,6081657,6496525,11204469,9682008,10707616
62,Preferred Stock,140,140,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,700,700,1082,1118,1072,1060,1099,1177,1231,1254
64,Retained Earnings,1137993,3074883,5125249,12655169,19869714,20355545,26669491,36300450,37669451,46994922
65,Other Comprehensive Income/Loss,7149,924,-21473,-55285,-36849,-48909,-42192,30374,37087,17012
66,Other Total Stockholders Equity,2074218,2346137,15785838,19332023,12055188,12623181,15317335,19192394,23676843,- -
67,Total Stockholders Equity,3220200,5422784,20890696,31933025,31889125,32930877,41945733,55524395,61384612,72173806
68,Total Liabilities And Stockholders Equity,5554212,6986871,23309719,35244207,37194484,39012534,48442258,66728864,71066620,82881422
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5554212,6986871,23309719,35244207,37194484,39012534,48442258,66728864,71066620,82881422
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1325618/000110465915021769/0001104659-15-021769-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465916104068/0001104659-16-104068-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465917015600/0001104659-17-015600-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465918015709/0001104659-18-015709-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465919013242/0001104659-19-013242-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465920029891/0001104659-20-029891-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465921032380/0001104659-21-032380-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465922030317/0001104659-22-030317-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,966085,1936890,2050366,7529920,7214545,499764,6303450,9630959,1369001,9325471
74,Depreciation and Amortization,106281,139040,149056,223942,248299,1308738,1105003,1242325,1338824,1406823
75,Deferred Income Tax,- -,- -,- -,- -,- -,-150657,-144430,-596755,389932,523607
76,Stock Based Compensation,173240,271919,724063,1220118,1841901,2454363,1764319,1854965,3962021,1459373
77,Change in Working Capital,263980,2266505,14959745,11163385,-548688,523247,8822559,13252512,5713920,-1576162
78,Accounts Receivable,-1154176,-396589,21869,-1906971,75297,-201591,-446896,-3114649,2690487,-575543
79,Inventory,-116828,45655,-847576,-308409,-1483361,-334113,-121591,123680,-282904,-393316
80,Accounts Payable,337317,19050,201693,376293,1113,-523449,34161,149319,-403567,30414
81,Other Working Capital,2665444,4931949,19891694,31055079,30506391,31029638,39852197,53104709,58818629,66888
82,Other Non-Cash Items,-430,-3139957,-15297510,-12488035,650263,-1219537,-10474886,-15151273,-6956202,119044
83,Cash Provided by Operating Activities,1509156,1474397,2585720,7649330,9406320,3415918,7376015,10232733,5817496,11258156
84,CAPEX,-161561,-191761,-606288,-314839,-1524295,-824763,-264665,-485812,-636746,-741759
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4707,-4986,-7951497,- -,-4992626,-2693739,-1124512,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,255109,253370,4575140,2495004,2905000,3687000,883715,1390000
88,Other Investing Activites,-48621,-28586,-22311,-16116,-743486,-49189,-36350,-117531,-193743,-259434
89,Cash Used for Investing Activites,-166268,-196747,-8302676,-61469,-1941781,-1023498,1515823,3201188,246969,648241
90,Debt Repayment,-238532,-513397,-6333,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,14490000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-9969468,-1818541,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-1774120,2326103,850686,-81774,929874,2020172,522482,24425
95,Cash Used/Provided by Financing Activities,-238532,-513397,12709547,2326103,-9118782,-1900315,929874,2020172,522482,24425
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1104356,764253,6992591,9913964,-1654243,492105,9821712,15454093,6586947,11930822
98,Cash at the End of Period,1697306,2461559,9454150,19368114,17713871,18205976,28027688,43481781,50068728,61999550
99,Cash at the Beginning of Period,592950,1697306,2461559,9454150,19368114,17713871,18205976,28027688,43481781,50068728
100,Free Cash Flow,1347595,1282636,1979432,7334491,7882025,2591155,7111350,9746921,5180750,10516397
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1325618/000110465915021769/0001104659-15-021769-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465916104068/0001104659-16-104068-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465917015600/0001104659-17-015600-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465918015709/0001104659-18-015709-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465919013242/0001104659-19-013242-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465920029891/0001104659-20-029891-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465921032380/0001104659-21-032380-index.htm,https://www.sec.gov/Archives/edgar/data/1325618/000110465922030317/0001104659-22-030317-index.htm
102,false,,,,,,,,,,
