,https://roic.ai/company/CCTC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
63,Common Stock,- -,- -,- -,10000,10000,10000,259,404,606,1011,1489,1745,1815,3
64,Retained Earnings,-40650000,-139340000,-181340000,-196310000,-199600000,-208920000,-215247221,-222822254,-303154237,-266598212,-268411964,-273971664,-279002112,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1019,-1019,-1019,-1019,-1019,-8000,-21019,- -
66,Other Total Stockholders Equity,39620000,136810000,177740000,193810000,196550000,209970000,213289036,218936683,222261185,235703131,255322717,259328220,260148569,-23515915
67,Total Stockholders Equity,-1030000,-2530000,-3600000,-2490000,-3040000,1060000,-1958945,-3886186,-80893465,-30895089,-13088777,-14649699,-18872747,-23515912
68,Total Liabilities And Stockholders Equity,10000,10000,10000,10000,30000,2640000,3236115,3214074,123066,100444,11773,53745,147501,-23492388
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23492396
70,Total Liabilities & Equity,10000,10000,10000,10000,30000,2640000,3236115,3214074,123066,100444,11773,53745,147501,8
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1445109/000117935010000025/0001179350-10-000025-index.html,- -,https://www.sec.gov/Archives/edgar/data/1445109/000118518512000568/0001185185-12-000568-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518513000603/0001185185-13-000603-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518514000742/0001185185-14-000742-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518515002637/0001185185-15-002637-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518516004795/0001185185-16-004795-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518517000939/0001185185-17-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518518000443/0001185185-18-000443-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518519000326/0001185185-19-000326-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518520000264/0001185185-20-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518521000419/0001185185-21-000419-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-39130000,-98690000,-14010000,-14970000,-3290000,-9320000,-6330000,-7575030,-80331980,36556030,-1813750,-5559700,-5030450,-6324271
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,128,- -,- -,- -,- -,8000,12000,12000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,14273,1909590,639866,3037735,7756186,194700,- -,- -,- -
77,Change in Working Capital,490000,-460000,-2110000,2310000,-1760000,4110000,1572794,1930282,1201756,1412505,2208835,1050179,1446085,2922797
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-730000,-360000,1110000,319774,-19011,336417,228531,265254,671019,840896,-796908,-115284,1010068
81,Other Working Capital,-1030000,-1490000,-3600000,-1290000,-3050000,1060000,- -,- -,- -,- -,100000,- -,- -,- -
82,Other Non-Cash Items,38240000,99050000,16060000,12200000,4270000,2275727,495325,3852899,74916313,-48047850,-3572056,1725793,1966584,2515355
83,Cash Provided by Operating Activities,-400000,-100000,-60000,-460000,-780000,-2920000,-2352163,-1151983,-1176176,-2323129,-2982271,-2775728,-1605781,-874119
84,CAPEX,- -,- -,- -,- -,- -,- -,-2626556,-12471,-2585171,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300,- -,- -
89,Cash Used for Investing Activites,-10000,- -,- -,- -,- -,- -,-2626556,-12471,-2585171,- -,- -,18300,- -,- -
90,Debt Repayment,- -,- -,- -,- -,-50000,-1040303,-89927,-164102,-1475397,-925094,-73090,-32500,-755562,-174000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,842500,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,80000,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,410000,100000,70000,370000,830000,2520303,1686701,1294044,5358680,3225601,2966690,2803900,2427880,960040
95,Cash Used/Provided by Financing Activities,410000,100000,70000,450000,780000,5480000,2439274,1129942,3883283,2300507,2893600,2771400,1672318,786040
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,10000,- -,- -,2570000,-2539445,-34512,121936,-22622,-88671,13972,66537,-88079
98,Cash at the End of Period,- -,- -,10000,10000,10000,2580000,35642,1130,123066,100444,11773,25745,92282,4203
99,Cash at the Beginning of Period,- -,- -,- -,10000,10000,10000,2575087,35642,1130,123066,100444,11773,25745,92282
100,Free Cash Flow,-400000,-100000,-60000,-460000,-780000,-2920000,-4978719,-1164454,-3761347,-2323129,-2982271,-2775728,-1605781,-874119
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1445109/000117935010000025/0001179350-10-000025-index.html,- -,https://www.sec.gov/Archives/edgar/data/1445109/000118518512000568/0001185185-12-000568-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518513000603/0001185185-13-000603-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518514000742/0001185185-14-000742-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518515002637/0001185185-15-002637-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518516004795/0001185185-16-004795-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518517000939/0001185185-17-000939-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518518000443/0001185185-18-000443-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518519000326/0001185185-19-000326-index.html,https://www.sec.gov/Archives/edgar/data/1445109/000118518520000264/0001185185-20-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1445109/000118518521000419/0001185185-21-000419-index.htm
102,false,,,,,,,,,,,,,,
