,https://roic.ai/company/TNET,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,-110851000,-467209000,-468127000,-485595000,-499938000,-377000000,-266000000,-219000000,-144000000,74000000
65,Other Comprehensive Income/Loss,- -,-195000,-191000,-314000,-721000,-604000,-104000000,-130000000,-160000000,4000000,-1000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,104000000,130000000,160000000,- -,- -
67,Total Stockholders Equity,- -,-65558000,-270362000,-25759000,8081000,34590000,206000000,375000000,475000000,607000000,881000000
68,Total Liabilities And Stockholders Equity,- -,887727000,1434738000,2347764000,2098230000,2095143000,2593000000,2435000000,2748000000,3043000000,3309000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,887727000,1434738000,2347764000,2098230000,2095143000,2593000000,2435000000,2748000000,3043000000,3309000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/937098/000156459015002136/0001564590-15-002136-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709816000114/0000937098-16-000114-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709817000062/0000937098-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709818000055/0000937098-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709819000030/0000937098-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709820000067/0000937098-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709821000027/0000937098-21-000027-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,14762000,31832000,13147000,15497000,31695000,61406000,178000000,192000000,212000000,272000000,338000000
74,Depreciation and Amortization,20303000,31196000,73838000,84403000,52817000,39175000,35000000,46000000,57000000,81000000,94000000
75,Deferred Income Tax,3990000,7658000,-6680000,43842000,14954000,41772000,-25000000,1000000,-7000000,-42000000,-9000000
76,Stock Based Compensation,4825000,4360000,6113000,10660000,17923000,26497000,32000000,44000000,41000000,43000000,50000000
77,Change in Working Capital,4153000,12471000,37681000,-9484000,56851000,44343000,77229000,-13000000,7000000,62000000,-260000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,10000000,5000000,-7000000,3000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-506000,-150000,976000,5212000,287000,9158000,22000000,-8000000,-15000000,19000000,33000000
81,Other Working Capital,14909000,27380000,65061000,55577000,112428000,156771000,234000000,221000000,228000000,290000000,-42000000
82,Other Non-Cash Items,-1461000,-6975000,-23378000,8920000,-43641000,-68661000,-44229000,-374000000,161000000,130000000,5000000
83,Cash Provided by Operating Activities,46572000,80542000,100721000,153838000,130599000,144532000,253000000,-104000000,471000000,546000000,218000000
84,CAPEX,-7154000,-9658000,-10690000,-20552000,-18557000,-39650000,-38000000,-43000000,-45000000,-36000000,-40000000
85,Acquisitions Net,- -,-225817000,-194998000,- -,-4750000,-300000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-28497000,-7750000,-24875000,-41939000,-14959000,- -,-258000000,-302000000,-327000000,-444000000
87,Sales/Maturities of Investments,- -,1364000,1000000,- -,27557000,27787000,14000000,101000000,159000000,224000000,349000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,- -
89,Cash Used for Investing Activites,-7154000,-262608000,-212438000,-45427000,-37689000,-27122000,-24000000,-200000000,-188000000,-151000000,-135000000
90,Debt Repayment,-1532000,-106506000,-452457000,-273856000,-45562000,-37078000,-38000000,-22000000,-22000000,-256000000,-370000000
91,Common Stock Issued,4774000,5391000,7109000,223382000,12481000,9778000,16000000,14000000,11000000,10000000,11000000
92,Common Stock Repurchased,-5815000,-638000,-14606000,-16440000,-48364000,-71604000,-44000000,-61000000,-140000000,-178000000,-94000000
93,Dividends Paid,-50880000,-75353000,-357582000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,127000,391296000,959913000,-1397000,20693000,-467000,-11000000,-16000000,-25000000,216000000,465000000
95,Cash Used/Provided by Financing Activities,-53326000,214190000,142377000,-68311000,-60752000,-99371000,-77000000,-85000000,-176000000,-208000000,12000000
96,Effect of Forex Changes on Cash,-7000,5000,-53000,-115000,-321000,-213000,- -,- -,- -,- -,- -
97,Net Change In Cash,-13915000,32129000,30607000,39985000,31837000,17826000,152000000,-389000000,107000000,187000000,95000000
98,Cash at the End of Period,31620000,63749000,94356000,134341000,166178000,184004000,336000000,1349000000,1456000000,1643000000,1738000000
99,Cash at the Beginning of Period,45535000,31620000,63749000,94356000,134341000,166178000,184000000,1738000000,1349000000,1456000000,1643000000
100,Free Cash Flow,39418000,70884000,90031000,133286000,112042000,104882000,215000000,-147000000,426000000,510000000,178000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/937098/000156459015002136/0001564590-15-002136-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709816000114/0000937098-16-000114-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709817000062/0000937098-17-000062-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709818000055/0000937098-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709819000030/0000937098-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709820000067/0000937098-20-000067-index.htm,https://www.sec.gov/Archives/edgar/data/937098/000093709821000027/0000937098-21-000027-index.htm,- -
102,false,,,,,,,,,,,
