,https://roic.ai/company/ROCC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),4800000,2900000,- -,1500000,2000000,2300000,2800000,1900000,1900000,1600000,2000000,1400000,- -,2000000,- -,7878000,2070000,2116000,5304000,7672000,15318000,24832000,37419000,44261000,68884000,53679000,56216000,56643000,75428000,84634000,86202000,- -,4431000,23726000,33200000,27918000,30913000
14,Depreciation and Amortization,5500000,4400000,5500000,5500000,6100000,7100000,8500000,4200000,5200000,6300000,7700000,6800000,6500000,7200000,8400000,12027000,19579000,30639000,50109000,54952000,76937000,94217000,129523000,192236000,223367000,134700000,162534000,206336000,245594000,300299000,334479000,- -,48649000,127961000,174569000,140673000,131657000
15,EBITDA,26700000,27500000,17700000,12700000,20100000,24300000,12700000,-16000000,17800000,18800000,21600000,22300000,26800000,21200000,27200000,79135000,75300000,51794000,102301000,117826000,195012000,244946000,248197000,434539000,102356000,137105000,-2320000,89688000,100256000,-156337000,-1167651000,- -,80799000,376995000,280495000,-144269000,204359000
16,EBITDA ratio,0.4140,0.5567,0.3605,0.2072,0.3750,0.4841,0.2587,-0.7882,0.5345,0.6104,0.9076,0.6540,0.6473,0.6235,0.5775,0.9745,0.7797,0.4668,0.5643,0.5158,0.2894,0.3249,0.2910,0.3559,0.1256,0.5389,-0.0076,0.2867,0.2324,-0.3030,-3.8246,- -,0.5048,0.8552,0.5953,-0.5279,0.3543
17,Operating Income,-3700000,9800000,8700000,16700000,6600000,7600000,2000000,2000000,6900000,7700000,-7300000,13200000,18800000,6000000,20700000,40841000,1180000,30791000,62101000,80796000,162017000,170532000,192624000,256823000,-98202000,-98808000,-155419000,-147091000,-92046000,-615985000,-1565041000,- -,51811000,208755000,176821000,-369175000,279404000
18,Operating Income ratio,-0.0574,0.1984,0.1772,0.2724,0.1231,0.1514,0.0407,0.0985,0.2072,0.2500,-0.3067,0.3871,0.4541,0.1765,0.4395,0.5029,0.0122,0.2775,0.3426,0.3537,0.2404,0.2262,0.2258,0.2104,-0.1205,-0.3883,-0.5079,-0.4701,-0.2133,-1.1938,-5.1263,- -,0.3237,0.4735,0.3752,-1.3510,0.4844
19,Total Other Income Expenses (Gains),20100000,14200000,3500000,-11000000,5400000,7300000,-600000,-14900000,-1900000,3200000,19200000,900000,1500000,6000000,-1900000,18389000,54234000,-77000,-4066000,-6571000,-28871000,-1617000,-81050000,1655000,-54418000,-9370000,-65651000,-26200000,-128720000,74715000,-23291000,- -,-24092000,16553000,-104095000,56315000,-178926000
20,Income Before Tax,16400000,24000000,12200000,5700000,12000000,14900000,1400000,-12900000,5000000,10900000,11900000,14100000,20300000,12000000,18800000,59230000,55414000,30714000,58035000,74225000,133146000,168915000,111574000,258478000,-152620000,-108178000,-221070000,-173291000,-220766000,-541270000,-1588332000,- -,27719000,225308000,72726000,-312860000,100478000
21,Income Before Tax Ratio,0.2543,0.4858,0.2485,0.0930,0.2239,0.2968,0.0285,-0.6355,0.1502,0.3539,0.5000,0.4135,0.4903,0.3529,0.3992,0.7294,0.5738,0.2768,0.3201,0.3249,0.1976,0.2240,0.1308,0.2117,-0.1872,-0.4252,-0.7224,-0.5539,-0.5117,-1.0490,-5.2026,- -,0.1732,0.5111,0.1543,-1.1449,0.1742
22,Income Tax expense (Gain),5700000,10300000,3600000,700000,4000000,4300000,200000,-5100000,500000,-2600000,1800000,1100000,4300000,2400000,4300000,19965000,19314000,6935000,18366000,21847000,40669000,49988000,30501000,73874000,-75252000,-42851000,-88155000,-68702000,-77696000,-131678000,-5371000,- -,-4943000,523000,2137000,-2303000,1560000
23,Net Income,10700000,9900000,8600000,5000000,8000000,10600000,1200000,-17000000,10200000,13500000,10100000,13000000,16000000,9600000,14500000,39265000,34337000,12104000,28522000,33355000,62088000,75909000,50754000,124168000,-114643000,-8423000,-132915000,-104589000,-143070000,-409592000,-1582961000,- -,32662000,224785000,70589000,-310557000,40229000
24,Net Income ratio,0.1659,0.2004,0.1752,0.0816,0.1493,0.2112,0.0244,-0.8374,0.3063,0.4383,0.4244,0.3812,0.3865,0.2824,0.3079,0.4835,0.3556,0.1091,0.1573,0.1460,0.0921,0.1007,0.0595,0.1017,-0.1406,-0.0331,-0.4344,-0.3343,-0.3316,-0.7938,-5.1850,- -,0.2041,0.5099,0.1498,-1.1365,0.0697
25,EPS,0.35,0.32,0.28,0.17,0.24,0.30,0.04,-0.50,0.30,3.15,2.36,3.00,1.93,1.15,1.73,4.76,3.92,1.35,3.17,1.82,3.35,4.06,1.33,2.97,-2.62,-0.19,-2.90,-2.22,-2.41,-6.26,-21.81,- -,2.18,14.93,4.67,-20.46,2.41
26,EPS Diluted,0.35,0.32,0.28,0.17,0.24,0.30,0.04,-0.50,0.30,3.15,2.36,3.00,1.88,1.13,1.71,4.69,3.86,1.34,3.15,1.81,3.31,4.02,1.32,2.95,-2.62,-0.19,-2.90,-2.22,-2.41,-6.26,-21.81,- -,2.17,14.70,4.67,-20.46,2.34
27,Weighted Average Shares Outstanding,30571429,31181102,30714286,30303030,32653061,34754098,32000000,34000000,34000000,4280000,4269000,4347000,8302000,8310000,8406000,8241000,8770000,8930000,8988000,18306000,18546000,18681000,38061000,41760000,43811000,45553000,45784000,47919000,62335000,68887000,73639000,73639000,14996000,15059000,15110000,15176000,16695000
28,Weighted Average Shares Outstanding Diluted,30571429,31181102,30714286,30303030,32653061,34754098,32000000,34000000,34000000,34188034,4269000,4347000,8510638,8495575,8480000,8371000,8896000,8974000,9056000,18467000,18732000,18866000,38358000,42031000,43811000,45553000,45784000,47919000,62335000,68887000,73639000,73639000,15063000,15292000,15126000,15176000,17165000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77159/000007715921000016/0000077159-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/77159/000007715922000006/0000077159-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13341000,18008000,25471000,25913000,20338000,34527000,18338000,98331000,120911000,7512000,17650000,23474000,6252000,11955000,6761000,11017000,17864000,7798000,13020000,23681000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13341000,18008000,25471000,25913000,20338000,34527000,18338000,98331000,120911000,7512000,17650000,23474000,6252000,11955000,6761000,11017000,17864000,7798000,13020000,23681000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20893000,31789000,44392000,133086000,138880000,179120000,149241000,124804000,72378000,103897000,62978000,194403000,189627000,47965000,29095000,69821000,68509000,71952000,42562000,117557000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18468000,12204000,- -,14251000,4033000,2271000,5802000,2878000,2125000,5146000,4061000,2989000,3856000,10305000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1503000,2108000,14376000,19186000,33165000,30425000,77471000,63903000,21051000,19686000,11854000,13548000,133346000,102182000,903000,1104000,35996000,5600000,93982000,34608000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35737000,51905000,84239000,178185000,192383000,244072000,263518000,299242000,214340000,145346000,96515000,233696000,335027000,164980000,38884000,87088000,126430000,88339000,153420000,186151000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545952000,620934000,665488000,983219000,1358383000,1899014000,2511175000,2352358000,1705584000,1777575000,1723359000,2237304000,1825098000,344395000,247473000,529059000,927994000,1123165000,725981000,1385019000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7718000,7718000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45769000,33045000,28938000,92672000,83741000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45769000,40763000,36656000,92672000,83741000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78443000,87601000,- -,3088000,3237000,3734000,4123000,4123000,- -,3210000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4943000,1949000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4603000,10894000,33608000,44373000,41620000,73719000,50744000,65565000,24676000,17044000,19878000,32353000,62186000,4227000,5329000,5297000,12581000,6734000,27925000,5438000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550555000,631828000,699096000,1073361000,1440766000,2009389000,2733034000,2589265000,1730260000,1797707000,1746474000,2273391000,1891407000,352745000,252802000,542509000,942524000,1129899000,753906000,1390457000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586292000,683733000,783335000,1251546000,1633149000,2253461000,2996552000,2888507000,1944600000,1943053000,1842989000,2507087000,2226434000,517725000,291686000,629597000,1068954000,1218238000,907326000,1576608000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5670000,9911000,8899000,71429000,154709000,205127000,206902000,137388000,99661000,30186000,37835000,120278000,174496000,11603000,9825000,22579000,16507000,30098000,7055000,32452000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,1500000,4800000,8108000,10832000,12561000,7542000,- -,- -,4746000,- -,- -,68842000,1224383000,- -,- -,- -,847000,936000,5043000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000,- -,2627000,3495000,2874000,5338000,- -,- -,- -,- -,2418000,3244000,3094000,7905000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5073000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18129000,21831000,28076000,69918000,7149000,44211000,33150000,16147000,7333000,71675000,74190000,137867000,68889000,91922000,52804000,101379000,88184000,98329000,140204000,231387000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23851000,33242000,41775000,154528000,172690000,261899000,247594000,153535000,106994000,106607000,112025000,258145000,312227000,1327908000,62629000,123958000,104691000,129274000,148195000,268882000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106887000,154286000,188926000,325846000,428214000,751153000,1130100000,1118527000,506536000,692561000,594759000,1281000000,1110000000,- -,25000000,265267000,511375000,557260000,511249000,602227000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90569000,82943000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62154000,77863000,97912000,111186000,178380000,193950000,245789000,328238000,330836000,274839000,210767000,145752000,4504000,- -,- -,- -,- -,1424000,- -,2793000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12674000,16186000,18971000,36154000,33068000,57199000,54608000,50208000,19958000,22737000,30322000,33386000,33317000,21995000,18509000,18733000,5533000,9535000,35044000,33198000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181715000,248335000,305809000,473186000,639662000,1002302000,1430497000,1496973000,857330000,990137000,835848000,1460138000,1238390000,104938000,43509000,284000000,516908000,568219000,546293000,638218000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68842000,- -,- -,- -,- -,3079000,2688000,1889000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205566000,281577000,347584000,627714000,812352000,1264201000,1678091000,1650508000,964324000,1096744000,947873000,1718283000,1550617000,1432846000,106138000,407958000,621599000,697493000,694488000,907100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1150000,1150000,4044000,3146000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55915000,56576000,185000,186000,188000,225000,230000,265000,267000,270000,364000,466000,529000,628000,150000,150000,151000,151000,152000,731000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123189000,143619000,168726000,222456000,289967000,332223000,446993000,319167000,300473000,157242000,45790000,-104180000,-535176000,-2130271000,-5296000,27366000,249492000,319987000,9354000,49583000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2584000,-3044000,-1594000,-10043000,-6640000,-6328000,-6626000,-1286000,-938000,-1084000,-982000,267000,249000,422000,73000,- -,82000,-59000,-131000,-111000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11436000,14497000,85543000,97709000,98910000,483978000,578193000,589942000,680474000,689881000,848794000,891101000,1206171000,1210954000,190621000,194123000,197630000,200666000,203463000,273329000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187956000,211648000,252860000,310308000,382425000,810098000,1018790000,908088000,980276000,846309000,895116000,788804000,675817000,-915121000,185548000,221639000,447355000,520745000,212838000,323532000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393522000,493225000,600444000,938022000,1194777000,2074299000,2696881000,2558596000,1944600000,1943053000,1842989000,2507087000,2226434000,517725000,291686000,629597000,1068954000,1218238000,907326000,1230632000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192770000,190508000,182891000,313524000,438372000,179162000,299671000,329911000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345976000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,586292000,683733000,783335000,1251546000,1633149000,2253461000,2996552000,2888507000,1944600000,1943053000,1842989000,2507087000,2226434000,517725000,291686000,629597000,1068954000,1218238000,907326000,1576608000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/77159/000007715921000016/0000077159-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/77159/000007715922000006/0000077159-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10700000,9900000,- -,5000000,8000000,10600000,1200000,-17000000,10200000,13500000,10100000,13000000,16000000,9600000,14500000,39265000,34337000,12104000,28522000,33355000,62088000,75909000,50754000,124168000,-114643000,-8423000,-132915000,-104589000,-143070000,-409592000,-1582961000,- -,32662000,224785000,70589000,-310557000,40229000
74,Depreciation and Amortization,5500000,4400000,- -,5500000,6100000,7100000,8500000,4200000,5200000,6300000,7700000,6800000,6500000,7200000,8400000,12027000,19579000,30639000,50109000,54952000,76937000,94217000,129523000,192236000,223367000,134700000,162534000,206336000,245594000,300299000,334479000,- -,48649000,127961000,174569000,140673000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,1800000,-4000000,-11300000,300000,-3100000,-3500000,-400000,2200000,900000,2800000,7006000,-1888000,8133000,15292000,19225000,17094000,38020000,23340000,60505000,-83222000,42528000,-85501000,-68676000,-77696000,-135227000,-4712000,- -,-4943000,2994000,3373000,-1424000,1249000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7811000,7430000,6347000,5781000,3627000,4540000,- -,3809000,4618000,4082000,3284000,15589000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,-1340000,12126000,6777000,23801000,-18807000,-3964000,-37520000,33751000,129783000,-38361000,-68607000,-54249000,-8939000,47249000,-1185728000,1139183000,- -,-13125000,58609000,-62674000,46160000,21663000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29418000,24879000,-19964000,-1792000,9907000,-105023000,-20169000,137854000,- -,-43318000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-900000,100000,- -,-100000,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13440000,1919000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,-240000,11886000,18663000,42464000,23657000,19693000,-17827000,15924000,145707000,107346000,38739000,-15510000,-24449000,22800000,-1162928000,-23745000,- -,-36870000,21739000,-40935000,5225000,1000
82,Other Non-Cash Items,-16200000,-14300000,- -,-10500000,-14100000,-4100000,7800000,41700000,1600000,-500000,5300000,-900000,-5000000,1500000,-1700000,-15218000,-19963000,8135000,-8020000,57640000,79252000,105193000,75662000,-122918000,288806000,49589000,247442000,210979000,183654000,1709345000,278774000,- -,14658000,-146835000,130255000,343642000,210295000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,15400000,13500000,17600000,17300000,16200000,19600000,18500000,19700000,19200000,25100000,41740000,44191000,65788000,109704000,146365000,231407000,275819000,313030000,383774000,275947000,157598000,144741000,241458000,261512000,282724000,169303000,- -,81710000,272132000,320194000,221778000,289025000
84,CAPEX,- -,- -,- -,- -,- -,-10600000,-13200000,-26400000,-15600000,-20900000,-5800000,-9800000,-13800000,-17200000,-60600000,-58655000,-196038000,-144741000,-128182000,-125241000,-184386000,-269773000,-421509000,-585339000,-239459000,-405994000,-445623000,-370907000,-504203000,-774139000,-364844000,- -,-115687000,-430592000,-362743000,-168565000,-256343000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-788000,- -,- -,- -,-28442000,-290938000,-195166000,-292001000,-293747000,-46894000,251583000,- -,- -,-358239000,- -,- -,- -,-200849000,-85387000,-6516000,- -,11009000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43387000,43387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,500000,300000,18800000,28700000,- -,6700000,3400000,- -,- -,- -,- -,57525000,- -,- -,- -,- -,- -,- -,- -,- -,139120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,5500000,3600000,3700000,4000000,-14800000,-13600000,-2000000,-1100000,1900000,56134000,2468000,1874000,1380000,2326000,17385000,2604000,30027000,33519000,16241000,-242936000,39468000,96899000,-22509000,-426494000,-279655000,- -,-114818000,-422909000,-362528000,-168478000,-256183000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-10100000,-7400000,-4000000,16800000,-16900000,-13900000,-20000000,-15800000,-18300000,-58700000,-3309000,-179432000,-99480000,-126802000,-151357000,-457939000,-462335000,-683483000,-845567000,-270112000,-258227000,-406155000,-274008000,-884951000,-426494000,-279655000,- -,-315667000,-508296000,-369044000,-168478000,-245174000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360800000,-506542000,- -,-247963000,-314915000,-410090000,-583000000,-98000000,- -,-7000000,- -,-35000000,-99000000,-626100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,600000,2000000,1100000,6084000,152813000,2046000,3000000,5829000,2248000,117818000,154488000,138141000,182915000,- -,- -,43474000,- -,- -,- -,- -,55000,- -,- -,- -,151160000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-800000,-2300000,- -,- -,- -,-500000,-16600000,-8700000,- -,- -,-6761000,-638000,-1624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4256000,- -,- -,- -,- -,- -,- -,- -
