,https://roic.ai/company/FANG,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.2128,0.3015,-0.0112,0.1578,0.2624,0.3909,-1.2326,-0.3131,0.4002,0.3886,0.0605,-1.6058,0.3210
25,EPS,-0.12,0.36,0.23,0.32,1.30,3.67,-8.74,-2.20,4.95,8.09,1.47,-28.59,0.00
26,EPS Diluted,-0.12,0.36,0.23,0.32,1.29,3.64,-8.74,-2.20,4.94,8.06,1.47,-28.59,0.00
27,Weighted Average Shares Outstanding,22611532,22611532,22611532,36986532,42014783,52826000,63019000,75077000,97458000,104622000,163493000,157976000,181027000
28,Weighted Average Shares Outstanding Diluted,22611532,22611532,22611532,36986532,42255014,53297000,63019000,75077000,97688000,104929000,163843000,157976000,182149000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1539838/000153983813000004/0001539838-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000007/0001539838-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000005/0001539838-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983816000129/0001539838-16-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983817000009/0001539838-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983818000014/0001539838-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000008/0001539838-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983820000021/0001539838-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983821000015/0001539838-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983822000008/0001539838-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2430308,4089745,6802389,26358000,15555000,30183000,20115000,1666574000,112446000,214516000,123000000,104000000,654000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,533000000,- -
33,Cash and Short-Term Investments,2430308,4089745,6802389,26358000,15555000,30183000,20115000,1666574000,112446000,214516000,123000000,637000000,654000000
34,Net Receivables,1956089,12187777,17695893,14812000,39273000,97994000,78904000,120122000,231613000,392061000,615000000,437000000,671000000
35,Inventory,307008,8433734,6006355,6195000,5631000,2827000,1728000,1983000,9108000,37570000,37000000,33000000,62000000
36,Other Current Assets,- -,326148,428202,2910000,1509000,120707000,7998000,3487000,5434000,280874000,94000000,-505000000,59000000
37,Total Current Assets,4693405,25037404,30932839,50275000,61968000,251711000,108745000,1792166000,358601000,925021000,869000000,602000000,1446000000
38,PP&E,95296391,146841730,207026619,554242000,1446337000,2791807000,2597625000,3390857000,7343617000,20371975000,21835000000,16214000000,20619000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,10309668,- -,- -,- -,- -,- -,- -,117000000,479000000,533000000,613000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,96670000,142000000,73000000,40000000
44,Other Non-Current Assets,82813,637562,1214759,2184000,13309000,51963000,52042000,166657000,68767000,85021000,206000000,197000000,180000000
45,Total Non-Current Assets,95379204,147479292,218551046,556426000,1459646000,2843770000,2649667000,3557514000,7412384000,20670666000,22662000000,17017000000,21452000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,100072609,172516696,249483885,606701000,1521614000,3095481000,2758412000,5349680000,7770985000,21595687000,23531000000,17619000000,22898000000
48,Accounts Payable,3675300,13426899,12205686,12141000,2679000,26230000,20008000,47648000,94590000,127979000,179000000,71000000,36000000
49,Short-Term Debt,7650000,- -,- -,145000,4538000,11851000,14100000,13857000,27850000,59455000,119000000,306000000,131000000
50,Tax Payable,- -,- -,- -,- -,- -,9952000,518000,776000,3306000,49160000,68000000,57000000,70000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000000,- -
52,Other Current Liabilities,2646780,6583377,30212619,66946000,114103000,228648000,107313000,147837000,454988000,832178000,965000000,786000000,1271000000
53,Total Current Liabilities,13972080,20010276,42418305,79232000,121320000,266729000,141421000,209342000,577428000,1019612000,1263000000,1236000000,1438000000
54,Long-Term Debt,- -,44766687,85000000,193000,460000000,673500000,495500000,1105912000,1477347000,4464338000,5371000000,5624000000,6642000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,62695000,91764000,161592000,- -,- -,108048000,1784532000,1886000000,783000000,1338000000
57,Other Non-Current Liabilities,1898318,2101690,7218298,2513000,2989000,8447000,12518000,16134000,26425000,160943000,105000000,172000000,235000000
58,Total Non-Current Liabilities,1898318,46868377,92218298,65401000,554753000,843539000,508018000,1122046000,1611820000,6409813000,7362000000,6579000000,8215000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,4538000,11851000,14100000,13857000,27850000,59455000,119000000,115000000,86000000
61,Total Liabilities,15870398,66878653,134636603,144633000,676073000,1110268000,649439000,1331388000,2189248000,7429425000,8625000000,7815000000,9653000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,370000,471000,569000,668000,901000,982000,1643000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,-52074000,2513000,196268000,-354360000,-519394000,-37133000,761759000,890000000,-3864000000,-1998000000
65,Other Comprehensive Income/Loss,-96715206,-104845670,-119500035,-145837000,-212236000,-382144000,-1413543000,-1836056000,-2161372000,-2774465000,-5003000000,- -,- -
66,Other Total Stockholders Equity,180917417,210483713,234347317,659609000,1054793000,1936318000,3643207000,6052011000,7452383000,15710350000,17360000000,12656000000,- -
67,Total Stockholders Equity,84202211,105638043,114847282,462068000,845541000,1751011000,1875972000,3697462000,5254860000,13699287000,13249000000,8794000000,12088000000
68,Total Liabilities And Stockholders Equity,100072609,172516696,249483885,606701000,1521614000,2861279000,2525411000,5028850000,7444108000,21128712000,21874000000,16609000000,21741000000
69,Minority Interest,- -,- -,- -,- -,- -,234202000,233001000,320830000,326877000,466975000,1657000000,1010000000,1157000000
70,Total Liabilities & Equity,100072609,172516696,249483885,606701000,1521614000,3095481000,2758412000,5349680000,7770985000,21595687000,23531000000,17619000000,22898000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1539838/000153983813000004/0001539838-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000007/0001539838-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000005/0001539838-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983816000129/0001539838-16-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983817000009/0001539838-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983818000014/0001539838-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000008/0001539838-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983820000021/0001539838-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983821000015/0001539838-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983822000008/0001539838-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-2706082,8216219,-545051,11829000,54587000,193755000,-550628000,-165034000,482261000,845672000,240000000,-4517000000,2182000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1304000000,1275000000
75,Deferred Income Tax,- -,- -,- -,54903000,31563000,108985000,-201545000,- -,-20567000,169357000,47000000,-1042000000,606000000
76,Stock Based Compensation,- -,- -,544290,3482000,1752000,9816000,18529000,26453000,25537000,26764000,48000000,37000000,51000000
77,Change in Working Capital,-1916707,14305803,-16512594,-17471534,-30395000,44334000,-17658000,1615500000,-1801651000,124236000,-299409000,-240000000,36000000
78,Accounts Receivable,-956336,-8616157,-5865581,1060000,-20505000,-42141000,11147000,-33736000,-97314000,13160000,-187000000,217000000,-196000000
79,Inventory,83048,-4896909,-871969,-639000,554000,915000,224000,-255000,-2245000,-14774000,-10000000,- -,- -
80,Accounts Payable,- -,- -,- -,5933000,20460000,6812000,1020000,15706000,36760000,-6846000,-129000000,-20000000,-41000000
81,Other Working Capital,-9278675,5027128,-11485466,-28957000,-59352000,-15018000,-32676000,1582824000,-218827000,-94591000,-394000000,-634000000,-47000000
82,Other Non-Cash Items,7324355,-17346198,46897549,-3050466,98270000,-501000,1167803000,-1144839000,2203045000,398476000,2698409000,6576000000,-206000000
83,Cash Provided by Operating Activities,2701566,5175824,30384194,49692000,155777000,356389000,416501000,332080000,888625000,1564505000,2734000000,2118000000,3944000000
84,CAPEX,-26631591,-54264166,-82444581,-176489000,-939923000,-1447576000,-902087000,-1191167000,-3301837000,-3482825000,-3702000000,-2044000000,-2299000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-34477000,-2702000,-2345000,-188000,-612000,-485000000,-102000000,-114000000
86,Purchases of Investments,- -,- -,- -,-8963000,-289000,- -,- -,- -,- -,-8000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,6085166,2326000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5518026,1129525,45373,48000,72000,56000,9739000,-116730000,169743000,-19598000,299000000,45000000,874000000
89,Cash Used for Investing Activites,-32149617,-53134641,-76314042,-183078000,-940140000,-1481997000,-895050000,-1310242000,-3132282000,-3503043000,-3888000000,-2101000000,-1539000000
90,Debt Repayment,- -,-23950000,- -,-130050000,-49000000,-295900000,-603001000,-539000000,-383500000,-1800500000,-4968000000,-1717000000,-4371000000
91,Common Stock Issued,- -,- -,- -,237164000,322680000,928432000,650688000,2051503000,370344000,305773000,1106000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14460000,-606000000,-137000000,-525000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37313000,-112000000,-236000000,-312000000
94,Other Financing Activites,23849250,73568254,48642492,45671000,499880000,507704000,420794000,1112118000,702685000,3587108000,5642000000,2053000000,3367000000
95,Cash Used/Provided by Financing Activities,23849250,49618254,48642492,152785000,773560000,1140236000,468481000,2624621000,689529000,2040608000,1062000000,-37000000,-1841000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-5598801,1659437,2712644,19399000,-10803000,14628000,-10068000,1646459000,-1554128000,102070000,-92000000,-20000000,564000000
98,Cash at the End of Period,2430308,4089745,6802389,26358000,15555000,30183000,20115000,1666574000,112446000,214516000,123000000,108000000,672000000
99,Cash at the Beginning of Period,8029109,2430308,4089745,6959000,26358000,15555000,30183000,20115000,1666574000,112446000,215000000,128000000,108000000
100,Free Cash Flow,-23930025,-49088342,-52060387,-126797000,-784146000,-1091187000,-485586000,-859087000,-2413212000,-1918320000,-968000000,74000000,1645000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1539838/000153983813000004/0001539838-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983814000007/0001539838-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000005/0001539838-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983816000129/0001539838-16-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983817000009/0001539838-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983818000014/0001539838-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983819000008/0001539838-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983820000021/0001539838-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983821000015/0001539838-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1539838/000153983822000008/0001539838-22-000008-index.htm
102,false,,,,,,,,,,,,,
