,https://roic.ai/company/BKH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-4600000,-5900000,-10400000,-12300000,-11800000,-8900000,-31544000,-31558000,-35158000,-44095000,-49966000,-31877000,-44824000,-33786000,-137439000,-16104000,-101478000,-128771000,-106816000,-78012000,-66353000,-83722000,-129480000,-134994000,-141155000,-163140000,-152622000,-151000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,34200000,36300000,43900000,46700000,37500000,52900000,83206000,138621000,92855000,86915000,83953000,54059000,107848000,145765000,-81562000,110728000,92424000,57468000,136895000,177540000,194177000,-53927000,93106000,281742000,255882000,242902000,275681000,258429000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2351,0.2422,0.2700,0.1489,0.0552,0.0668,0.0512,0.0889,0.2190,0.0695,0.0748,0.0388,0.1642,0.2095,-0.0811,0.0872,0.0707,0.0452,0.1166,0.1392,0.1393,-0.0413,0.0592,0.1677,0.1459,0.1400,0.1625,0.1326
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,10700000,13600000,14300000,11700000,15800000,30358000,50544000,29662000,29920000,26704000,18299000,33802000,45641000,-29395000,33315000,25298000,18224000,48400000,61608000,65395000,-22160000,10475000,73367000,-23667000,29580000,32918000,7169000
23,Net Income,18000000,15800000,20400000,21900000,21100000,22900000,22700000,23600000,22900000,23800000,25600000,30300000,32400000,25800000,37100000,52848000,88077000,61452000,61222000,57973000,33420000,81019000,98772000,105080000,81555000,68685000,49730000,81528000,114962000,128781000,-32111000,72970000,177034000,258442000,199310000,227608000,236744000
24,Net Income ratio,0.1580,0.1412,0.1667,0.0771,0.1758,0.1796,0.1702,0.1744,0.1643,0.1636,0.1708,0.1863,0.1033,0.0380,0.0468,0.0325,0.0565,0.1450,0.0490,0.0517,0.0240,0.1233,0.1419,0.1045,0.0642,0.0525,0.0391,0.0695,0.0901,0.0924,-0.0246,0.0464,0.1054,0.1473,0.1149,0.1341,0.1215
25,EPS,0.85,0.74,0.97,1.05,1.03,1.11,1.11,1.15,1.11,1.11,1.19,1.40,1.49,1.19,1.73,2.39,3.45,2.28,2.00,1.78,1.02,2.44,2.66,2.75,2.11,1.76,1.25,1.86,2.60,2.88,-0.63,1.41,3.46,4.75,3.29,3.65,3.80
26,EPS Diluted,0.85,0.74,0.97,1.05,1.03,1.11,1.11,1.15,1.11,1.11,1.19,1.40,1.49,1.19,1.73,2.37,3.42,2.26,1.97,1.76,1.00,2.42,2.64,2.75,2.11,1.76,1.24,1.85,2.59,2.88,-0.71,1.37,3.34,4.66,3.28,3.65,3.79
27,Weighted Average Shares Outstanding,20117647,20405405,20412371,20666667,20485437,20630631,20450450,20521739,20630631,21441441,21512605,21642857,21744966,21680672,21445087,22118000,25374000,26803000,30496000,32387000,32765000,33179000,37024000,38193000,38614000,38916000,39864000,43820000,44163000,44671846,51192141,51900000,53200000,54400000,60662000,62378000,62378000
28,Weighted Average Shares Outstanding Diluted,20117647,20405405,20412371,20666667,20485437,20630631,20450450,20521739,20630631,21441441,21512605,21642857,21744966,21680672,21445087,22281000,25771000,27167000,31015000,32912000,33288000,33549000,37414000,38193000,38684000,39091000,40081000,44073000,44419000,44671846,51192141,53300000,55100000,55500000,60798000,62439000,62439000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1130464/000113046403000054/0001130464-03-000054-index.html,- -,https://www.sec.gov/Archives/edgar/data/1130464/000113046405000116/form10k_2004.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046406000172/form10k_2005.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046407000082/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046408000105/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046409000099/0001130464-09-000099-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046410000041/0001130464-10-000041-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046411000027/bkh10k123110.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046412000024/0001130464-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046413000071/0001130464-13-000071-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046414000056/bkh10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046415000083/bkh10k122014.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046416000176/0001130464-16-000176-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046417000010/0001130464-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046418000014/0001130464-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046419000012/0001130464-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046420000006/0001130464-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046421000007/0001130464-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046422000004/0001130464-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,8200000,13300000,16800000,14800000,16500000,24913000,29666000,79811000,172771000,64506000,34198000,36939000,86403000,168491000,112901000,32438000,21628000,15462000,7841000,21218000,456535000,13580000,15420000,20776000,9777000,6356000,8921000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37747000,56572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,8200000,13300000,16800000,14800000,16500000,24913000,29666000,79811000,172771000,64506000,34198000,36939000,86403000,168491000,150648000,89010000,21628000,15462000,7841000,21218000,456535000,13580000,15420000,20776000,9777000,6356000,8921000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,16500000,17100000,15700000,43000000,90000000,140000000,299719000,117259000,209144000,201992000,256505000,352445000,263109000,291189000,357404000,276520000,328811000,166118000,163698000,179033000,192045000,147854000,263289000,248330000,282131000,272251000,285407000,339669000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,7100000,7400000,7900000,8600000,9700000,14300000,16545000,- -,24720000,44895000,89732000,126753000,92560000,95968000,118021000,123322000,139677000,84064000,77643000,88478000,91191000,86943000,107210000,113283000,117299000,117172000,117400000,150979000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,25700000,8100000,14100000,15600000,26000000,10400000,77833000,73426000,86635000,64094000,69564000,28572000,81893000,57341000,155597000,74380000,113373000,487111000,148303000,69936000,149582000,130819000,82735000,193749000,83627000,73984000,84128000,308564000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,61500000,40800000,51000000,84000000,140500000,181200000,419010000,220351000,400310000,483752000,480307000,541968000,474501000,530901000,799513000,624870000,670871000,758921000,405106000,345288000,454036000,822151000,466814000,570782000,503833000,473184000,493291000,808133000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,363500000,393300000,400400000,401100000,389600000,464200000,794281000,1238224000,1476263000,1442422000,1445732000,1435398000,1646367000,1823534000,2022160000,2160730000,2495433000,2789575000,2742749000,2990297000,3239375000,3259094000,4468989000,4541430000,4854879000,5503186000,6019714000,6449176000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353734000,354831000,353396000,353396000,353396000,353396000,359759000,1299454000,1299454000,1299454000,1299454000,1299454000,1299454000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4309000,4069000,3843000,3620000,3397000,3176000,3380000,8392000,7559000,14337000,13266000,11944000,10770000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102895000,115081000,111774000,70214000,63230000,59362000,54992000,67828000,194042000,358043000,358900000,357239000,357016000,356793000,356572000,363139000,1307846000,1307013000,1313791000,1312720000,1311398000,1310224000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,24000000,19000000,23000000,18524000,17780000,17261000,16402000,16697000,17294000,11985000,12561000,13090000,41013000,21929000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,14700000,16000000,23600000,29300000,29400000,4134000,85111000,46822000,66837000,66894000,55232000,44816000,31603000,341174000,155531000,168525000,204087000,208198000,166103000,212529000,199132000,259234000,226587000,249811000,247438000,264383000,564363000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,375400000,408000000,416400000,424700000,418900000,493600000,901310000,1438416000,1634859000,1579473000,1575856000,1577992000,1770175000,1941965000,2580376000,2692828000,3040638000,3368162000,3324365000,3529890000,3825770000,3833350000,6048630000,6088120000,6459494000,7085273000,7595495000,8323763000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,436900000,448800000,467400000,508700000,559400000,674800000,1320320000,1658767000,2035169000,2063225000,2056163000,2119960000,2244676000,2472866000,3379889000,3317698000,3711509000,4127083000,3729471000,3875178000,4279806000,4655501000,6515444000,6658902000,6963327000,7558457000,8088786000,9131896000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,9700000,7300000,32600000,74100000,80400000,247596000,102041000,207047000,162722000,196619000,287517000,224009000,242813000,288907000,229352000,279069000,104748000,84422000,130416000,124139000,105468000,153477000,160887000,210609000,193523000,183340000,217761000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,39100000,2000000,1700000,1400000,6400000,98900000,225639000,397144000,23448000,17659000,40166000,66771000,162606000,180183000,705878000,199745000,254181000,347473000,380973000,82500000,350000000,76800000,102343000,217043000,191363000,355243000,242476000,420180000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,779000,- -,4936000,- -,- -,32393000,52556000,43051000,42510000,44547000,47105000,50874000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53496000,51628000,44420000,43574000,54728000,52185000,48814000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,17300000,18200000,19100000,19800000,22100000,26100000,115621000,83877000,440810000,105879000,120962000,116335000,142363000,157961000,258888000,215762000,254190000,425846000,269494000,165478000,177142000,186265000,220484000,226751000,202684000,207800000,218532000,214958000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,68400000,29900000,28100000,53800000,102600000,205400000,588856000,583062000,671305000,286260000,357747000,470623000,528978000,580957000,1253673000,644859000,787440000,878067000,734889000,378394000,651281000,422029000,527932000,649101000,648230000,811294000,696533000,901713000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,128900000,166100000,164700000,163400000,162000000,160700000,307092000,415798000,618862000,868459000,733581000,670193000,628340000,564372000,501252000,1015912000,1186050000,1280409000,938877000,1396948000,1267589000,1866866000,3211189000,3109400000,2950835000,3140096000,3528100000,4126923000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45500000,50300000,52800000,57000000,58600000,62100000,65209000,75398000,132270000,125041000,159623000,137584000,174332000,207735000,223607000,262034000,277136000,- -,385908000,432287000,523716000,450579000,535606000,336520000,311331000,360719000,408624000,465388000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69304000,77568000,73700000,69496000,102723000,122928000,149893000,350841000,310056000,360613000,759271000,437288000,359801000,461196000,450160000,510583000,743675000,765508000,782279000,792882000,750749000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,174400000,216400000,217500000,220400000,220600000,222800000,372301000,560500000,828700000,1067200000,962700000,910500000,925600000,922000000,1075700000,1588002000,1823799000,2039680000,1762073000,2189036000,2252501000,2767605000,4257378000,4189595000,4027674000,4283094000,4729606000,5343060000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,367500000,453000000,463600000,469900000,470700000,475600000,783458000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,261500000,266500000,274200000,303300000,352700000,458200000,1000013000,1124070000,1493552000,1348789000,1315563000,1376156000,1449477000,1497844000,2329353000,2232861000,2611239000,2917747000,2496962000,2567430000,2903782000,3189634000,4785310000,4838696000,4675904000,5094388000,5426139000,6244773000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5549000,8143000,7167000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,14400000,14500000,21700000,21700000,21700000,23302000,26891000,27102000,32448000,32595000,33223000,33405000,37842000,38676000,38978000,39280000,43958000,44278000,44550000,44714000,51232000,53397000,53580000,60049000,61481000,62827000,64793000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,115300000,121600000,131900000,143700000,147800000,162200000,191482000,250515000,280628000,304567000,322009000,313217000,348245000,397393000,447453000,473857000,486075000,476603000,492869000,540244000,599389000,472534000,457934000,548617000,700396000,778776000,870738000,962458000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000000,-164400000,-181100000,-197200000,-229900000,-246300000,-277848000,-328400000,-21192000,-11122000,-7607000,-9830000,-515000,-24508000,-18783000,-19164000,-23581000,-32878000,-35488000,-17422000,-15044000,-9055000,-34883000,-41202000,-26916000,-30655000,-27346000,-20084000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,201700000,210700000,227900000,237200000,267100000,279000000,383371000,585691000,243076000,375711000,381601000,402269000,408906000,559128000,583190000,591166000,598496000,721653000,730850000,740376000,746965000,951156000,1138191000,1147979000,1448059000,1552521000,1655166000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,175400000,182300000,193200000,205400000,206700000,216600000,320307000,534697000,535163000,709747000,735765000,738879000,790041000,969855000,1050536000,1084837000,1100270000,1209336000,1232509000,1307748000,1376024000,1465867000,1614639000,1708974000,2181588000,2362123000,2561385000,2787094000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,436900000,448800000,467400000,508700000,559400000,674800000,1320320000,1658767000,2028715000,2058536000,2051328000,2115035000,2239518000,2467699000,3379889000,3317698000,3711509000,4127083000,3729471000,3875178000,4279806000,4655501000,6399949000,6547670000,6857492000,7456511000,7987524000,9031867000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6454000,4689000,4835000,4925000,5158000,5167000,- -,- -,- -,- -,- -,- -,- -,- -,115495000,111232000,105835000,101946000,101262000,100029000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,436900000,448800000,467400000,508700000,559400000,674800000,1320320000,1658767000,2035169000,2063225000,2056163000,2119960000,2244676000,2472866000,3379889000,3317698000,3711509000,4127083000,3729471000,3875178000,4279806000,4655501000,6515444000,6658902000,6963327000,7558457000,8088786000,9131896000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1130464/000113046403000054/0001130464-03-000054-index.html,- -,https://www.sec.gov/Archives/edgar/data/1130464/000113046405000116/form10k_2004.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046406000172/form10k_2005.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046407000082/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046408000105/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046409000099/0001130464-09-000099-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046410000041/0001130464-10-000041-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046411000027/bkh10k123110.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046412000024/0001130464-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046413000071/0001130464-13-000071-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046414000056/bkh10k12312013.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046415000083/bkh10k122014.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046416000176/0001130464-16-000176-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046417000010/0001130464-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046418000014/0001130464-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046419000012/0001130464-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046420000006/0001130464-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130464/000113046421000007/0001130464-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1130464/000113046422000004/0001130464-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,25600000,30300000,32400000,25800000,37100000,52848000,88077000,61452000,61222000,57973000,33420000,81019000,98772000,105080000,81555000,68685000,49730000,81528000,114962000,128781000,-32111000,72970000,177034000,258442000,199310000,227608000,236744000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224457000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2100000,1900000,2500000,-2500000,2300000,1937000,9792000,33071000,-3680000,29186000,-8385000,33233000,31409000,2058000,39743000,19206000,33600000,39716000,63784000,69002000,-26028000,36217000,80992000,-24239000,38020000,38091000,7261000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3983000,5849000,5643000,8271000,12595000,9329000,4076000,10885000,7626000,12390000,12095000,5373000,9655000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,17800000,12000000,7300000,7700000,-62100000,-145646000,-192865000,91716000,468487000,-74932000,-51215000,-125822000,4421000,-404104000,434171000,-96580000,-2577000,-210637000,296677000,-164139000,597367000,-461240000,-17201000,-66078000,-193713000,134868000,-592437000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78886000,-51443000,-4202000,- -,- -,- -,- -,- -,- -,- -,- -,-10843000,-43170000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3513000,- -,- -,- -,- -,- -,-8300000,18331000,14525000,- -,-25265000,-21385000,6343000,-5770000,-4563000,7197000,1099000,-10089000,-2919000,2052000,2755000,-35707000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53157000,30772000,-31091000,-10713000,15336000,16027000,-1070000,-40195000,-28222000,5305000,-34906000,24659000,10660000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6900000,10900000,22900000,30200000,37900000,-24200000,-169846000,-362711000,-270995000,197492000,122560000,71345000,-54477000,-50056000,-454160000,-19989000,-116569000,-119146000,-329783000,-33106000,-197245000,400122000,-61118000,-78319000,-144397000,-338110000,-203242000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,20900000,-200000,11200000,13800000,23700000,98400000,165331000,272392000,32535000,-355460000,124455000,201029000,271265000,117477000,442607000,-288950000,150592000,137308000,398093000,-163389000,280484000,-115300000,661631000,179810000,308296000,449801000,-88534000,274212000
