,https://roic.ai/company/AVTX,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,1070118,7167173,15772531,1350931,-415070,-4284686,5563557,10780408,41957000
82,Other Non-Cash Items,146926,-6675337,-8696891,14598318,1665484,33825043,-19342595,8918772,-27543592
83,Cash Provided by Operating Activities,-11485140,-15518349,-10163380,-14573138,12519405,-3128102,-19134332,-40539700,-70892000
84,CAPEX,-29268,-19502,-19984,-34883,-23325,-564415,-262013,-62659,-113000
85,Acquisitions Net,- -,- -,- -,- -,-18888932,1429876,- -,11194917,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-180989,- -,- -
89,Cash Used for Investing Activites,-29268,-19502,-19984,-34883,-18912257,865461,-443002,11132258,-113000
90,Debt Repayment,- -,- -,-1811744,-3314225,-2374031,- -,-256140,- -,- -
91,Common Stock Issued,- -,- -,23685270,2003182,1693498,3857106,12684562,44452138,37653000
92,Common Stock Repurchased,- -,- -,-1373,- -,- -,- -,-33959,-93869,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5416227,23858720,-2269171,-114945,4417614,6546792,165033,426267,69109000
95,Cash Used/Provided by Financing Activities,5416227,23858720,19602982,-1425988,3737081,10403898,12559496,44784536,106762000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-6098181,8320869,9419618,-16034009,-2655771,8141257,-7017838,15377094,35757000
98,Cash at the End of Period,3421480,11742349,21161967,5127958,2472187,10746756,3728918,19106012,54863000
99,Cash at the Beginning of Period,9519661,3421480,11742349,21161967,5127958,2605499,10746756,3728918,19106000
100,Free Cash Flow,-11514408,-15537851,-10183364,-14608021,12496080,-3692517,-19396345,-40602359,-71005000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1534120/000162828021004162/0001628280-21-004162-index.htm,https://www.sec.gov/Archives/edgar/data/1534120/000162828022004671/0001628280-22-004671-index.htm
102,false,,,,,,,,,
