,https://roic.ai/company/TTOO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-1.35,-1.53,-4.15,-2.21,-2.11,-1.94,-1.26,-1.30,-0.39,-0.41
26,EPS Diluted,-1.35,-1.53,-4.15,-2.21,-2.11,-1.94,-1.26,-1.30,-0.39,-0.41
27,Weighted Average Shares Outstanding,13996959,13086964,8674931,20501748,26015751,32131512,40558826,45507754,121331464,121331464
28,Weighted Average Shares Outstanding Diluted,13996959,13086964,8674931,20501748,26015751,32131512,40558826,45507754,121331464,121331464
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1492674/000110465915016705/0001104659-15-016705-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000155837016003930/0001558370-16-003930-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000155837017001853/0001558370-17-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459018006225/0001564590-18-006225-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459019007862/0001564590-19-007862-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459020011217/0001564590-20-011217-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459021017074/0001564590-21-017074-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459022011526/0001564590-22-011526-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,9709000,30198000,73849000,73662000,73488000,41799000,50805000,11033000,16793000,22245000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,25396000,9996000
33,Cash and Short-Term Investments,9709000,30198000,73849000,73662000,73488000,41799000,50805000,11033000,42189000,32241000
34,Net Receivables,- -,- -,201000,369000,327000,467000,1786000,2825000,5099000,5134000
35,Inventory,- -,- -,115000,683000,803000,1344000,2677000,3599000,3636000,3909000
36,Other Current Assets,140000,195000,1156000,860000,820000,708000,1340000,1438000,2660000,3110000
37,Total Current Assets,9849000,30393000,75321000,75574000,75438000,44318000,56608000,18895000,53584000,44394000
38,PP&E,1195000,1118000,2760000,10655000,13589000,10015000,7315000,9205000,14805000,14441000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10002000,- -
43,Tax Assets,- -,- -,313000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,387000,374000,740000,719000,541000,528000,386000,386000,687000,1704000
45,Total Non-Current Assets,1582000,1492000,3813000,11374000,14130000,10543000,7701000,9591000,25494000,16145000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11431000,31885000,79134000,86948000,89568000,54861000,64309000,28486000,79078000,60539000
48,Accounts Payable,571000,943000,735000,1228000,962000,648000,744000,3753000,2058000,2832000
49,Short-Term Debt,820000,1759000,295000,4739000,1570000,40942000,42641000,44885000,1151000,47790000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,80000,2146000,2445000,1736000,697000,285000,230000,518000
52,Other Current Liabilities,738000,1344000,4062000,4162000,4908000,8456000,8215000,11649000,6361000,-39452000
53,Total Current Liabilities,2129000,4046000,5172000,12275000,9885000,51782000,52297000,60572000,9800000,11688000
54,Long-Term Debt,5058000,3299000,20660000,26222000,39504000,1008000,- -,- -,45235000,57149000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,133000,46000,424000,28000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,66902000,114083000,301000,1512000,841000,731000,492000,1873000,14893000,4577000
58,Total Non-Current Liabilities,71960000,117382000,20961000,27734000,40345000,1739000,625000,1919000,60552000,61754000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1344000,1093000,977000,760000,3856000,11684000,9359000
61,Total Liabilities,74089000,121428000,26133000,40009000,50230000,53521000,52922000,62491000,70352000,73442000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,20000,24000,30000,36000,44000,51000,147000,166000
64,Retained Earnings,-62659000,-89544000,-103595000,-148885000,-203689000,-266117000,-317171000,-376177000,-422975000,-472216000
65,Other Comprehensive Income/Loss,-2077000,-2651000,-3342000,-4807000,-7066000,-9124000,-11307000,-13236000,9000,-4000
66,Other Total Stockholders Equity,2077000,2651000,159918000,200607000,250063000,276545000,339821000,355357000,431545000,459151000
67,Total Stockholders Equity,-62658000,-89543000,53001000,46939000,39338000,1340000,11387000,-34005000,8726000,-12903000
68,Total Liabilities And Stockholders Equity,11431000,31885000,79134000,86948000,89568000,54861000,64309000,28486000,79078000,60539000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11431000,31885000,79134000,86948000,89568000,54861000,64309000,28486000,79078000,60539000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1492674/000110465915016705/0001104659-15-016705-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000155837016003930/0001558370-16-003930-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000155837017001853/0001558370-17-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459018006225/0001564590-18-006225-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459019007862/0001564590-19-007862-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459020011217/0001564590-20-011217-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459021017074/0001564590-21-017074-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459022011526/0001564590-22-011526-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-14455000,-20610000,-31390000,-45290000,-54804000,-62428000,-51153000,-59006000,-46798000,-49241000
74,Depreciation and Amortization,571000,584000,691000,1465000,2280000,2940000,2449000,3642000,1710000,2538000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,403000,578000,1653000,4168000,4848000,4790000,9897000,5458000,3913000,7090000
77,Change in Working Capital,168000,18627000,43802000,-6850000,2254000,-73017000,11775000,-45988000,85461000,-11078000
78,Accounts Receivable,- -,- -,-201000,-168000,42000,-140000,-1319000,-1039000,-2274000,-35000
79,Inventory,- -,- -,-115000,-568000,-120000,-110000,-1089000,-914000,441000,-1940000
80,Accounts Payable,-88000,372000,-208000,177000,-61000,-314000,121000,2960000,-1652000,761000
81,Other Working Capital,7720000,26347000,70149000,63299000,65553000,-7464000,4311000,-41677000,43784000,32706000
82,Other Non-Cash Items,10000,-17232000,-42940000,9042000,-1020000,79997000,-13106000,50533000,-87501000,11817000
83,Cash Provided by Operating Activities,-13303000,-18053000,-28184000,-37465000,-46442000,-47718000,-40138000,-45361000,-43215000,-38874000
84,CAPEX,-283000,-513000,-2084000,-7974000,-5487000,-2476000,-593000,-761000,-2000,-460000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-50711000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,25237000
88,Other Investing Activites,- -,80000,- -,80000,- -,- -,- -,- -,14452000,14000
89,Cash Used for Investing Activites,-283000,-433000,-2084000,-7894000,-5487000,-2476000,-593000,-761000,-36261000,24791000
90,Debt Repayment,-374000,-848000,-4037000,-309000,-32404000,-1194000,-1547000,-882000,- -,- -
91,Common Stock Issued,1000,55000,58242000,35481000,40356000,19699000,51204000,6650000,85311000,19968000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4924000,39768000,19714000,10000000,43803000,- -,- -,582000,296000,567000
95,Cash Used/Provided by Financing Activities,4551000,38975000,73919000,45172000,51755000,18505000,49657000,6350000,85607000,20535000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-9035000,20489000,43651000,-187000,-174000,-31689000,8926000,-39772000,6131000,6452000
98,Cash at the End of Period,9709000,30198000,73849000,73662000,73488000,41799000,50985000,11213000,17344000,23796000
99,Cash at the Beginning of Period,18744000,9709000,30198000,73849000,73662000,73488000,42059000,50985000,11213000,17344000
100,Free Cash Flow,-13586000,-18566000,-30268000,-45439000,-51929000,-50194000,-40731000,-46122000,-43217000,-39334000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1492674/000110465915016705/0001104659-15-016705-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000155837016003930/0001558370-16-003930-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000155837017001853/0001558370-17-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459018006225/0001564590-18-006225-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459019007862/0001564590-19-007862-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459020011217/0001564590-20-011217-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459021017074/0001564590-21-017074-index.htm,https://www.sec.gov/Archives/edgar/data/1492674/000156459022011526/0001564590-22-011526-index.htm
102,false,,,,,,,,,,
