,https://roic.ai/company/NVT,2015,2016,2017,2018,2019,2020,2021
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,210100000,259100000,361700000,230800000,222700000,-47200000,272900000
74,Depreciation and Amortization,62900000,95200000,97900000,97100000,96800000,102600000,108400000
75,Deferred Income Tax,-14600000,-1700000,-158000000,-23600000,-24600000,-2900000,-18800000
76,Stock Based Compensation,13300000,13400000,14600000,12800000,16100000,13900000,16600000
77,Change in Working Capital,69700000,293400000,2800000,43100000,-48300000,-22100000,-5000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,41900000,400000,-8900000,-12000000,900000,18300000,-74000000
80,Accounts Payable,400000,15000000,17000000,13400000,-7900000,-18600000,73700000
81,Other Working Capital,45500000,338900000,341700000,384800000,336500000,314400000,47800000
82,Other Non-Cash Items,2500000,-295400000,90700000,-16700000,73600000,299700000,-800000
83,Cash Provided by Operating Activities,343900000,364000000,409700000,343500000,336300000,344000000,373300000
84,CAPEX,-47400000,-74500000,-31800000,-39500000,-38800000,-40000000,-39500000
85,Acquisitions Net,- -,- -,-14000000,-2000000,-128000000,-27000000,-235100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1957000000,-68600000,-27200000,-37100000,-32300000,-38000000,-38900000
89,Cash Used for Investing Activites,-1957000000,-68600000,-41200000,-39100000,-160300000,-65000000,-274000000
90,Debt Repayment,- -,- -,- -,-52500000,-14100000,-117500000,-333900000
91,Common Stock Issued,- -,- -,- -,8600000,9500000,7200000,20000000
92,Common Stock Repurchased,- -,- -,- -,-56000000,-235700000,-43200000,-111500000
93,Dividends Paid,- -,- -,- -,-62900000,-120700000,-119000000,-117700000
94,Other Financing Activites,1614000000,-308900000,-359500000,-3800000,134600000,- -,376300000
95,Cash Used/Provided by Financing Activities,1614000000,-308900000,-359500000,-166600000,-226400000,-272500000,-166800000
96,Effect of Forex Changes on Cash,6600000,12300000,-3600000,-5700000,-2200000,9600000,-5500000
97,Net Change In Cash,7500000,-1200000,5400000,132100000,-52600000,16100000,-73000000
98,Cash at the End of Period,22700000,21500000,26900000,159000000,106400000,122500000,49500000
99,Cash at the Beginning of Period,15200000,22700000,21500000,26900000,159000000,106400000,122500000
100,Free Cash Flow,296500000,289500000,377900000,304000000,297500000,304000000,333800000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1720635/000172063519000008/0001720635-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1720635/000172063520000009/0001720635-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1720635/000172063521000013/0001720635-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1720635/000172063522000009/0001720635-22-000009-index.htm
102,false,,,,,,,
