,https://roic.ai/company/AGRX,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-103993763,-118314383,-134391851,-164727000,-193468000,-221772000,-241551000,-260370000,-312223000,-387117000
65,Other Comprehensive Income/Loss,-261215,-273092,-285643,-304000,-323000,-346000,-369000,-387000,3000,- -
66,Other Total Stockholders Equity,45646559,47145893,170681577,194772000,236077000,258438000,262091000,306495000,361539000,396376000
67,Total Stockholders Equity,-58608415,-71441572,36005947,29743000,42289000,36323000,20174000,45745000,49328000,9271000
68,Total Liabilities And Stockholders Equity,27518140,14405136,54826226,50712000,63866000,50595000,22392000,49540000,73062000,39333000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27518140,14405136,54826226,50712000,63866000,50595000,22392000,49540000,73062000,39333000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1261249/000104746915002798/0001047469-15-002798-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746916010929/0001047469-16-010929-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746917001623/0001047469-17-001623-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746918001539/0001047469-18-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746919001136/0001047469-19-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746920000966/0001047469-20-000966-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000155837021002163/0001558370-21-002163-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000155837022004758/0001558370-22-004758-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-23260127,-14320620,-16077468,-30335000,-28741000,-28304000,-19779000,-18606000,-51853000,-74894000
74,Depreciation and Amortization,23662,11876,12551,18000,19000,23000,23000,163000,276000,2064000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,665454,1337857,1380713,2965000,3425000,3651000,3630000,1762000,2818000,3338000
77,Change in Working Capital,-309750,-22739156,36571548,-1842395,10689000,-18398000,-16202000,25284000,17908000,-54785000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-865000,-668000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,5323000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,5202000
81,Other Working Capital,18161003,-4578153,31993395,30151000,40840000,22442000,6240000,31524000,49432000,-5353000
82,Other Non-Cash Items,-87184,22691217,-36390039,3716395,-8693000,18468000,15433000,-24292000,-16460000,59075000
83,Cash Provided by Operating Activities,-22967945,-13018826,-14502695,-25478000,-23301000,-24560000,-16895000,-15689000,-47311000,-65202000
84,CAPEX,-6692981,-4945379,-95739,-290000,-31000,-1313000,-318000,-98000,-353000,-269000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-54837000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,14500000,39729000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-6692981,-4945379,-95739,-290000,-31000,-1313000,-318000,-98000,-40690000,39460000
90,Debt Repayment,- -,- -,- -,-15784000,-985000,-5612000,-10888000,- -,- -,- -
91,Common Stock Issued,- -,70097,49743641,19330000,37528000,18535000,- -,42251000,48434000,21081000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,40112663,- -,2917288,16435000,1144000,152000,- -,164000,19551000,9341000
95,Cash Used/Provided by Financing Activities,40112663,70097,52660929,19981000,37687000,13075000,-10888000,42415000,67985000,30422000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10451737,-17894108,38062495,-5787000,14355000,-12798000,-28101000,26628000,-20016000,4680000
98,Cash at the End of Period,20013754,2119646,40182141,34395000,48750000,35952000,7851000,34479000,14463000,19143000
99,Cash at the Beginning of Period,9562017,20013754,2119646,40182000,34395000,48750000,35952000,7851000,34479000,14463000
100,Free Cash Flow,-29660926,-17964205,-14598434,-25768000,-23332000,-25873000,-17213000,-15787000,-47664000,-65471000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1261249/000104746915002798/0001047469-15-002798-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746916010929/0001047469-16-010929-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746917001623/0001047469-17-001623-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746918001539/0001047469-18-001539-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746919001136/0001047469-19-001136-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000104746920000966/0001047469-20-000966-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000155837021002163/0001558370-21-002163-index.htm,https://www.sec.gov/Archives/edgar/data/1261249/000155837022004758/0001558370-22-004758-index.htm
102,false,,,,,,,,,,
