,https://roic.ai/company/PTVE,2013,2014,2015,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,- -,3056000000,2559000000,2313000000,1918000000,1884000000,4907000000,739000000,819000000
54,Long-Term Debt,- -,17380000000,12785000000,11325000000,10919000000,10580000000,7053000000,4182000000,4678000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,246000000
56,Deferred Tax Liabilities,- -,954000000,1059000000,1082000000,1014000000,922000000,1025000000,193000000,246000000
57,Other Non-Current Liabilities,- -,1485000000,1291000000,1277000000,1179000000,1166000000,1295000000,655000000,-256000000
58,Total Non-Current Liabilities,- -,19819000000,15135000000,13684000000,13112000000,12668000000,9373000000,5030000000,4914000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,376000000,274000000,- -
61,Total Liabilities,- -,22875000000,17694000000,15997000000,15030000000,14552000000,14280000000,5769000000,5733000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1664000000,1664000000,1664000000,1664000000,1664000000,1664000000,- -,- -
64,Retained Earnings,- -,-1249000000,1113000000,1272000000,1706000000,1687000000,1547000000,806000000,- -
65,Other Comprehensive Income/Loss,- -,-2473000000,-2827000000,-3162000000,-3409000000,-689000000,-518000000,-349000000,- -
66,Other Total Stockholders Equity,- -,914000000,831000000,1174000000,1681000000,-1045000000,-719000000,- -,1288000000
67,Total Stockholders Equity,- -,-1144000000,781000000,948000000,1642000000,1617000000,1974000000,1071000000,1288000000
68,Total Liabilities And Stockholders Equity,- -,21731000000,18475000000,16945000000,16672000000,16169000000,16254000000,6840000000,7021000000
69,Minority Interest,- -,19000000,16000000,9000000,10000000,9000000,3000000,2000000,- -
70,Total Liabilities & Equity,- -,21750000000,18491000000,16954000000,16682000000,16178000000,16257000000,6842000000,7021000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527508/000156459021008652/0001564590-21-008652-index.htm,https://www.sec.gov/Archives/edgar/data/1527508/000156459022006686/0001564590-22-006686-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-70000000,-302000000,2316000000,159000000,437000000,-7000000,107000000,-27000000,25000000
74,Depreciation and Amortization,1020000000,910000000,714000000,707000000,674000000,655000000,736000000,467000000,344000000
75,Deferred Income Tax,104000000,-2000000,118000000,105000000,81000000,40000000,140000000,18000000,-27000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,11000000
77,Change in Working Capital,-83000000,3943000000,-2018000000,-987000000,395000000,130000000,-2736000000,2326000000,-91000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,33000000,-77000000
79,Inventory,-56000000,-55000000,138000000,-2000000,-151000000,-83000000,19000000,-64000000,-8000000
80,Accounts Payable,- -,- -,- -,- -,-5000000,48000000,-118000000,32000000,50000000
81,Other Working Capital,81000000,4024000000,2006000000,1019000000,1414000000,1544000000,-1192000000,1134000000,1043000000
82,Other Non-Cash Items,-186000000,-3668000000,-476000000,892000000,-747000000,132000000,2710000000,-2531000000,-1000000
83,Cash Provided by Operating Activities,785000000,881000000,654000000,876000000,840000000,950000000,957000000,253000000,261000000
84,CAPEX,-724000000,-687000000,-381000000,-324000000,-410000000,-585000000,-624000000,-410000000,-282000000
85,Acquisitions Net,- -,- -,- -,- -,44000000,118000000,597000000,8000000,-374000000
86,Purchases of Investments,- -,- -,-200000000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,200000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-764000000,-548000000,3820000000,-157000000,10000000,34000000,45000000,48000000,-2000000
89,Cash Used for Investing Activites,-764000000,-548000000,3820000000,-157000000,-359000000,-440000000,13000000,-354000000,-658000000
90,Debt Repayment,-4039000000,-228000000,-4282000000,-6339000000,-1221000000,-352000000,-461000000,-8978000000,-75000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,569000000,- -
92,Common Stock Repurchased,- -,-31000000,- -,- -,- -,- -,- -,-34000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-71000000
94,Other Financing Activites,3938000000,163000000,126000000,4590000000,436000000,-5000000,-1000000,7732000000,293000000
95,Cash Used/Provided by Financing Activities,-101000000,-96000000,-4156000000,-1749000000,-785000000,-357000000,-462000000,-711000000,147000000
96,Effect of Forex Changes on Cash,12000000,-39000000,-25000000,-12000000,6000000,-7000000,- -,-14000000,-4000000
97,Net Change In Cash,-68000000,198000000,390000000,-1042000000,-295000000,166000000,508000000,-826000000,-254000000
98,Cash at the End of Period,1486000000,1684000000,1977000000,935000000,637000000,783000000,1291000000,468000000,214000000
99,Cash at the Beginning of Period,1554000000,1486000000,1587000000,1977000000,932000000,617000000,783000000,1294000000,468000000
100,Free Cash Flow,61000000,194000000,273000000,552000000,430000000,365000000,333000000,-157000000,-21000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1527508/000156459021008652/0001564590-21-008652-index.htm,https://www.sec.gov/Archives/edgar/data/1527508/000156459022006686/0001564590-22-006686-index.htm
102,false,,,,,,,,,
