,https://roic.ai/company/VZIO,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,-200000
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -
89,Cash Used for Investing Activites,-443000,-800000,-1752000,-4600000
90,Debt Repayment,-122000000,- -,- -,- -
91,Common Stock Issued,70000000,- -,- -,148000000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-600000
94,Other Financing Activites,107072000,187000,175000,-59700000
95,Cash Used/Provided by Financing Activities,55072000,187000,175000,87700000
96,Effect of Forex Changes on Cash,330000,125000,429000,-1100000
97,Net Change In Cash,58201000,79395000,31149000,123900000
98,Cash at the End of Period,97184000,176579000,207728000,331600000
99,Cash at the Beginning of Period,38983000,97184000,176579000,207700000
100,Free Cash Flow,2799000,79083000,30545000,37500000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1835591/000183559122000017/0001835591-22-000017-index.htm
102,false,,,,
