,https://roic.ai/company/ATLC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464343/000146434310000009/0001464343-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434311000004/0001464343-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434312000006/0001464343-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434313000004/0001464343-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434314000006/0001464343-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434315000004/0001464343-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434316000024/0001464343-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434317000007/0001464343-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434318000013/0001464343-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774919005717/0001437749-19-005717-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774920006586/0001437749-20-006586-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774921007849/0001437749-21-007849-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774922006296/0001437749-22-006296-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12300000,21800000,68980000,55746000,120416000,110605000,68240000,240655000,110412000,108398000,94428000,185019000,104954000,144913000,84312000,52781000,41514000,51858000,76557000,41736000,61092000,135483000,178102000,409660000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12300000,21800000,68980000,55746000,120416000,110605000,68240000,240655000,110412000,108398000,94428000,185019000,104954000,144913000,84312000,52781000,41514000,51858000,76557000,41736000,61092000,135483000,178102000,409660000
34,Net Receivables,67200000,175400000,350152000,424745000,291439000,552921000,536718000,786983000,801715000,56872000,340734000,- -,- -,- -,- -,- -,- -,- -,239431000,305081000,424542000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,255821000,600620000,1005287000,1519027000,980282000,5636000,- -,- -,-16397000,-1908000,-1589000,-825000,-239936000,-305333000,-424666000,-104000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,860779000,1628258000,1917414000,1684297000,1415444000,190655000,104954000,144913000,67915000,50873000,39925000,51033000,76052000,41484000,60968000,135379000,178102000,- -
38,PP&E,1700000,6100000,14268000,34522000,29296000,24307000,31552000,48383000,63986000,84466000,48297000,32263000,15893000,8098000,7192000,37786000,21213000,10352000,3856000,3229000,3625000,16829000,11421000,11351000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59129000,43422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4547000,2816000,2378000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,111195000,144549000,132497000,105417000,63676000,46238000,2378000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,34412000,21584000,58269000,69343000,288143000,90737000,919240000,82329000,102485000,93175000,37756000,35134000,15833000,10123000,6725000,4244000,2476000,1957000,1415000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-58269000,-69343000,-288143000,-90737000,-919240000,-114592000,-118378000,401721000,267563000,228442000,191384000,209221000,277356000,376656000,515539000,782101000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,142747000,192932000,196483000,189883000,111973000,46238000,2378000,502994000,312511000,301362000,228430000,229696000,287937000,384129000,521640000,800887000,- -,- -
46,Other Assets,87600000,223900000,470505000,536457000,518915000,761355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1029112000,1943863000
47,Total Assets,87600000,223900000,470505000,536457000,518915000,761355000,1003526000,1821190000,2113897000,1874180000,1527417000,236893000,107332000,647907000,380426000,352235000,268355000,280729000,363989000,425613000,582608000,936266000,1207214000,1943863000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38596000,48625000,39968000,51722000,86768000,115737000,105765000,41617000,41731000,42287000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,389851000,- -,467449000,288671000,166874000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60411000,59368000,60434000,55255000,20933000,22303000,15769000,9132000,252000,5785000,25932000,47770000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23492000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87600000,-326649000,-158171000,-83870000,111975000,99683000,22295000,15759000,9038000,-86000,27473000,843154000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413343000,87600000,140800000,130500000,121600000,160600000,139651000,74017000,102527000,124775000,105679000,69090000,884885000,- -
54,Long-Term Debt,- -,- -,- -,16517000,- -,- -,83624000,715186000,908694000,785591000,589790000,471941000,229844000,176400000,262209000,247197000,200012000,195753000,255675000,336871000,498720000,777220000,909915000,1426657000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1875000,1413000,1005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1916000,466043000,263895000,-22709000,-56697000,-78749000,- -,-1442000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,16517000,- -,- -,83624000,715186000,908694000,785591000,589790000,471900000,697300000,441300000,239500000,190500000,121263000,195753000,254233000,336871000,498720000,777220000,909915000,1426657000
59,Other Liabilities,33100000,47500000,66324000,106495000,71047000,134767000,348952000,1723723000,2098084000,1834460000,1426485000,- -,- -,- -,479139000,- -,- -,391514000,509918000,673836000,997778000,1604061000,205819000,3043021000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22259000,13776000,4842000
61,Total Liabilities,33100000,47500000,66324000,89978000,71047000,134767000,265328000,1008537000,1189390000,1048869000,836695000,541111000,819092000,571579000,361239000,351077000,260913000,269778000,358212000,461740000,604737000,895931000,1090704000,1616364000
62,Preferred Stock,- -,- -,- -,- -,43501000,41997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,40000000,40000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,24600000,83600000,164392000,167115000,168818000,286252000,382567000,553917000,661392000,606435000,505728000,-87740000,-151609000,-28257000,-190673000,-208414000,-201237000,-199524000,-205859000,-246640000,-238784000,-211786000,-117666000,60236000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1513000,-593000,24688000,20184000,25610000,1637000,-31431000,-3293000,-5608000,-2257000,-1154000,-737000,-1841000,-600000,- -,-2178000,3558000,- -,- -,- -
66,Other Total Stockholders Equity,29900000,92800000,239789000,279364000,279050000,340336000,355631000,258736000,263115000,216876000,215994000,298461000,219426000,106585000,210860000,210572000,210679000,211475000,240838000,212513000,212655000,278758000,234176000,- -
67,Total Stockholders Equity,54500000,176400000,404181000,446479000,447868000,574013000,683890000,767211000,883940000,792579000,665844000,189317000,42838000,76117000,19295000,1164000,7441000,10959000,5787000,-36033000,-21791000,40906000,117284000,327999000
68,Total Liabilities And Stockholders Equity,87600000,223900000,470505000,536457000,518915000,708780000,949218000,1775748000,2073330000,1841448000,1502539000,730428000,861930000,647696000,380534000,352241000,268354000,280737000,363999000,425707000,582946000,936837000,1207988000,1944363000
69,Minority Interest,- -,- -,- -,- -,- -,52575000,54308000,45442000,40567000,32732000,24878000,-493535000,-754598000,211000,-108000,-6000,1000,-8000,-10000,-94000,-338000,-571000,-774000,-500000
70,Total Liabilities & Equity,87600000,223900000,470505000,536457000,518915000,761355000,1003526000,1821190000,2113897000,1874180000,1527417000,236893000,107332000,647907000,380426000,352235000,268355000,280729000,363989000,425613000,582608000,936266000,1207214000,1943863000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464343/000146434310000009/0001464343-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434311000004/0001464343-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434312000006/0001464343-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434313000004/0001464343-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434314000006/0001464343-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434315000004/0001464343-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434316000024/0001464343-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434317000007/0001464343-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434318000013/0001464343-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774919005717/0001437749-19-005717-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774920006586/0001437749-20-006586-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774921007849/0001437749-21-007849-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774922006296/0001437749-22-006296-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,25400000,59000000,82374000,2867000,5871000,121718000,100719000,171350000,107475000,-50996000,-101582000,-540889000,-97504000,134017000,24451000,-17741000,7177000,1713000,-6335000,-40781000,7856000,26443000,94120000,177902000
74,Depreciation and Amortization,1300000,3200000,9208000,18120000,32421000,-10833000,85894000,1589000,37859000,52119000,36368000,21870000,14019000,6187000,2574000,17699000,68075000,40565000,7477000,1021000,987000,7693000,7952000,2494000
75,Deferred Income Tax,6100000,16700000,3424000,- -,- -,55277000,-5187000,-388000,33062000,34831000,- -,-71137000,-1785000,374000,329000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9839000,8978000,8739000,2460000,320000,- -,- -,- -,- -,- -,1323000,1712000,1355000,3240000
77,Change in Working Capital,8800000,- -,- -,- -,- -,- -,860779000,767479000,289156000,-233117000,-682196000,-899046000,-138901000,50259000,-68098000,-56042000,10001000,76742000,-3491000,-56816000,38580000,111000000,-773072000,-84000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15597000,-2466000,3132000,-2962000,-4687000,-2688000,-8754000,1765000,-43319000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3501000,9480000,-4907000,12752000,41436000,23341000,-5411000,-52720000,-3096000,6005000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,860779000,1628258000,1917414000,1684297000,1002101000,103055000,-35846000,14413000,-53685000,-109727000,-99726000,-22984000,-26475000,-83291000,-44711000,66289000,-706783000,-36000
82,Other Non-Cash Items,-30700000,-23100000,-20382000,42388000,210314000,180606000,-910849000,-661489000,40466000,964021000,1306450000,1767932000,550943000,-109524000,73371000,29228000,-105987000,-118156000,41364000,71111000,-5890000,-46885000,882379000,112730000
83,Cash Provided by Operating Activities,10900000,55800000,74624000,63375000,248606000,346768000,131356000,278541000,508018000,766858000,568879000,287708000,335511000,83773000,32947000,-26856000,-20734000,864000,39015000,-25465000,42856000,99963000,212734000,212366000
84,CAPEX,-500000,-5900000,-11936000,-30055000,-9576000,-7986000,-10819000,-30639000,-28039000,-65543000,-9872000,-3591000,-3860000,-1541000,-2186000,-3487000,-4068000,-884000,-349000,-395000,-1383000,-250000,-749000,-7089000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-135790000,- -,-2643000,-192211000,- -,-621000,- -,192054000,98677000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-75247000,-651883000,-49705000,-10949000,-3509121000,- -,-2846347000,-1469844000,-1068078000,-647580000,-1354000,-3750000,- -,-271061000,-381212000,-466740000,-607981000,- -,- -,-398000
87,Sales/Maturities of Investments,- -,- -,- -,- -,2666000,5113000,- -,1665000,2753267000,20015000,2331414000,1345459000,1261664000,875802000,23808000,15746000,12009000,8490000,5548000,3639000,2349000,1520000,998000,560000
88,Other Investing Activites,-21000000,-119100000,-163067000,-131040000,-90360000,271839000,-20305000,-559776000,-28039000,-869408000,- -,- -,-16305000,14777000,78141000,37719000,17191000,277108000,299824000,370220000,472497000,-435209000,-292824000,-468095000
89,Cash Used for Investing Activites,-21000000,-119100000,-163067000,-131040000,-162941000,-374931000,-205800000,-569060000,-786536000,-1041604000,-524805000,-128597000,173421000,433512000,199272000,49715000,29200000,14537000,-75840000,-92881000,-134518000,-433689000,-292575000,-475022000
90,Debt Repayment,- -,- -,- -,-500000,- -,- -,-24614000,-84240000,-83245000,-386972000,-193442000,-231226000,-522294000,-380288000,-247983000,-88326000,-133545000,-168208000,-177984000,-239976000,-469623000,-592318000,-460256000,-586495000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-564000,-142000,-689000,-108388000,-82696000,-1396000,-257000,-259000,-949000,-389000,-723000,-2517000,-3353000,-25219000
93,Dividends Paid,- -,- -,-829000,-144000,- -,- -,- -,-22215000,- -,- -,-5709000,-23860000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13561000,-21809000
94,Other Financing Activites,20600000,62800000,146415000,55075000,-20995000,18352000,44772000,569389000,231520000,685482000,115518000,189252000,-84698000,30058000,21280000,49007000,115402000,164895000,242392000,325004000,632093000,963555000,639555000,1143851000
95,Cash Used/Provided by Financing Activities,20600000,62800000,145586000,54431000,-20995000,18352000,20158000,462934000,148275000,298510000,-84197000,-65976000,-607681000,-458618000,-309399000,-40715000,-18400000,-3572000,63459000,84639000,161747000,368720000,162385000,510328000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3350000,-2975000,3092000,-920000,896000,182000,814000,-1014000,-721000,-1615000,144000,1011000,-354000,23000,-5000
97,Net Change In Cash,100000,-500000,57143000,-13234000,64671000,-9811000,-54286000,172415000,-130243000,27114000,-43098000,96227000,-99669000,59563000,-76998000,-17042000,-10948000,11108000,25019000,-33563000,71096000,34640000,82567000,247667000
98,Cash at the End of Period,- -,11800000,68980000,55746000,120416000,110605000,68240000,240655000,110412000,137526000,94428000,190655000,85350000,144913000,67915000,50873000,39925000,51033000,76052000,42489000,141754000,176394000,258961000,506628000
99,Cash at the Beginning of Period,1700000,12300000,11837000,68980000,55745000,120416000,122526000,68240000,240655000,110412000,137526000,94428000,185019000,85350000,144913000,67915000,50873000,39925000,51033000,76052000,70658000,141754000,176394000,258961000
100,Free Cash Flow,10400000,49900000,62688000,33320000,239030000,338782000,120537000,247902000,479979000,701315000,559007000,284117000,331651000,82232000,30761000,-30343000,-24802000,-20000,38666000,-25860000,41473000,99713000,211985000,205277000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464343/000146434310000009/0001464343-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434311000004/0001464343-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434312000006/0001464343-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434313000004/0001464343-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434314000006/0001464343-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434315000004/0001464343-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434316000024/0001464343-16-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434317000007/0001464343-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000146434318000013/0001464343-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774919005717/0001437749-19-005717-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774920006586/0001437749-20-006586-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774921007849/0001437749-21-007849-index.htm,https://www.sec.gov/Archives/edgar/data/1464343/000143774922006296/0001437749-22-006296-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
