,https://roic.ai/company/CRBP,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,696,2594,3761,4468,5560,5725,6467,9885,12523
64,Retained Earnings,-1886590,-4427075,-13277814,-33276489,-65698101,-121370240,-192823958,-304093338,-349733764
65,Other Comprehensive Income/Loss,- -,-10405,-54348,-108237,-363889,-666583,-1405961,- -,-62445
66,Other Total Stockholders Equity,102696,10297619,22313411,42299493,123839991,149555218,200381017,349358378,418891713
67,Total Stockholders Equity,-1783198,5862733,8985010,8919235,57783561,27524120,6157565,45274925,69108027
68,Total Liabilities And Stockholders Equity,305520,6600773,12875303,17888182,66978161,46989341,49142499,102294931,107730253
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,305520,6600773,12875303,17888182,66978161,46989341,49142499,102294931,107730253
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1595097/000119312515040326/d854695d10k.htm,https://www.sec.gov/Archives/edgar/data/1595097/000156459016015403/0001564590-16-015403-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315217002256/0001493152-17-002256-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315218003208/0001493152-18-003208-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315219003143/0001493152-19-003143-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315220004077/0001493152-20-004077-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315221006016/0001493152-21-006016-index.htm,https://www.sec.gov/Archives/edgar/data/1595097/000095017022003145/0000950170-22-003145-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-602350,-2540485,-8850739,-19998675,-32421612,-55672139,-71453718,-111269380,-45640426
74,Depreciation and Amortization,- -,10405,43943,87664,255652,493938,1229784,1694312,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,6141,193120,1153302,3163534,5694489,7609508,11981655,12458229,- -
77,Change in Working Capital,165327,6138307,3289796,-580417,48795715,-31149073,-22884005,56909818,23020313
78,Accounts Receivable,- -,- -,- -,-1000000,1000000,12500000,5000000,960033,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,131849,170239,972194,1890876,-885797,3904021,4366439,-3468917,- -
81,Other Working Capital,-343346,5794961,9084757,8504340,57300055,26150982,3266977,60176795,83197108
82,Other Non-Cash Items,64167,-6162583,-283779,3756667,-50120872,48650511,35405556,-59478682,22620113
83,Cash Provided by Operating Activities,-366715,-2361236,-4647477,-13571227,-27796628,-30067255,-45720728,-99685703,- -
84,CAPEX,- -,-64448,-114037,-353032,-707429,-2300416,-2742541,-484491,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-64448,-114037,-353032,-707429,-2300416,-2742541,-484491,- -
90,Debt Repayment,- -,-247006,-190120,-242187,-357993,-434440,-605535,-951876,- -
91,Common Stock Issued,- -,10305161,11328929,16699133,78891699,12052645,40677060,142200752,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,127252,-1673046,-301465,284920,-2525420,-198552,-1608038,13625973,- -
95,Cash Used/Provided by Financing Activities,127252,8385109,10837344,16741866,76008286,11419653,38463487,154874849,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-239463,5959425,6075830,2817607,47504229,-20948018,-9999782,54704655,- -
98,Cash at the End of Period,303020,6262445,12338275,15192257,62696486,41748468,31748686,86453341,- -
99,Cash at the Beginning of Period,542483,303020,6262445,12374650,15192257,62696486,41748468,31748686,86453341
100,Free Cash Flow,-366715,-2425684,-4761514,-13924259,-28504057,-32367671,-48463269,-100170194,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1595097/000119312515040326/d854695d10k.htm,https://www.sec.gov/Archives/edgar/data/1595097/000156459016015403/0001564590-16-015403-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315217002256/0001493152-17-002256-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315218003208/0001493152-18-003208-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315219003143/0001493152-19-003143-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315220004077/0001493152-20-004077-index.html,https://www.sec.gov/Archives/edgar/data/1595097/000149315221006016/0001493152-21-006016-index.htm,https://www.sec.gov/Archives/edgar/data/1595097/000095017022003145/0000950170-22-003145-index.htm
102,false,,,,,,,,,
