,https://roic.ai/company/KBLB,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,248096,80000,-1720000,-1250000,2520000,-290000,-220000,-70000,-58870,-694170,-449640,-1029140,-1068230,-917560,-1203689,618485
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31858,5986,25872,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,39095,107283,242588,-152291,117251,194311,-28753,-16425,164595,136326,314369,39055,199723
81,Other Working Capital,-260000,-180000,-1900000,-3150000,-630000,-920000,-1140000,-1210000,-1268870,-1963040,-2412680,-3441820,-4510050,-5427610,-6631299,- -
82,Other Non-Cash Items,271894,-21067,3343719,2533033,-935903,716534,1251495,6733958,908542,1844978,2461815,2612407,1975573,2708748,4892180,5600372
83,Cash Provided by Operating Activities,-10010,-411067,-96281,-132967,-195450,-556096,-562922,-800154,-904559,-967563,-1011841,-729542,-235005,-1087881,-1254712,-1800809
84,CAPEX,- -,- -,- -,- -,-26740,-1174,- -,-3473,-41805,-39285,-2488,-31167,-11448,-100792,- -,-97154
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-450216
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-192,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-26740,-7174,-192,-3473,-41805,-39285,-2488,-31167,-11448,-100792,- -,-547370
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-3513,-154774,-3981,- -,- -,- -,- -,-20000,-40000,-50000
91,Common Stock Issued,400,526495,- -,28000,274032,670000,425000,1050000,1150000,750000,1025000,450000,- -,1000000,17495,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000,-10000,- -,120000,15828,-3561,- -,150000,- -,- -,50000,30000,242000,320000,1969100,3936332
95,Cash Used/Provided by Financing Activities,10400,516495,- -,148000,289860,666439,421487,1045226,1146019,750000,1075000,480000,242000,1300000,1946595,3886332
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10400,105428,-96281,15033,67670,103169,-141627,241599,199655,-256848,60671,-280709,-4453,111327,691883,1538153
98,Cash at the End of Period,390,105818,9537,24570,92240,195409,53782,295381,495036,238188,298859,18150,13697,125024,816907,2355060
99,Cash at the Beginning of Period,- -,390,105818,9537,24570,92240,195409,53782,295381,495036,238188,298859,18150,13697,125024,816907
100,Free Cash Flow,-10010,-411067,-96281,-132967,-222190,-557270,-562922,-803627,-946364,-1006848,-1014329,-760709,-246453,-1188673,-1254712,-1897963
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1413119/000121390008000516/f10ksb2007_kraig.htm,https://www.sec.gov/Archives/edgar/data/1413119/000121390010002261/0001213900-10-002261-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1413119/000135448812001819/0001354488-12-001819-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000135448813007009/0001354488-13-007009-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000135448814001882/0001354488-14-001882-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1413119/000165495416000209/0001654954-16-000209-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495417002241/0001654954-17-002241-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495418003028/0001654954-18-003028-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000165495419003698/0001654954-19-003698-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000149315220004918/0001493152-20-004918-index.html,https://www.sec.gov/Archives/edgar/data/1413119/000149315221005910/0001493152-21-005910-index.htm,https://www.sec.gov/Archives/edgar/data/1413119/000149315222006989/0001493152-22-006989-index.htm
102,false,,,,,,,,,,,,,,,,
