,https://roic.ai/company/FWRD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,91000000,105100000,114800000,250017000,291520000,195719000,247484000,305815000,339791000,332709000,346293000,393035000,435163000,477309000,551436000,339147000,317677000,430200000,459292000,500914000,568126000,684553000,877353000,880109000,992144000,1198855000,1291572000,1195649000,1503126000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1236000,670000,730000,619000,391000,532000,610000,2047000,1597000,1209000,1783000,2711000,4561000,4338000
14,Depreciation and Amortization,-3400000,-6400000,-8700000,10523000,11210000,4346000,4996000,5783000,8410000,7461000,7263000,6817000,8947000,8934000,10824000,16615000,19722000,20450000,20993000,21021000,23579000,31133000,37157000,38210000,41055000,42183000,42109000,37125000,39552000
15,EBITDA,- -,600000,-900000,16961000,25295000,20153000,30986000,43750000,40614000,41619000,47974000,61487000,80184000,87478000,83137000,87262000,38341000,74279000,98177000,104567000,108033000,127828000,118871000,98193000,149716000,164212000,160931000,82012000,188621000
16,EBITDA ratio,- -,0.0044,-0.0061,0.1080,0.1329,0.1545,0.1814,0.2036,0.1785,0.1841,0.1986,0.2179,0.2498,0.2480,0.2117,0.1839,0.0919,0.1535,0.1830,0.1789,0.1656,0.1637,0.1239,0.0999,0.1360,0.1243,0.1141,0.0646,0.1135
17,Operating Income,4300000,29900000,33300000,9341000,16803000,16011000,26444000,37301000,31658000,32737000,40182000,53598000,67437000,75396000,71048000,70285000,18550000,53739000,77110000,83532000,84355000,96406000,81772000,59979000,108672000,122031000,118823000,73924000,159301000
18,Operating Income ratio,0.0451,0.2215,0.2248,0.0595,0.0883,0.1227,0.1548,0.1736,0.1392,0.1448,0.1664,0.1899,0.2101,0.2137,0.1809,0.1481,0.0444,0.1110,0.1438,0.1429,0.1293,0.1234,0.0853,0.0610,0.0987,0.0924,0.0842,0.0582,0.0958
19,Total Other Income Expenses (Gains),-900000,-22900000,-25500000,-2903000,-2718000,-1169000,-454000,666000,546000,1421000,529000,1072000,3800000,3148000,1265000,-874000,-601000,-640000,-545000,-377000,-433000,-321000,-2105000,-1593000,-1220000,-1785000,-2712000,-4564000,-4338000
20,Income Before Tax,3400000,7000000,7800000,6438000,14085000,14842000,25990000,37967000,32204000,34158000,40711000,54670000,71237000,78544000,72313000,69411000,17949000,53099000,76565000,83155000,83922000,96085000,79667000,58386000,107452000,120246000,116111000,69360000,154963000
21,Income Before Tax Ratio,0.0357,0.0519,0.0527,0.0410,0.0740,0.1138,0.1521,0.1767,0.1416,0.1511,0.1686,0.1937,0.2220,0.2227,0.1841,0.1463,0.0430,0.1097,0.1427,0.1423,0.1286,0.1230,0.0831,0.0594,0.0976,0.0910,0.0823,0.0546,0.0932
22,Income Tax expense (Gain),1200000,3000000,3300000,2459000,5491000,5653000,9950000,14522000,12322000,12542000,14896000,20249000,26328000,29621000,27388000,26869000,8147000,21063000,29366000,30487000,29455000,34916000,24092000,30716000,20131000,28195000,29012000,16593000,38872000
23,Net Income,2200000,4000000,4500000,3979000,8594000,10154000,16040000,23445000,19882000,21616000,25815000,34421000,44909000,48923000,44925000,42542000,9802000,32036000,47199000,52668000,54467000,61169000,55575000,27670000,87321000,92051000,87099000,23733000,105859000
24,Net Income ratio,0.0231,0.0296,0.0304,0.0253,0.0451,0.0778,0.0939,0.1091,0.0874,0.0956,0.1069,0.1220,0.1399,0.1387,0.1144,0.0897,0.0235,0.0662,0.0880,0.0901,0.0835,0.0783,0.0579,0.0282,0.0793,0.0697,0.0618,0.0187,0.0637
25,EPS,0.10,0.15,0.17,0.15,0.32,0.18,0.53,0.74,0.61,0.67,0.81,1.07,1.41,1.57,1.52,1.48,0.34,1.11,1.62,1.82,1.81,1.99,1.80,0.91,2.90,3.14,3.06,0.84,3.75
26,EPS Diluted,0.10,0.15,0.17,0.15,0.31,0.18,0.51,0.70,0.59,0.65,0.79,1.05,1.39,1.55,1.50,1.47,0.34,1.10,1.60,1.78,1.77,1.96,1.78,0.90,2.89,3.12,3.04,0.84,3.75
27,Weighted Average Shares Outstanding,21989005,27259098,25948564,27234000,26856000,3080960,30075000,31682432,32416304,32424000,32002066,32169159,31850355,31161146,29609000,28808000,28928000,28984000,29052000,28967000,30135000,30599000,30875000,30406593,30110690,29315605,28463725,28253571,28253571
28,Weighted Average Shares Outstanding Diluted,21989005,27259098,26986507,27256500,27796500,3205397,31657895,33492857,33508989,33085714,32539916,32781905,32308633,31563226,29962000,29025000,28993000,29111000,29435000,29536000,30762000,31132000,31221910,30744444,30214879,29503526,28650987,28253571,28253571
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912728/000095014403003524/g81421e10vk.htm,https://www.sec.gov/Archives/edgar/data/912728/000095014404002323/g87416e10vk.htm,https://www.sec.gov/Archives/edgar/data/912728/000120677405000365/d16518_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/912728/000091272807000025/form10_k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912728/000091272811000006/form10-k.htm,https://www.sec.gov/Archives/edgar/data/912728/000091272812000010/0000912728-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272813000006/0000912728-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272814000009/fwrd201310k.htm,https://www.sec.gov/Archives/edgar/data/912728/000091272815000058/fwrd201410k.htm,https://www.sec.gov/Archives/edgar/data/912728/000091272816000196/0000912728-16-000196-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272817000036/0000912728-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272818000051/0000912728-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272819000047/0000912728-19-000047-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272820000033/0000912728-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272821000053/0000912728-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/912728/000162828022004570/0001628280-22-004570-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4200000,1000000,3800000,28000,686000,455000,5989000,15589000,19364000,33642000,83539000,78000,332000,8231000,4909000,22093000,42035000,74504000,58801000,112182000,127367000,41429000,33312000,8511000,3893000,25657000,64749000,40254000,37316000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,9222000,20274000,3000000,111600000,79000000,61650000,522000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4200000,1000000,3800000,28000,686000,455000,5989000,15589000,28586000,53916000,86539000,111678000,79332000,69881000,5431000,22093000,42035000,74504000,58801000,112182000,127367000,41429000,33312000,8511000,3893000,25657000,64749000,40254000,37316000
34,Net Receivables,12600000,18100000,17800000,23671000,28771000,19754000,27342000,35543000,28764000,30310000,31457000,42139000,50942000,51889000,59734000,60633000,55720000,62763000,70922000,75262000,76500000,95326000,128041000,116602000,147469000,161422000,154019000,156490000,216182000
35,Inventory,200000,300000,400000,552000,721000,389000,640000,439000,379000,403000,399000,422000,567000,501000,558000,669000,938000,830000,881000,901000,1052000,1056000,1310000,1306000,1425000,2240000,2132000,- -,- -
36,Other Current Assets,1000000,2200000,3800000,3953000,5651000,2818000,2443000,3354000,4675000,4145000,4771000,5183000,5893000,5292000,5727000,8194000,8533000,7866000,9113000,10051000,15441000,12144000,10794000,9851000,9955000,11763000,15418000,49152000,29309000
37,Total Current Assets,18000000,21600000,25800000,28204000,35829000,23416000,36414000,54925000,62404000,88774000,123166000,159422000,136734000,127563000,71450000,91589000,107226000,145963000,139717000,198396000,220360000,149955000,173457000,136270000,162742000,201082000,236318000,245896000,282807000
38,PP&E,26300000,56000000,72100000,70279000,79197000,29920000,32890000,45061000,42695000,37173000,32912000,37286000,47222000,53315000,103032000,122976000,128726000,126432000,129868000,133557000,154763000,172489000,187288000,200205000,206112000,209895000,364688000,313205000,367293000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,15588000,15588000,15588000,15588000,15588000,15588000,36053000,50230000,43332000,43332000,43332000,43332000,88496000,144412000,205609000,184675000,191671000,199092000,221105000,244982000,266752000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,9458000,15083000,931000,478000,- -,- -,12007000,10731000,29991000,40708000,35849000,31259000,26668000,22102000,40110000,72705000,127800000,106650000,111247000,113661000,127798000,145032000,154716000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,9458000,15083000,16519000,16066000,15588000,15588000,27595000,26319000,66044000,90938000,79181000,74591000,70000000,65434000,128606000,217117000,333409000,291325000,302918000,312753000,348903000,390014000,421468000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4700000,400000,400000,591000,3305000,3472000,855000,899000,15341000,3498000,3421000,2257000,1049000,5817000,1358000,2024000,1597000,1810000,1566000,1800000,2540000,2244000,6017000,13491000,15944000,36485000,40969000,98278000,46254000
45,Total Non-Current Assets,31000000,56400000,72500000,70870000,82502000,33392000,43203000,61043000,74555000,56737000,51921000,55131000,75866000,85451000,170434000,215938000,209504000,202833000,201434000,200791000,285909000,391850000,526714000,505021000,524974000,559133000,754560000,801497000,835015000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1670031000
47,Total Assets,49000000,78000000,98300000,99074000,118331000,56808000,79617000,115968000,136959000,145511000,175087000,214553000,212600000,213014000,241884000,307527000,316730000,348796000,341151000,399187000,506269000,541805000,700171000,641291000,687716000,760215000,990878000,1047393000,1117823000
48,Accounts Payable,3100000,4900000,5100000,5525000,5126000,4120000,7436000,9730000,5086000,6695000,7379000,10026000,12640000,7949000,11714000,11633000,10333000,10687000,12392000,11168000,16267000,20572000,23334000,18012000,24704000,34630000,29986000,38371000,44837000
49,Short-Term Debt,- -,- -,- -,7701000,11120000,4529000,758000,532000,452000,470000,29000,39000,1542000,40000,830000,1602000,919000,638000,552000,276000,69000,276000,55887000,28012000,359000,309000,52036000,45481000,53620000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,716000,- -,- -,- -,1214000,- -,1424000,- -,4386000,- -,- -,1292000,- -,70000,320000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,5800000,9800000,14900000,9188000,17654000,7732000,8658000,8871000,12772000,11525000,12882000,15592000,11782000,11144000,14274000,12927000,18531000,16280000,20986000,16476000,18275000,22583000,29823000,31903000,35069000,39784000,55142000,87768000,66235000
53,Total Current Liabilities,8900000,14700000,20000000,22414000,33900000,16381000,16852000,19133000,18310000,18690000,20290000,25657000,25964000,19133000,26818000,26162000,29783000,27605000,33930000,27920000,34611000,43431000,109044000,77927000,60132000,74723000,137164000,171620000,164692000
54,Long-Term Debt,12000000,28300000,35800000,18346000,16347000,15403000,835000,2784000,443000,935000,907000,867000,837000,796000,31486000,53035000,52169000,50883000,333000,58000,3000,1275000,28856000,725000,40588000,47335000,173774000,197754000,266446000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,800000,3300000,5800000,8302000,11566000,1230000,3059000,6150000,7613000,7540000,6182000,7026000,6983000,6587000,7371000,8841000,5786000,6116000,11126000,12440000,26850000,25180000,39876000,41871000,29403000,37174000,43942000,41986000,43407000
57,Other Non-Current Liabilities,- -,-100000,100000,8748000,6058000,4723000,3919000,4448000,4008000,- -,- -,- -,- -,1271000,4476000,3055000,4485000,8106000,8860000,7098000,8940000,8356000,12340000,21699000,24104000,47739000,58816000,88704000,49624000
58,Total Non-Current Liabilities,12800000,31500000,41700000,35396000,33971000,21356000,7813000,13382000,12064000,8475000,7089000,7893000,7820000,8654000,43333000,64931000,62440000,65105000,20319000,19596000,35793000,34811000,81072000,64295000,94095000,132248000,276532000,328444000,359477000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,962000,936000,906000,875000,836000,1564000,4469000,3067000,1521000,885000,334000,72000,1551000,1405000,1072000,724000,363000,158470000,130837000,158512000
61,Total Liabilities,21700000,46200000,61700000,57810000,67871000,37737000,24665000,32515000,30374000,27165000,27379000,33550000,33784000,27787000,70151000,91093000,92223000,92710000,54249000,47516000,70404000,78242000,190116000,142222000,154227000,206971000,413696000,500064000,524169000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,60000,60000,126000,207000,213000,216000,212000,215000,324000,314000,304000,286000,289000,290000,290000,285000,292000,305000,303000,305000,301000,295000,285000,279000,273000,270000
64,Retained Earnings,2500000,6500000,11000000,15002000,23596000,3177000,19217000,42662000,62544000,84160000,109975000,144396000,178502000,184923000,171447000,205896000,207586000,231496000,244405000,286735000,327834000,333153000,348895000,319256000,337848000,342663000,350034000,304140000,334910000
65,Other Comprehensive Income/Loss,-5200000,-10500000,-17600000,-27166000,-35933000,-10152000,-14307000,-19059000,-25345000,-9000,1000,4000,- -,- -,- -,- -,- -,-87272000,-93267000,-105581000,-116287000,-132699000,-155859000,-178816000,-193123000,-204005000,-213706000,- -,- -
66,Other Total Stockholders Equity,30000000,35800000,43200000,53368000,62737000,25920000,49835000,59637000,69170000,33983000,37517000,36279000,- -,- -,- -,10249000,16631000,111572000,135479000,170225000,224013000,262806000,316714000,358328000,388469000,414301000,440575000,242916000,258474000
67,Total Stockholders Equity,27300000,31800000,36600000,41264000,50460000,19071000,54952000,83453000,106585000,118346000,147708000,181003000,178816000,185227000,171733000,216434000,224507000,256086000,286902000,351671000,435865000,463563000,510055000,499069000,533489000,553244000,577182000,547329000,593654000
68,Total Liabilities And Stockholders Equity,49000000,78000000,98300000,99074000,118331000,56808000,79617000,115968000,136959000,145511000,175087000,214553000,212600000,213014000,241884000,307527000,316730000,348796000,341151000,399187000,506269000,541805000,700171000,641291000,687716000,760215000,990878000,1047393000,1117823000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49000000,78000000,98300000,99074000,118331000,56808000,79617000,115968000,136959000,145511000,175087000,214553000,212600000,213014000,241884000,307527000,316730000,348796000,341151000,399187000,506269000,541805000,700171000,641291000,687716000,760215000,990878000,1047393000,1117823000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912728/000095014403003524/g81421e10vk.htm,https://www.sec.gov/Archives/edgar/data/912728/000095014404002323/g87416e10vk.htm,https://www.sec.gov/Archives/edgar/data/912728/000120677405000365/d16518_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/912728/000091272807000025/form10_k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912728/000091272811000006/form10-k.htm,https://www.sec.gov/Archives/edgar/data/912728/000091272812000010/0000912728-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272813000006/0000912728-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272814000009/fwrd201310k.htm,https://www.sec.gov/Archives/edgar/data/912728/000091272815000058/fwrd201410k.htm,https://www.sec.gov/Archives/edgar/data/912728/000091272816000196/0000912728-16-000196-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272817000036/0000912728-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272818000051/0000912728-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272819000047/0000912728-19-000047-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272820000033/0000912728-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/912728/000091272821000053/0000912728-21-000053-index.htm,https://www.sec.gov/Archives/edgar/data/912728/000162828022004570/0001628280-22-004570-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2200000,4000000,4500000,3979000,8594000,10154000,16040000,23445000,19882000,21616000,25815000,34421000,44909000,48923000,44925000,42542000,9802000,32036000,47199000,52668000,54467000,61169000,55575000,27670000,87321000,92051000,87099000,23733000,105859000
74,Depreciation and Amortization,-3400000,-6400000,-8700000,10523000,11210000,4346000,4996000,5783000,8410000,7461000,7263000,6817000,8947000,8934000,10824000,16615000,19722000,20450000,20993000,21021000,23579000,31133000,37157000,38210000,41055000,42183000,42109000,37125000,39552000
75,Deferred Income Tax,800000,1800000,2800000,1747000,2613000,1893000,1450000,2787000,167000,60000,-1348000,1511000,-48000,-136000,596000,1151000,-4581000,1436000,5148000,2043000,4856000,-3021000,14531000,3525000,-12468000,8094000,6768000,772000,1421000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6267000,6754000,6284000,5971000,6050000,6178000,6681000,7486000,8334000,8103000,10549000,11907000,11033000,10913000
77,Change in Working Capital,-4700000,-3200000,-200000,-3854000,-1750000,-15563000,-3879000,94000,5604000,-1988000,-1494000,-7343000,-3973000,-6424000,1492000,-11795000,8631000,-6984000,-3257000,-15331000,3581000,-4516000,-28259000,9332000,-26797000,-3464000,5945000,-11309000,-51604000
78,Accounts Receivable,-4800000,-5800000,-100000,-6423000,-5703000,-4162000,-9128000,-2410000,2360000,-2730000,-4357000,-8886000,-7438000,-6516000,-11474000,-2376000,-844000,-8580000,-9893000,-6542000,1447000,-12193000,5403000,-9715000,-31308000,-12178000,2059000,-25739000,-52684000
79,Inventory,- -,-100000,- -,-192000,-169000,-89000,-251000,201000,60000,-24000,4000,-23000,-145000,66000,-41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,200000,3600000,1800000,2037000,5914000,8314000,5021000,3207000,-999000,1064000,1325000,4262000,615000,-4058000,6606000,-2665000,8321000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17179000
81,Other Working Capital,- -,- -,- -,151000,- -,- -,-754000,607000,101000,-415000,- -,1081000,705000,-341000,-332000,-4652000,- -,- -,- -,-3981000,-239000,8156000,-14771000,20177000,-3230000,-1256000,1284000,- -,- -
82,Other Non-Cash Items,6800000,13000000,17400000,127000,1897000,1067000,1497000,1724000,1463000,2804000,2506000,2009000,1397000,1170000,4556000,4303000,9851000,773000,905000,2135000,-1822000,214000,-768000,43279000,6150000,3141000,5191000,23312000,14120000
83,Cash Provided by Operating Activities,1700000,9200000,15800000,12522000,22564000,1897000,20104000,33833000,35526000,29953000,32742000,37415000,51232000,52467000,62393000,59083000,50179000,53995000,76959000,68586000,90839000,91660000,85722000,130350000,103364000,152554000,159019000,84666000,120261000
84,CAPEX,-21400000,-36500000,-24700000,-8763000,-19074000,-11764000,-7412000,-16547000,-4844000,-3913000,-2874000,-11200000,-22077000,-15454000,-47026000,-26699000,-20847000,-15148000,-21216000,-21353000,-35439000,-39487000,-40495000,-42186000,-38265000,-42293000,-28209000,-20268000,-39109000
85,Acquisitions Net,- -,- -,- -,- -,-1209000,- -,-6814000,-10711000,-2977000,- -,- -,- -,-12750000,- -,-48627000,-29566000,- -,- -,- -,- -,-45328000,-90172000,-61878000,-11800000,-23140000,-19987000,-39000000,-63651000,-59866000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-71373000,-7063000,-3000000,-273916000,-197265000,-211980000,-82282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,47792000,10340000,20289000,232496000,427130000,229330000,143410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2500000,4700000,3200000,2721000,1248000,-5218000,862000,407000,394000,193000,302000,1175000,-191938000,-1102000,455000,77000,642000,1258000,1545000,648000,1844000,1949000,1455000,1593000,2217000,6817000,3294000,1212000,10663000
89,Cash Used for Investing Activites,-23900000,-31800000,-21500000,-6042000,-19035000,-16982000,-13364000,-26851000,-31008000,-443000,14717000,-51445000,3100000,794000,-34070000,-56188000,-20205000,-13890000,-19671000,-20705000,-78923000,-127710000,-100918000,-52393000,-59188000,-55463000,-63915000,-82707000,-88312000
90,Debt Repayment,-17500000,-5500000,-8600000,-13661000,-10255000,-9626000,-20706000,-2029000,-2843000,-4418000,-469000,-30000,-31000,-1543000,-50493000,-26603000,-1549000,-895000,-50637000,-551000,-20375000,-9736000,-101352000,-55768000,-42790000,-302000,-946000,-21446000,-152423000
91,Common Stock Issued,24600000,500000,300000,2367000,602000,2479000,19500000,2794000,2100000,1703000,2907000,7353000,6232000,4630000,1276000,255000,237000,195000,248000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-1786000,- -,- -,- -,- -,- -,-12517000,- -,-9577000,-54071000,-41722000,-55134000,- -,- -,- -,-26101000,- -,-354000,-39972000,-19992000,-39983000,-48983000,-66126000,-56204000,-45248000,-48989000
93,Dividends Paid,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7668000,-8694000,-8305000,-8089000,-8109000,-8121000,-8194000,-9947000,-12141000,-14795000,-14821000,-15529000,-18052000,-18427000,-20494000,-20869000,-22976000
94,Other Financing Activites,22300000,24300000,16900000,2794000,6782000,21792000,- -,1853000,- -,- -,- -,- -,1460000,1967000,81011000,48726000,-611000,1185000,11693000,15998000,36139000,14615000,143244000,8522000,61031000,9528000,21632000,61109000,189501000
95,Cash Used/Provided by Financing Activities,26400000,19300000,8600000,-10286000,-2871000,14645000,-1206000,2618000,-743000,-15232000,2438000,-2254000,-54078000,-45362000,-31645000,14289000,-10032000,-7636000,-72991000,5500000,3269000,-49888000,7079000,-102758000,-48794000,-75327000,-56012000,-26454000,-34887000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,26400000,19300000,8600000,-3806000,658000,-440000,5534000,9600000,3775000,14278000,49897000,-16284000,254000,7899000,-3322000,17184000,19942000,32469000,-15703000,53381000,15185000,-85938000,-8117000,-24801000,-4618000,21764000,39092000,-24495000,-2938000
98,Cash at the End of Period,- -,- -,- -,28000,686000,455000,5989000,15589000,19364000,33642000,83539000,78000,332000,8231000,4909000,22093000,42035000,74504000,58801000,112182000,127367000,41429000,33312000,8511000,3893000,25657000,64749000,40254000,37316000
99,Cash at the Beginning of Period,- -,4200000,1000000,3834000,28000,895000,455000,5989000,15589000,19364000,33642000,16362000,78000,332000,8231000,4909000,22093000,42035000,74504000,58801000,112182000,127367000,41429000,33312000,8511000,3893000,25657000,64749000,40254000
100,Free Cash Flow,-19700000,-27300000,-8900000,3759000,3490000,-9867000,12692000,17286000,30682000,26040000,29868000,26215000,29155000,37013000,15367000,32384000,29332000,38847000,55743000,47233000,55400000,52173000,45227000,88164000,65099000,110261000,130810000,64398000,81152000
